video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
1uvLsYfEYAI,BY,2025-12-24 02:27:09.554976+00:00,2025-12-14 08:00:07+00:00,"ВАУ НОВЫЙ ГОД (Премьера клипа) Марьяна Локель, ГЛЕБАС, Вау Вероника ","ВАУ НОВЫЙ ГОД (Премьера клипа) Марьяна Локель, ГЛЕБАС, Вау Вероника ",Maryana Lokel,UCcsnDhNZV6FGZC7FfXhfLNA,24,Entertainment,,0,https://i.ytimg.com/vi/1uvLsYfEYAI/hqdefault.jpg,ru,ru,False,132,PT2M12S,hd,False,True,,,1111701,16958,2772
Mzw2ttJD2qQ,BY,2025-12-24 02:27:09.555022+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,True,True,,,16141946,398413,22689
GiHBCh3Jpvo,BY,2025-12-24 02:27:09.555031+00:00,2025-12-18 13:00:00+00:00,ОТВЕТЫ НА ВОПРОСЫ! ВОЗВРАЩАЮСЬ НА А4? СКОЛЬКО ЗАРАБАТЫВАЮ? БЛОКИРОВКА РОБЛОКС!,ОТВЕТЫ НА ВОПРОСЫ! ВОЗВРАЩАЮСЬ НА А4? СКОЛЬКО ЗАРАБАТЫВАЮ? БЛОКИРОВКА РОБЛОКС!,ГЛЕНТ,UCBYvr4SqfGQd5fTmOXVQ4Zw,24,Entertainment,"глент, ОТВЕТЫ НА ВОПРОСЫ, ВОЗВРАЩАЮСЬ НА А4, А4, СКОЛЬКО ЗАРАБАТЫВАЮ, БЛОКИРОВКА РОБЛОКС, глент из a4, глент а4, roblox, новый ролик а4, роблокс глент, глент игры, глент играет в, глент вернулся на канал а4, глент вернулся, глент roblox, глент брейнрот, блокировка роблокс, сколько зарабатывает глент, а4, a4, глент а4 кобяков, roblox глент, глент кобяков бумага, влад бумага, влад а4, кобяков, глент и кобяков, а4 глент бумага",29,https://i.ytimg.com/vi/GiHBCh3Jpvo/hqdefault.jpg,ru,ru,False,1541,PT25M41S,hd,False,True,,,1561643,89318,14210
omFpj__deFQ,BY,2025-12-24 02:27:09.555043+00:00,2025-12-12 12:00:00+00:00,"ICEGERGERT, Zivert — БАНК (Премьера клипа, 2025)","ICEGERGERT, Zivert — БАНК (Премьера клипа, 2025)",Zivert,UCSSBxO-_qQgZq4tZhMQF1bQ,10,Music,"zivert, зиверт, icegergert, банк, zivert концерт, zivert банк, zivert beverly hills, zivert эгоистка, zivert icegergert, zivert все песни, zivert goodbye, zivert гудбай, zivert айсберг, icegergert концерт, icegergert наследство, icegergert zivert, icegergert гектор, icegergert клип, icegergert type beat, icegergert вопрос ребром, icegergert амстердам, icegergert альбом, icegergert аритмия, аритмия icegergert, альбом icegergert, icegergert банк, зиверт айгергерт",27,https://i.ytimg.com/vi/omFpj__deFQ/hqdefault.jpg,ru,ru,False,181,PT3M1S,hd,False,False,,,924768,13262,1033
S8Pq2qPeqJs,BY,2025-12-24 02:27:09.555052+00:00,2025-12-23 14:08:46+00:00,Мстители 5: Судный день — Официальный тизер (2026),Мстители 5: Судный день — Официальный тизер (2026),Kinoman,UC6A-Z0jDKemh9-CwGbj5yog,1,Film & Animation,"мстители, мстители 5, мстители 5 трейлер, мстители 5 трейлер 2026, мстители 5 русский трейлер, мстители 5 трейлер на русском, мстители 5 фильм, мстители судный день трейлер, мстители судный день русский трейлер, avengers 5 trailer, avengers doomsday trailer, трейлер, трейлер 2026, трейлеры, трейлеры 2026, фильмы, фильмы 2026, фильм, фильм 2026, кино, кино 2026, новинки кино, русский трейлер, трейлер на русском, трейлер фильма, movie trailers, teaser trailers, kinoman",28,https://i.ytimg.com/vi/S8Pq2qPeqJs/hqdefault.jpg,ru,ru,False,90,PT1M30S,hd,True,False,,,136310,4354,483
6HLezYzZpNo,BY,2025-12-24 02:27:09.555060+00:00,2025-12-17 12:09:47+00:00,СБЕГИ ИЛИ ПРОИГРАЕШЬ!🚫 САМАЯ ЗАЩИЩЁННАЯ ТЮРЬМА В РОБЛОКС!,СБЕГИ ИЛИ ПРОИГРАЕШЬ!🚫 САМАЯ ЗАЩИЩЁННАЯ ТЮРЬМА В РОБЛОКС!,ВЛАДУС ИГРАЕТ,UCUzkpCMREk2AGgZwT55JizA,20,Gaming,"владус, лёня, роблокс, страшный призрак роблокс, тюрьма роблокс, мой друг в тюрьме roblox, хоррор роблокс, роблокс страшилки, владус и лёня roblox, приколы роблокс, роблокс челлендж, смешной роблокс, роблокс на русском, приключения в roblox, выживание в роблокс, roblox ролик, roblox видео",17,https://i.ytimg.com/vi/6HLezYzZpNo/hqdefault.jpg,ru,ru,False,1062,PT17M42S,hd,False,True,,,1171318,43263,4343
eiyp-jm_psc,BY,2025-12-24 02:27:09.555069+00:00,2025-12-04 21:00:06+00:00,"Betsy, Ded M – Под Новый Год","Betsy, Ded M – Под Новый Год",Бэтси Girl,UC_rA7LUE1g4YVPW97JBrRMw,10,Music,"сигма бой, песни для детей, сигма, сигма бой клип, сигма бой пародия, live на детском радио, клип сигма boy, betsy мария янковская сигма бой, морис сигма бой, сигма бой ремикс, betsy, сигма бой лабубу, песня сигма бой, морис пародии, сигма бой тикток, ремикс, сигма сигма бой, игра в кальмара сигма бой, sigma boy, детский вокал, морис пародия, betsy под новый год, под новый год, под новый год песня, бетси под новый год, бэтси, бэтси под новый год, бетси",28,https://i.ytimg.com/vi/eiyp-jm_psc/hqdefault.jpg,ru,ru,False,163,PT2M43S,hd,False,True,,,2980543,31513,2320
9yh0HYZaEW8,BY,2025-12-24 02:27:09.555078+00:00,2025-12-21 18:31:39+00:00,СЛИЛИ тизеры Мстителей 5 // Трейлер Человека-Паука 4 // Фильм про Росомаху,СЛИЛИ тизеры Мстителей 5 // Трейлер Человека-Паука 4 // Фильм про Росомаху,Qewbite,UCBss5McqBPfUKk5OZES0WFA,25,News & Politics,"новости, новости кино, кьюбайт, qewbite, марвел, DC, Трейлер, Тизер, новости недели, трейлер, 2025, тизер марвел, тизер, новые трейлеры, Мстители: Судный День, мстители 5, человек паук 4, человек паук, кьюбайт человек паук, человек паук новый день, Человека-Паука 4, Marvel, тизер мстители 5, человек паук 4 трейлер",24,https://i.ytimg.com/vi/9yh0HYZaEW8/hqdefault.jpg,ru,ru,False,3103,PT51M43S,hd,False,True,,,251340,14702,728
vjuclIY1Uf8,BY,2025-12-24 02:27:09.555086+00:00,2025-12-22 12:02:00+00:00,Lp. Мастерская [47] • #23 СВОБОДНЫЙ ПОЛЁТ [Вперёд за горы!] • Майнкрафт,Lp. Мастерская [47] • #23 СВОБОДНЫЙ ПОЛЁТ [Вперёд за горы!] • Майнкрафт,MrLololoshka (Роман Фильченков),UCAvrIl6ltV8MdJo3mV4Nl4Q,20,Gaming,"Лололошка, Lololoshka, MrLololoshka, Летсплей, Сборка, Скачать, Магия, Моды, Майнкрафт, Minecraft",10,https://i.ytimg.com/vi/vjuclIY1Uf8/hqdefault.jpg,ru,ru,False,2742,PT45M42S,hd,False,True,,,741390,70512,3978
WjD187yu1Bk,BY,2025-12-24 02:27:09.555094+00:00,2025-12-22 10:59:34+00:00,"Мэйби Бэйби, Дора, Baby Cute – Вуаля (ПРЕМЬЕРА КЛИПА)","Мэйби Бэйби, Дора, Baby Cute – Вуаля (ПРЕМЬЕРА КЛИПА)",МЭЙБИ БЭЙБИ,UCBhNW531Uyx1ooaWlcepyvg,10,Music,"мэйби бэйби, дора, baby cute, мейби бейби, maybe baby, dora, дорадура, бэйби кьют, вуаля, mayday, diss, дисс, силиконовый гном, m3, shokk, втюрилась, мэйдэй, мейдей, шокк, хулиганы, instasamka diss, мэй, lovesongs, oh my god, money over boys, voolia, завела и свела с ума, вуаля мейби бейби, бейби кьют, вуаля дора, дора вуаля, мейби бейби вуаля, дора мейби бейби, мэйби бэйби дора, мейби бейби дора, мэйби бэйби вуаля, вуаля клип, клип вуаля, мейби, babycute, вуаля мэйби бэйби",41,https://i.ytimg.com/vi/WjD187yu1Bk/hqdefault.jpg,ru,ru,False,215,PT3M35S,hd,False,True,,,159874,18534,1104
