video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
Rz52RWTXgME,CA,2026-01-01 02:42:31.368765+00:00,2025-12-31 11:00:50+00:00,New Year Music Mix 2026 ♫ Top Songs 2025 Party Mix ♫ New Years Eve Party Music ♫ Happy New Year Song,New Year Music Mix 2026 ♫ Top Songs 2025 Party Mix ♫ New Years Eve Party Music ♫ Happy New Year Song,Revive Music,UCYXIviXPAaaaU_AOotpXTAw,10,Music,,0,https://i.ytimg.com/vi/Rz52RWTXgME/hqdefault.jpg,en,en,False,8159,PT2H15M59S,hd,False,True,,,814923,2213,165
AfQ13jsLDms,CA,2026-01-01 02:42:31.368803+00:00,2025-12-30 14:00:05+00:00,Stranger Things 5 | Finale Trailer | Netflix,Stranger Things 5 | Finale Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/AfQ13jsLDms/hqdefault.jpg,en,en-US,False,97,PT1M37S,hd,True,True,,,10997863,304092,23146
80_c0qp7GEg,CA,2026-01-01 02:42:31.368815+00:00,2025-12-31 22:44:11+00:00,STEAL A BRAINROT GIVEAWAY LIVE | STEAL A BRAINROT FREE SECRETS + FREE BRAINROT GODS,STEAL A BRAINROT GIVEAWAY LIVE | STEAL A BRAINROT FREE SECRETS + FREE BRAINROT GODS,Joxy,UC3DlDcaefUYr-1skxaiLxVw,20,Gaming,"steal a brainrot giveaway, steal a brainrot giveaway live, steal a brainrot secret giveaway, steal a brainrot live giveaway, steal a brainrot brainrot god giveaway, steal a brainrot stream, steal a brainrot live, steal a brainrot 24/7 stream, steal a brainrot, steal a brainrot god, w steal a brainrot, steal a brainrot game, steal a brainrot gifting, steal a brainrot mod, steal a brainrot glitch, steal a brainrot 24/7, roblox steal a brainrot, steal a brainrot roblox",18,https://i.ytimg.com/vi/80_c0qp7GEg/hqdefault.jpg,en,en,False,37,PT37S,hd,False,True,,,412593,5576,33
TFTnJzWRTJ8,CA,2026-01-01 02:42:31.368824+00:00,2025-12-31 10:30:08+00:00,"Naal Nachna | Dhurandhar | Ranveer Singh, Sara Arjun, Shashwat Sachdev, Afsana Khan, Reble, Irshad","Naal Nachna | Dhurandhar | Ranveer Singh, Sara Arjun, Shashwat Sachdev, Afsana Khan, Reble, Irshad",Saregama Music,UC_A7K2dXFsTMAciGmnNxy-Q,10,Music,"Naal Nachna, Nal nachna, Naal Nachna Dhurandhar, Naal Nachna Sara Arjun, Dhurandhar all songs, Reble, Shashwat Sachdev, Akshaye Khanna, naal nachna dhurandhar videos, naal nachna dhurandhar movie song, naal nachna song video, ranveer singh and sara arjun, Naal Nachna Afsana Khan, dhurandhar movie song, dhurandhar movie song akshay khanna, dhurandhar movie song naal nachna, FA9LA, Shararat, Gehra Hua, Lutt Le Gaya, Monica, Ramba Ho, flipperachi, Maine toh tere naal nachna",24,https://i.ytimg.com/vi/TFTnJzWRTJ8/hqdefault.jpg,en,hi,False,126,PT2M6S,hd,False,True,,,779380,16074,572
cwFaV_8jhJ0,CA,2026-01-01 02:42:31.368833+00:00,2025-12-30 17:56:00+00:00,Avengers: Doomsday - Official 'Thor' Teaser Trailer (2026) Chris Hemsworth,Avengers: Doomsday - Official 'Thor' Teaser Trailer (2026) Chris Hemsworth,IGN,UCKy1dAqELo0zrOtPkf0eTMw,24,Entertainment,"Avengers, Avengers: Doomsday, MCU - Marvel Connected Universe, Marvel, Marvel Studios, Superhero, Theater, Walt Disney Studios Motion Pictures, thor, doomsday, movie trailers, movie trailer, movies, new movies, new movie trailers, upcoming movies 2025, new movies 2025, 2025 new movies, 2025 trailers, new trailers, ign, ign movie trailer, upcoming movies 2026, new movies 2026, 2026 new movies, 2026 trailers, avengers doomsday trailer, doomsday trailer",28,https://i.ytimg.com/vi/cwFaV_8jhJ0/hqdefault.jpg,en,en,False,82,PT1M22S,hd,False,True,,,672715,10249,869
J41oDT8XD5E,CA,2026-01-01 02:42:31.368840+00:00,2025-12-31 16:00:27+00:00,Hermitcraft 11: Episode 7 - ALL the Farms,Hermitcraft 11: Episode 7 - ALL the Farms,Mumbo Jumbo,UChFur_NwVSbUozOcF_F2kMg,20,Gaming,"ideas, creative, build, survival, tutorial, How to, MumboJumbo, ThatMumboJumbo, Minecraft, Building, Mumbo, Redstone, Technical, Piston, 1.9, 1.8, 1.10, 1.11, Gaming, Game, spotlight, showcase, challenge, command, mini-game, gameplay, playthrough, Let's Play, No Swearing, Family Friendly, mc, mcpe, vanilla, Xbox, 360, PS4, PE, pocket edition, mobile",39,https://i.ytimg.com/vi/J41oDT8XD5E/hqdefault.jpg,en,en,False,2086,PT34M46S,hd,False,True,,,494065,39358,1996
2eCFylOYikY,CA,2026-01-01 02:42:31.368849+00:00,2025-12-31 09:01:05+00:00,Top Happy New Year Songs 2026 🎉  Best New Year Music & Beautiful Eve Ambience,Top Happy New Year Songs 2026 🎉  Best New Year Music & Beautiful Eve Ambience,Jingle Bell Tunes,UC2edV1sW2gCOk-K1vlsKkvQ,10,Music,"christmas songs, christmas music, merry christmas, best christmas songs of all time, top christmas songs of all time, top 100 christmas songs, top 100 christmas songs of all time, christmas songs playlist, best christmas songs, christmas playlist, classic christmas songs, christmas songs medley, top christmas songs, noel songs, xmas songs, love to sing, top christmas songs playlist, happy new year, happy new year 2026, firework, happy new year song",21,https://i.ytimg.com/vi/2eCFylOYikY/hqdefault.jpg,en,en,False,5492,PT1H31M32S,hd,False,True,,,155015,544,16
UqKgaYaSnJQ,CA,2026-01-01 02:42:31.368858+00:00,2025-12-31 16:08:57+00:00,"Aik Aur Pakeezah | Teaser 1 | Ft. Sehar Khan, Nameer Khan, Amna Ilyas, Gohar Rasheed | Har Pal Geo","Aik Aur Pakeezah | Teaser 1 | Ft. Sehar Khan, Nameer Khan, Amna Ilyas, Gohar Rasheed | Har Pal Geo",HAR PAL GEO,UCe9JSDmyqNgA_l2BzGHq1Ug,24,Entertainment,"geo dramas, latest pakistani drama, top pakistani dramas, latest promo, har pal geo, latest teaser, pakistani dramas, best pakistani ost, पाकिस्तानी सीरियल, पाकिस्तानी ड्रामा, Aik Aur Pakeezah OST, Official OST, Nameer Khan & Sehar Khan Love Story, #AikAurPakeezah, Full OST, Nameer Khan Coming Drama, Sehar Khan, Sehar Khan New Drama, Trending OST, Aik Aur Pakeezah First Look, Nameer Khan, Amna Ilyas, Gohar Rasheed, Nadia Afgan, Aik Aur Pakeezah Trailer, ED-MT-UP-MT",26,https://i.ytimg.com/vi/UqKgaYaSnJQ/hqdefault.jpg,en,en,False,68,PT1M8S,hd,False,True,,,100247,1957,119
cYLNt4TCFdY,CA,2026-01-01 02:42:31.368867+00:00,2025-12-31 15:01:32+00:00,Je Juge les Bases des Abonnés !,Je Juge les Bases des Abonnés !,Unchained_Off,UCiFyJ_EBmF2XJuR9buWE_3A,20,Gaming,"unchained, unchained_off, unchained fortnite, fortnite, jeu vidéo, squeezie, gameplay, drole, gratuit, unchained gaming, fortnite battle royale, vbucks, mise à jour, maj, fortnite maj, fortnite chapitre, skin gratuit, unchained map, roblox, unchained roblox, robux, secret, roblox brainrot, steal a brainrot, voler brainrot, Brainrot, brainrot secret, brainrot, skin, unchained skin, og, admin abuse, admin, unchained base, Je Juge les Bases des Abonnés, unchained abonné",36,https://i.ytimg.com/vi/cYLNt4TCFdY/hqdefault.jpg,fr,fr-FR,False,1880,PT31M20S,hd,False,True,,,556365,19287,2822
YesZlTgRLnI,CA,2026-01-01 02:42:31.368876+00:00,2025-12-31 08:49:41+00:00,Liberation (Full Album) | Audio Jukebox | Satinder Sartaaj | Punjabi Songs 2025,Liberation (Full Album) | Audio Jukebox | Satinder Sartaaj | Punjabi Songs 2025,Satinder Sartaaj,UCctMH-Ubed9e2o2ZkDJAo_g,10,Music,"Satinder sartaaj, latest punjabi songs, liberation album, liberation satinder sartaaj, new punjabi songs 2025, punjabi album 2025, punjabi ghazal, punjabi music 2025, punjabi poetry, punjabi songs 2025, punjabi soulful songs, satinder sartaaj, satinder sartaaj album",13,https://i.ytimg.com/vi/YesZlTgRLnI/hqdefault.jpg,en,pa,False,1296,PT21M36S,hd,False,True,,,54199,2316,268
