video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
8A27oy1Mw_c,DE,2026-01-04 02:43:55.402189+00:00,2026-01-02 14:00:23+00:00,Maite Kelly - Der Morgen danach (ARD Silvester Schlagerbooom),Maite Kelly - Der Morgen danach (ARD Silvester Schlagerbooom),ICH FIND SCHLAGER TOLL,UCUJHYmJ3_1Kwfs3lqYc_Rxg,10,Music,"ich find schlager toll, schlager, schlager hits, schlager hitparade, schlager mix, schlagermusik, deutscher schlager, schlagermusik deutsch, schlager hitmix, schlager pop, schlager music, official video, official music, maite kelly, maite kelly der morgen danach, maite kelly silvester, maite kelly silvester schlagerbooom, meite kelly, der morgen danach",19,https://i.ytimg.com/vi/8A27oy1Mw_c/hqdefault.jpg,de,de,False,226,PT3M46S,hd,False,True,False,False,49906,330,16
fJaAYcERf3Y,DE,2026-01-04 02:43:55.402226+00:00,2026-01-03 13:15:05+00:00,Jana Nayagan - Official Trailer | Thalapathy Vijay | Pooja Hegde | H Vinoth | Anirudh | KVN,Jana Nayagan - Official Trailer | Thalapathy Vijay | Pooja Hegde | H Vinoth | Anirudh | KVN,KVN PRODUCTIONS,UC3DOgauBYLQQXdH1siGjfpw,1,Film & Animation,"KVN Production, KVN, Jana Nayagan, VIjay, thalapathy vijay, vijay birthday video, Jananayagan, Vijay movie, Vijay new movie, Jana Nayagan teaser, Jana Nayagan trailer, Jana Nayagan Update, Jana Nayagan Trailer, I am Coming, I am waiting, Jana Nayagan Official Trailer, Thalapathy Kacheri, Thalapathy Movie Trailer, Jana Nayagan Movie Trailer, Trending Trailer, Vijay last movie, Vijay Last movie trailer, One last dance, Pooja Hedge, Anirudh, Bobby Deol, Mamitha Baiju, TVK",28,https://i.ytimg.com/vi/fJaAYcERf3Y/hqdefault.jpg,en,ta,False,172,PT2M52S,hd,True,True,False,False,18277100,1048700,73685
qLpcB35YBT8,DE,2026-01-04 02:43:55.402238+00:00,2026-01-03 15:01:36+00:00,ICH WERDE IM STICH GELASSEN,ICH WERDE IM STICH GELASSEN,LUCREW,UCnGzJIUgwZmvixL5WzxIwbg,24,Entertainment,"luca, laserluca, lucrew, concrafter, reaction, reaktion, reagiert, live",8,https://i.ytimg.com/vi/qLpcB35YBT8/hqdefault.jpg,de,de,False,967,PT16M7S,hd,False,True,False,False,263086,15570,645
Y4V7mGG2SiQ,DE,2026-01-04 02:43:55.402247+00:00,2026-01-02 13:00:11+00:00,✳️Premiera 2026✳️ Florin Salam & Roberto - Ia-ma-n brate viata mea 🅾️ Heart Society Sibiu 2026,✳️Premiera 2026✳️ Florin Salam & Roberto - Ia-ma-n brate viata mea 🅾️ Heart Society Sibiu 2026,Video Events Production,UCPUJ184Ig-oskafE-8GASUg,10,Music,"florin salam, roberto, londonezu, sibiu, heart society, manele revelion, revelion 2026, manele live 2026, live 2026, manele, manele noi, manele 2025, manele hit, manele de dragoste, manele triste, manele românești, muzică de petrecere, manele TikTok, manele trending, manele YouTube, manele viral, manele de suflet, manele dance",23,https://i.ytimg.com/vi/Y4V7mGG2SiQ/hqdefault.jpg,ro,ro,False,302,PT5M2S,hd,False,True,False,False,125762,2982,51
RNiTi1yig4M,DE,2026-01-04 02:43:55.402256+00:00,2026-01-03 16:01:42+00:00,4 Blocks Zero | World Teaser | HBO Max,4 Blocks Zero | World Teaser | HBO Max,HBO Max Deutschland,UCMqPcCUnCVuhnRJvhFzTygg,24,Entertainment,"4blocks, 4blockszero, hbomax, hbomaxde, teaser, trailer",6,https://i.ytimg.com/vi/RNiTi1yig4M/hqdefault.jpg,de,de,False,45,PT45S,hd,False,False,False,False,1583,72,0
YIkSJOixJTI,DE,2026-01-04 02:43:55.402265+00:00,2026-01-03 20:59:56+00:00,🔴LIVE NEUE SUPER MUTATION in Steal a Brainrot!,🔴LIVE NEUE SUPER MUTATION in Steal a Brainrot!,Standart Skill,UCQ_hHJ0uTbzFLHrk1XHGXtw,20,Gaming,"Roblox, neu, funny",3,https://i.ytimg.com/vi/YIkSJOixJTI/hqdefault.jpg,de,de-DE,False,14505,PT4H1M45S,hd,False,True,False,False,281612,5784,192
r9dlhJbsYVk,DE,2026-01-04 02:43:55.402273+00:00,2026-01-03 11:32:07+00:00,Klash | تروما | جابها لنفسه | Official Video,Klash | تروما | جابها لنفسه | Official Video,KlashFans,UC3VajBicGP1Kco7vnqKZJkQ,10,Music,"Rap, Music, موسيقى, راب, كلاش",5,https://i.ytimg.com/vi/r9dlhJbsYVk/hqdefault.jpg,ar,ar,False,310,PT5M10S,hd,True,True,False,False,863665,68456,13351
RoKkKiAqR00,DE,2026-01-04 02:43:55.402280+00:00,2026-01-03 13:00:21+00:00,AVENGERS: DOOMSDAY (2026) | Black Panther Trailer | Marvel Comics | Concept,AVENGERS: DOOMSDAY (2026) | Black Panther Trailer | Marvel Comics | Concept,TeaserCon,UCdIGJ48YH98rTt37mx-UsNQ,1,Film & Animation,"avengers doomsday trailer, avengers doomsday official trailer, avengers doomsday, avengers doomsday movie, avengers 2026, robert downey jr doctor doom, doctor doom mcu, marvel cinematic universe, mcu phase 5, avengers doomsday cast, avengers doctor doom, doctor doom movie, robert downey jr mcu, marvel studios, avengers doomsday marvel trailer, avengers doomsday teaser, marvel, comics, marvel phase 6, doomsday trailer, dr doom trailer, avengers doomsday trailer official",22,https://i.ytimg.com/vi/RoKkKiAqR00/hqdefault.jpg,en,en,False,78,PT1M18S,hd,False,True,False,False,116665,1583,43
_JnvEiJ6gIw,DE,2026-01-04 02:43:55.402288+00:00,2026-01-03 15:17:25+00:00,ALLE ACHIEVEMENTS IN MINECRAFT SKYBLOCK (XXL PROJEKT),ALLE ACHIEVEMENTS IN MINECRAFT SKYBLOCK (XXL PROJEKT),BastiGHG,UCgZpwegd4AdDlZNrIamIgRw,20,Gaming,"minecraft, mc, challenge, bastighg, ghg, deutsch, basti ghg, basti, item, fiverr bastighg, force, fiverr, battle, randomizer, tage, alle, finden, twitch, folge, mods, alles, fiver, neu, welt, bastighg fiverr, block, xxl, spielt, team, neues, craft attack, der, nicht, ich, tot, super, 1v1, fail, neuer, items, 100%, bonus, ohne, ende, server, finale, bastighg challenge, seltene, op, hardcore, bastighg pvp, 24 stunden, immer, tod, modpack, smp, achievements, skyblock, insel, projekt, start, one block, bau, base, nur, comeback, ultra, neue, jedes",69,https://i.ytimg.com/vi/_JnvEiJ6gIw/hqdefault.jpg,de,de,False,2866,PT47M46S,hd,False,True,False,False,230034,16678,457
5q9EjSUovc4,DE,2026-01-04 02:43:55.402297+00:00,2026-01-02 05:00:07+00:00,“Internet Girl” Visualizer | KATSEYE,“Internet Girl” Visualizer | KATSEYE,KATSEYE,UCA61H4fWOMHikLcUFKyQUog,10,Music,,0,https://i.ytimg.com/vi/5q9EjSUovc4/hqdefault.jpg,en,en,False,166,PT2M46S,hd,False,True,False,False,2750961,238434,35268
