video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
_aSAyNUmUUc,GH,2026-01-03 02:25:42.818717+00:00,2025-12-26 10:00:58+00:00,Strongman x Criss Waddle - I Am Strongman [Audio Slide],Strongman x Criss Waddle - I Am Strongman [Audio Slide],Strongman Burner,UCi9Q7BqojVxhBwKieP1pZww,10,Music,,0,https://i.ytimg.com/vi/_aSAyNUmUUc/hqdefault.jpg,en,en-GB,False,166,PT2M46S,hd,False,False,,,78207,4403,503
wHuWmjXsReU,GH,2026-01-03 02:25:42.818755+00:00,2026-01-01 17:00:08+00:00,Marvel Television’s Wonder Man | Official Trailer,Marvel Television’s Wonder Man | Official Trailer,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/wHuWmjXsReU/hqdefault.jpg,en,en,False,130,PT2M10S,hd,True,True,,,5946565,121756,5256
mXLDe3jpO_w,GH,2026-01-03 02:25:42.818766+00:00,2025-12-29 21:06:19+00:00,Zambia v Morocco | Match in 3 | CAF Africa Cup of Nations Morocco 2025,Zambia v Morocco | Match in 3 | CAF Africa Cup of Nations Morocco 2025,SuperSport,UCZH6G3Z5XINU6r92QN1l5Lw,17,Sports,"Morocco, Zambia, Zambia vs. Morocco",3,https://i.ytimg.com/vi/mXLDe3jpO_w/hqdefault.jpg,en,en,False,195,PT3M15S,hd,False,True,,,275573,2891,276
eoVzz2X0Xk4,GH,2026-01-03 02:25:42.818775+00:00,2025-12-29 21:27:03+00:00,King Paluta - Ewor Me ( Audio Slide ) ft. Kwabena Kwabena,King Paluta - Ewor Me ( Audio Slide ) ft. Kwabena Kwabena,King Paluta,UCP2a-JAUTtTNfMY3KRBlKeQ,10,Music,"King Paluta, King Paluta Yahitte, Yahitte Remix King Paluta, Ghana Music, Music, Videos, Music Videos, Afrobeats, Afropop, Ghana, Songs, AFRICA, New Music, Upon my sins, Afro sounds, Album, King Paluta Album, Give Time Some Time, new song, afro pop, african music, accra",22,https://i.ytimg.com/vi/eoVzz2X0Xk4/hqdefault.jpg,en,und,False,221,PT3M41S,hd,False,True,,,26031,747,90
dxpOyudIXuY,GH,2026-01-03 02:25:42.818783+00:00,2025-12-26 12:23:31+00:00,"FAST & FURIOUS 11 (2026) - First Trailer | Vin Diesel, Cristiano Ronaldo","FAST & FURIOUS 11 (2026) - First Trailer | Vin Diesel, Cristiano Ronaldo",US Studio,UCehUxf1EphIIDyHmyK6rOGQ,24,Entertainment,,0,https://i.ytimg.com/vi/dxpOyudIXuY/hqdefault.jpg,en,en,False,96,PT1M36S,hd,False,True,,,637531,6572,127
Crb5gudOABI,GH,2026-01-03 02:25:42.818791+00:00,2026-01-02 00:29:17+00:00,STEAL A BRAINROT GIVEAWAY LIVE | STEAL A BRAINROT FREE SECRETS + FREE BRAINROT GODS,STEAL A BRAINROT GIVEAWAY LIVE | STEAL A BRAINROT FREE SECRETS + FREE BRAINROT GODS,Joxy,UC3DlDcaefUYr-1skxaiLxVw,20,Gaming,"steal a brainrot giveaway, steal a brainrot giveaway live, steal a brainrot secret giveaway, steal a brainrot live giveaway, steal a brainrot brainrot god giveaway, steal a brainrot stream, steal a brainrot live, steal a brainrot 24/7 stream, steal a brainrot, steal a brainrot god, w steal a brainrot, steal a brainrot game, steal a brainrot gifting, steal a brainrot mod, steal a brainrot glitch, steal a brainrot 24/7, roblox steal a brainrot, steal a brainrot roblox",18,https://i.ytimg.com/vi/Crb5gudOABI/hqdefault.jpg,en,en,False,30,PT30S,hd,False,True,,,688585,6233,48
kTsBn5D8DJA,GH,2026-01-03 02:25:42.819009+00:00,2025-12-27 07:37:00+00:00,Stonebwoy - BHIMFest 2025 - Part 1 [Live from Accra Sports Stadium] (The Torcher - Reggae Session),Stonebwoy - BHIMFest 2025 - Part 1 [Live from Accra Sports Stadium] (The Torcher - Reggae Session),Stonebwoy,UCyY3qjWb8vgKyUov8iJwXyg,24,Entertainment,"stonebwoy, ghana, anlogajunction, afrobeat, dancehall, music, worldwide",7,https://i.ytimg.com/vi/kTsBn5D8DJA/hqdefault.jpg,en-GB,en-GB,False,3713,PT1H1M53S,hd,False,True,,,49456,3025,635
AfQ13jsLDms,GH,2026-01-03 02:25:42.819019+00:00,2025-12-30 14:00:05+00:00,Stranger Things 5 | Finale Trailer | Netflix,Stranger Things 5 | Finale Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/AfQ13jsLDms/hqdefault.jpg,en,en-US,False,97,PT1M37S,hd,True,True,,,13612853,309800,24738
15FqT2MGLbc,GH,2026-01-03 02:25:42.819027+00:00,2026-01-01 06:45:12+00:00,NEW MESSI 110 PACK OPENING + GAMEPLAY 🔥 THE HIGHEST RATED PLAYER IN EFOOTBALL 💀,NEW MESSI 110 PACK OPENING + GAMEPLAY 🔥 THE HIGHEST RATED PLAYER IN EFOOTBALL 💀,9AL Games,UCvzTJH6G9bH5nCQ1Hfb8nGg,20,Gaming,"messi 110 efootball, messi 110 efootball game, efootball 110 messi, 110 messi efootball, efootball 2026 messi 110, ankara messi 110 efootball 26, messi big time 110 efootball, efootball 110 ankara messi, ankara messi 110 efootball 26 mobile, efootball 2026 mobile 110 messi, review messi 110 big time efootball, how to get 110 rated messi efootball, 110 rated messi trick in efootball 2025, pack open ankara messi 110 efootball 2026 mobile",14,https://i.ytimg.com/vi/15FqT2MGLbc/hqdefault.jpg,en,en,False,1326,PT22M6S,hd,False,True,,,369755,26098,2147
Nrw7X-dfUOw,GH,2026-01-03 02:25:42.819035+00:00,2026-01-02 15:00:07+00:00,JEHOVAH | NATHANIEL BASSEY #nathanielbassey #Thegloryofhis presence #hallelujahchallenge ,JEHOVAH | NATHANIEL BASSEY #nathanielbassey #Thegloryofhis presence #hallelujahchallenge ,Nathaniel Bassey Main,UCRe2Ir9wtPk_YQjElam7n2w,10,Music,,0,https://i.ytimg.com/vi/Nrw7X-dfUOw/hqdefault.jpg,en,en-GB,False,378,PT6M18S,hd,False,False,,,92262,13023,1472
