video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
63tdWuk-zEM,HR,2025-12-14 02:35:14.310110+00:00,2025-12-02 16:01:34+00:00,Tea Tairovic - Severna latina (Official Video | Album ASKA II) 2025,Tea Tairovic - Severna latina (Official Video | Album ASKA II) 2025,Tea Tairovic,UCYo2cFsn4NyVH3BF5PfzDkw,10,Music,"bliznakinja, hajde, igracica, intervju, novo, otkad tebe znam, polako, song, svetica, tairovic, tea, tea tairovic, video",13,https://i.ytimg.com/vi/63tdWuk-zEM/hqdefault.jpg,sr,sr,False,136,PT2M16S,hd,False,True,,,2717880,14817,519
YqdAEdkHrwo,HR,2025-12-14 02:35:14.310149+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,False,True,,,11852355,351695,19303
qIVCXB-R8NA,HR,2025-12-14 02:35:14.310161+00:00,2025-12-12 19:00:57+00:00,NAŠAO SAM TAJNU BAZU VLASNIKA STEAL A BRAINROT!,NAŠAO SAM TAJNU BAZU VLASNIKA STEAL A BRAINROT!,Dex Rock,UC9-OsEfAts7_SaTRQOBRgjw,24,Entertainment,DexRock,1,https://i.ytimg.com/vi/qIVCXB-R8NA/hqdefault.jpg,sr,sr,False,753,PT12M33S,hd,False,True,,,137117,10728,196
vR77C_H3tpI,HR,2025-12-14 02:35:14.310170+00:00,2025-12-09 11:00:06+00:00,Goran Bare - Moja jedina (Official video),Goran Bare - Moja jedina (Official video),Goran Bare & Majke CroRec Official,UCfX0sGbZjBhwEW1aQ38eXVg,22,People & Blogs,"GORAN, BARE, MAJKE, TEŠKE, BOJE, ROCK, OSVIJESTI, ME, MORTGAGE, LOANS, HRVATSKI, KROATISCHE, MUSIK, MUSIC, GLAZBA, osvijesti me, majke, odvedi me, nuspojave, ljubav krvari, dobri anđeo je pao te noći, i dok pleše sama s kišom, to nije igra, zažto, mene ne zanima, vrijeme je da se krene, mršavi pas, način poseban, zato te volim, tamo preko rijeke, daj mi, a ti još plačeš, baretov blues, novo, new, rijeka, moja jedina, nova pjesma bareta, jedina, novi singl",40,https://i.ytimg.com/vi/vR77C_H3tpI/hqdefault.jpg,hr,hr,False,226,PT3M46S,hd,False,True,,,108432,4312,446
Fv0leN8TmR8,HR,2025-12-14 02:35:14.310180+00:00,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,UCQJWtTnAHhEG5w4uN0udnUQ,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, chace crawford, jared padalecki",27,https://i.ytimg.com/vi/Fv0leN8TmR8/hqdefault.jpg,en,en,False,121,PT2M1S,hd,True,True,,,8314888,331379,17478
oYhJFW2hwQI,HR,2025-12-14 02:35:14.310187+00:00,2025-12-10 03:57:22+00:00,"DUGA CE BITI NOC, IGRAMO SVEEEEE","DUGA CE BITI NOC, IGRAMO SVEEEEE",Nugato,UCT1xv_rVS0bvk8ZSz7AKqDw,20,Gaming,"Nugato, baba, Balkan, GTA V, CSGO",5,https://i.ytimg.com/vi/oYhJFW2hwQI/hqdefault.jpg,hr,en,False,36144,PT10H2M24S,hd,False,True,,,219605,9688,37
4GwpH0ZK6QQ,HR,2025-12-14 02:35:14.310196+00:00,2025-12-07 13:00:14+00:00,RELJA X MAYA BEROVIC - HABIBI (OFFICIAL VIDEO),RELJA X MAYA BEROVIC - HABIBI (OFFICIAL VIDEO),MADE IN BLKN,UCaRs9hr88Sqmt1SBK7JYMVw,10,Music,"relja, relja popovic, idjvideos, made in balkan, made in blkn, nova pesma, takvi kao ja, nikolija, tuga iz porsea, meduza, mi amor, princeza na belom, devito, rasta, genge, offline, o bivsima, high life",18,https://i.ytimg.com/vi/4GwpH0ZK6QQ/hqdefault.jpg,en,sr,False,176,PT2M56S,hd,False,True,,,956903,12675,427
VI6XO8EijT4,HR,2025-12-14 02:35:14.310203+00:00,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,UCn_FAXem2-e3HQvmK-mOH4g,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",19,https://i.ytimg.com/vi/VI6XO8EijT4/hqdefault.jpg,en,en,False,58,PT58S,hd,True,True,,,12602770,629394,34676
SIVAgGdVrXY,HR,2025-12-14 02:35:14.310211+00:00,2025-12-12 19:00:06+00:00,MOMCHADIJA IGRA GEOGUESSR,MOMCHADIJA IGRA GEOGUESSR,Momchadija,UC6TF5SR1h1Vc4V0LOAtuW2w,22,People & Blogs,,0,https://i.ytimg.com/vi/SIVAgGdVrXY/hqdefault.jpg,sr,sr,False,1872,PT31M12S,hd,False,True,,,156655,7457,367
YURKt8pu5K0,HR,2025-12-14 02:35:14.310218+00:00,2025-12-09 12:17:06+00:00,Jovana Pajic - LEPO MI STOJI (Official Video),Jovana Pajic - LEPO MI STOJI (Official Video),Jovana Pajic,UCB0JAvBxk4KxM5anJHN9-fQ,10,Music,"jovana, pajic, novo, novi video, spot pesma, new video, jovana pajic ludilo moje, ludilo moje 2024 pajic, new single, ludilo moje 2024 jovana, ludilo jovana pajic, new audio, prezime se brise, jovana prezime, prezime jovana pajic, prezime se brise 2024, prezime jovana 2024, pajic prezime se brise, jovana nova pesma, prezime 2024, prezime se brise official video, lepo mi stoji, lepo mi stoji 2025, jovana lepo mi stoji, lepo mi stoji 2025 pesma, lepo mi stoji spot",26,https://i.ytimg.com/vi/YURKt8pu5K0/hqdefault.jpg,sr,sr,False,225,PT3M45S,hd,False,True,,,743588,9537,502
IaEtA56pd_w,HR,2025-12-14 02:35:14.310226+00:00,2025-12-05 20:48:18+00:00,Iron Lung: Final Trailer,Iron Lung: Final Trailer,Markiplier,UC7_YxT-KID8kRbqZo7MyscQ,20,Gaming,"markiplier, iron lung, iron lung movie, official trailer, movie trailer, iron lung trailer 3, final trailer, iron lung release date, iron lung markiplier, Caroline Kaplan, troy baker",11,https://i.ytimg.com/vi/IaEtA56pd_w/hqdefault.jpg,en,en,False,105,PT1M45S,hd,False,False,,,4524875,515552,21909
_mtBfiBD6dY,HR,2025-12-14 02:35:14.310234+00:00,2025-12-13 10:00:59+00:00,OVAJ AUTO VOZI SAM ( GTA 5 Zezancija ),OVAJ AUTO VOZI SAM ( GTA 5 Zezancija ),BloodMaster,UCkzsValVHpv7wKnULt5q66w,20,Gaming,,0,https://i.ytimg.com/vi/_mtBfiBD6dY/hqdefault.jpg,hr,hr,False,870,PT14M30S,hd,False,True,,,51179,2688,250
