video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
QSNGBJU95HY,ID,2025-12-10 05:38:19.917076+00:00,2025-12-07 22:00:25+00:00,Kumpulan Lagu Hits Spotify & TikTok Viral 2025 | Playlist Lagu Indonesia Terbaik,Kumpulan Lagu Hits Spotify & TikTok Viral 2025 | Playlist Lagu Indonesia Terbaik,Lagu Terbaru,UCBUYQs0qyIqNX0PvtTOQORQ,10,Music,"lagu indonesia terpopuler 2025, kumpulan lagu hits spotify, lagu tiktok viral 2025, playlist lagu indonesia terbaik, lagu terbaru 2025, lagu viral tiktok, musik indo viral, playlist indonesia 2025, lagu pop indonesia, lagu trending tiktok, musik populer indonesia, lagu chill indonesia, viral hits 2025, lagu indo populer, musik viral tiktok, lagu populer 2025, lagu hits indonesia, hot hits spotify, playlist viral 2025, lagu santai indonesia, lagu kekinian 2025",21,https://i.ytimg.com/vi/QSNGBJU95HY/hqdefault.jpg,id,en,False,6368,PT1H46M8S,hd,False,True,,,84708,183,7
4X2Dt9h3P9A,ID,2025-12-10 05:38:19.917113+00:00,2025-12-09 05:32:46+00:00,"TERBELENGGU RINDU TRAILER: BUKAN BIRU TARGET MARCEL! AMIRA DICULIK - Glenca Chysara, Lucky Perdana","TERBELENGGU RINDU TRAILER: BUKAN BIRU TARGET MARCEL! AMIRA DICULIK - Glenca Chysara, Lucky Perdana",MNC Pictures,UC0PDovAfG07_dcQvlVtblOg,1,Film & Animation,"Terbelenggu Rindu, Glenca Chysara, Lucky Perdana, Ben Joshua, Kau Ditakdirkan Untukku, Ochi Rosdiana, Arifin Putra, Indra Brotolaras, MNC Pictures, Sinetron, Sinetron RCTI, Layar Drama RCTI, Dusta di Balik Cinta, Eza Gionino, Cinta Sepenuh Jiwa, Cut Syifa, Ibrahim Risyad, Kenny Austin, Amanda Manopo, Mencintai Ipar Sendiri, Marcel Chandrawinata, Laura Theux, Andy Annisa",23,https://i.ytimg.com/vi/4X2Dt9h3P9A/hqdefault.jpg,id,id,False,25,PT25S,hd,False,True,,,36763,276,118
oh8f1duNuEI,ID,2025-12-10 05:38:19.917125+00:00,2025-12-09 23:01:14+00:00,Yuta Mio Pawai Bus SANRIO KUROMI MELODY CINNAMONROLL Di Kota | Baby Celine Ikut Pawai Keliling🥳🌈,Yuta Mio Pawai Bus SANRIO KUROMI MELODY CINNAMONROLL Di Kota | Baby Celine Ikut Pawai Keliling🥳🌈,Dunia Budi,UChirEQ8Q5iGOMEW3TPOo5_Q,20,Gaming,,0,https://i.ytimg.com/vi/oh8f1duNuEI/hqdefault.jpg,id,id,False,1416,PT23M36S,hd,False,True,,,73633,946,22
JS690e2GZys,ID,2025-12-10 05:38:19.917134+00:00,2025-12-08 09:00:06+00:00,BRODIN Feat. YUNI YUNEL - NGIDAM JEMBLEM (Official Music Live),BRODIN Feat. YUNI YUNEL - NGIDAM JEMBLEM (Official Music Live),MAESTRO MUSIC,UCaP2MecqSqK3imNgkbe-mcw,10,Music,"dangdut, new release, Live Music, dangdut jawa, lagu jawa, koplo jawa, dangdut dj, Viral tiktok, ajeng febria, dangdut viral, koplo masakini, maestro music, official live music, live show, star production, jandut jawa timur, brodin, nirwana, lagu viral, ngidam pentol, duet ngidam jemblem, yuni yunel feat. brodin ngidam jemblem, yuni yunel feat. brodin, nirwana ngidam jemblem, ngidam jemblem yunel, brodin ngidam jemblem",26,https://i.ytimg.com/vi/JS690e2GZys/hqdefault.jpg,id,jv,False,494,PT8M14S,hd,True,True,,,36177,339,37
yGkPiQmpOJk,ID,2025-12-10 05:38:19.917142+00:00,2025-12-09 11:26:24+00:00,FULL TRAILER CINTA SEDALAM RINDU  EPISODE 155 SELASA 9 DESEMBER || Terbongkar He Kyo Adalah Aluna,FULL TRAILER CINTA SEDALAM RINDU  EPISODE 155 SELASA 9 DESEMBER || Terbongkar He Kyo Adalah Aluna,SHOEZY STORY ,UCIQ5Ls176FN1ovliPQMKNnA,24,Entertainment,"SCTV, Sinemart, sinetron SCTV, cinta sedalam rindu, trailer cinta sedalam rindu, ulasan cinta sedalam rindu, sinopsis cinta sedalam rindu",7,https://i.ytimg.com/vi/yGkPiQmpOJk/hqdefault.jpg,id,id,False,447,PT7M27S,hd,False,True,,,15319,122,5
JZybPjARJYc,ID,2025-12-10 05:38:19.917150+00:00,2025-12-09 00:19:34+00:00,Yuta Mio panik CCTV menangkap HANTU TENTARA  menyerang mereka 😱|sakura school simulator ,Yuta Mio panik CCTV menangkap HANTU TENTARA  menyerang mereka 😱|sakura school simulator ,Nzmaa,UCQtoYB7gpftk98WsshIG_fQ,22,People & Blogs,,0,https://i.ytimg.com/vi/JZybPjARJYc/hqdefault.jpg,id,id,False,732,PT12M12S,hd,False,True,,,314962,1000,12
8XrZXOpIk5w,ID,2025-12-10 05:38:19.917157+00:00,2025-12-09 12:00:15+00:00,DJ PET POLIPET PIPET ANGKA 7 - GARAM CINA SLOW VIRAL TIKTOK FULL SONG MAMAN FVNDY 2025,DJ PET POLIPET PIPET ANGKA 7 - GARAM CINA SLOW VIRAL TIKTOK FULL SONG MAMAN FVNDY 2025,Maman Fvndy Rmx,UCIaLsU0LfScJ4kxgXkV4HqA,10,Music,,0,https://i.ytimg.com/vi/8XrZXOpIk5w/hqdefault.jpg,id,id,False,252,PT4M12S,hd,False,False,,,24901,744,200
4PXJ7nY0xy4,ID,2025-12-10 05:38:19.917165+00:00,2025-12-10 00:20:11+00:00,TRAILER FULL WANITA ISTIMEWA RABU! YESS MIRSA REZA SEPAKAT PERJUANGKAN CINTA! HUHH MIRSA DILABRAK! ,TRAILER FULL WANITA ISTIMEWA RABU! YESS MIRSA REZA SEPAKAT PERJUANGKAN CINTA! HUHH MIRSA DILABRAK! ,Sinetronku,UCxlp6NDFhZOGP6T6ex7i7JA,1,Film & Animation,,0,https://i.ytimg.com/vi/4PXJ7nY0xy4/hqdefault.jpg,id,id,False,191,PT3M11S,hd,False,True,,,5675,55,27
H1Twsm8FMWw,ID,2025-12-10 05:38:19.917173+00:00,2025-12-09 06:15:01+00:00,MIPAN & ZUZUZU HARUS PILIH LUBANG HIDUP ATAU MATI DI MINECRAFT! JANGAN SALAH PILIH!,MIPAN & ZUZUZU HARUS PILIH LUBANG HIDUP ATAU MATI DI MINECRAFT! JANGAN SALAH PILIH!,AKUDAV,UCGGwuSrxDFQymf66OdM_-pw,20,Gaming,"minecraft, akudav, mipan zuzuzu",3,https://i.ytimg.com/vi/H1Twsm8FMWw/hqdefault.jpg,id,id,False,1470,PT24M30S,hd,False,True,,,180719,3779,286
MMWjDxJm0JY,ID,2025-12-10 05:38:19.917180+00:00,2025-12-08 10:17:00+00:00,Lagu Natal Terbaru 2025 || NATAL BIKIN RINDU || DHIVO DOLAT || Cipt O'KA RAKAT,Lagu Natal Terbaru 2025 || NATAL BIKIN RINDU || DHIVO DOLAT || Cipt O'KA RAKAT,O'ka Rakat,UCsYK0CFFgT8Py_GyFwjYWoQ,10,Music,"EDEL WERE VOICE, OSWALD PIGA, ANDY LADJA, BAJAWA ALL STAR, ATMANREC, VIAN ZUA, DEDI TURE, CEMOS WBO, SILUS WEDHO, STUDIO 5 OFFICIAL, FERY LADO",11,https://i.ytimg.com/vi/MMWjDxJm0JY/hqdefault.jpg,id,id,False,360,PT6M,hd,False,True,,,69092,1056,110
