video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
NstEW7M0XTw,IL,2025-12-13 02:20:27.592116+00:00,2025-12-10 08:00:38+00:00,פרידה - מאחלת לך (by Tamar Yahalomy & Yonatan kalimi),פרידה - מאחלת לך (by Tamar Yahalomy & Yonatan kalimi),פרידה - Frida,UChlMfAjwc2cJlJC9Xxay2Vw,10,Music,"פרידה, מאחלת לך",2,https://i.ytimg.com/vi/NstEW7M0XTw/hqdefault.jpg,iw,iw,False,186,PT3M6S,hd,False,False,,,150660,2035,240
YqdAEdkHrwo,IL,2025-12-13 02:20:27.592153+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,False,True,,,9087196,333837,18002
7yzDOoCUJjk,IL,2025-12-13 02:20:27.592164+00:00,2025-12-12 00:30:15+00:00,LIVE ROBLOX | 😡!! צייד הסקאמרים בא עצבני ביותר,LIVE ROBLOX | 😡!! צייד הסקאמרים בא עצבני ביותר,TheCohen,UCLd_HE2306q-Y9ZB805GyBA,20,Gaming,"דה כהן, TheCohen, דה, כהן, אוהד, מאסטר אוהד, רונאלד, דה קוהן, דה כהן לייב, לייב דה כהן, ליב, אגדי, אגדי אתה חופץ, בראול, סטארס, ברול סטרס, סטפן, סטפן לגר, הזמר סטפן לגר, זמר, שירים, עומר אדם, אייל גולן, סטטיק, דה כוהן, לייב, לייב כהן, אינדה גיים, אינדה, קווין רובין, אופק אדנק, אופק, רובלוקס, לייב דה כהן רובלוקס, רובולוקס, רובלוקוס, לייב גדול, לייב עם אופק אדנק, לייב ספיישל, לייב רובלוקס, צייד הסקאמרים ברובלוקס, צייד הסקאמרים בלייב רובלוקס, רבלוקס",43,https://i.ytimg.com/vi/7yzDOoCUJjk/hqdefault.jpg,iw,iw,False,22549,PT6H15M49S,hd,False,True,,,136077,7606,237
M07keGsputo,IL,2025-12-13 02:20:27.592175+00:00,2025-12-07 08:00:19+00:00,עומר אדם ואביב גפן - יש מישהו ששר לך,עומר אדם ואביב גפן - יש מישהו ששר לך,עומר אדם - הערוץ הרשמי,UCo4y7A6EF2tZ1Q2Oxx64HNQ,10,Music,"עדן בן זקן, עומר אדם, אייל גולן, שרית חדד, איתי לוי, gsi ci zei, פאר טסי, דודו אהרון, משה פרץ, חיים שלי, omer adam, gunr tso, אביב גפן, יש מישהו ששר לך",14,https://i.ytimg.com/vi/M07keGsputo/hqdefault.jpg,iw,iw,False,214,PT3M34S,hd,False,True,,,170034,2688,329
Fv0leN8TmR8,IL,2025-12-13 02:20:27.592183+00:00,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,UCQJWtTnAHhEG5w4uN0udnUQ,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, chace crawford, jared padalecki",27,https://i.ytimg.com/vi/Fv0leN8TmR8/hqdefault.jpg,en,en,False,121,PT2M1S,hd,True,True,,,8164291,328582,17354
MeSao5bWAf8,IL,2025-12-13 02:20:27.592191+00:00,2025-12-12 10:00:42+00:00,הפכתי לרופא בסטיל הבריינרוט!,הפכתי לרופא בסטיל הבריינרוט!,ניקו,UC-dl8Au4Gmmv8P7SzH991ww,20,Gaming,"רובלוקס, roblox, ניקו, nico, מצחיק",5,https://i.ytimg.com/vi/MeSao5bWAf8/hqdefault.jpg,iw,iw,False,563,PT9M23S,hd,False,True,,,29964,772,52
V-oqQK73x64,IL,2025-12-13 02:20:27.592200+00:00,2025-11-30 08:01:37+00:00,ששון איפרם שאולוב  -  את לא בראש שלי (Prod. by Ariel Tuchman),ששון איפרם שאולוב  -  את לא בראש שלי (Prod. by Ariel Tuchman),ששון איפרם שאולוב,UCehDC9d0itf_4Ylpknlh8iA,10,Music,,0,https://i.ytimg.com/vi/V-oqQK73x64/hqdefault.jpg,iw,iw,False,167,PT2M47S,hd,False,False,,,306423,2778,254
VI6XO8EijT4,IL,2025-12-13 02:20:27.592208+00:00,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,UCn_FAXem2-e3HQvmK-mOH4g,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",19,https://i.ytimg.com/vi/VI6XO8EijT4/hqdefault.jpg,en,en,False,58,PT58S,hd,True,True,,,12280590,623898,34563
RkDPjDVVFBs,IL,2025-12-13 02:20:27.592216+00:00,2025-12-09 13:01:02+00:00,התחזתי לילד קטן ובדקתי כמה סקאמרים יש בארץ(רוקנו לי הכל!),התחזתי לילד קטן ובדקתי כמה סקאמרים יש בארץ(רוקנו לי הכל!),Elbazone,UCllnTXma-p9c-ckaF4FXOng,20,Gaming,,0,https://i.ytimg.com/vi/RkDPjDVVFBs/hqdefault.jpg,iw,iw,False,1100,PT18M20S,hd,False,True,,,68002,2536,146
hm0AUNOWTBI,IL,2025-12-13 02:20:27.592223+00:00,2025-12-09 10:00:10+00:00,אייל גולן - מדע בדיוני (אקוסטי),אייל גולן - מדע בדיוני (אקוסטי),EyalGolanOfficial,UCrI0Slej0fiiwYPhR1EmFBw,10,Music,"באתי אלייך, מלך העולם, אח יקר, דבש בשפתיים, רחוק מכאן, רוקדת בלילות, אתה המלך, הופה פה, חזק יותר, לאן הגענו, תמיד בשבילך, כמו צועני, כדי שאלך, רוקדת עם השיר, טוב לך איתו, אייל גולן קורא לך, אלבום, אייל גולן, Eyal Golan, שישי בצהריים, ים תיכוני, מוזיקה מזרחית, קטשך עםךשמ, thhk duki, Эяль Голан, מדע בדיוני, אקוסטי",27,https://i.ytimg.com/vi/hm0AUNOWTBI/hqdefault.jpg,iw,iw,False,155,PT2M35S,hd,False,True,,,69505,1387,145
Aj53c2Uxrtc,IL,2025-12-13 02:20:27.592231+00:00,2025-12-12 02:45:00+00:00,Deadpool is coming to Marvel Rivals on Jan 16 // Season 6: Night at the Museum Official Trailer,Deadpool is coming to Marvel Rivals on Jan 16 // Season 6: Night at the Museum Official Trailer,Marvel Rivals,UCWzmOSSiSPbVnVu3ZAyDx2w,20,Gaming,,0,https://i.ytimg.com/vi/Aj53c2Uxrtc/hqdefault.jpg,en,en,False,91,PT1M31S,hd,False,False,,,1420976,84941,5997
20h7ITZZ8Ss,IL,2025-12-13 02:20:27.592238+00:00,2025-12-10 12:00:12+00:00,מסי לא בחר בבילוקסיניו... (עצוב),מסי לא בחר בבילוקסיניו... (עצוב),BluxPlays,UCswRxzPrG06VTY1BwEI_0OA,20,Gaming,"אליאור בילוקס, ELIORBLUX, בילוקס פלייז, בילוקספלייז, אליאור, בילוקס, פיפא, פתיחת חבילות, כדורגל, משחקים, מצחיק, קריירה, פעם מלך תמיד מלך, ֿאולטימייט טים, כדורגל ישראלי, ולוגים, אתגרי אוכל, בילוקסיניו, מסי, חלאיילי, בילוקס FC, ליגה ישראלית, קריירה ליגה ישראלית",23,https://i.ytimg.com/vi/20h7ITZZ8Ss/hqdefault.jpg,iw,iw,False,1144,PT19M4S,hd,False,True,,,42862,2122,156
tDNZRRxeaSs,IL,2025-12-13 02:20:27.592246+00:00,2025-12-08 08:00:06+00:00,עידן עמדי - לא נשבר | Idan Amedi - Lo Nishbar,עידן עמדי - לא נשבר | Idan Amedi - Lo Nishbar,עידן עמדי Idan Amedi,UC094tOrK1m2fdPbYP8-r3Og,10,Music,"עידן עמדי, ghsi gnsh, פאודה, עידן רייכל, יובל דיין, נתן גושן, עומר אדם, עידן חביב, קובי אפללו, עילי בוטנר, שלמה ארצי, ישי ריבו, אייל גולן, לירן דנינו, idan amedi, מוזיקה ישראלית, מוסיקה ישראלית",17,https://i.ytimg.com/vi/tDNZRRxeaSs/hqdefault.jpg,iw,iw,False,196,PT3M16S,hd,False,True,,,63688,3206,212
MkJYSkaygi4,IL,2025-12-13 02:20:27.592253+00:00,2025-12-10 14:00:41+00:00,The Drama | Official Teaser HD | A24,The Drama | Official Teaser HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,1,Film & Animation,"a24, a24 films, a24 trailers, independent films, trailer, HD, official, movie, film, a24 movies, oscar winner, academy award winner",12,https://i.ytimg.com/vi/MkJYSkaygi4/hqdefault.jpg,en,en,False,88,PT1M28S,hd,True,True,,,2466477,37265,1440
d-BDeU3R5ic,IL,2025-12-13 02:20:27.592260+00:00,2025-12-12 04:32:18+00:00,THE GAME AWARDS 2025: Official 4K60FPS Livestream,THE GAME AWARDS 2025: Official 4K60FPS Livestream,thegameawards,UCqDS7KWjAPKv-7ZSlro9OiQ,20,Gaming,"game awards, the game awards, gameplay, world premiere, video game awards, xbox, playstation, nintendo, summer game fest, sgf, tga, geoff keighley, game of the year, gaming awards",14,https://i.ytimg.com/vi/d-BDeU3R5ic/hqdefault.jpg,en,en,False,12953,PT3H35M53S,hd,True,True,,,9893500,284602,1930
