video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
lOHVMmZ6n3o,IN,2026-01-04 02:44:00.349207+00:00,2026-01-02 14:00:06+00:00,"BORDER 2: Ghar Kab Aaoge | Sunny Deol | Anu,Mithoon, Sonu, Roop, Arijit, Vishal, Diljit, Javed,Manoj","BORDER 2: Ghar Kab Aaoge | Sunny Deol | Anu,Mithoon, Sonu, Roop, Arijit, Vishal, Diljit, Javed,Manoj",T-Series,UCq-Fj5jknLsUf-MWSy4_brA,10,Music,"tseries, tseries songs, ghar kab aaoge border 2, sandese aate hai song, ghar kab aaoge border 2 song, border 2 song, ghar kab aaoge arijit singh, ghar kab aaoge full song, sandeshe aate hain song, border 2 sunny deol song, ghar kab aaoge sonu nigam, sandese aate hain full song, border 2 movie song, ghar kab aaoge song full, vishal mishra ghar kab aaoge, arijit singh ghar kab aaoge, border 2 songs, Sandeshe aate hai, Sandese aate h old song, Deshbhakti song, sandeshe aate hain",21,https://i.ytimg.com/vi/lOHVMmZ6n3o/hqdefault.jpg,en,hi,False,191,PT3M11S,hd,False,True,False,False,17065397,721514,37112
fJaAYcERf3Y,IN,2026-01-04 02:44:00.349243+00:00,2026-01-03 13:15:05+00:00,Jana Nayagan - Official Trailer | Thalapathy Vijay | Pooja Hegde | H Vinoth | Anirudh | KVN,Jana Nayagan - Official Trailer | Thalapathy Vijay | Pooja Hegde | H Vinoth | Anirudh | KVN,KVN PRODUCTIONS,UC3DOgauBYLQQXdH1siGjfpw,1,Film & Animation,"KVN Production, KVN, Jana Nayagan, VIjay, thalapathy vijay, vijay birthday video, Jananayagan, Vijay movie, Vijay new movie, Jana Nayagan teaser, Jana Nayagan trailer, Jana Nayagan Update, Jana Nayagan Trailer, I am Coming, I am waiting, Jana Nayagan Official Trailer, Thalapathy Kacheri, Thalapathy Movie Trailer, Jana Nayagan Movie Trailer, Trending Trailer, Vijay last movie, Vijay Last movie trailer, One last dance, Pooja Hedge, Anirudh, Bobby Deol, Mamitha Baiju, TVK",28,https://i.ytimg.com/vi/fJaAYcERf3Y/hqdefault.jpg,en,ta,False,172,PT2M52S,hd,True,True,False,False,18277549,1048700,73684
GkNh54g7_d0,IN,2026-01-04 02:44:00.349256+00:00,2026-01-02 23:10:42+00:00,FIRST STREAM OF 2026 🥳 | JONATHAN IS BACK!! | BGMI!!,FIRST STREAM OF 2026 🥳 | JONATHAN IS BACK!! | BGMI!!,JONATHAN GAMING,UCNoiWmvkDUL0q-6ECxNFH0Q,20,Gaming,"jonathan, jonathan gaming, esports, BGMI, BattleGroundsMobileIndia, classics, randoms, customs, jonathan vs zgod, contolcode, jonathan gaming sensitivity, TAPATAP, HACKERORWHAT, jonathanhandcam, jonathantdm, TDMGAMEPLAY, best crate opening, huge crate opening, biggest crate opening ever, crate opening",20,https://i.ytimg.com/vi/GkNh54g7_d0/hqdefault.jpg,en,hi,False,26189,PT7H16M29S,hd,False,True,False,False,1821885,159054,638
KoGOONSG1_g,IN,2026-01-04 02:44:00.349266+00:00,2026-01-02 05:42:00+00:00,Ghar Kab Aaoge (From “BORDER 2”),Ghar Kab Aaoge (From “BORDER 2”),Anu Malik - Topic,UCPgPdd27BUuBdXf3-86qhEw,10,Music,"Anu Malik, Mithoon, Sonu Nigam, Arijit Singh, Roop Kumar Rathod, Vishal Mishra, Diljit Dosanjh, Javed Akhtar, Manoj Muntashir, Anurag Singh, Sunny Deol, Varun Dhawan, Ahan Shetty, Border 2, Ghar Kab Aaoge (From “BORDER 2”)",15,https://i.ytimg.com/vi/KoGOONSG1_g/hqdefault.jpg,en,hi,False,635,PT10M35S,hd,False,True,False,False,2109644,108384,308
tzNTBH3RS0g,IN,2026-01-04 02:44:00.349274+00:00,2026-01-03 14:36:23+00:00,Jana Nayagan | Trailer Reaction | Thalapathy Vijay | H Vinoth | Malayalam,Jana Nayagan | Trailer Reaction | Thalapathy Vijay | H Vinoth | Malayalam,LifeofShazzam,UCNhaliLwhGH9wX3pe9bFTbA,24,Entertainment,,0,https://i.ytimg.com/vi/tzNTBH3RS0g/hqdefault.jpg,en,ml,False,416,PT6M56S,hd,False,True,False,False,276203,22595,1211
3A7iNYwyG5s,IN,2026-01-04 02:44:00.349283+00:00,2026-01-03 08:39:54+00:00,I Found FATHER of ALL MOBS in Minecraft!,I Found FATHER of ALL MOBS in Minecraft!,Carry Depie,UClqifC6Nd7v-IfTqce4k62A,20,Gaming,"carry depie, minecraft",2,https://i.ytimg.com/vi/3A7iNYwyG5s/hqdefault.jpg,en,hi,False,986,PT16M26S,hd,False,True,False,False,798214,11480,690
raOAYDLgOAQ,IN,2026-01-04 02:44:00.349290+00:00,2026-01-02 01:31:01+00:00,#Video | #Khesari Lal Yadav | बुलबुल | #Shilpi Raj | Ft. #Neelam Giri | Bulbul | Bhojpuri Song 2026,#Video | #Khesari Lal Yadav | बुलबुल | #Shilpi Raj | Ft. #Neelam Giri | Bulbul | Bhojpuri Song 2026,Sur Music ,UCW1BEAegBZdCOq4M7JtDSQw,10,Music,"khesari lal yadav, shilpi raj, neelam giri, khesari lal yadav new song, khesari lal yadav bhojpuri song, khesari lal yadav shilpi raj, बुलबुल, neelam giri new video song, neelam giri bhojpuri video song, khesari lal yadav hits, khesari lal yadav hits movieara, khesari lal yadav garam kara, rangbaaz khesari lal yadav, aag lagaibu ka khesari lal yadav, aag lagaibu ka, bulbul, khesari lal yadav neelam giri, bhojpuri song 2026",18,https://i.ytimg.com/vi/raOAYDLgOAQ/hqdefault.jpg,en,hi,False,195,PT3M15S,hd,False,True,False,False,2098023,146957,26316
9QBppIBhCqM,IN,2026-01-04 02:44:00.349299+00:00,2026-01-02 11:44:26+00:00,JANA NAYAGAN -Official Trailer [ Tamil ] |Vijay Thalapathy|Bobby Deol | H.Vinoth | New movie Trailer,JANA NAYAGAN -Official Trailer [ Tamil ] |Vijay Thalapathy|Bobby Deol | H.Vinoth | New movie Trailer,"WHITE CHILLIES ENTERTAINMENT 


.",UCi3pt25kyNwfDRa31qeylhQ,24,Entertainment,,0,https://i.ytimg.com/vi/9QBppIBhCqM/hqdefault.jpg,en,ta,False,96,PT1M36S,hd,False,True,False,False,723983,22275,225
OjrYt0twb1s,IN,2026-01-04 02:44:00.349307+00:00,2026-01-03 21:52:42+00:00,KYA YE SEASON LEGEND HOGA? | ULTIMATE ROYALE OR WHAT | BGMI LIVE,KYA YE SEASON LEGEND HOGA? | ULTIMATE ROYALE OR WHAT | BGMI LIVE,LoLzZz Gaming,UCI1vyXBgX3bruwvChLMNxjQ,20,Gaming,"lolz, lolzz, lolzzz, lolz gaming, lolzz gaming, lolzzz gaming, bgmi, conqueror",8,https://i.ytimg.com/vi/OjrYt0twb1s/hqdefault.jpg,en-GB,hi,False,21651,PT6H51S,hd,False,True,False,False,495527,25236,16
nQrrVyVIYvw,IN,2026-01-04 02:44:00.349315+00:00,2026-01-02 10:39:46+00:00,"Vaammo Vaayyo | Bhartha Mahasayulaku Wignyapthi | Ravi Teja, Ashika R, Dimple H | Bheems Ceciroleo","Vaammo Vaayyo | Bhartha Mahasayulaku Wignyapthi | Ravi Teja, Ashika R, Dimple H | Bheems Ceciroleo",Saregama Telugu,UC68nKdrLbLL0Vj7ilVkLmmg,10,Music,"Vaammo Vaayyo song lyric, Vaammo Vaayyo lyrical, Bhartha Mahasayulaku Wignyapthi song lyrical video, Bhartha Mahasayulaku Wignyapthi songs, Ravi Teja Vaammo Vaayyo, Ravi Teja new song lyrical, Ravi Teja Telugu movie songs, Bheems Ceciroleo Vaammo Vaayyo, Bheems Ceciroleo Telugu songs, Vaammo Vaayyo Telugu song, Vaammo Vaayyo video lyricla, Bhartha Mahasayulaku Wignyapthi Ravi Teja, Telugu song lyrical, Telugu movie song lyrical, Latest Telugu song lyrical, Telugu music",16,https://i.ytimg.com/vi/nQrrVyVIYvw/hqdefault.jpg,en,te,False,182,PT3M2S,hd,False,True,False,False,3943257,34048,983
