video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
VRSGAbppytA,JO,2025-12-12 02:28:01.882417+00:00,2025-12-10 15:00:07+00:00,Akhras - Ehlef (Official Music Video) | الأخرس - إحلف,Akhras - Ehlef (Official Music Video) | الأخرس - إحلف,akhras - الاخرس,UCkPvRLtdMjRu5t22foUmQQA,10,Music,"احلف, ehlef, الأخرس احلف, Akhras Ehlef, بناديك, والي بيني بين قلبك شو بيكون, الي بيني وبين قلبك شو حيفيد, قلبي بين ايديك ضلك قريب, e7lef, a5ras e7lef, akhras banadik, akhras li beni w baynak, Harb, الاخرس, الاخرس حرب, akhras hareb, A5RASS, indie pop 2025, new akhras song 2025, a5rass, الأخرس اخر كاس حالات, لما تشوفوها, محمد الاخرس, من اليوم, أنا بريء, لحالي, استنى شوي, اخر خريف, اخر كاس, لساتني بجنبي, الاخرس بعد شو, Lesatni Janbi, وبعد شو, Jordan, الاردن, أغاني اردنية, Chabaka",37,https://i.ytimg.com/vi/VRSGAbppytA/hqdefault.jpg,ar,ar,False,238,PT3M58S,hd,False,True,,,203054,11113,810
YqdAEdkHrwo,JO,2025-12-12 02:28:01.882456+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, Batman, Wonder Woman, The Flash, Green Lantern, James Gunn, The Joker, super heroes, super hero, super villain, full episodes, new episodes, movie, watch online, watch free",19,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,False,True,,,4824046,264194,14519
zvM-KXwNPkw,JO,2025-12-12 02:28:01.882468+00:00,2025-12-11 14:14:44+00:00,فلم قراند : كركور يدخل في راس زعرور و يسرق الكثير من الفلوس ( دودو يضحك ) 🔥😂,فلم قراند : كركور يدخل في راس زعرور و يسرق الكثير من الفلوس ( دودو يضحك ) 🔥😂,Ahmad GTA Family - عائلة احمد قراند ,UCQkLgXGjPbIrrNtT8ZtHOmg,22,People & Blogs,"مصطفى GAME OVER, Mr GG, كرافتر - Crafter, XTREEM - اكستريم, اوكا - OKA, AboFlah, Mkamel GG, رانيا كيمنك Rania Gaming, BOZEX, هاردلك | hardlk, افلام, ماين كرافت, فلم ماين كرافت, غني وفقير, فايتر Fighter, ابو فله, فايتر, افلام ماين كرافت, الغني و الفقير, كوكب, M4X5, ماين, MineCraft Movie, Suhaib - صهيب, جلمود - GLMooD, تايمو Tymo, هاردلك HARDLK, Ahmad M4 - احمد ام فور, بطل, Ahmad Hero - احمد البطل, احمد هيرو, سمبوسة - Sambosa, جعطوط - JATOOT, خزان, طيران, P4GAM3R, Y9M5 \ يصمخ, قراند",38,https://i.ytimg.com/vi/zvM-KXwNPkw/hqdefault.jpg,ar,ar,False,1102,PT18M22S,hd,False,True,,,110658,1482,43
-LHB1oiq1lQ,JO,2025-12-12 02:28:01.882478+00:00,2025-12-10 16:00:08+00:00,Fouad Jned - Meen Yedri Bhali (Official Music Video) | فؤاد جنيد - مين يدري بحالي,Fouad Jned - Meen Yedri Bhali (Official Music Video) | فؤاد جنيد - مين يدري بحالي,Fouad Jned,UCV5sEqGmsCEb04jREeEc-aA,10,Music,"Meen Yedri Bhali, Fouad Jned, فؤاد جنيد, مين يدري بحالي, fouad jned meen yedri bhali, fouad jned, meen yedri bhali, meen yedri, min yedri bhali?, fouad meen yedri bhali, فؤاد جنيد مين يدري بحالي, مين يدري, فؤاد, حالي, بالله مين يدري بحالي, عيوني مانامت, يوم حسنا شافت, والله لو قالو لأ قالو لأ, ولا يوم عني غاب, Amjad Jomaa, علاش, 3lash, khatia, khatya, إلي بعدو, اني العشقتك, طيبة قلبي, مسيطرة بيسان اسماعيل, هيهات, bessan, bessan ismael, فؤاد جنيد وبيسان اسماعيل, khtaya, Chabaka",34,https://i.ytimg.com/vi/-LHB1oiq1lQ/hqdefault.jpg,ar,ar,False,190,PT3M10S,hd,False,True,,,974073,33599,5161
OnADc67mzis,JO,2025-12-12 02:28:01.882488+00:00,2025-12-11 12:00:57+00:00,An İstanbul Story | Official Trailer – Go Türkiye’s New İstanbul Series,An İstanbul Story | Official Trailer – Go Türkiye’s New İstanbul Series,Go Türkiye,UCtxMrki2fnCPG3GOX4kyINg,19,Travel & Events,"go turkey, visit turkey, discover turkey, safe tourism, safe tourism in turkey, İstanbul, istanbul story, an istanbul story, ozan akbaba, sinem üysal, new series, istanbul series, turkish series, series of turkish, ozan akbaba series, sinem üysal series, türkiye, destinations in turkey, hidden lover, istanbul travel, go türkiye, discover istanbul, istanbul travel guide, istanbul turkey, istanbul beyoğlu, istanbul travel tips, istanbul tours, istanbul vlog",28,https://i.ytimg.com/vi/OnADc67mzis/hqdefault.jpg,en-GB,en-GB,False,31,PT31S,hd,False,False,,,195980,6289,655
JHSePbCGDl0,JO,2025-12-12 02:28:01.882497+00:00,2025-12-11 15:15:06+00:00,Steal a brainrot | ! 😍 اخيراً حققت الحلم وشتريت دراقون,Steal a brainrot | ! 😍 اخيراً حققت الحلم وشتريت دراقون,AlaaFj Gaming,UC4h4MAcXI3A9_RnMN7e9nRg,20,Gaming,"روبلوكس, مقاطع روبلوكس مضحكة, roblox ألعاب مضحكة, ضحك في روبلوكس, ملك السرقة, سيكرت, ماب السرقة, ماب السرقة في روبلوكس, ماب السرقه سعود, ملك السرقه, فلم روبلوكس, افلام روبلوكس, فيلم روبلكس, روبلكس, قصص روبلوكس, روبكس مجانى, فلم روبلكس, شحن روبلكس, شراء روبلكس, روبلكس العاب, بطاقة روبلكس, بطاقات روبلكس, شحن بطاقة روبلكس, كيفية شحن روبلكس, تحديث جديد روبلكس, شحنت روبلوكس, شحن روبلكس بالتفصيل, العاب روبلوكس, فاكهة البركان, تقييم حسابات, شريت برينروتات من مواقع",31,https://i.ytimg.com/vi/JHSePbCGDl0/hqdefault.jpg,ar,ar,False,1289,PT21M29S,hd,False,True,,,87214,5705,524
sbFqTlzCxrA,JO,2025-12-12 02:28:01.882505+00:00,2025-12-08 13:59:14+00:00,ريمكس شعبي بدي أنا شو بدي ( كلو بيسأل شو بدك ) تريند التيك توك  Dystinct Yama Remix Sh3by ,ريمكس شعبي بدي أنا شو بدي ( كلو بيسأل شو بدك ) تريند التيك توك  Dystinct Yama Remix Sh3by ,Moamen Moaa - مؤمن مؤا,UCwszQas4qrZEMzrvllWQEHA,10,Music,,0,https://i.ytimg.com/vi/sbFqTlzCxrA/hqdefault.jpg,ar,ar,False,155,PT2M35S,sd,False,False,,,141477,711,19
XRRnP91SSrQ,JO,2025-12-12 02:28:01.882513+00:00,2025-12-05 16:00:21+00:00,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,UCXqV4yoyC_mmZye6VbKFPeQ,20,Gaming,,0,https://i.ytimg.com/vi/XRRnP91SSrQ/hqdefault.jpg,en,en,False,58,PT58S,hd,True,True,,,3627588,227667,16672
41hU9x0yu2I,JO,2025-12-12 02:28:01.882520+00:00,2025-12-11 11:00:07+00:00,فريدي في لعبة الجار النفسية ! - Hello Neighbor FREDBEAR,فريدي في لعبة الجار النفسية ! - Hello Neighbor FREDBEAR,شبكة العاب العرب | Arab Games Network,UCV2JkEBmtfSYGAIlprAhAyQ,20,Gaming,,0,https://i.ytimg.com/vi/41hU9x0yu2I/hqdefault.jpg,ar,ar,False,1272,PT21M12S,hd,False,True,,,216358,8972,689
PsLe9LPf3XI,JO,2025-12-12 02:28:01.882527+00:00,2025-12-07 14:39:02+00:00,BEE REMIX 2025 | ريمكس كتبت اسمك,BEE REMIX 2025 | ريمكس كتبت اسمك,Bee Remix,UCLolxOQIscBUk30xtMwDEyA,10,Music,"remix, mini mix, DJ, bee remix, vee remix, ريمكس, مني مكس, دي جي, ريمكسات عراقيه, ريمكسات خليجيه, ريمكس 2024, remix 2024, ريمكس خليجي, اغاني خليجيه, ريمكسات شاشه سوده, ريمكس كتبت اسمك, BEE REMIX, دموع تحسين, علي عرنوص, حمزه الآصيل, علي عرنوص نساني, دموع تحسين بعد بعد, اضم حبك, نبيل الاديب, خبر فززني, حمزة المحمداوي اعترف, أغاني عراقية, أغاني خليجية, Iraqi Songs, Khaleeji Songs, العراق, السعودية, الخليج, الأردن, اغاني عراقية حزينة, اغاني تريند, اغاني 2025, حالات وتساب",38,https://i.ytimg.com/vi/PsLe9LPf3XI/hqdefault.jpg,ar,ar,False,259,PT4M19S,hd,False,True,,,72939,1247,20
