video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
7zj30EX397s,KE,2025-12-13 02:20:29.095521+00:00,2025-12-04 09:55:51+00:00,WERU UYU BY SAMMY IRUNGU (*811*258# SKIZA),WERU UYU BY SAMMY IRUNGU (*811*258# SKIZA),SAMMY IRUNGU,UCikr3kOessKQkIMr2S3Pm4w,10,Music,"Sammy Irungu, Sammy Irungu Latest, Sammy Irungu Songs, Kikuyu Gospel Mix, Kikuyu Gospel, Kikuyu Gospel Songs, Sammy Irungu Mix, Sammy Irungu Music, Sammy Irungu Latest Song, Weru Uyu, Sammy Irungu Trending",11,https://i.ytimg.com/vi/7zj30EX397s/hqdefault.jpg,en-GB,ki,False,248,PT4M8S,hd,False,True,,,426973,9154,894
YqdAEdkHrwo,KE,2025-12-13 02:20:29.095558+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,False,True,,,9087196,333837,18002
Ntp522Cad-s,KE,2025-12-13 02:20:29.095569+00:00,2025-12-07 22:10:52+00:00,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,UCTv-XvfzLX3i4IGWAm4sbmA,17,Sports,"RC Celta, Real Madrid, Real Madrid vs. RC Celta, Madrid, Celta, Real Madrid Celta, Real Madrid vs Celta, LaLiga, jornada 15 laliga ea sports, laliga ea sports, highlights Real Madrid Celta, resumen Real Madrid Celta, goles Celta, Williot, Valverde, Mbappé, Santiago Bernabéu, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Celta vigo, Celta de Vigo",24,https://i.ytimg.com/vi/Ntp522Cad-s/hqdefault.jpg,es,es,False,195,PT3M15S,hd,False,True,,,4788556,67848,5765
Uzr7QLf18Zk,KE,2025-12-13 02:20:29.095580+00:00,2025-12-06 12:01:06+00:00,Toxic Lyrikali - Mfisadi (Feat. Dyana Cods) [Official Audio],Toxic Lyrikali - Mfisadi (Feat. Dyana Cods) [Official Audio],Toxic Lyrikali,UC7q5EQvi2fJTQvwZRi0QJnw,10,Music,,0,https://i.ytimg.com/vi/Uzr7QLf18Zk/hqdefault.jpg,en,sw,False,133,PT2M13S,hd,False,True,,,241154,12294,997
Fv0leN8TmR8,KE,2025-12-13 02:20:29.095588+00:00,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,UCQJWtTnAHhEG5w4uN0udnUQ,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, chace crawford, jared padalecki",27,https://i.ytimg.com/vi/Fv0leN8TmR8/hqdefault.jpg,en,en,False,121,PT2M1S,hd,True,True,,,8164291,328582,17354
DHbQk9GM1k4,KE,2025-12-13 02:20:29.095596+00:00,2025-12-09 21:46:21+00:00,INFECTED OCEAN...,INFECTED OCEAN...,Maizen,UCJHBJ7F-nAIlMGolm0Hu4vg,20,Gaming,"Minecraft, Maizen",2,https://i.ytimg.com/vi/DHbQk9GM1k4/hqdefault.jpg,en,en,False,1193,PT19M53S,hd,False,True,,,2208805,12447,899
XnJnBgNCON4,KE,2025-12-13 02:20:29.095604+00:00,2025-12-09 14:00:06+00:00,NG'ANG'A Wa KABARI..ICI KANITHA( MAYA Ma NYUMBA) Official Music Video# SKIZA 69813865 ,NG'ANG'A Wa KABARI..ICI KANITHA( MAYA Ma NYUMBA) Official Music Video# SKIZA 69813865 ,NGANGA WA KABARI OFFICIAL,UCMzoaHRJYjieTTiq94ZD_eA,24,Entertainment,,0,https://i.ytimg.com/vi/XnJnBgNCON4/hqdefault.jpg,en,sw,False,398,PT6M38S,hd,False,True,,,99735,3575,892
SI3CrHUAGqM,KE,2025-12-13 02:20:29.095612+00:00,2025-12-11 17:00:07+00:00,Beast Games Season 2 | Official Trailer,Beast Games Season 2 | Official Trailer,MrBeast 2,UC4-79UOlP48-QNGgCko5p2g,22,People & Blogs,,0,https://i.ytimg.com/vi/SI3CrHUAGqM/hqdefault.jpg,en,en,False,94,PT1M34S,hd,True,True,,,979854,57211,3035
hCmlC5YTUQk,KE,2025-12-13 02:20:29.095619+00:00,2025-12-10 10:01:14+00:00,الرجل العنكبوت انقاذ باتمان Spider-Man Rescue batman vs iron man vs venom funny Game GTA 5 superhero,الرجل العنكبوت انقاذ باتمان Spider-Man Rescue batman vs iron man vs venom funny Game GTA 5 superhero,RAIZER,UCRaZHgZDqy0pzKnZze1EcIA,20,Gaming,,0,https://i.ytimg.com/vi/hCmlC5YTUQk/hqdefault.jpg,ar,ar,False,1318,PT21M58S,hd,False,True,,,4183211,125766,1184
3xLOIfBp4wk,KE,2025-12-13 02:20:29.095627+00:00,2025-12-05 16:01:59+00:00,Virusi Mbaya - Have Mercy ft Scar Mkadinali  (Official Video),Virusi Mbaya - Have Mercy ft Scar Mkadinali  (Official Video),Virusi Mbaya,UCuOGKKBMa5eFIGfRZSC-qcg,10,Music,,0,https://i.ytimg.com/vi/3xLOIfBp4wk/hqdefault.jpg,en,sw,False,213,PT3M33S,hd,False,True,,,234975,13272,1988
kQ3kwWX8fwg,KE,2025-12-13 02:20:29.095634+00:00,2025-12-08 15:01:33+00:00,PAA Born To Fly Season 4 | Episodes 7&8 Trailer,PAA Born To Fly Season 4 | Episodes 7&8 Trailer,SKY Girls KE,UCZF83-HDYyqiCuwoJCrnVUA,24,Entertainment,,0,https://i.ytimg.com/vi/kQ3kwWX8fwg/hqdefault.jpg,en,sw,False,31,PT31S,hd,False,False,,,188629,90,9
9PjL8AWqQVw,KE,2025-12-13 02:20:29.095640+00:00,2025-12-11 04:30:07+00:00,Escaping PRISON With Only A SPOON In Roblox..,Escaping PRISON With Only A SPOON In Roblox..,Foltyn,UCRkuUgtDAL4XSU5jB40J_wA,20,Gaming,"foltyn, foltyn roblox, family friendly, roblox, roblox foltyn, foltyn family, funny, no swearing, foltyn family roblox, roblox foltyn family, blade ball, roblox blade ball, foltyn blade ball, kid friendly, roblox dig to escape, roblox steal a brainrot, foltyn and caylus playing roblox, caylus and foltyn roblox, foltyn and caylus playing roblox steal a brainrot, foltyn roblox creator showdown",20,https://i.ytimg.com/vi/9PjL8AWqQVw/hqdefault.jpg,en,en-US,False,897,PT14M57S,hd,False,True,,,880383,15341,2070
