video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
nOIKmWe-KEc,LA,2025-12-15 02:32:59.849468+00:00,2025-12-12 11:00:07+00:00,SARAN  - กลัวความเสียใจ (feat. Pearpilincys) (Official Music Video),SARAN  - กลัวความเสียใจ (feat. Pearpilincys) (Official Music Video),SARAN,UCoSmqwN7LYbr-mO8ekglkag,10,Music,"โอม สรัล, saran, สรัล, สรัน, ใจพัง, promethazine, กลัวว่าจะเสียใจ, ถ้าหากวันนี้ฉันไม่ไหว, ที่ฉันได้เอาหัวใจไปฝากกับเธอไว้, pearpilincys",10,https://i.ytimg.com/vi/nOIKmWe-KEc/hqdefault.jpg,th,th,False,294,PT4M54S,hd,True,True,,,743334,34387,1616
2W7z4SB8Vy8,LA,2025-12-15 02:32:59.849506+00:00,2025-11-09 03:06:13+00:00,skibidi toilet: emergence | official trailer,skibidi toilet: emergence | official trailer,DaFuq!?Boom!,UCsSsgPaZ2GSmO6il8Cb5iGA,24,Entertainment,"skibidi toilet, skibidi toilet emergence, skibidi emergence, skibidi toilet new series, skibidi toilet 80, skibidi explained, skibidi lore, skibidi storyline, skibidi arc, skibidi war, cameraman, tv woman, speakerman, secret agent, watchman of doom, astro toilet, astros vs alliance, alliance vs astros, Dafuqboom, unreal engine animation, skibidi universe, skibidee toilet, Skebedee, toilet skibidi, brainrot, emergence trailer, skibidi trailer, skibidi spoiler, steal a brainrot",29,https://i.ytimg.com/vi/2W7z4SB8Vy8/hqdefault.jpg,en,en,False,51,PT51S,hd,True,True,,,7063512,206118,42468
DWCl2dN6hpg,LA,2025-12-15 02:32:59.849518+00:00,2025-12-13 17:00:00+00:00,1 Pro vs 500 Hunters,1 Pro vs 500 Hunters,MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,20,Gaming,,0,https://i.ytimg.com/vi/DWCl2dN6hpg/hqdefault.jpg,en,en,False,1069,PT17M49S,hd,True,True,,,7904630,234529,7829
dwEyuxiqyOs,LA,2025-12-15 02:32:59.849527+00:00,2025-12-09 17:40:08+00:00,BADMIXY - GOOD BOY Ft.PoyFaii (Official Music Video),BADMIXY - GOOD BOY Ft.PoyFaii (Official Music Video),Badmixy,UCXMY2bWdXuIHQ6J918eh40A,22,People & Blogs,,0,https://i.ytimg.com/vi/dwEyuxiqyOs/hqdefault.jpg,en,th,False,202,PT3M22S,hd,False,True,,,1906471,70467,2418
ngD08XU88y0,LA,2025-12-15 02:32:59.849535+00:00,2025-12-14 02:15:08+00:00,"ใครบริหารชีวิตดีสุดชนะ เงินรางวัล 200,000 บาท | No Time to Relax","ใครบริหารชีวิตดีสุดชนะ เงินรางวัล 200,000 บาท | No Time to Relax",กาย หงิด,UC79u_tfhqjGIi1tgWsJEG7Q,20,Gaming,"กายหงิด, กิตงาย, ROV, AOV, EVOS.Guy, E-Sport, โอหงิด, อาร์งาย, โปรเพลเยอร์, นักกีฬา, อีสปอร์ต, นักกีฬาอีสปอร์ต, ตลก, ฮา, เกรียน, สนุก, หนังตลก, หัวเราะ",18,https://i.ytimg.com/vi/ngD08XU88y0/hqdefault.jpg,th,th,False,5677,PT1H34M37S,hd,False,True,,,596166,19836,655
YYT0I9I0xbg,LA,2025-12-15 02:32:59.849544+00:00,2025-12-11 12:59:59+00:00,ILLSLICK - Wonderful Tonight [Official video],ILLSLICK - Wonderful Tonight [Official video],Illslick thelegandary,UCPjJUEUwxI7GHMKiiEB-R7w,10,Music,,0,https://i.ytimg.com/vi/YYT0I9I0xbg/hqdefault.jpg,th,th,False,148,PT2M28S,hd,False,True,,,2776918,22513,1427
u_jzjzFRSi0,LA,2025-12-15 02:32:59.849552+00:00,2025-12-13 04:56:00+00:00,ลาก่อน..พี่ข่อย !!! EP4 อำลาครั้งสุดท้าย  | I Am Monkey VR,ลาก่อน..พี่ข่อย !!! EP4 อำลาครั้งสุดท้าย  | I Am Monkey VR,A JECT PRo,UCBqalI5VVdkpOv9WE38RuvA,20,Gaming,"พี่ข่อยvr, พี่ข่อย, บักข่อย, ajectpro, vrไทย, เกมvr, เกมvrไทย, เล่นvrไทย, เกมเเมวvr, I am cat, vr เเมว, เกมเเมว, I Am Cat VR, พี่ข่อยเกมเเมว, เกมแมว vr, ไอ้ข่อย, ไอ้ไข่, i am monkey, เกมลิงข่อย, เกมลิงvr",20,https://i.ytimg.com/vi/u_jzjzFRSi0/hqdefault.jpg,en-US,th,False,781,PT13M1S,hd,False,True,,,237094,2220,193
AeGzMMn-zI0,LA,2025-12-15 02:32:59.849560+00:00,2025-11-30 17:15:25+00:00,สายลมเจ็บปวด เวอร์ชั่นอะคูสติก,สายลมเจ็บปวด เวอร์ชั่นอะคูสติก,Wirada Sirin - Topic,UCT20LZE3-qIxtSmEqNwQ3iA,10,Music,"Wirada Sirin, Hmong Sad Song, สายลมเจ็บปวด เวอร์ชั่นอะคูสติก",3,https://i.ytimg.com/vi/AeGzMMn-zI0/hqdefault.jpg,th,th,False,272,PT4M32S,hd,False,True,,,647251,3315,129
Zz_Dnfh4OoU,LA,2025-12-15 02:32:59.849568+00:00,2025-12-14 04:00:41+00:00,ช่วยพวกเอลฟ์! คริสต์มาสมาแล้วในอัพเดทล่าสุด! | Roblox 99 Nights in the Forest,ช่วยพวกเอลฟ์! คริสต์มาสมาแล้วในอัพเดทล่าสุด! | Roblox 99 Nights in the Forest,NJChicky,UCX1Zi9BxBY0O-x0Aq_y3ZRg,20,Gaming,"แคสเกม, โรบอก, โรบอค, เกม, roblox, ชิกกี้เอ็นเจ, เอ็นเจชิกกี้, เอ็นเจ, ชิกกี้, NJChicky, ChickyNJ, เจ้าหมี",12,https://i.ytimg.com/vi/Zz_Dnfh4OoU/hqdefault.jpg,th,th,False,1528,PT25M28S,hd,False,False,,,213510,4580,1040
3RKsjHKvONc,LA,2025-12-15 02:32:59.849575+00:00,2025-12-03 06:26:53+00:00,"KRK - เธอทิ้งฉันไว้ Ft.N/A , HK [Official MV]","KRK - เธอทิ้งฉันไว้ Ft.N/A , HK [Official MV]",KRK Music,UCv9Xh8IDubBtFvoYfgCUbRQ,10,Music,"พี่แชมป์, ฮิปฮอป, Hiphop, Rock, ร็อค, ลูกทุ่ง, R&B, Pop, ป็อป",9,https://i.ytimg.com/vi/3RKsjHKvONc/hqdefault.jpg,th,th,False,298,PT4M58S,hd,True,True,,,1837975,16463,818
