video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
D7UzEJcU2fU,MX,2025-12-15 02:32:47.718143+00:00,2025-12-14 12:00:20+00:00,"Julion Alvarez, Grupo Firme, Grupo Frontera, Carin Leon, Banda MS - Lo Mejor Banda Románticas 2026","Julion Alvarez, Grupo Firme, Grupo Frontera, Carin Leon, Banda MS - Lo Mejor Banda Románticas 2026",Ritmo Banda,UCRrM5FvS-IwOpcO8h0fR3lg,10,Music,"Julion Alvarez, Grupo Firme, Grupo Frontera, Carin Leon, Banda MS, Lo Mejor Banda Románticas 2026, bandas, gerardo Ortiz, alfredo olivas, musica de banda, grupo firme, mix banda, banda romantica, christian nodal, banda el limon, lo mas nuevo, banda ms, bandas romanticas, la adictiva, la arrolladora, calibre 50, banda Mexicana, banda musica, mix de bandas, banda el recodo, banda, julión Álvarez, bandas mix",28,https://i.ytimg.com/vi/D7UzEJcU2fU/hqdefault.jpg,vro,vro,False,6467,PT1H47M47S,hd,False,True,,,53597,380,2
h-uQKC-f8-s,MX,2025-12-15 02:32:47.718178+00:00,2025-12-13 17:20:10+00:00,IMPOSIBLE: 4 trailers Avengers Doomsday CONFIRMADOS y qué pasará en cada uno,IMPOSIBLE: 4 trailers Avengers Doomsday CONFIRMADOS y qué pasará en cada uno,Pelicomic,UCsMzBY3X_RS6GhGBiHXW19A,24,Entertainment,,0,https://i.ytimg.com/vi/h-uQKC-f8-s/hqdefault.jpg,es,es-419,False,1042,PT17M22S,hd,False,True,,,304192,14478,641
vmsbGbedGrw,MX,2025-12-15 02:32:47.718190+00:00,2025-12-14 18:01:05+00:00,ADMIN ABUSE DE NAVIDAD EN ROBA UN BRAINROT!🎅,ADMIN ABUSE DE NAVIDAD EN ROBA UN BRAINROT!🎅,ElAbrahaham,UColTsB6zogXWooPbeO67Wgw,20,Gaming,"abrahahamflores, stream, entretenimiento, divertido, risa, gracioso, gamer, videojuegos, elabrahaham, copilacion, videos graciosos, antes vs ahora, mexico vs usa, abrahaham, directos, shorts, tiktoks, streams, twitch, reaccion, reacciones",21,https://i.ytimg.com/vi/vmsbGbedGrw/hqdefault.jpg,es-MX,es-419,False,1149,PT19M9S,hd,False,True,,,456756,15213,1849
EBxzqjq9plA,MX,2025-12-15 02:32:47.718199+00:00,2025-12-13 18:00:06+00:00,Grupo Niche - Nuestro Sueño (Letra),Grupo Niche - Nuestro Sueño (Letra),Latin Pop,UCyrNLS9FCXTMeOg_cj8sa-g,22,People & Blogs,"Latin Pop, Letra, lyrics, Grupo Niche, Nuestro Sueño, Nuestro Sueño (Letra), Grupo Niche - Nuestro Sueño, Grupo Niche - Nuestro Sueño (Letra)",8,https://i.ytimg.com/vi/EBxzqjq9plA/hqdefault.jpg,es,es-419,False,359,PT5M59S,hd,False,True,,,96788,158,4
LJHDmb2zHNE,MX,2025-12-15 02:32:47.718207+00:00,2025-12-13 21:29:00+00:00,AVENGERS: DOOMSDAY – Teaser Trailer (2026) | All Roads Lead to Doom,AVENGERS: DOOMSDAY – Teaser Trailer (2026) | All Roads Lead to Doom,timeory,UCSfoU2V_ECZEqnuNjSZwkTw,1,Film & Animation,"doctor doom, robert downey jr, doctor doom mcu, secret wars doctor doom, avengers, avengers doomsday, doomsday trailer, doomsday scene, robert downey jr doom scene, doomsday loki, doctor strange, x-men doomsday, Professor X, doomsday teaser trailer, doomsday official trailer, doomsday avatar trailer, marvel trailers, fantastic four, pedro pascal, florence pugh, fantastic four doomsday",21,https://i.ytimg.com/vi/LJHDmb2zHNE/hqdefault.jpg,en,en-US,False,79,PT1M19S,hd,True,True,,,138050,1314,119
f4M2dKuq528,MX,2025-12-15 02:32:47.718216+00:00,2025-12-14 17:20:47+00:00,Sobreviví 100 Dias en ONEBLOCK... de Terror (FINAL),Sobreviví 100 Dias en ONEBLOCK... de Terror (FINAL),Rubius Z,UCcjIvuxmWlS5IEQ0JdPV4Ng,20,Gaming,"elrubius, rubius, serie, oneblock, terror, minecraft terror, mod, oneblock terror, oneblock minecraft, rubius oneblock, rubius serie, isla, skyblock, nuevo, minecraft, mods, one block, minecraft one block rubius, one-block, one block 4, herobrine, casa, isla minecraft, rubius oneblock 4, isla terror, barcos, diamante, trampa, truco, ep4, final oneblock, end, nether, one block rubius final",34,https://i.ytimg.com/vi/f4M2dKuq528/hqdefault.jpg,es,es,False,1694,PT28M14S,hd,False,True,,,778038,69235,1400
7WBOLzNIi64,MX,2025-12-15 02:32:47.718223+00:00,2025-11-26 17:00:06+00:00,Rauw Alejandro - Todo De Ti (Letra),Rauw Alejandro - Todo De Ti (Letra),Moodify,UCJjgs-dhJ2rP3z6AiTo2Vuw,22,People & Blogs,"sub. español, lyrics, letras, video lyrics, moodify, playlist, trends de tiktok, tiktok, letras de canciones, emotions, emociones, sub español, sub español e inglés",13,https://i.ytimg.com/vi/7WBOLzNIi64/hqdefault.jpg,es,en,False,203,PT3M23S,hd,False,True,,,86709,497,0
TCarBSOMCvw,MX,2025-12-15 02:32:47.718231+00:00,2025-12-13 13:00:12+00:00,IT: Welcome to Derry (2025) | Season Finale New Trailer | HBO Max,IT: Welcome to Derry (2025) | Season Finale New Trailer | HBO Max,TeaserCon,UCdIGJ48YH98rTt37mx-UsNQ,1,Film & Animation,"it welcome to derry final trailer, it welcome to derry season finale, it welcome to derry episode 8 promo, hbo max, hbo, hbo originals, hbo original series, hbo trailer, new on hbo, max, hbo max originals, hbo max trailer, hbo max teaser, hbo max series, hbo max youtube, welcome to derry, derry trailer, it movies, it tv show, pennywise, jovan adepo, horror, taylour paige, bill skarsgard, andy muschietti, barbara muschietti, stephen king, it welcome to derry, hbomax",29,https://i.ytimg.com/vi/TCarBSOMCvw/hqdefault.jpg,en,en,False,51,PT51S,hd,False,True,,,242657,5637,371
Yws3Ytybtkw,MX,2025-12-15 02:32:47.718238+00:00,2025-12-14 19:24:55+00:00,LLUVIA DE SANGRE vs BUNKER SECRETO en Minecraft!,LLUVIA DE SANGRE vs BUNKER SECRETO en Minecraft!,Dagar,UCEs5MQjXJq27-X2vgdwtYDw,20,Gaming,"Minecraft, minecraft mod, dagar y nacho, nacho y dagar, amigos minecraft, dagar minecraft, minecraft dagar",7,https://i.ytimg.com/vi/Yws3Ytybtkw/hqdefault.jpg,es,es-ES,False,1544,PT25M44S,hd,False,True,,,364852,6513,459
WxhoSnE-REA,MX,2025-12-15 02:32:47.718245+00:00,2025-12-14 14:09:33+00:00,“Golden” Official Lyric Video | KPop Demon Hunters | Sony Animation,“Golden” Official Lyric Video | KPop Demon Hunters | Sony Animation,Viktor Uvalic,UCxBSACKszyTcaw1tykoeNog,22,People & Blogs,"Sony Pictures Animation, Sony Animation, Sony Pictures Imageworks, Imageworks, Netflix, K-Pop, KPop, Anime, KDrama, Huntrix, Saja Boys, Idol, Korea, Korean, Jeongyeon, Jihyo, Chaeyoung, Golden, KPop Demon Hunters",19,https://i.ytimg.com/vi/WxhoSnE-REA/hqdefault.jpg,en,sr,False,300,PT5M,hd,False,False,,,103287,534,18
