video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
rawK8Un-Eo0,NI,2026-01-03 02:25:54.897665+00:00,2025-12-31 18:01:17+00:00,Tony Camargo - El Año Viejo (LETRA),Tony Camargo - El Año Viejo (LETRA),RadioReggaeton,UC71_qiSYe3CFuI9Jd4eWW4A,10,Music,"Tony Camargo, El Año Viejo, El Año Viejo letra, El Año Viejo lyrics, Tony Camargo El Año Viejo, El Año Viejo canción, El Año Viejo villancico, música de fin de año, canciones de año nuevo, música navideña latina, clásicos de fin de año, El Año Viejo video letra, El Año Viejo oficial, El Año Viejo canción tradicional, Tony Camargo clásicos, canciones para despedir el año, Año Nuevo 2025, música latina tradicional, Yo no olvido al año viejo",19,https://i.ytimg.com/vi/rawK8Un-Eo0/hqdefault.jpg,es-419,es-419,False,186,PT3M6S,hd,False,True,,,1090712,3321,124
HjHJSbAoTTw,NI,2026-01-03 02:25:54.897705+00:00,2025-12-30 14:00:05+00:00,Stranger Things 5 | Tráiler de la final | Netflix,Stranger Things 5 | Tráiler de la final | Netflix,Netflix Latinoamérica,UC5ZiUaIJ2b5dYBYGf5iEUrA,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Hop, Jamie Campbell Bower, Jim Hopper, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Once, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things, Stranger Things 5, Will Byers, Winona Ryder, final",31,https://i.ytimg.com/vi/HjHJSbAoTTw/hqdefault.jpg,es,en-US,False,99,PT1M39S,hd,False,False,,,1348596,43343,3693
0NKM2myugTU,NI,2026-01-03 02:25:54.897718+00:00,2026-01-02 21:17:02+00:00,Jugando Como un BEBÉ AJOLOTE Amistoso en Minecraft!,Jugando Como un BEBÉ AJOLOTE Amistoso en Minecraft!,Nacho,UC8EkcHOycB94lHDkbAPSnQA,20,Gaming,"nacho, dagar, nacho minecraft, dagar y nacho, nacho y dagar, minecraft, minecraft mod, dagar minecraft, bosque, bosque minecraft, bebe, bebe minecraft, bebe ajolote, axolote, ajolote minecraft, bebe axolote minecraft, trolleo, troleo minecraft, amigos minecraft",19,https://i.ytimg.com/vi/0NKM2myugTU/hqdefault.jpg,es,es,False,1214,PT20M14S,hd,False,True,,,164898,3687,293
NtLFfh2-yec,NI,2026-01-03 02:25:54.897728+00:00,2026-01-02 20:00:07+00:00,Romeo Santos & Prince Royce - Lokita Por Mí (Official Video),Romeo Santos & Prince Royce - Lokita Por Mí (Official Video),Romeo Santos,UCyxbZF7_PK4nLiexj0kkCNg,10,Music,,0,https://i.ytimg.com/vi/NtLFfh2-yec/hqdefault.jpg,en,es,False,308,PT5M8S,hd,False,False,,,518059,49926,8784
HPXws9donAM,NI,2026-01-03 02:25:54.897737+00:00,2025-12-27 17:00:34+00:00,TERCER trailer Avengers Doomsday con X MEN! Doctor Doom cambiado por 4 Fantásticos y más,TERCER trailer Avengers Doomsday con X MEN! Doctor Doom cambiado por 4 Fantásticos y más,Pelicomic,UCsMzBY3X_RS6GhGBiHXW19A,24,Entertainment,,0,https://i.ytimg.com/vi/HPXws9donAM/hqdefault.jpg,es,es-419,False,902,PT15M2S,hd,False,True,,,414752,18968,767
p-3VXO_J9tI,NI,2026-01-03 02:25:54.897744+00:00,2026-01-02 23:45:27+00:00,🌻99🌻NOCHES🌻MINECRAFT🌻ONE🌻BLOCK🌻CON🌻LOS🌻BROS🌻,🌻99🌻NOCHES🌻MINECRAFT🌻ONE🌻BLOCK🌻CON🌻LOS🌻BROS🌻,ElAbrahaham,UColTsB6zogXWooPbeO67Wgw,24,Entertainment,,0,https://i.ytimg.com/vi/p-3VXO_J9tI/hqdefault.jpg,es-MX,es-419,False,18089,PT5H1M29S,hd,False,True,,,1177661,38592,489
J9SoCbo75gU,NI,2026-01-03 02:25:54.897752+00:00,2025-12-31 16:00:36+00:00,Tony Camargo - El Año Viejo | Letra,Tony Camargo - El Año Viejo | Letra,MUSICANA,UCRmSpyKrZguX172X6dinWDQ,10,Music,"letra, el año viejo, el año viejo letra oficial, el año viejo cumbia, el año viejo tony camargo, tony camargo el año viejo, letra oficial el año viejo, tony camargo, el año viejo por tony camargo, ay yo no olvido al año viejo que va, vallenato diomedes diaz, ay qué rico pa' cantar, yo no olvido al año viejo otra vez, vallenatos diomedes diaz, yo no olvido el año viejo, el año viejo letra, el año viejo letra tony camargo, el año viejo lyrics, tony camargo el año viejo lyrics, pop",20,https://i.ytimg.com/vi/J9SoCbo75gU/hqdefault.jpg,es,es,False,186,PT3M6S,hd,False,True,,,811544,2557,83
YqdAEdkHrwo,NI,2026-01-03 02:25:54.897760+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,False,True,,,16581776,385060,21635
h5ddlv6b_Hg,NI,2026-01-03 02:25:54.897767+00:00,2026-01-02 16:07:14+00:00,Trabajando En El Turno De Noche. Shawarma Kiosk Roblox. ,Trabajando En El Turno De Noche. Shawarma Kiosk Roblox. ,Bere Roblox,UC7llV6PgcR3-4PxntePs9eg,20,Gaming,,0,https://i.ytimg.com/vi/h5ddlv6b_Hg/hqdefault.jpg,es,es-MX,False,2013,PT33M33S,hd,False,True,,,277488,2987,499
3g_nhqocOb8,NI,2026-01-03 02:25:54.897775+00:00,2025-12-31 20:00:05+00:00,"Anuel AA, Chris Jedi, ROA - NETFLIX AND CHILL","Anuel AA, Chris Jedi, ROA - NETFLIX AND CHILL",Chris Jedi,UCrM9nTFI3xCUQ3vP8tTlcHg,10,Music,"anuel aa, little demon anuel, little demon, little demon anuel letra, anuel little demon, letra little demon anuel, coreano loco reacciona a anuel little demon, letra anuel little demon, roa, hades66, ppc, ppc roa, roa ppc, letra ppc roa, fantasia, petite, eta roa, nunk es tarde, freelance, jetski, la cura, noche pasajera, private suite, uuu, roapr, bad bunny, dei, bryantmyers, clarent, mora, omar courtz, goddess omar courtz, omar courtz primera musa",33,https://i.ytimg.com/vi/3g_nhqocOb8/hqdefault.jpg,es,es-419,False,220,PT3M40S,hd,False,False,,,1571494,101274,4731
