video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
xIZISD1JqoQ,NP,2026-01-02 02:33:09.628654+00:00,2025-12-19 08:45:06+00:00,Sailo Ma Charghare『Official Music Video』- Bishwo Dong || Ft. Alisha Rai | Bijay Dong | Sushil Waiba,Sailo Ma Charghare『Official Music Video』- Bishwo Dong || Ft. Alisha Rai | Bijay Dong | Sushil Waiba,Bishwo Dong ,UCiTzLsmjdLj7U20JyM_TQJA,10,Music,"bishwo dong, new tamang song, bishwo dong new song, nepali song 2025, Timilai Dekhda Aananda hune man, alisha rai new song, dhan kamau chhu vane, Bagi jane Khola, maya le vane bishai pani, sailo ma charghare music video, bijay dong, brightlight pictures, sushil waiba new song, best selo song, new selo song 2024, new selo songs bishwo dong, tamang selo, Bishwo Dong Selo song, kauda song, alisha rai, bijay dong new song, sushil waiba, kauda song nepali, sailo ma charghare",24,https://i.ytimg.com/vi/xIZISD1JqoQ/hqdefault.jpg,en,ne,False,382,PT6M22S,hd,False,True,,,2325836,33140,760
1QZZhZ58tlE,NP,2026-01-02 02:33:09.628690+00:00,2025-12-29 09:31:25+00:00,The RajaSaab Trailer 2.0 (Hindi) | Prabhas | Maruthi | Thaman S | TG Vishwa Prasad,The RajaSaab Trailer 2.0 (Hindi) | Prabhas | Maruthi | Thaman S | TG Vishwa Prasad,T-Series,UCq-Fj5jknLsUf-MWSy4_brA,10,Music,"bollywood movies 2025, tseries, tseries songs, the rajasaab trailer, rajasaab trailer, prabhas new movie, rajasaab trailer 2.0, prabhas rajasaab trailer, rajaraab 2.0 trailer, prabhas rajasaab new trailer, rajasaab prabhas entry, the rajasaab prabhas sanjay dutt, prabhas rajasaab event, raja saab trailer hindi, prabhas rajasaab trailer hindi, rajasaab movie trailer, prabhas movies, the rajasaab movie, prabhas new movie trailer, rajasaab movie, prabhas the rajasaab",21,https://i.ytimg.com/vi/1QZZhZ58tlE/hqdefault.jpg,en,hi,False,192,PT3M12S,hd,True,True,,,12956841,226124,9687
YIeXXbdbWvc,NP,2026-01-02 02:33:09.628701+00:00,2025-12-31 10:14:30+00:00,I Found Scary Villager City in Minecraft..,I Found Scary Villager City in Minecraft..,Carry Depie,UClqifC6Nd7v-IfTqce4k62A,20,Gaming,"carry depie, minecraft",2,https://i.ytimg.com/vi/YIeXXbdbWvc/hqdefault.jpg,en,hi,False,1073,PT17M53S,hd,False,True,,,1463598,15837,847
BbEMemscO-I,NP,2026-01-02 02:33:09.628710+00:00,2025-12-23 11:15:06+00:00,YABI - BOOMERANG ( OFFICIAL MUSIC VIDEO ),YABI - BOOMERANG ( OFFICIAL MUSIC VIDEO ),YABI THE G.O.A.T,UCqzBxjf_nywt59-jP5ipXGQ,10,Music,Yabithegoat yabinewsong boomerang paschim farwest hiphop nepalihiphop timromood level Mayajalaima,1,https://i.ytimg.com/vi/BbEMemscO-I/hqdefault.jpg,en,ne,False,144,PT2M24S,hd,False,True,,,667462,31395,1706
sDiXd22yBhY,NP,2026-01-02 02:33:09.628718+00:00,2025-12-31 09:15:07+00:00,"Viral Gorkhey - New Nepali Movie Trailer 2025 - Saugat Malla, Shristi Shrestha, Buddhi Tamang","Viral Gorkhey - New Nepali Movie Trailer 2025 - Saugat Malla, Shristi Shrestha, Buddhi Tamang",Budha Subba Digital,UCNR1KcWXj7zpWQFJtU3ddYg,1,Film & Animation,"New Nepali Movie, New nepali music videos, hit video, recent hit, new release, movie songs, filmy songs, nepali film, hit nepali music videos, recent releases, new nepali songs, nepali geet, nepali lok, hit nepali, nepali tracks, nepali best songs, nepali popular song, latest nepali, nepali folk, new nepali song, superhit nepali, new nepali video, top videos, music nepal, nepali comedy videos, comedy nepal, nepali song dance",27,https://i.ytimg.com/vi/sDiXd22yBhY/hqdefault.jpg,en,en-GB,False,236,PT3M56S,hd,False,True,,,108617,4907,231
sc-w2Zd3Xg4,NP,2026-01-02 02:33:09.628726+00:00,2025-12-25 12:40:32+00:00,I Found a Secret Millionaire Villager City in Minecraft!,I Found a Secret Millionaire Villager City in Minecraft!,ProBoiz 95,UCSncGB_s0tuWN-4l-58mmvQ,20,Gaming,"minecraft, millionaire, millionaire minecraft, minecraft millionaire city, minecraft millionaire villager city, gaming, funny, minecraft villager city, proboiz, proboiz 95",10,https://i.ytimg.com/vi/sc-w2Zd3Xg4/hqdefault.jpg,en,en-IN,False,1458,PT24M18S,hd,False,True,,,3596237,60241,6096
SHU8NzzQLt0,NP,2026-01-02 02:33:09.628734+00:00,2025-12-20 15:01:37+00:00,Lamjunge Dadaima Hawa Sarara (Blues),Lamjunge Dadaima Hawa Sarara (Blues),AI CORE MUSIC - Topic,UCeVnUhbX_N_hbxhZpnXHO4A,10,Music,"AI CORE MUSIC, AI Core Music, Lamjunge Dadaima Hawa Sarara (Blues)",3,https://i.ytimg.com/vi/SHU8NzzQLt0/hqdefault.jpg,su,und,False,318,PT5M18S,hd,False,True,,,810941,8905,85
AfQ13jsLDms,NP,2026-01-02 02:33:09.628741+00:00,2025-12-30 14:00:05+00:00,Stranger Things 5 | Finale Trailer | Netflix,Stranger Things 5 | Finale Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/AfQ13jsLDms/hqdefault.jpg,en,en-US,False,97,PT1M37S,hd,True,True,,,12969677,309037,24568
sXxmoaPkBVw,NP,2026-01-02 02:33:09.628749+00:00,2025-12-31 12:38:39+00:00,POOR vs RICH Mega Motorcycle Ramp in Minecraft..!,POOR vs RICH Mega Motorcycle Ramp in Minecraft..!,Karry Kraft,UCW3Ms3ZxVaZUniP-HifWCDg,20,Gaming,"carry depie, minecraft",2,https://i.ytimg.com/vi/sXxmoaPkBVw/hqdefault.jpg,en,en-IN,False,599,PT9M59S,hd,False,True,,,620759,7176,379
cQb4UxF7DL8,NP,2026-01-02 02:33:09.628756+00:00,2025-12-14 14:51:29+00:00,BALEN - AAM NEPALI BUWAA (OST JHARI PACHHI KO INDRENI),BALEN - AAM NEPALI BUWAA (OST JHARI PACHHI KO INDRENI),Balen,UCJgcDT2XI3cQJhGe01AFaHQ,10,Music,,0,https://i.ytimg.com/vi/cQb4UxF7DL8/hqdefault.jpg,en,en,False,286,PT4M46S,hd,False,True,,,4631385,277363,18873
7nwROsO_HZY,NP,2026-01-02 02:33:09.628764+00:00,2025-12-29 13:19:12+00:00,The RajaSaab Trailer 2.0 Review | Yogi Bolta Hai,The RajaSaab Trailer 2.0 Review | Yogi Bolta Hai,YOGI BOLTA HAI,UCIihexFQucy1Sm7V7yvL_mA,24,Entertainment,"The RajaSaab, The RajaSaab Trailer, The RajaSaab Trailer Review, The RajaSaab Movie, RajaSaab, The Raja Saab, Prabhas, Malavika Mohanan, Nidhhi Agerwal, Riddhi Kumar, Maruthi, People Media Factory, Telugu Movie, Prabhas News Movie, Prabhas Upcoming Movie, South Movie, Pan Indian Movie, Rebel Star, Darling Prabhas, New Trailer, Prabhas Movie Trailer, Horror Comedy, Yogi Bolta Hai",23,https://i.ytimg.com/vi/7nwROsO_HZY/hqdefault.jpg,en,zxx,False,186,PT3M6S,hd,False,True,,,458463,20879,1409
MyJgZUyqzhI,NP,2026-01-02 02:33:09.628772+00:00,2025-12-29 13:18:54+00:00,We Created BUNKER to Survive EVIL SANTA in Minecraft! @ProBoiz95,We Created BUNKER to Survive EVIL SANTA in Minecraft! @ProBoiz95,Junkeyy,UCJS4UHGP6Q3BI-0ZIGrGXgw,20,Gaming,"we created bunker to survive evil santa, evil santa in minecraft, santa in minecraft, bunker to survive, bunker in minecraft, minecraft hindi, minecraft funny, junkeyy",8,https://i.ytimg.com/vi/MyJgZUyqzhI/hqdefault.jpg,en,en-IN,False,1135,PT18M55S,hd,False,True,,,1523179,21658,1332
