video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
GSOVhJikmzU,PH,2025-12-22 02:34:44.043821+00:00,2025-12-19 12:00:28+00:00,Christmas Songs Playlist 🎄 Top Christmas Songs of All Time 🎅 Best Christmas Music 2026,Christmas Songs Playlist 🎄 Top Christmas Songs of All Time 🎅 Best Christmas Music 2026,Christmas Songs and Carols - Love to Sing,UCn0JHLJWiO3_Y5xfNPcF_Ug,10,Music,"top christmas song, christmas songs, top christmas songs of all time, top 100 christmas songs of all time, best christmas songs of all time, best christmas songs, top christmas songs, top 100 christmas songs, classic christmas songs, christmas songs playlist, best christmas music, christmas songs medley, top 100 christmas songs and carols, top 100 christmas songs and carols playlist",14,https://i.ytimg.com/vi/GSOVhJikmzU/hqdefault.jpg,en,en,False,7723,PT2H8M43S,hd,False,True,,,1045620,3641,345
s0rsROOmtrM,PH,2025-12-22 02:34:44.043858+00:00,2025-12-19 14:43:19+00:00," FPJ's Batang Quiapo December 22, 2025 Advance Episode Trailer"," FPJ's Batang Quiapo December 22, 2025 Advance Episode Trailer",Dramaserye TV,UCEacZvcjvUCbckLUiWo2eag,22,People & Blogs,,0,https://i.ytimg.com/vi/s0rsROOmtrM/hqdefault.jpg,fil,und,False,212,PT3M32S,hd,False,True,,,84031,491,15
6J-IBf1w_W8,PH,2025-12-22 02:34:44.043870+00:00,2025-12-19 09:00:17+00:00,I SURVIVE 99 NIGHTS in the FOREST | Roblox | THE ELVES NEED HELP!,I SURVIVE 99 NIGHTS in the FOREST | Roblox | THE ELVES NEED HELP!,PlayofEL,UCvJwM52bzNiciUl1kquh0kQ,20,Gaming,"PlayofEL, TaleofEL, tale of el, play of el, roblox, roblox tagalog, ROBLOX PINOY, BROOKHAVEN rp, MAHIRAP TO MAYAMAN VERY QUICK!, ANG BABAE SA PLAYGROUND!, brookhaven poor to rich, playofel muscle, gym star roblox, deadrails, dead rails roblox, dead rails playofel",16,https://i.ytimg.com/vi/6J-IBf1w_W8/hqdefault.jpg,en,und,False,634,PT10M34S,hd,False,True,,,314939,1999,136
3xJwml5NMBw,PH,2025-12-22 02:34:44.043879+00:00,2025-12-16 21:30:00+00:00,🎅 Best Tagalog Christmas Songs Playlist🎄Paskong Pinoy 2026 ✨ Nonstop Filipino Holiday Music,🎅 Best Tagalog Christmas Songs Playlist🎄Paskong Pinoy 2026 ✨ Nonstop Filipino Holiday Music,Paskong Pinoy,UCGw-oSfccJEpxlvM-XijfUA,10,Music,"paskong pinoy, paskong pinoy songs, paskong pinoy medley, tagalog christmas songs, christmas songs, best tagalog christmas, christmas songs medley, non-stop christmas songs, merry christmas, filipino christmas songs, christmas songs playlist, tagalog paskong pinoy, paskong pinoy nonstop, christmas music, tagalog christmas medley, christmas medley, Best Jose Mari Chan Christmas songs, Filipino Christmas songs 2026, timeless Filipino Christmas songs, pasko, sana ngayong pasko",21,https://i.ytimg.com/vi/3xJwml5NMBw/hqdefault.jpg,en,vro,False,5488,PT1H31M28S,hd,False,True,,,730950,3881,95
MPfZhgLiK6w,PH,2025-12-22 02:34:44.043887+00:00,2025-12-20 05:00:26+00:00,JUJUTSU KAISEN The Culling Game | Official Trailer | Crunchyroll,JUJUTSU KAISEN The Culling Game | Official Trailer | Crunchyroll,Crunchyroll,UC6pGDc4bFGD1_36IKv3FnYg,1,Film & Animation,"jujutsu kaisen, jujutsu kaisen anime, jjk, jjk anime, jujutsu kaisen season 3, jujutsu kaisen s3, jjk s3, crunchyroll, anime, anime pv, anime trailer, jujutsu kaisen culling game, jujutsu kaisen the culling game, jujutsu kaisen season 3 trailer, jujutsu kaisen trailer",15,https://i.ytimg.com/vi/MPfZhgLiK6w/hqdefault.jpg,en,ja,False,117,PT1M57S,hd,False,True,,,4222290,246790,8881
aNHTGOlI69s,PH,2025-12-22 02:34:44.043895+00:00,2025-12-20 10:00:02+00:00,EXTREME Hide & Seek sa Steal A Brainrot!,EXTREME Hide & Seek sa Steal A Brainrot!,Edo,UCtRRA_RD1YK3dyZTCNyY8VQ,20,Gaming,"edo, robloxtagalog",2,https://i.ytimg.com/vi/aNHTGOlI69s/hqdefault.jpg,en,und,False,903,PT15M3S,hd,False,True,,,199319,2267,401
yOOYwODkOpc,PH,2025-12-22 02:34:44.043903+00:00,2025-12-18 22:01:10+00:00,New OPM Trending 2025 🎧Best Tagalog Love Songs With Lyrics | Most Played Philippines Songs,New OPM Trending 2025 🎧Best Tagalog Love Songs With Lyrics | Most Played Philippines Songs,Midnight Tears,UCNhoUq3WahzauBEF-kJIr6w,22,People & Blogs,,0,https://i.ytimg.com/vi/yOOYwODkOpc/hqdefault.jpg,en,fil,False,8697,PT2H24M57S,hd,True,True,,,263355,1239,18
e0Eo0D038rQ,PH,2025-12-22 02:34:44.043910+00:00,2025-12-15 13:40:00+00:00,Stranger Things 5 | Volume 2 Trailer | Netflix,Stranger Things 5 | Volume 2 Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/e0Eo0D038rQ/hqdefault.jpg,en,en-US,False,134,PT2M14S,hd,True,True,,,14776222,577359,23513
4LEbtHDlf5s,PH,2025-12-22 02:34:44.043918+00:00,2025-12-21 00:33:00+00:00,WHICH SPRUNKI DO I SAVE?,WHICH SPRUNKI DO I SAVE?,Tyler & Snowi,UCzzF1kdBgwv5RB6rbB6kVSA,20,Gaming,"roblox, funny moments, tyler and snowi, tyler, snowi, tyler & snowi, funny, moments, sprunki, incredibox sprunki, sprunki funny moments, sprunki wenda, new, sprunki horror, sprunki crazy, incredibox new mod, incredibox sprunki mod, mod sprunki, castle, sprunki castle games, sprunki castle, heal infected sprunkis, healing infected sprunkis, infected sprunkis, heal the infected sprunkis, heal sprunkis, heal sprunki, heal infected sprunki castle game, heal infected sprunki ending",29,https://i.ytimg.com/vi/4LEbtHDlf5s/hqdefault.jpg,en,en-US,False,1141,PT19M1S,hd,False,True,,,1014343,25297,808
YPXsXO2vFMA,PH,2025-12-22 02:34:44.043926+00:00,2025-12-17 11:30:35+00:00,The Script - The Man Who Can't Be Moved (Lyrics),The Script - The Man Who Can't Be Moved (Lyrics),Aura Hype,UCHaspmMwQe-IFFYBdDvUHKA,10,Music,"hiphop, aurahype, the man who can't be moved, be moved, the script the man who can't be moved, the script, the script lyrics, lyrics the script, going back to the corner where i first saw you, the man who can't be moved the script, the man who can't be moved lyrics, lyrics the man who can't be moved, the script the man who can't be moved lyrics, script, script the man who can't be moved, man who can't be moved, the script man who can't be moved, lyrics, can't be moved",19,https://i.ytimg.com/vi/YPXsXO2vFMA/hqdefault.jpg,en,en-US,False,259,PT4M19S,hd,False,True,,,338688,466,19
qafjsA8dLP8,PH,2025-12-22 02:34:44.043933+00:00,2025-12-20 08:01:14+00:00,FPJ's Batang Quiapo Episode 740 Teaser | Sino Ang Hindi Aabot ng Pasko | December 22 2025,FPJ's Batang Quiapo Episode 740 Teaser | Sino Ang Hindi Aabot ng Pasko | December 22 2025,BATANG QUIAPO RECAP,UCGEyqXO5C8dFFbcc51dG7jg,22,People & Blogs,"Batang Quiapo Episode 740, Batang Quiapo Ep 740, Batang Quiapo full episode, Batang Quiapo latest episode, Batang Quiapo ngayon, Batang Quiapo 740 highlights, FPJ’s Batang Quiapo Episode 740, Batang Quiapo today episode, Batang Quiapo new episode, Batang Quiapo trending, Coco Martin Batang Quiapo, Batang Quiapo action scene, Batang Quiapo full story, Tanggol Batang Quiapo, Batang Quiapo 740 recap, Batang Quiapo plot twist, Batang Quiapo viral episode",17,https://i.ytimg.com/vi/qafjsA8dLP8/hqdefault.jpg,fil,en,False,351,PT5M51S,hd,False,True,,,47788,368,20
g7DLzEARcUY,PH,2025-12-22 02:34:44.043941+00:00,2025-12-17 09:21:01+00:00,NAGALIT si Crush Maymay Dahil NaLATE Ako sa DATE 😭 Brookhaven RP Roblox,NAGALIT si Crush Maymay Dahil NaLATE Ako sa DATE 😭 Brookhaven RP Roblox,EsoniBlox,UC63dNQgKMFPhppAS3l6k1qA,20,Gaming,"Roblox, Esoni, Esoni TV, Esoni Roblox, isoni, isoni roblox, Esoni Minecraft, Minecraft, brainrot, grow a garden, tungtungtungsahur, sahur, playofel, maymaytv",14,https://i.ytimg.com/vi/g7DLzEARcUY/hqdefault.jpg,fil,und,False,675,PT11M15S,hd,False,True,,,324228,7188,102
nhEV1mXwfr0,PH,2025-12-22 02:34:44.043948+00:00,2025-12-14 15:30:28+00:00,Céline Dion - I Love You (Lyrics),Céline Dion - I Love You (Lyrics),Cactus Rock,UCDgj0R1JFrxg6Av80uOmIpw,22,People & Blogs,"céline dion, i love you, i love you lyrics, lyrics i love you, céline dion i love you, céline dion i love you lyrics, lyrics céline dion i love you, céline dion lyrics i love you, i love you céline dion, i love you céline dion lyrics, lyrics i love you céline dion, i love you lyrics céline dion, i love you please say, you love me too these three words, i wish i could go back to the very first day i saw you, tiktok, tiktok song, tiktok remix, lyrics on screen",19,https://i.ytimg.com/vi/nhEV1mXwfr0/hqdefault.jpg,en,en,False,330,PT5M30S,hd,False,True,,,424690,812,13
b51C8AbRDGU,PH,2025-12-22 02:34:44.043956+00:00,2025-12-19 23:05:00+00:00,STEEL BALL RUN JoJo’s Bizarre Adventure | Official Trailer | Netflix,STEEL BALL RUN JoJo’s Bizarre Adventure | Official Trailer | Netflix,Netflix Anime,UCBSs9x2KzSLhyyA9IKyt4YA,1,Film & Animation,jojo_anime,1,https://i.ytimg.com/vi/b51C8AbRDGU/hqdefault.jpg,en,en-US,False,130,PT2M10S,hd,False,False,,,2464360,231950,11763
31Pek0aIpEI,PH,2025-12-22 02:34:44.043962+00:00,2025-12-21 02:30:06+00:00,CONTROL REWORK TRAILER + SHOWCASE | Blox Fruits,CONTROL REWORK TRAILER + SHOWCASE | Blox Fruits,Gamer Robot,UC_xlDCBWQPlihORIZLWtpbA,20,Gaming,"blox fruits, admin, zioles, blox fruits admin, admin command, abusive admin, roblox, robux, trolling, troll, gift, indra, blox fruits update, blox fruits update 20, update 20, gamer robot, mygame43, blox fruits update 19, roblox blox fruits, family friendly, no cursing, blox fruit, blox fruits noob to pro, anime, race v4, cdk, soul guitar, leveling guide, blox fruits new code, new code, blox fruits code, pvp, el krazy, undercover admin, leaks, sneak peek, secret ability",37,https://i.ytimg.com/vi/31Pek0aIpEI/hqdefault.jpg,en,en,False,902,PT15M2S,hd,False,True,,,3269250,205175,44993
0WUdmhByt58,PH,2025-12-22 02:34:44.043970+00:00,2025-12-18 10:00:06+00:00,La Mave - Dominga Ft. Nateman (Official Music Video),La Mave - Dominga Ft. Nateman (Official Music Video),La Mave,UCLv1AaBWbSWvnCXMX0tiIdA,22,People & Blogs,,0,https://i.ytimg.com/vi/0WUdmhByt58/hqdefault.jpg,en,und,False,260,PT4M20S,hd,False,True,,,236096,4233,231
zMNg4k5Ekf4,PH,2025-12-22 02:34:44.043976+00:00,2025-12-20 05:56:36+00:00,"FPJ's Batang Quiapo December 22, 2025 ADVANCE Episode Trailer/ Story Telling | Batang Quiapo","FPJ's Batang Quiapo December 22, 2025 ADVANCE Episode Trailer/ Story Telling | Batang Quiapo",Mahiwagang TV,UCuW91DTjG1FVtRIVQDN2ZDQ,24,Entertainment,"MAHIWAGANG TV, MAHIWAGANG TV VLOGS, MAHIWAGANG TV LATEST VLOG, HIWAGA, ANTING ANTING, BATANG QUIAPO, BATANG QUIAPO COCO MARTIN, BATANG QUIAPO FULL EPISODE, BATANG QUIAPO 2023, BATANG QUIAPO LIVE TODAY, BATANG QUIAPO TRENDING VIDEO, BATANG QUIAPO VIRAL VIDEOS, BATANG QUIAPO LIVE, BATANG QUIAPO LATEST EPISODE, COCO MARTIN, COCO MARTIN BATANG QUIAPO, tanggol, FPJ Batang Quiapo Episode 740(1/3) FPJ's Batang Quiapo December 22 2025",18,https://i.ytimg.com/vi/zMNg4k5Ekf4/hqdefault.jpg,en,en-US,False,496,PT8M16S,hd,False,True,,,37728,190,2
EDf57E-Yq6M,PH,2025-12-22 02:34:44.043984+00:00,2025-12-17 14:34:29+00:00,SEA Games 33 Thailand | Men's dan Women's MLBB Grand Finals | Filipino,SEA Games 33 Thailand | Men's dan Women's MLBB Grand Finals | Filipino,MPL Philippines,UC5ASeit2rM3taMSUChv9tNA,20,Gaming,"MLBB, MPL, MPLPH, Be Legendary, Esports, Mobile Legends, Gaming",7,https://i.ytimg.com/vi/EDf57E-Yq6M/hqdefault.jpg,fil,en,False,37567,PT10H26M7S,hd,False,True,,,594615,2592,17
