video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
J7OdfC7y-50,PK,2026-01-02 02:33:19.006130+00:00,2025-12-30 02:00:06+00:00,JAWAI || NOMI JUTT || NEW PUNJABI SONG OFFICIAL MUSIC VIDEO 2K26,JAWAI || NOMI JUTT || NEW PUNJABI SONG OFFICIAL MUSIC VIDEO 2K26,NOMI JUTT MUSIC ,UC4Hj-iigzQJ0uvbHHcyNe8A,10,Music,"JAWAISONGNOMIJUTT, nomijuttnewsong, Bapukaindaaymainsujanaiwayahkarna, Nomijuttjawai",4,https://i.ytimg.com/vi/J7OdfC7y-50/hqdefault.jpg,en,pa,False,495,PT8M15S,hd,False,True,,,413273,25303,3031
UqKgaYaSnJQ,PK,2026-01-02 02:33:19.006158+00:00,2025-12-31 16:08:57+00:00,"Aik Aur Pakeezah | Teaser 1 | Ft. Sehar Khan, Nameer Khan, Amna Ilyas, Gohar Rasheed | Har Pal Geo","Aik Aur Pakeezah | Teaser 1 | Ft. Sehar Khan, Nameer Khan, Amna Ilyas, Gohar Rasheed | Har Pal Geo",HAR PAL GEO,UCe9JSDmyqNgA_l2BzGHq1Ug,24,Entertainment,"geo dramas, latest pakistani drama, top pakistani dramas, latest promo, har pal geo, latest teaser, pakistani dramas, best pakistani ost, पाकिस्तानी सीरियल, पाकिस्तानी ड्रामा, Aik Aur Pakeezah OST, Official OST, Nameer Khan & Sehar Khan Love Story, #AikAurPakeezah, Full OST, Nameer Khan Coming Drama, Sehar Khan, Sehar Khan New Drama, Trending OST, Aik Aur Pakeezah First Look, Nameer Khan, Amna Ilyas, Gohar Rasheed, Nadia Afgan, Aik Aur Pakeezah Trailer, ED-MT-UP-MT",26,https://i.ytimg.com/vi/UqKgaYaSnJQ/hqdefault.jpg,en,en,False,68,PT1M8S,hd,False,True,,,245168,4395,233
YIeXXbdbWvc,PK,2026-01-02 02:33:19.006171+00:00,2025-12-31 10:14:30+00:00,I Found Scary Villager City in Minecraft..,I Found Scary Villager City in Minecraft..,Carry Depie,UClqifC6Nd7v-IfTqce4k62A,20,Gaming,"carry depie, minecraft",2,https://i.ytimg.com/vi/YIeXXbdbWvc/hqdefault.jpg,en,hi,False,1073,PT17M53S,hd,False,True,,,1463598,15837,847
bWJCIt9LgLY,PK,2026-01-02 02:33:19.006180+00:00,2025-12-26 12:30:07+00:00,Ali Da Deedar | 13 Rajab Manqabat 2026 | Farhan Ali Waris | Mola Ali Qasida | Qawwali,Ali Da Deedar | 13 Rajab Manqabat 2026 | Farhan Ali Waris | Mola Ali Qasida | Qawwali,Farhan Ali Waris,UC7o6_9PaatOjXSjN7kCdsww,10,Music,"13 rajab manqabat, 13 rajab qasida, mola ali manqabat, 13 rajab manqabat 2026, farhan ali waris, manqabat, mola ali, ali da deedar, qawwali, farhan ali waris manqabat 2026, nara ali da, 13 rajab, imam ali, kaaba, qasida, naat, aj kaabay nu ali da deedar hogaya, nadeem sarwar, mola ali qasida, hazrat ali, mir hasan mir, 13 rajab qasida farhan ali waris, 13 rajab qasida 2026, qaseeda, haider haider, new qasida, manqabat mola ali, new manqabat 2026, manam ghulam hazrat shah najaf",29,https://i.ytimg.com/vi/bWJCIt9LgLY/hqdefault.jpg,en,ur,False,511,PT8M31S,hd,False,True,,,578083,23192,2092
AfQ13jsLDms,PK,2026-01-02 02:33:19.006188+00:00,2025-12-30 14:00:05+00:00,Stranger Things 5 | Finale Trailer | Netflix,Stranger Things 5 | Finale Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/AfQ13jsLDms/hqdefault.jpg,en,en-US,False,97,PT1M37S,hd,True,True,,,12969677,309037,24568
sc-w2Zd3Xg4,PK,2026-01-02 02:33:19.006196+00:00,2025-12-25 12:40:32+00:00,I Found a Secret Millionaire Villager City in Minecraft!,I Found a Secret Millionaire Villager City in Minecraft!,ProBoiz 95,UCSncGB_s0tuWN-4l-58mmvQ,20,Gaming,"minecraft, millionaire, millionaire minecraft, minecraft millionaire city, minecraft millionaire villager city, gaming, funny, minecraft villager city, proboiz, proboiz 95",10,https://i.ytimg.com/vi/sc-w2Zd3Xg4/hqdefault.jpg,en,en-IN,False,1458,PT24M18S,hd,False,True,,,3596237,60241,6096
NfrcEPY20oU,PK,2026-01-02 02:33:19.006204+00:00,2025-12-27 11:11:24+00:00,NAWAB | Malkoo X Bilal Marth | New Punjabi Song 2025 | Official Video | Malkoo Studio,NAWAB | Malkoo X Bilal Marth | New Punjabi Song 2025 | Official Video | Malkoo Studio,Malkoo Studio,UCS2p3JaueEmjtKac3Cb0Fqg,10,Music,"Malkoo, punjabi song, latest song 2025, Bilal Marth, marth, koka, nak da koka, bm7, tapay, nawab, nawab bilal marth, new song 2025, new song",13,https://i.ytimg.com/vi/NfrcEPY20oU/hqdefault.jpg,en,en,False,356,PT5M56S,hd,False,True,,,543657,38391,2643
ROpZPCE_KdM,PK,2026-01-02 02:33:19.006212+00:00,2025-12-29 15:00:05+00:00,Humesha | Official Trailer | Emaan Khan And Ahmed Randhaawa | Xpose Prime,Humesha | Official Trailer | Emaan Khan And Ahmed Randhaawa | Xpose Prime,Xpose Prime,UC7WSyeAWNnBBHViUvNlNj1Q,24,Entertainment,"Humesha | Official Trailer | Emaan Khan And Ahmed Randhaawa | Xpose Prime, hamesha tumko chaha, hamesha tumko chaha song, hamesha movie, hamesha movie scene, hamesha movie scene dosti, hamesha movie best scene, hindi short film, hindi short films award winning, love story movie, love story movie in hindi, pakistani new film, emaan khan dramas, emaan khan dramas new, emaan khan new drama 2025, emaan khan new drama, ahmed randhawa all drama, ahmed randhawa all drama new, Humesha",19,https://i.ytimg.com/vi/ROpZPCE_KdM/hqdefault.jpg,en,hi,False,41,PT41S,hd,False,True,,,167196,3037,72
2VTzMDTZp6M,PK,2026-01-02 02:33:19.006219+00:00,2025-12-28 04:00:04+00:00,Franklin’s Tigers Fight Wild Stray Dogs in GTA 5 | SHINCHAN and CHOP,Franklin’s Tigers Fight Wild Stray Dogs in GTA 5 | SHINCHAN and CHOP,HAMID-T GAMING,UCD2DXey1TK7rev4VGOBvT_g,20,Gaming,"funny games, oggy noob pro hacker, noob pro hacker game, funny gameplay hindi, games in hindi, funny mobile games, shinchan and chop, chop shinchan franklin, shinchan gta 5, shin chan gta 5 in hindi, shinchan in hindi, gta v shinchan, shin chan cartoon gta 5, shinchan roblox, chop roblox, shinchan and franklin, animal revolt battle simulator godzilla, arbs hindi, gta 5 mods, gta 5 hindi, hamid-t gaming, hamid-t gta 5, hamid-t shinchan, hamidt, hamiti, hamid gaming, amaan-t",27,https://i.ytimg.com/vi/2VTzMDTZp6M/hqdefault.jpg,en,zxx,False,1786,PT29M46S,hd,False,True,,,728245,7590,287
lcw4TDMBjZA,PK,2026-01-02 02:33:19.006227+00:00,2025-12-22 05:30:08+00:00,AADAT (Official Video): YO YO HONEY SINGH | AP DHILLON | VAANI KAPOOR | 51 GLORIOUS DAYS | BHUSHAN K,AADAT (Official Video): YO YO HONEY SINGH | AP DHILLON | VAANI KAPOOR | 51 GLORIOUS DAYS | BHUSHAN K,T-Series,UCq-Fj5jknLsUf-MWSy4_brA,10,Music,"tseries, tseries songs, hindi songs, aadat honey singh, ap dhillon new song, aadat ap dhillon and honey singh, yo yo honey singh new song, aadat ap dhillon honey singh, yo yo honey singh aadat, ap dhillon songs, aadat ap dhillon, honey singh songs, glorious days album song, aadat vaani kapoor, honey singh aadat song, ap dhillon aadat song, aadat honey singh ap dhillon, ap dhillon song, latest punjabi songs, new punjabi song, punjabi songs new, ap dhillon punjabi song",22,https://i.ytimg.com/vi/lcw4TDMBjZA/hqdefault.jpg,en,hi,False,223,PT3M43S,hd,False,True,,,19413787,559326,53652
