video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
Hw8CYuXAYBs,PL,2025-12-14 02:35:23.524081+00:00,2025-12-12 12:00:41+00:00,Żabson - KLASYK (feat. Wiz Khalifa),Żabson - KLASYK (feat. Wiz Khalifa),INTERNAZIOMALE,UCmUBbTrtvBYjmTNKPZYD2qA,10,Music,"żabson, klasyk, wiz khalifa, wiz kalifa, zabson, internaziomale, young leosia, waima, szklanki, jungle girl, piosenki, księżniczki, lesoia, sexoholik, puerto bounce, trapollo, polski karnawal, dmt, floyd mayweather, seksoholik, ulala, baila ella, pokora, do tanca, twister, obok, daddy shoes, mlody boss, malik montana, icey, young igi, robotniczy trap, amfisbena, tapczan, mata, zabson to ziomal, gibbs, kokaina, miszel, kabe, kizo, tribbs, quequalisty, chillwagon, buhaj klan, kuban, czarne okulary, gm2l, tekst",49,https://i.ytimg.com/vi/Hw8CYuXAYBs/hqdefault.jpg,pl,en,False,154,PT2M34S,hd,True,True,,,361726,30306,1512
YqdAEdkHrwo,PL,2025-12-14 02:35:23.524124+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,False,True,,,11852361,351697,19303
ja7luP81AQ0,PL,2025-12-14 02:35:23.524135+00:00,2025-12-12 14:01:27+00:00,♪ WOJAN - ZBUDUJMY BAZE feat. LUCZEK i PIMPEK [CAŁA PIOSENKA],♪ WOJAN - ZBUDUJMY BAZE feat. LUCZEK i PIMPEK [CAŁA PIOSENKA],Wojan Games,UCzTFc6-iB68HTx3syrjTN_w,20,Gaming,"wojan, minecraft, wojan minecraft, wojan games, wojanowice, piosenka, wojan piosenka, piosenka wojana, wojan śpiewa, piosenki, piosenki dla dzieci, piosenka minecraft, piosenka o minecraft, fajna piosenka, pieski, kości, pimpek, luczek, luczek i pimpek, baza, zbudujmy baze, baza vs, wojan zbudujmy baze luczek pimpek, wojan luczek pimpek, cała piosenka",25,https://i.ytimg.com/vi/ja7luP81AQ0/hqdefault.jpg,pl,pl,False,167,PT2M47S,hd,False,True,,,656636,17689,4109
My2ZZVnpRb8,PL,2025-12-14 02:35:23.524145+00:00,2025-12-11 23:00:07+00:00,MODELKI - KTO MA STYL (prod. Vłodarski),MODELKI - KTO MA STYL (prod. Vłodarski),MODELKI,UCOybcuUsIG4ow2xNyFZlVbw,10,Music,"kto ma styl, modelki, modelki on top, modelkiontop, genzie, asmr, kizo, martalcio, wojan, vlog, antony esca, barcie, dawid artysta, genzi, goats, oskar cyms, meggie, young leosia, bambi, blanka, dziarma, zui, oliwka brazil, mei bee, dalia, fagata, millie walky, irl, catchup, bletka, roxie wegiel, mortal, smolasty, kubanczyk, kacperczyk, reto, szpaku, sanah, tribbs, pluta, kinderki, skolim, doda, white 2115, sb mafija, hotel mafijja, chyba że z tobą, miss dior, on me, trochę za blisko, ile dać mam, hifi, wayup",53,https://i.ytimg.com/vi/My2ZZVnpRb8/hqdefault.jpg,pl,pl,False,137,PT2M17S,hd,True,False,,,156526,5805,628
lAmkl1jL0fo,PL,2025-12-14 02:35:23.524154+00:00,2025-12-12 01:16:43+00:00,Star Wars: Fate of the Old Republic Teaser Trailer,Star Wars: Fate of the Old Republic Teaser Trailer,Star Wars,UCZGYJFUizSax-yElQaFDp5Q,24,Entertainment,,0,https://i.ytimg.com/vi/lAmkl1jL0fo/hqdefault.jpg,en,en-US,False,91,PT1M31S,hd,False,True,,,1976714,95061,7563
gIwhqzOx59I,PL,2025-12-14 02:35:23.524162+00:00,2025-12-14 00:04:48+00:00,StarLadder Budapest Major 2025 || PÓŁFINAŁY,StarLadder Budapest Major 2025 || PÓŁFINAŁY,Dzinold,UCRJ9RaLFBDrvgxPkldOLBfQ,20,Gaming,,0,https://i.ytimg.com/vi/gIwhqzOx59I/hqdefault.jpg,pl,pl,False,31186,PT8H39M46S,hd,False,True,,,201163,4156,9
UaZntJEXeIM,PL,2025-12-14 02:35:23.524171+00:00,2025-12-12 14:24:44+00:00,GDULA - ZAPACH BENZYNY (Ładne Dziewczyny),GDULA - ZAPACH BENZYNY (Ładne Dziewczyny),GDULA,UCM1kSUvUdK1jkqPymmoVmvA,10,Music,,0,https://i.ytimg.com/vi/UaZntJEXeIM/hqdefault.jpg,pl,pl,False,79,PT1M19S,hd,False,True,,,74351,5151,262
n6JxVxSHjqE,PL,2025-12-14 02:35:23.524179+00:00,2025-12-12 02:29:41+00:00,Tomb Raider: Legacy of Atlantis Announcement Trailer,Tomb Raider: Legacy of Atlantis Announcement Trailer,Tomb Raider,UCaAUQeeSpnQmeEhPl1Rru0A,20,Gaming,"tomb, raider",2,https://i.ytimg.com/vi/n6JxVxSHjqE/hqdefault.jpg,en-US,en,False,110,PT1M50S,hd,False,False,,,372513,19739,2108
LOxHUFjTd60,PL,2025-12-14 02:35:23.524186+00:00,2025-12-12 12:00:48+00:00,TESTUJEMY NOWE LUCKY BLOCKI w UKRADNIJ BRAINROT!,TESTUJEMY NOWE LUCKY BLOCKI w UKRADNIJ BRAINROT!,Wojan PLUS,UC5OmAy7nQNIYIh5XwPDCJ2g,20,Gaming,"wojan, wojan plus, plus, roblox, robux, wojan roblox, roblox robux, gra, ptys, ptyś, gacek, noob, noobek, wojanek, lucky block, lucky, block, nowe lucky block, ukradnij brainrot, brainrot",20,https://i.ytimg.com/vi/LOxHUFjTd60/hqdefault.jpg,pl,pl,False,1182,PT19M42S,hd,False,True,,,231457,4591,474
QAhM3xjtAsI,PL,2025-12-14 02:35:23.524194+00:00,2025-12-11 15:01:01+00:00,Polska Wersja - W kontakcie,Polska Wersja - W kontakcie,Polska Wersja,UCwfTdeZtfckR96ClyUAtdLg,10,Music,"Polska, Wersja",2,https://i.ytimg.com/vi/QAhM3xjtAsI/hqdefault.jpg,pl,pl,False,204,PT3M24S,hd,False,True,,,199237,11550,528
