video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
J5r4-t_Bzck,PY,2025-12-26 02:28:46.961585+00:00,2025-12-24 23:55:06+00:00,Rocío Dúrcal - Como Tu Mujer (Letra),Rocío Dúrcal - Como Tu Mujer (Letra),RIXELUS,UCrkF_lRGv6wuOZVNWCuOCuA,10,Music,"rocio durcal, como tu mujer, como tu mujer album, rocio durcal como tu mujer letra, rocio durcal como tu mujer karaoke, rocio durcal como tu mujer lyrics, rocio durcal como tu mujer audio, rocio durcal como tu mujer tiktok, latin pop, pop latino, musica latina, karaoke, hd, hq, topic, rixelus",16,https://i.ytimg.com/vi/J5r4-t_Bzck/hqdefault.jpg,es,es,False,264,PT4M24S,hd,False,True,,,204599,459,7
4h3i9_t4n8E,PY,2025-12-26 02:28:46.961663+00:00,2025-12-23 14:17:05+00:00,AVENGERS: DOOMSDAY Teaser Tráiler (2026),AVENGERS: DOOMSDAY Teaser Tráiler (2026),ONE Media Español,UCcVNDl7ZJMf9lC9a34CY4RA,1,Film & Animation,"Tráiler, Película, Español, Latino, 2025, Avengers Doomsday, Avengers Doomsday Tráiler, Captain America, Chris Evans, Marvel, Avengers 5",11,https://i.ytimg.com/vi/4h3i9_t4n8E/hqdefault.jpg,es,es,False,101,PT1M41S,hd,False,True,,,308758,14579,1111
iB248-F-P6c,PY,2025-12-26 02:28:46.961676+00:00,2025-12-25 21:21:09+00:00,¡CONSEGUÍ la NUEVA clase de SANTA INGENIERO! 🦌😲🎅🛠️ SILVIOGAMER en 99 NOCHES en el BOSQUE,¡CONSEGUÍ la NUEVA clase de SANTA INGENIERO! 🦌😲🎅🛠️ SILVIOGAMER en 99 NOCHES en el BOSQUE,Silvio Gamer,UCCrA8ZN1J3S52wuF4vthZFQ,20,Gaming,"SILVIO, SILVIOGAMER, SILVIO GAMER, MINECRAFT, Silvio, silviogamer, silvio, silvio gamer, minecraft silvio, silvio minecraft, silviogamer minecraft, minecraft silviogamer, silviogamer minecraft pero, minecraft pero, CONSEGUI, CONSEGUÍ, SANTA, CLASE, NUEVA CLASE, CLASE DE SANTA, 6 ESTRELLAS, 1000, DIAMANTES, INGENIERO, OBTUVE, LA NUEVA, NUEVA, CLASE OP, OP, CLASS, NEW CLASS, NEW OP CLASS, 99 NIGHTS, 99 NIGHTS IN THE FOREST, 99 NOCHES EN EL BOSQUE, 99 NOCHES, 99 NOCHES BOSQUE, BOSQUE, VENADO",39,https://i.ytimg.com/vi/iB248-F-P6c/hqdefault.jpg,es,es,False,2259,PT37M39S,hd,False,True,,,173413,9818,4217
GI4_G3V458Q,PY,2025-12-26 02:28:46.961687+00:00,2025-12-24 01:27:58+00:00,Las 50 Mejores Villancicos Navideños 🎄 Música Navideña Clásica 🎅🏻 Feliz Navidad 2025,Las 50 Mejores Villancicos Navideños 🎄 Música Navideña Clásica 🎅🏻 Feliz Navidad 2025,Christmas Music Fireplace,UC29QZcKH_z9oYyNlAeXhSxQ,10,Music,"villancicos navideños, villancicos de navidad, musica de navidad, musica navideña, canciones de navidad, canciones navideñas, villancicos clasicos, musica navideña clasica, feliz navidad, navidad en español, villancicos tradicionales, exitos navideños, playlist navidad, musica para navidad, canciones de navidad en español, villancicos populares, musica de navidad clasica, navidad canciones, nochebuena musica, musica para nochebuena, musica navideña 2025, villancicos 2025",22,https://i.ytimg.com/vi/GI4_G3V458Q/hqdefault.jpg,es,en,False,7656,PT2H7M36S,hd,False,True,,,2248395,5236,179
Mzw2ttJD2qQ,PY,2025-12-26 02:28:46.961697+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,True,True,,,24725910,461762,24078
DBy2y3qkgwk,PY,2025-12-26 02:28:46.961707+00:00,2025-12-25 19:24:23+00:00,Encontramos Un BRAINROT ENTERRADO ATERRADOR en Minecraft…,Encontramos Un BRAINROT ENTERRADO ATERRADOR en Minecraft…,Awita,UC62nFXtc3KNujp9LCPJt-sA,20,Gaming,,0,https://i.ytimg.com/vi/DBy2y3qkgwk/hqdefault.jpg,es,es-419,False,2365,PT39M25S,hd,False,True,,,153461,3902,551
qLYGZy3kb_E,PY,2025-12-26 02:28:46.961714+00:00,2025-12-21 19:00:52+00:00,"Grupo Frontera, Fuerza Regida - COQUETA (Letra)","Grupo Frontera, Fuerza Regida - COQUETA (Letra)",SabroSón,UCz-jVF7_acwSvt30vGJRTOw,10,Music,"Grupo Frontera, Fuerza Regida, COQUETA, Coqueta letra, Grupo Frontera Coqueta, Fuerza Regida Coqueta, regional mexicano moderno, norteño urbano, cumbia norteña, corridos suaves, música mexicana actual, colaboración regional, canciones virales regional, tendencia música mexicana, regional 2025, letras regionales, Grupo Frontera nueva canción, Fuerza Regida nuevo tema, hit regional mexicano, regional latino, video lyrics regional, música mexicana moderna, éxito del momento",23,https://i.ytimg.com/vi/qLYGZy3kb_E/hqdefault.jpg,es,es,False,242,PT4M2S,hd,False,True,,,212800,539,14
MPfZhgLiK6w,PY,2025-12-26 02:28:46.961724+00:00,2025-12-20 05:00:26+00:00,JUJUTSU KAISEN The Culling Game | Official Trailer | Crunchyroll,JUJUTSU KAISEN The Culling Game | Official Trailer | Crunchyroll,Crunchyroll,UC6pGDc4bFGD1_36IKv3FnYg,1,Film & Animation,"jujutsu kaisen, jujutsu kaisen anime, jjk, jjk anime, jujutsu kaisen season 3, jujutsu kaisen s3, jjk s3, crunchyroll, anime, anime pv, anime trailer, jujutsu kaisen culling game, jujutsu kaisen the culling game, jujutsu kaisen season 3 trailer, jujutsu kaisen trailer",15,https://i.ytimg.com/vi/MPfZhgLiK6w/hqdefault.jpg,en,ja,False,117,PT1M57S,hd,False,True,,,5775880,295430,10067
Or8ivp1j5VU,PY,2025-12-26 02:28:46.961734+00:00,2025-12-25 19:15:04+00:00,Compré BASES ABANDONADAS de LUCKY BLOCKS en Steal a Brainrot!,Compré BASES ABANDONADAS de LUCKY BLOCKS en Steal a Brainrot!,Jonbtc,UCIkoPdb6_lhL-Tgh6Ly2lVg,20,Gaming,"roblox, robux, rovlox, en roblox, de roblox, roblox gratis, ROBLOX, jonbtc, steal a brainrot, roblox brainrots, roba un brainrot, secreto, Actualizacion, soy neto, nuevos brainrot, nueva actualizacion, sammy, admin, nuevo secreto, RITUAL, brainrot og, admin abuse hoy, nuevos brainrots, nuevo brainrot og, nueva maquina, admin abuse, brainrots navidad, lucky blocks, trasteros, bases, abandonado, abandonadas, abrir, comprar, LUCKY BLOCKS",35,https://i.ytimg.com/vi/Or8ivp1j5VU/hqdefault.jpg,es,es-ES,False,1375,PT22M55S,hd,False,True,,,133695,2766,205
zZyVd0xCPEo,PY,2025-12-26 02:28:46.961743+00:00,2025-12-06 18:48:35+00:00,José Feliciano - Feliz Navidad (Letra),José Feliciano - Feliz Navidad (Letra),sweetblue.,UCZdj1MDpyXBPI6nUs_2MZhw,10,Music,"recomendados, sped up, letra en español, lyrics, español, sub español, traducción, tiktok, edit, sweetblue, recomendación, para ti, búsquedas, letra, musica, musica independiente, trend",17,https://i.ytimg.com/vi/zZyVd0xCPEo/hqdefault.jpg,es,zxx,False,183,PT3M3S,hd,False,True,,,2548583,17241,220
