video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
WjD187yu1Bk,RU,2025-12-23 02:29:55.678531+00:00,2025-12-22 10:59:34+00:00,"Мэйби Бэйби, Дора, Baby Cute – Вуаля (ПРЕМЬЕРА КЛИПА)","Мэйби Бэйби, Дора, Baby Cute – Вуаля (ПРЕМЬЕРА КЛИПА)",МЭЙБИ БЭЙБИ,UCBhNW531Uyx1ooaWlcepyvg,10,Music,"мэйби бэйби, дора, baby cute, мейби бейби, maybe baby, dora, дорадура, бэйби кьют, вуаля, mayday, diss, дисс, силиконовый гном, m3, shokk, втюрилась, мэйдэй, мейдей, шокк, хулиганы, instasamka diss, мэй, lovesongs, oh my god, money over boys, voolia, завела и свела с ума, вуаля мейби бейби, бейби кьют, вуаля дора, дора вуаля, мейби бейби вуаля, дора мейби бейби, мэйби бэйби дора, мейби бейби дора, мэйби бэйби вуаля, вуаля клип, клип вуаля, мейби, babycute, вуаля мэйби бэйби",41,https://i.ytimg.com/vi/WjD187yu1Bk/hqdefault.jpg,ru,ru,False,215,PT3M35S,hd,False,True,,,100259,14295,891
Mzw2ttJD2qQ,RU,2025-12-23 02:29:55.678574+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,True,True,,,8042655,294431,18434
vjuclIY1Uf8,RU,2025-12-23 02:29:55.678586+00:00,2025-12-22 12:02:00+00:00,Lp. Мастерская [47] • #23 СВОБОДНЫЙ ПОЛЁТ [Вперёд за горы!] • Майнкрафт,Lp. Мастерская [47] • #23 СВОБОДНЫЙ ПОЛЁТ [Вперёд за горы!] • Майнкрафт,MrLololoshka (Роман Фильченков),UCAvrIl6ltV8MdJo3mV4Nl4Q,20,Gaming,"Лололошка, Lololoshka, MrLololoshka, Летсплей, Сборка, Скачать, Магия, Моды, Майнкрафт, Minecraft",10,https://i.ytimg.com/vi/vjuclIY1Uf8/hqdefault.jpg,ru,ru,False,2742,PT45M42S,hd,False,True,,,559792,59898,3529
5yhzj4o9BeU,RU,2025-12-23 02:29:55.678595+00:00,2025-12-21 20:07:26+00:00,Papaoutai (Afro Soul),Papaoutai (Afro Soul),Chill77 - Topic,UCmUyw7xQSTrk-F7h2pv-IWA,10,Music,"Chill77, Papaoutai (Afro Soul)",2,https://i.ytimg.com/vi/5yhzj4o9BeU/hqdefault.jpg,en,fr,False,280,PT4M40S,hd,False,True,,,74467,4078,0
gzTWqq1D5kc,RU,2025-12-23 02:29:55.678604+00:00,2025-12-22 14:27:10+00:00,"Одиссея - Русский трейлер (Субтитры, 2026) Кристофер Нолан","Одиссея - Русский трейлер (Субтитры, 2026) Кристофер Нолан",FRESH Trailers,UCbd7vzvz5wFe7r_KaW5tQUw,1,Film & Animation,"Трейлер, Русский, best movies, fresh trailers, Кино, Фильм, русский, трейлер, новые фильмы, The Odyssey, The Odyssey trailer, 2026, official, Anne Hathaway, Tom Holland, Matt Damon, Jon Bernthal, Robert Pattinson, Charlize Theron and Zendaya Одиссея, Одиссея трейлер, Одиссея русский трейлер, Одиссея 2026, фэнтези, боевик, приключения, смотреть, hd, сериал, новинки кино, кино новинки, трейлеры, трейлеры 2026, фильмы 2026, фильм, кино 2026, русский трейлер, трейлер фильма, trailers 2026",38,https://i.ytimg.com/vi/gzTWqq1D5kc/hqdefault.jpg,ru,ru,False,121,PT2M1S,hd,False,False,,,37307,819,262
VB9xp7Zl9W8,RU,2025-12-23 02:29:55.678613+00:00,2025-12-22 15:52:50+00:00,СБЕГАЮ ОТ ЗЛЫХ РОДИТЕЛЕЙ СПУСТЯ ПОЛ ГОДА В SCHOOLBOY RUNAWAY В МАЙНКРАФТ!,СБЕГАЮ ОТ ЗЛЫХ РОДИТЕЛЕЙ СПУСТЯ ПОЛ ГОДА В SCHOOLBOY RUNAWAY В МАЙНКРАФТ!,EdisonPts,UCrpt82vHWIWZSHtNQxncPrg,20,Gaming,"эдисон, едісон, edisonpts, эдисон перец, едисон, эд, майнкрафт, minecraft, эдисон новая рубрика, schoolboy runaway, побег от злых родителей, сбегаю от злых родителей, клайп и натаха",13,https://i.ytimg.com/vi/VB9xp7Zl9W8/hqdefault.jpg,ru,ru,False,1501,PT25M1S,hd,False,True,,,323928,29167,5358
MtmzPZTonnQ,RU,2025-12-23 02:29:55.678622+00:00,2025-12-15 14:06:26+00:00,Modern Talking - Cheri Cheri Lady (Lyrics) + napisy pl,Modern Talking - Cheri Cheri Lady (Lyrics) + napisy pl,Jellyżelka,UCUtXjHFcg8ZCcvJUPusfiGQ,10,Music,"modern talking - cheri cheri lady, modern talking - cheri cheri lady lyrics, modern talking cheri cheri lady, modern talking cheri cheri lady lyrics, cheri cheri lady, cheri cheri lady lyrics, lyrics cheri cheri lady, cheri cheri lady modern talking, cheri cheri lady modern talking lyrics, lyrics cheri cheri lady modern talking, modern talking lyrics cheri cheri lady, modern talking lyrics, modern talking, lyrics modern talking, lyrics, polskie, tłumaczenie, jellyzelka, cherry lady",19,https://i.ytimg.com/vi/MtmzPZTonnQ/hqdefault.jpg,en,en,False,224,PT3M44S,hd,False,True,,,515440,1356,15
9yh0HYZaEW8,RU,2025-12-23 02:29:55.678630+00:00,2025-12-21 18:31:39+00:00,СЛИЛИ тизеры Мстителей 5 // Трейлер Человека-Паука 4 // Фильм про Росомаху,СЛИЛИ тизеры Мстителей 5 // Трейлер Человека-Паука 4 // Фильм про Росомаху,Qewbite,UCBss5McqBPfUKk5OZES0WFA,25,News & Politics,"новости, новости кино, кьюбайт, qewbite, марвел, DC, Трейлер, Тизер, новости недели, трейлер, 2025, тизер марвел, тизер, новые трейлеры, Мстители: Судный День, мстители 5, человек паук 4, человек паук, кьюбайт человек паук, человек паук новый день, Человека-Паука 4, Marvel, тизер мстители 5, человек паук 4 трейлер",24,https://i.ytimg.com/vi/9yh0HYZaEW8/hqdefault.jpg,ru,ru,False,3103,PT51M43S,hd,False,True,,,203164,13007,648
SrrSaa-yTqc,RU,2025-12-23 02:29:55.678639+00:00,2025-12-22 10:00:45+00:00,ЕГО ОСОЗНАННЫЙ РОБОТ В РЕАЛЬНОЙ ЖИЗНИ СБЕЖАЛ!!!,ЕГО ОСОЗНАННЫЙ РОБОТ В РЕАЛЬНОЙ ЖИЗНИ СБЕЖАЛ!!!,Виндяй,UCdd2rozVKNHZg9oTeY_X7WQ,23,Comedy,,0,https://i.ytimg.com/vi/SrrSaa-yTqc/hqdefault.jpg,ru,ru,False,902,PT15M2S,hd,False,True,,,302354,23176,1351
g6UzZkYtOEE,RU,2025-12-23 02:29:55.678646+00:00,2025-12-21 19:08:41+00:00,ОСМОН ДАР МАРГИ КОБИЛЧОН ГИРИСТ! Суруд бахшида ба ёди Қобилҷони азиз аз Анвар Ахмедов,ОСМОН ДАР МАРГИ КОБИЛЧОН ГИРИСТ! Суруд бахшида ба ёди Қобилҷони азиз аз Анвар Ахмедов,TaronaMusic,UCWPZ5yM8i_QUUkLvCSDz7ZA,10,Music,"Tarona Music, Taronamusic, TaronaMusic, Таронамузик, Таронамюзик, Клипхои точики, Точики, Сурудхои точики, консерти точики, Консерти нав, Клипи нав, Таджикские клипы, Таджикские песни, Таджикистан, Таджики, Точикистон, Ситорахои Точикистон, Ситорахои Хучанд, Хучанд, Khujand, Душанбе, Dushanbe, Таджикские певцы, Таджикские певицы, Хофизи Точикистон, Сарояндагони Точикистон, Клипхои бехтарин, Қобилҷон, Кобилжон, Кобилчони 10 сола, Кобилчон Алиев, Қобилҷон Алиев, Qobiljon, Qobiljon Aliev",34,https://i.ytimg.com/vi/g6UzZkYtOEE/hqdefault.jpg,tg,tg,False,304,PT5M4S,hd,False,True,,,188508,2773,813
