video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
Cs6i13GIyo8,SE,2025-12-28 02:42:18.454198+00:00,2025-12-15 15:00:08+00:00,Nassif Zeytoun & @abuwardmusic - Kazdoura [Official Video] (2025) / ناصيف زيتون و أبو ورد - كزدورة,Nassif Zeytoun & @abuwardmusic - Kazdoura [Official Video] (2025) / ناصيف زيتون و أبو ورد - كزدورة,Nassif Zeytoun,UCO4AjeljgqgiowEf2yfvYHg,10,Music,"nassif, nassif zeytoun, nassif zaiton, nassif zeiton, nassif zayton, nassif zeyton, ناصيف زيتون, ناصيف, nassif music, nassif zeytoun music, اغاني نصيف زيتون, ناصيف زيتون 2023, nassif 2023, kazdoura, kazdura, kazdoora, kazdora, abu ward, abou ward, abu wared, nassif and abu ward, nassif zeytoun and abu ward, nassif kazdoura, abu ward kazdoura, nassif kazdura, أبو ورد كزدورة, أبو ورد, ناصيف زيتون و أبو ورد, كزدورة, ناصيف زيتون كزدورة",30,https://i.ytimg.com/vi/Cs6i13GIyo8/hqdefault.jpg,ar,ar,False,203,PT3M23S,hd,True,True,,,15627622,121794,7721
Mzw2ttJD2qQ,SE,2025-12-28 02:42:18.454237+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,True,True,,,26797535,481218,24948
Bx2ejavSVSw,SE,2025-12-28 02:42:18.454249+00:00,2025-12-24 08:40:10+00:00,Minecraft Speedrunner VS 3 Hunters REVIVAL,Minecraft Speedrunner VS 3 Hunters REVIVAL,Dream,UCTkXRDQl0luXxVQrRQvWS6w,20,Gaming,"minecraft, dream, dream minecraft",3,https://i.ytimg.com/vi/Bx2ejavSVSw/hqdefault.jpg,en,en,False,3080,PT51M20S,hd,True,True,,,5517908,236121,13731
9loVIHzN2aQ,SE,2025-12-28 02:42:18.454258+00:00,2025-12-26 16:00:07+00:00,Bessan Ismail - Najma (Official Music Video) | بيسان اسماعيل - نجمة,Bessan Ismail - Najma (Official Music Video) | بيسان اسماعيل - نجمة,Bessan Ismail Music,UChqTvg4HK6_vNDCwy7XypqQ,10,Music,"نجمة, Najma, bessan ismail, bessan, bessan ismael, bissan, bissan ginger, bissan tiktok, ani el eshktak, بيسان اسماعيل, بيسان ترند جديد, Kelmat Hwaya, Ana Nadman, bessan ismail music, هيهات, chabaka, Bessan Ismail, bessan ismail songs, bessan ismail vlog, bessan ismail 2025, arabic pop, arabic songs, بيسان اسماعيل اغاني, بيسان اسماعيل جديد, ترند بيسان, arabic music, مشاهير التيك توك, نجوم سوريا, syria stars, بيسان اسماعيل تيك توك, bessan ismail tiktok, bessan ismail youtube",32,https://i.ytimg.com/vi/9loVIHzN2aQ/hqdefault.jpg,ar,ar,False,176,PT2M56S,hd,False,True,,,4233149,187434,49163
_Dfc89TY-aA,SE,2025-12-28 02:42:18.454267+00:00,2025-12-24 14:00:00+00:00,Peaky Blinders: The Immortal Man | Official Teaser | Netflix,Peaky Blinders: The Immortal Man | Official Teaser | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Barry Keoghan, Cillian Murphy, Conspiracy, Netflix, Netflix 2026, Netflix Teasers, New on Netflix, Packy Lee, Peaky Blinders, Rebecca Ferguson, Sophie Rundle, Stephen Graham, Steven Knight, Tense, The Immortal Man, Tim Roth, Tom Harper, drama, film, teaser",20,https://i.ytimg.com/vi/_Dfc89TY-aA/hqdefault.jpg,en,en-US,False,71,PT1M11S,hd,True,True,,,6488234,170605,5309
ErnWUbjOKoU,SE,2025-12-28 02:42:18.454275+00:00,2025-12-23 19:20:00+00:00,SIDEMEN AMONG US CHRISTMAS SPECIAL: SANTA ROLE,SIDEMEN AMONG US CHRISTMAS SPECIAL: SANTA ROLE,MoreSidemen,UCh5mLn90vUaB1PbRRx_AiaA,22,People & Blogs,"sidemen, moresidemen, miniminter, ksi, zerkaa, behzinga, tbjzl, vikkstar, wroetoshaw",9,https://i.ytimg.com/vi/ErnWUbjOKoU/hqdefault.jpg,en,en-GB,False,3193,PT53M13S,hd,False,True,,,3405870,123733,4191
ta4KAXDxsx0,SE,2025-12-28 02:42:18.454283+00:00,2025-12-18 10:07:11+00:00,Wham! - Last Christmas (Japanese Lyrics),Wham! - Last Christmas (Japanese Lyrics),WhamVEVO,UCm1QnxCbcLB8fQwoTDk39iQ,10,Music,"Empowered, Festive, Happy, Last Christmas, Nostalgic, Pop, Single, Throwback, Wham!",9,https://i.ytimg.com/vi/ta4KAXDxsx0/hqdefault.jpg,ja,en,False,279,PT4M39S,hd,False,True,,,2398857,7775,321
1CaGH4rQ6IU,SE,2025-12-28 02:42:18.454290+00:00,2025-12-22 09:00:03+00:00,DOKTOR GLAS | OFFICIELL TRAILER,DOKTOR GLAS | OFFICIELL TRAILER,SF Studios,UC_4Nc4NeEG-SIaetcgMTtfw,1,Film & Animation,"SF, Studios, Biofilm, Trailer",4,https://i.ytimg.com/vi/1CaGH4rQ6IU/hqdefault.jpg,sv,en-GB,False,96,PT1M36S,hd,False,False,,,42829,34,5
MCjXaLmWkoI,SE,2025-12-28 02:42:18.454298+00:00,2025-12-23 12:30:34+00:00,GRANNY är TILLBAKA och hon har ett NYTT HUSDJUR. (galen uppdatering!),GRANNY är TILLBAKA och hon har ett NYTT HUSDJUR. (galen uppdatering!),Martin Rockström,UCaNp_ehsWYZdbObIoBNVooQ,20,Gaming,"Martin Rockström, Martin, Rockström, Matin, Rokström, Granny, Svenska, Swedish, Spel, Game, Skräck, Horror, Läskigt, Scary, Skräckspel, Horror Game, Jumpscare, Jumpscares, Granny Svenska, Martin Rockström Granny, Episkt, Epic, Musik, Music, Granny 1, Granny: Chapter 1, Uppdatering, Update, Nytt, New, GRANNY är TILLBAKA och hon har ett NYTT HUSDJUR. (galen uppdatering!)",31,https://i.ytimg.com/vi/MCjXaLmWkoI/hqdefault.jpg,sv,sv,False,3345,PT55M45S,hd,False,True,,,75863,4828,1662
9NK2oq0oA7g,SE,2025-12-28 02:42:18.454306+00:00,2025-12-12 16:00:08+00:00,Adam - Kaza Shakhsiyeh (Official Music Video) | آدم - كذا شخصية,Adam - Kaza Shakhsiyeh (Official Music Video) | آدم - كذا شخصية,Adam | آدم,UC3uOwAgmquYz0bPNcvXILzg,10,Music,"في عندك كزا شخصية, أول ما جرّب انسى بترجعلي, علقتني, طمعتني, kaza shakhsiyeh, كذا شخصية, adam, adam new song, adam kaza chakhsiyeh, آدم كذا شخصية, آدم, albi mertah, albi merta7, new song adam, adam new 2025, قلبي مرتاح آدم, قلبي مرتاح بحبك, انتي الحب اللي باقي, أول حبيب, على بالي, تعا, Taa, مجروح, Majrou7, نحنا سوا, في طيبة بقبلك, Ahla Snin, أحلى سنين, خسارة, Khsara, خلص الدمع, خلصت الحكاية, أنا ما إلي بالحب, Bhebak Ana, بحبك أنا, Ana Btaa Zaman, Adam New Song 2025, Chabaka",38,https://i.ytimg.com/vi/9NK2oq0oA7g/hqdefault.jpg,ar,ar,False,182,PT3M2S,hd,False,True,,,9503851,82399,2787
