video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
tvkPj1QfpdQ,SK,2025-12-10 05:38:31.702983+00:00,2025-12-04 19:00:02+00:00,Ektor - Dilema (OFFICIAL VIDEO),Ektor - Dilema (OFFICIAL VIDEO),Ektor,UCQ8fC1XMUxttt3rOpZpEOjg,10,Music,"ektor, dj wich, loket z vokna, je mi to fuk, rytmus, special beatz, marpo, separ, hladovej, efekt, nasavat ten vibe, ego, prazdnej sex, penize, kontrafakt, detektor, nohy v pest, generace x, jak jinak, james cole, drep, pil c, detektor 2, detektor II, airon meidan, topstvi, tetris, enemy, ektor dilema, dilema, ektor ptsd, ptsd",32,https://i.ytimg.com/vi/tvkPj1QfpdQ/hqdefault.jpg,en,cs,False,157,PT2M37S,hd,False,True,,,331331,14593,544
Fv0leN8TmR8,SK,2025-12-10 05:38:31.703008+00:00,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,UCQJWtTnAHhEG5w4uN0udnUQ,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, chace crawford, jared padalecki",27,https://i.ytimg.com/vi/Fv0leN8TmR8/hqdefault.jpg,en,en,False,121,PT2M1S,hd,True,True,,,7467472,313709,16700
31yoTkPOZ4c,SK,2025-12-10 05:38:31.703020+00:00,2025-12-06 07:35:00+00:00,Moji Rodičia Skončili vo VÄZENÍ v Schoolboy Runaway v Minecraft ( Koniec Série ? ),Moji Rodičia Skončili vo VÄZENÍ v Schoolboy Runaway v Minecraft ( Koniec Série ? ),Asimister,UCmsd0Ar0UoZoMbYEBUWLWMA,20,Gaming,"asimister, minecraft, minecraft cz, minecraft cz sk, minecraft cz survival, minecraft cz/sk, minecraft cz sk lets play, minecraft gameplay cz, minecraft sk cz, minecraft cz download, asimister minecraft, gameplay, gameplay minecraft, gameplay cz, gameplay cz sk, minecraft dedina, asimister minecraft life hacky, asimister minecraft dedina, schoolboy runaway, schoolboy runaway cz, schoolboy runaway asimister, asimister school boy runaway, minecraft pocket edition cz",23,https://i.ytimg.com/vi/31yoTkPOZ4c/hqdefault.jpg,sk,sk,False,1828,PT30M28S,hd,False,True,,,72072,3475,166
Nipuygz_YlA,SK,2025-12-10 05:38:31.703029+00:00,2025-12-06 15:03:40+00:00,BOKI x LUCIE BIKÁROVÁ - POSLEDNÝ TANEC (prod.Vajdis) |Official Video|,BOKI x LUCIE BIKÁROVÁ - POSLEDNÝ TANEC (prod.Vajdis) |Official Video|,BM MUSIC,UCXUwBrSp59VSNON9U2fo37A,10,Music,"boki, bm music, bokmajster, zlomene srdce, lejla, gipsy tlak, bez teba, dakujem dobre, tak pod, mulatinel, romale funk, zivot s tebou, tancuj so mnou, rytmus, tomas botlo, sa uvolni, pod tancuj, stastny je ten, vamos, nikto z nas, boki csmt, cesko slovensko ma talent, lucie bikarova, volba",24,https://i.ytimg.com/vi/Nipuygz_YlA/hqdefault.jpg,sk,sk,False,218,PT3M38S,hd,False,True,,,97763,3334,287
VI6XO8EijT4,SK,2025-12-10 05:38:31.703037+00:00,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,UCn_FAXem2-e3HQvmK-mOH4g,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",19,https://i.ytimg.com/vi/VI6XO8EijT4/hqdefault.jpg,en,en,False,58,PT58S,hd,True,True,,,7674613,576364,32014
fvdqjwlZJlg,SK,2025-12-10 05:38:31.703045+00:00,2025-12-08 17:36:15+00:00,SVETOVÝ REKORD?? - Clash Royale,SVETOVÝ REKORD?? - Clash Royale,FiFqo,UCgfhZNT4T6YiT28c7DLEzAw,20,Gaming,"clash royale, clash, royale, brawl stars, brawl, stars, supercell, cz, sk, cesky, slovensky, cesko, slovensko, fifqo, fifko, clash royale cz, clash royale sk, brawl stars cz, brawl stars sk, gameplay, letsplay, opening, 2025, push, challenge, 24 hodin, 24 hour, 24hod, 24h, 24 hodin clash royale, 7000, 8000, 9000, 10000, 11000, 12000, 13500, rage push, rage, nervy, bolest, fifqo rage, 14000, 14k, 14500, 14.5, 15000, 15k, heroic, hrdina, update, level 16, hero mini pekka, hero knight, ban, level 30",56,https://i.ytimg.com/vi/fvdqjwlZJlg/hqdefault.jpg,sk,sk,False,927,PT15M27S,hd,False,True,,,20964,2196,135
NKLooXo1gNo,SK,2025-12-10 05:38:31.703054+00:00,2025-12-06 20:06:08+00:00,Tóth Andi feat. Belano -  Nu mă lasă,Tóth Andi feat. Belano -  Nu mă lasă,ᴛóᴛʜᴀɴᴅɪ,UCnqdD7eo9YB_QI69nyExITQ,10,Music,,0,https://i.ytimg.com/vi/NKLooXo1gNo/hqdefault.jpg,hu,hu,False,171,PT2M51S,hd,False,True,,,963282,34072,1190
XRRnP91SSrQ,SK,2025-12-10 05:38:31.703062+00:00,2025-12-05 16:00:21+00:00,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,UCXqV4yoyC_mmZye6VbKFPeQ,20,Gaming,,0,https://i.ytimg.com/vi/XRRnP91SSrQ/hqdefault.jpg,en,en,False,58,PT58S,hd,True,True,,,3341518,219376,15973
d4AF31V52FY,SK,2025-12-10 05:38:31.703069+00:00,2025-12-01 16:00:13+00:00,Postavil jsem ZOO pro REÁLNÝ Zvířata v Minecraftu,Postavil jsem ZOO pro REÁLNÝ Zvířata v Minecraftu,SirYakari,UCggdHIILKfXpdB_0KI0Nmeg,20,Gaming,"Minecraft, pvp, cz, sk, česky, minihry, lets, play, troll, past, challange, uhcrun, texture, pack, trolling, trollení, siryakari, yakari, minecraft ale, zábava, vtipné, reakce, 100 hráčů, 100 hráčů plní moje úkoly, dohrál jsem minecraft, minecraft ultra hardcore, ultra hardcore, ultra hard minecraft, survival, minecraft mody, family friendly, mody, minecraft siryakari, roblox, siryakari roblox, fortnite, siryakair ultra hardcore, uhc 85, siryakari zoo, siryakari ultrahardcore zoo, reálný zvířata",41,https://i.ytimg.com/vi/d4AF31V52FY/hqdefault.jpg,cs,cs,False,4917,PT1H21M57S,hd,False,True,,,269250,13117,663
958I2Qm7AEM,SK,2025-12-10 05:38:31.703078+00:00,2025-12-08 17:00:07+00:00,"Danior x Tunisino feat. Raphael - Itialiano, Cigan, Arab |Official Video|","Danior x Tunisino feat. Raphael - Itialiano, Cigan, Arab |Official Video|",DONFANTASTICKYPESS,UC-yJccH4T1UnNrY0YyspGYg,10,Music,"danior, tunisino, itialiano cigan arab, raphael itialiano cigan arab, danior itialiano cigan arab, italiano cigan arab, rytmus, raphael rytmus, danior raphael, the mag wrap, raphael, raphael itialiano, italiano, chceme vela, ideme pre to, suno, benzema, slatt, Nekonečno & 1 flow, nekonečno a jeden flow, luca brassi10x, free love, ready či ne, blocksuperstars, zober za mna, pocuvaj rap, diana",27,https://i.ytimg.com/vi/958I2Qm7AEM/hqdefault.jpg,sk,sk,False,133,PT2M13S,hd,False,True,,,33519,1807,135
