video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
3zKbyyTfPkc,SN,2025-12-31 02:30:35.775579+00:00,2025-12-14 18:30:26+00:00,Jahman X-press - YA NOB BANDIT BI (official video),Jahman X-press - YA NOB BANDIT BI (official video),Jahman X-Press,UC0JZ_3DU8Pz4p8tM701RRjA,10,Music,"Jahman Xpress, Ya Nob Bandit Bi, Arva, Damalay Beugg, Vj, Jeune Mara, Amadeus, Wally Seck, Mia Guisse, Can 2025, Mame Ndiaye Savon, Ashs The Best",12,https://i.ytimg.com/vi/3zKbyyTfPkc/hqdefault.jpg,en,fr,False,235,PT3M55S,hd,False,False,,,3000353,31380,806
Dm1P6lGLvh4,SN,2025-12-31 02:30:35.775621+00:00,2025-12-28 12:02:51+00:00,Série - Marie & Momo - Episodes 44 - Bande annonce,Série - Marie & Momo - Episodes 44 - Bande annonce,Marodi TV Sénégal,UCqe0sSESmaQbLFdTExctQLA,24,Entertainment,"Séries, Série, télévisions, sénégal, séries sénégalaises, marodi tv, Marodi, séries africaines, mbarodi, vidéos sénégal, karma, maitresse, pod et marichou, decheance, virginie, emprises, credule, baabel, kay&za",19,https://i.ytimg.com/vi/Dm1P6lGLvh4/hqdefault.jpg,fr,fr,False,35,PT35S,hd,False,True,,,368817,12834,73
G9W3esvSDsg,SN,2025-12-31 02:30:35.775633+00:00,2025-12-27 21:08:50+00:00,Sénégal contre République démocratique du Congo | Coupe d'Afrique des Nations | PES 21 Simulation,Sénégal contre République démocratique du Congo | Coupe d'Afrique des Nations | PES 21 Simulation,Football Gamer Rony,UCaopyJz-EIXOXYXSMOC6c-g,20,Gaming,"match en direct aujourd-hui, senegal, rdc vs senegal, senegal vs congo, rdc vs senegal en direct, can 2025 maroc en direct, can 2025 maroc, math senegal en direct, match senegal en direct, senegal congo, senegal vs congo live, senegal vs rdc, match en direct, direct match aujourd'hui en direct, bein sport live, congo vs senegal, rdc senegal en direct, coupe d'afrique 2025, canal+ + sport en direct, can 2025, senegal congo direct, rdc senegal",22,https://i.ytimg.com/vi/G9W3esvSDsg/hqdefault.jpg,en,en,False,1205,PT20M5S,hd,False,True,,,1044506,3599,0
eH7BL9NblGE,SN,2025-12-31 02:30:35.775642+00:00,2025-12-25 12:00:07+00:00,Momo Dieng - Li Ngama Tamale (Clip Officiel),Momo Dieng - Li Ngama Tamale (Clip Officiel),Prince Arts,UC1uK-pqfQ-7KkWU6BccPIVA,10,Music,"Afarobeat Sénégal, Afro pop, Artistes francophones, Clips sénégalais, Culture sénégalaise, Label musical Afrique, Live show artistes africains, Musique mbalax, Musique traditionnelle moderne, Musique urbaine Afrique, Spectacles live Dakar, afro mbalax, hits senegal",13,https://i.ytimg.com/vi/eH7BL9NblGE/hqdefault.jpg,fr-FR,fr,False,253,PT4M13S,hd,False,True,,,452263,11047,351
Ydm2QCZmpdo,SN,2025-12-31 02:30:35.775650+00:00,2025-12-25 20:06:01+00:00,Famille Sénégalaise - Saison 03 - Épisode 145 - Bande annonce ,Famille Sénégalaise - Saison 03 - Épisode 145 - Bande annonce ,Sen Analyses ,UCMeA3PNH6_ND1GAlkth_C0Q,22,People & Blogs,,0,https://i.ytimg.com/vi/Ydm2QCZmpdo/hqdefault.jpg,fr,fr,False,146,PT2M26S,hd,False,True,,,250878,1790,175
af9A78NzgdA,SN,2025-12-31 02:30:35.775659+00:00,2025-12-30 22:09:25+00:00,🔴EN DIRECT : SÉNÉGAL vs BÉNIN | Simulation de jeu eFootball PES 21,🔴EN DIRECT : SÉNÉGAL vs BÉNIN | Simulation de jeu eFootball PES 21,KYRGYZ PUBG,UCmgLrmSvU8lVTrKRd1OgZ7Q,20,Gaming,,0,https://i.ytimg.com/vi/af9A78NzgdA/hqdefault.jpg,en,fr,False,184,PT3M4S,hd,False,True,,,242873,882,0
NYTIiAzF90M,SN,2025-12-31 02:30:35.775667+00:00,2025-12-25 18:07:56+00:00,VJ - Sai Sai,VJ - Sai Sai,VJ,UCNiTCM_vGvvr8iJ8EsmtRaw,10,Music,"814, VJ, akhlou, alum, amadeus, amira, amour, bete, brcik, cardilogue, daka, dip, dundu, ep, event, gis, guisse, hiphop, hoside, iss, jahman, jeeba, love, mane, marodi, mbalax, mia, mouhamedvj, ndour, ngaka, nitdof, prod, rap, rnb, sadio, seck, senegal, serie, sonko, tv, vj, waaly, youssou",43,https://i.ytimg.com/vi/NYTIiAzF90M/hqdefault.jpg,af,en-US,False,221,PT3M41S,hd,False,True,,,273520,9655,313
zxYQqMq7G_k,SN,2025-12-31 02:30:35.775675+00:00,2025-12-29 16:30:34+00:00,Série - Hakke Rewbé - Bande annonce - VOSTFR,Série - Hakke Rewbé - Bande annonce - VOSTFR,Marodi TV Pulaar,UCDSrsm78cMRc5CeyNnbymUg,22,People & Blogs,,0,https://i.ytimg.com/vi/zxYQqMq7G_k/hqdefault.jpg,fr,fr,False,159,PT2M39S,hd,False,True,,,39363,2943,105
lUm5xL0Vt2o,SN,2025-12-31 02:30:35.775683+00:00,2025-12-30 21:11:08+00:00,[EN DIRECT] Bénin vs Sénégal⚽ Coupe d'Afrique des Nations CAF 2025 Match complet -  jeu vidéo,[EN DIRECT] Bénin vs Sénégal⚽ Coupe d'Afrique des Nations CAF 2025 Match complet -  jeu vidéo,Kampleng Com,UCdMJwGhTUhAzk1ksH6iHjUw,24,Entertainment,"bénin vs sénégal en direct, bénin vs sénégal, bénin vs sénégal coupe 2025, bénin vs sénégal 2025 coupe d'afrique caf, bénin vs sénégal match complet, bénin vs sénégal coupe d'afrique des nations, bénin vs sénégal complet, bénin, sénégal, 2024, caf live, match, coupe d'Afrique, streaming bénin vs sénégal, bénin vs sénégal aujourd'hui, coupe d'afrique des nations, livecore",17,https://i.ytimg.com/vi/lUm5xL0Vt2o/hqdefault.jpg,id,id,False,6980,PT1H56M20S,hd,False,True,,,164181,552,3
J7Od3N7a7qI,SN,2025-12-31 02:30:35.775691+00:00,2025-12-19 18:00:07+00:00,Saifond Midho Labhanma (clip Officiel By Mintigui Prod,Saifond Midho Labhanma (clip Officiel By Mintigui Prod,SAIFOND,UCL3ltgLhi_JcFeFzzsOQ9pg,10,Music,Saifond,1,https://i.ytimg.com/vi/J7Od3N7a7qI/hqdefault.jpg,fr,ff,False,179,PT2M59S,hd,False,True,,,1070838,35027,3334
