video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
dwEyuxiqyOs,TH,2025-12-11 02:29:19.337806+00:00,2025-12-09 17:40:08+00:00,BADMIXY - GOOD BOY Ft.PoyFaii (Official Music Video),BADMIXY - GOOD BOY Ft.PoyFaii (Official Music Video),Badmixy,UCXMY2bWdXuIHQ6J918eh40A,22,People & Blogs,,0,https://i.ytimg.com/vi/dwEyuxiqyOs/hqdefault.jpg,en,th,False,202,PT3M22S,hd,False,True,,,670575,47603,1976
vz9hF9Yesr4,TH,2025-12-11 02:29:19.337845+00:00,2025-12-09 23:01:19+00:00,映画『SAKAMOTO DAYS』特報　【2026.4.29（水・祝）公開】,映画『SAKAMOTO DAYS』特報　【2026.4.29（水・祝）公開】,東宝MOVIEチャンネル,UCTDMT3aL30noTVFgNPA9XtQ,1,Film & Animation,,0,https://i.ytimg.com/vi/vz9hF9Yesr4/hqdefault.jpg,ja,ja,False,31,PT31S,hd,False,True,,,247124,7280,261
5LwHNejOBWo,TH,2025-12-11 02:29:19.337857+00:00,2025-12-09 09:30:07+00:00,99 วันใต้น้ำช่วยเพื่อน Spongebob,99 วันใต้น้ำช่วยเพื่อน Spongebob,zbing z.,UC5zGJZpxeZPFcds5gFcDE7Q,20,Gaming,"zbingz, แป้ง, แคสเกม, ซีบิ้ง, เกม, พี่แป้ง, พี่แป้งแคสเกม",7,https://i.ytimg.com/vi/5LwHNejOBWo/hqdefault.jpg,th,en,False,1770,PT29M30S,hd,False,True,,,366906,5050,296
mX0kv32_XWk,TH,2025-12-11 02:29:19.337866+00:00,2025-12-08 11:01:37+00:00,Jeff Satur x TIMETHAI - ของขวัญปีใหม่ (Golden Night) | Live Session,Jeff Satur x TIMETHAI - ของขวัญปีใหม่ (Golden Night) | Live Session,Jeff Satur,UCSFWkjQRmSJoz9QQ4lkwlDA,10,Music,"Jeff Satur x TIMETHAI - ของขวัญปีใหม่ (Golden Night) | Live Session, Jeff Satur x TIMETHAI, Jeff Satur, TIMETHAI, ธามไท, jeff satur, เจฟ ซาเตอร์, ของขวัญปีใหม่, Jeff Satur เพลง, Jeff Satur เพลงใหม่, Jeff Satur Song, Golden Night, JeffSaturRedGiantEPAlbum, RedGiant, redgiant, jeff satur red giant, รักเก่า",17,https://i.ytimg.com/vi/mX0kv32_XWk/hqdefault.jpg,en,th,False,253,PT4M13S,hd,False,True,,,830229,40552,1576
ItcRoJ_WZqc,TH,2025-12-11 02:29:19.337876+00:00,2025-12-08 05:00:32+00:00,หอแต๋วแตกแหกหลีหู - Official Trailer,หอแต๋วแตกแหกหลีหู - Official Trailer,Major Group,UCWX-AbDUDdbWij4H0E8Msuw,1,Film & Animation,"ดูหนัง, ดูหนังออนไลน์, หนังใหม่, หนังโรง, โรงภาพยนตร์, ตัวอย่างหนัง, โรงหนัง, ภาพยนตร์, ซับไทย, subthai, พากย์ไทย, movie, trailer, Cinema, เมเจอร์ ซีนีเพล็กซ์, Major Cineplex, Major Group",17,https://i.ytimg.com/vi/ItcRoJ_WZqc/hqdefault.jpg,th,th,False,160,PT2M40S,hd,False,False,,,70727,1473,160
zaKIijjOmwI,TH,2025-12-11 02:29:19.337884+00:00,2025-12-09 09:30:42+00:00,ตู้คีบตุ๊กตา ธุรกิจสีเทา ที่ทำเงินมหาศาล #3 | MALL SIMULATOR,ตู้คีบตุ๊กตา ธุรกิจสีเทา ที่ทำเงินมหาศาล #3 | MALL SIMULATOR,PRIMKUNG,UChjKDMnMMG6iZY3twuuS2zg,20,Gaming,,0,https://i.ytimg.com/vi/zaKIijjOmwI/hqdefault.jpg,th,th,False,1835,PT30M35S,hd,False,True,,,348857,8940,417
svc0MxR_puA,TH,2025-12-11 02:29:19.337891+00:00,2025-12-10 10:00:27+00:00,PORZAX - ” ผู้เข้าชิงคนโปรด “ ,PORZAX - ” ผู้เข้าชิงคนโปรด “ ,PORZAX,UClObHYR9T7NPul7MIMZSSpA,20,Gaming,,0,https://i.ytimg.com/vi/svc0MxR_puA/hqdefault.jpg,th,th,False,220,PT3M40S,hd,False,True,,,41072,3294,194
MkJYSkaygi4,TH,2025-12-11 02:29:19.337899+00:00,2025-12-10 14:00:41+00:00,The Drama | Official Teaser HD | A24,The Drama | Official Teaser HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,1,Film & Animation,"a24, a24 films, a24 trailers, independent films, trailer, HD, official, movie, film, a24 movies, oscar winner, academy award winner",12,https://i.ytimg.com/vi/MkJYSkaygi4/hqdefault.jpg,en,en,False,88,PT1M28S,hd,True,True,,,584794,22781,1204
_exbJ-zMIe8,TH,2025-12-11 02:29:19.337906+00:00,2025-12-09 09:45:03+00:00,เมื่อตี้หมูสับอยู่ในโลกมาริโอ้...ขำจนร้องไห้ | Super Mario Party,เมื่อตี้หมูสับอยู่ในโลกมาริโอ้...ขำจนร้องไห้ | Super Mario Party,กาย หงิด,UC79u_tfhqjGIi1tgWsJEG7Q,20,Gaming,"กายหงิด, กิตงาย, ROV, AOV, EVOS.Guy, E-Sport, โอหงิด, อาร์งาย, โปรเพลเยอร์, นักกีฬา, อีสปอร์ต, นักกีฬาอีสปอร์ต, ตลก, ฮา, เกรียน, สนุก, หนังตลก, หัวเราะ",18,https://i.ytimg.com/vi/_exbJ-zMIe8/hqdefault.jpg,th,th,False,4084,PT1H8M4S,hd,False,True,,,381453,12772,317
2k3H3GTdbjE,TH,2025-12-11 02:29:19.337915+00:00,2025-12-09 22:30:01+00:00,ของขวัญปีใหม่ (Golden Night) - Jeff Satur x TIMETHAI | WHYLIVE ครั้งที่ 23,ของขวัญปีใหม่ (Golden Night) - Jeff Satur x TIMETHAI | WHYLIVE ครั้งที่ 23,KHOTKOOL MUSIC,UClaWcr2EHnESxeANYikBkvQ,10,Music,,0,https://i.ytimg.com/vi/2k3H3GTdbjE/hqdefault.jpg,th,th,False,242,PT4M2S,hd,False,True,,,53174,2486,89
2aaiTW4Rrcs,TH,2025-12-11 02:29:19.337922+00:00,2025-12-10 17:24:58+00:00,🔴 Live อึ่งไข่หัดบิน ลุงเออยากเป็นกัปตัน ถึงเครื่องจะเก่าแต่นักบินเราใหม่  | Flight Simulator,🔴 Live อึ่งไข่หัดบิน ลุงเออยากเป็นกัปตัน ถึงเครื่องจะเก่าแต่นักบินเราใหม่  | Flight Simulator,Lung-A ลุงเอ,UCzf1EbXTHZHK6_G-Q-MT3vw,20,Gaming,,0,https://i.ytimg.com/vi/2aaiTW4Rrcs/hqdefault.jpg,th,th,False,19891,PT5H31M31S,hd,False,True,,,243596,7360,19
mTHE8F4o2G0,TH,2025-12-11 02:29:19.337929+00:00,2025-12-10 11:00:08+00:00,PiXXiE - HUH? | OFFICIAL M/V,PiXXiE - HUH? | OFFICIAL M/V,LIT Entertainment,UCOOz33ai-EJi-gOJEGsaNZQ,10,Music,,0,https://i.ytimg.com/vi/mTHE8F4o2G0/hqdefault.jpg,th,th,False,231,PT3M51S,hd,True,True,,,198697,8012,567
