video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
1DXs771fzQY,TN,2025-12-20 02:20:27.269993+00:00,2025-12-19 17:00:07+00:00,EMP1RE - NRAPI NGHANI (Official Music Video),EMP1RE - NRAPI NGHANI (Official Music Video),EMP1RE,UC982yfxBCeh5WI9GRRlciww,10,Music,,0,https://i.ytimg.com/vi/1DXs771fzQY/hqdefault.jpg,en,ar,False,235,PT3M55S,hd,False,True,,,68093,9731,637
e0Eo0D038rQ,TN,2025-12-20 02:20:27.270023+00:00,2025-12-15 13:40:00+00:00,Stranger Things 5 | Volume 2 Trailer | Netflix,Stranger Things 5 | Volume 2 Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/e0Eo0D038rQ/hqdefault.jpg,en,en-US,False,134,PT2M14S,hd,True,True,,,13921234,562296,23029
2AVN01kv9X0,TN,2025-12-20 02:20:27.270036+00:00,2025-12-19 11:16:30+00:00,حرقت السكن المطور في اول ثانية !!,حرقت السكن المطور في اول ثانية !!,SA7RAWI,UCjHq0FqdRB0JP-1CcokW3-w,20,Gaming,"الصحراوي, صحراوي فري فاير, sa7rawi, فري فاير, صحراوي, فري فاير الجزائر, تهكير فري فاير, تحدي فري فاير, مقلب النوب, شحنتلهم, شحن فري فاير, ألف جوهرة, تخريب حساب, شحنت للمتابع, تحدي أفوز, FREE FIRE, NOOB PRANK, سكواد جزائري, خدعة اللغم, ساكورا, التحديث الجديد فري فاير, WHITE444, هيدشوت تلقائي, حسونة, دراغونوف, DBL N, الشخصية الجديدة, متجر التخفيضات, السكن, الشوتقن, فري فاير لايت, الكريمنال, الفاير باس الاول, المتابعين, اصعب تحدي, Ali Omar, M16, TRYHARD, DJEXO, قيم بلاي, سكواد بنات",41,https://i.ytimg.com/vi/2AVN01kv9X0/hqdefault.jpg,ar,ar,False,941,PT15M41S,hd,False,True,,,311095,27828,2708
GjD_GUypLIg,TN,2025-12-20 02:20:27.270046+00:00,2025-12-19 13:44:06+00:00,DAK - Street Philo 5.0 (Officiel Music Vidéo Lyrics)(Explicite) ,DAK - Street Philo 5.0 (Officiel Music Vidéo Lyrics)(Explicite) ,DAK,UCv1TjMSnS4Nn0iLT-odoO8A,10,Music,,0,https://i.ytimg.com/vi/GjD_GUypLIg/hqdefault.jpg,fr,fr,False,174,PT2M54S,hd,False,True,,,107895,15422,2558
pPRl9cQNwFY,TN,2025-12-20 02:20:27.270054+00:00,2025-12-12 01:18:42+00:00,GOOBA REACTION صاحبك راجل 2 - SAHBEK RAJEL 2 | OFFICIAL TRAILER,GOOBA REACTION صاحبك راجل 2 - SAHBEK RAJEL 2 | OFFICIAL TRAILER,Mortyisheretn,UCf1ZVX0sT3df4LVYtxz5q_Q,20,Gaming,"gooba, gooba reaction, SAHBEK RAJEL 2, sahbek, rajel, sahbek rajel, official trailer, GOOBA REACTION SAHBEK RAJEL 2 | OFFICIAL TRAILER, match, matchy matchy, gooba reaction matchy, صاحبك راجل, صاحبك راجل 2, nessma tv, سيتكوم صاحبك راجل, فيلم صاحبك راجل, فيلم صاحبك راجل 2, فيلم صاحبك راجل 2 كامل, mortyisheretn",19,https://i.ytimg.com/vi/pPRl9cQNwFY/hqdefault.jpg,en,ar,False,491,PT8M11S,hd,False,True,,,57972,616,10
Fq6rf3wcz-o,TN,2025-12-20 02:20:27.270062+00:00,2025-12-19 14:00:34+00:00,فري فاير ارسلت لي ملابس خاصة !!,فري فاير ارسلت لي ملابس خاصة !!,SA7RAWI Gaming,UC2qdrMpLKn3GgeCwN65SX_Q,20,Gaming,"الصحراوي, صحراوي فري فاير, sa7rawi, فري فاير, صحراوي, فري فاير الجزائر, تهكير فري فاير, تحدي فري فاير, مقلب النوب, شحنتلهم, شحن فري فاير, ألف جوهرة, تخريب حساب, شحنت للمتابع, تحدي أفوز, FREE FIRE, NOOB PRANK, سكواد جزائري, خدعة اللغم, ساكورا, التحديث الجديد فري فاير, WHITE444, هيدشوت تلقائي, حسونة, دراغونوف, DBL N, الشخصية الجديدة, متجر التخفيضات, السكن, الشوتقن, فري فاير لايت, الكريمنال, الفاير باس الاول, المتابعين, اصعب تحدي, Ali Omar, M16, TRYHARD, DJEXO, قيم بلاي, سكواد بنات",41,https://i.ytimg.com/vi/Fq6rf3wcz-o/hqdefault.jpg,ar,ar,False,907,PT15M7S,hd,False,True,,,120334,10181,584
WiWmZwHezCs,TN,2025-12-20 02:20:27.270070+00:00,2025-12-17 13:30:27+00:00,Young RZ - Menich Kifek (Official Music Video),Young RZ - Menich Kifek (Official Music Video),YOUNG RZ,UC07OXjeAKhswIPEnoDj8qRQ,10,Music,"Young RZ, Youngrz, Menich Kifek, hiphop, trap, rap, RnB, tunisia, tunisian, Tunisian rap, Tunisian music, Music, Arabic, Arabic Music, اغاني, اغاني تونس, تونسية, هب هوب, راب, راب تونسي, Tunis, Arabic Artist, Arabic Rap, Official Channel, Chaine Officielle, La2a La2a, 9ased Rabi, قاصد ربي, J'men Fou Ya Milano, La Sciatemi, Secrito, FREESTYLE, Fra, Camera cachée, Mosta9bel Majhoul, EGO, EL WARDA L7AMRA, Millimètre, Win Mechy, Beli Sarli, HipHop, Rap, اغاني راب, تونس, Chabaka",45,https://i.ytimg.com/vi/WiWmZwHezCs/hqdefault.jpg,fr,fr,False,198,PT3M18S,hd,False,True,,,192782,9949,439
YqdAEdkHrwo,TN,2025-12-20 02:20:27.270079+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,False,True,,,15915435,375373,20949
PBVcq0nRylg,TN,2025-12-20 02:20:27.270087+00:00,2025-12-19 15:38:24+00:00,جربت كل لاعبين بكج الايبك المجاني في فيديو واحد 🤩🔥 eFootball 26,جربت كل لاعبين بكج الايبك المجاني في فيديو واحد 🤩🔥 eFootball 26,HERO GAMING,UC9ckQV4_B6ZUv_b5seS--bA,20,Gaming,"بيس 2025 موبايل, efootball 2025 mobile, بيس موبايل اليوم, هيرو جيمنج, HERO GAMING, تفجير بكجات بيس, بكج الابطال, eFootball 2025, اي فوتبول, Pes, بيس, efootball, بيس موبايل, بيس 25, pes mobile, تفجير بكجات بيس موبايل, ايفوتبول 2025, عقود الترشيح, تفجير بكج, تفجير بكج نجوم الاسبوع, خطة بيس, من الصفر, تفتيح بكجات, هيرو بيس, هيرو, hero, eFootball 2026, اي فوتبول 2026, تحديث بيس موبايل, بيس 2026 موبايل, اوليفر كان, زانتي, فليبو انزاجي, تشابي الونسو, البيرت",35,https://i.ytimg.com/vi/PBVcq0nRylg/hqdefault.jpg,ar,ar,False,1880,PT31M20S,hd,False,True,,,56337,8285,435
3GDOOyqrOxc,TN,2025-12-20 02:20:27.270095+00:00,2025-12-19 11:50:10+00:00,Dhaf - Ansehali (Clip officiel),Dhaf - Ansehali (Clip officiel),Dhaf,UCrUz8QBasH38qFretsLzTpw,10,Music,"Dhaf, Tout Seul, Ansehali, Trending, Balti, Boomx3, Elgrandetoto, Gustavo, Dorororo, New music, Sayax, Raptunisien, Muslim, Hit, Turkey vibes, Maghreb, TikTok trend, Dhaf fekret semi",18,https://i.ytimg.com/vi/3GDOOyqrOxc/hqdefault.jpg,fr,ar,False,208,PT3M28S,hd,False,False,,,24616,2099,208
