video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
j8yrA_VqIx4,UG,2025-12-22 02:34:31.700248+00:00,2025-12-12 09:00:07+00:00,Vyroota - Kunsi (Official Music Video),Vyroota - Kunsi (Official Music Video),Vyroota,UCd6K9bQ0AF9U1Wwmo5bY9-g,10,Music,,0,https://i.ytimg.com/vi/j8yrA_VqIx4/hqdefault.jpg,en,hi,False,202,PT3M22S,hd,False,True,,,252691,5242,1583
_6yIjk-01bE,UG,2025-12-22 02:34:31.700284+00:00,2025-12-21 17:01:05+00:00,CONNECTIONS Trailer,CONNECTIONS Trailer,TRUST FILMS,UCRYBjmNSOpahy6gZjv7GQiA,22,People & Blogs,,0,https://i.ytimg.com/vi/_6yIjk-01bE/hqdefault.jpg,en,zxx,False,175,PT2M55S,hd,False,True,,,11401,1071,633
OpjZCNU_EZk,UG,2025-12-22 02:34:31.700296+00:00,2025-12-21 18:57:51+00:00,[LIVE] Aston villa vs Manchester United Premier League 25/26 Full Match - Video Game Simulation,[LIVE] Aston villa vs Manchester United Premier League 25/26 Full Match - Video Game Simulation,Kampleng Com,UCdMJwGhTUhAzk1ksH6iHjUw,24,Entertainment,"aston villa vs manchester united, aston villa vs manchester united live, aston villa vs manchester united premier league, premier league live 2025, premier league aston villa vs manchester united, aston villa vs manchester united 2025, aston villa vs manchester united static, aston villa, manchester united, the derby, london, 2025, premier league live today, live, match, premier league 2025/2026, aston villa vs manchester united prediction, aston villa vs manchester united today",18,https://i.ytimg.com/vi/OpjZCNU_EZk/hqdefault.jpg,id,id,False,8101,PT2H15M1S,hd,False,True,,,156186,739,3
waQJd7hDRv8,UG,2025-12-22 02:34:31.700305+00:00,2025-11-23 09:55:28+00:00,"Nzalina - Feffe Bussi Ft Winnie Nwagi, Spice Diana, Dax Vibez, Kapeke (Official Music Video)","Nzalina - Feffe Bussi Ft Winnie Nwagi, Spice Diana, Dax Vibez, Kapeke (Official Music Video)",Feffe Bussi Music,UCaRZZS9tC5bFjZ6oNuTsbww,10,Music,"#davido, #wizkid, #unforgettable, #pacito, pacito, #eddy, kenzo, #montana, halsey, red, bone, attentionstaysam, hunt, believer, kendrick, lama, humble, #ed, sheeran#wild, thoughts, #shape, of, #bruno, mars, #I'm, the, one#despacito#congraculations, mask, off, #hip, hop, #afrobeat, Something, Just, Like, This",36,https://i.ytimg.com/vi/waQJd7hDRv8/hqdefault.jpg,en,en,False,245,PT4M5S,hd,False,True,,,1126436,17082,2335
Lozvm2NqRWk,UG,2025-12-22 02:34:31.700314+00:00,2025-12-16 13:17:29+00:00,"FAST & FURIOUS 11 Trailer (2027) Vin Diesel, Paul Walker New Era ","FAST & FURIOUS 11 Trailer (2027) Vin Diesel, Paul Walker New Era ",Rinat Abushaev,UChv6f0bkZxYsKjI4_TqIfow,10,Music,,0,https://i.ytimg.com/vi/Lozvm2NqRWk/hqdefault.jpg,ru,ru,False,107,PT1M47S,hd,False,True,,,883945,0,0
Xi8gRSKasY8,UG,2025-12-22 02:34:31.700322+00:00,2025-12-17 22:43:18+00:00,HIGHLIGHTS: Paris Saint-Germain v CR Flamengo | FIFA Intercontinental Cup 2025 Final,HIGHLIGHTS: Paris Saint-Germain v CR Flamengo | FIFA Intercontinental Cup 2025 Final,FIFA,UCpcTrCXblq78GZrTUTLWeBw,17,Sports,,0,https://i.ytimg.com/vi/Xi8gRSKasY8/hqdefault.jpg,en,en,False,120,PT2M,hd,False,True,,,1436480,18356,1146
wjSO90VQjpc,UG,2025-12-22 02:34:31.700329+00:00,2025-12-19 18:30:07+00:00,"Dance For The Lord Remix - Sheebah, Bentrom (Official Video)","Dance For The Lord Remix - Sheebah, Bentrom (Official Video)",Sheebah ,UCURlXQyzG15s9i7_nMdRE5Q,10,Music,"Sheebah Kalungi, New Ugandan Music, Music Videos, New, HD, Video",6,https://i.ytimg.com/vi/wjSO90VQjpc/hqdefault.jpg,en,en,False,174,PT2M54S,hd,False,False,,,154798,8906,1335
YqdAEdkHrwo,UG,2025-12-22 02:34:31.700336+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,False,True,,,16040249,377233,21102
G8WH87DPNPM,UG,2025-12-22 02:34:31.700344+00:00,2025-12-21 14:19:44+00:00,Everton vs Arsenal | English Premier League 2025/26 | Epl Live | PES 21 Simulation Gameplay,Everton vs Arsenal | English Premier League 2025/26 | Epl Live | PES 21 Simulation Gameplay,Football Gamer Rony,UCaopyJz-EIXOXYXSMOC6c-g,20,Gaming,"arsenal vs everton, arsenal, everton vs arsenal, live football match online today, arsenal vs everton today live, premier league, arsenal f.c., arsenal live match today, arsenal vs everton live, premier league highlights, premier league live, sporty tv live, arsenal live, arsenal everton, arsenal vs everton live match today, football live, arsenal highlights, epl, arsenal f.c. vs everton, arsenal vs everton highlights, arsenal today, today football match live",22,https://i.ytimg.com/vi/G8WH87DPNPM/hqdefault.jpg,en,en,False,909,PT15M9S,hd,False,True,,,132100,603,5
kudOdLbKgMY,UG,2025-12-22 02:34:31.700352+00:00,2025-12-12 21:00:07+00:00,Chosen Becky - Kankutwale Ekka Official Video 4k ,Chosen Becky - Kankutwale Ekka Official Video 4k ,Chosen Becky,UC7F8j67iZ_uRqeJeMbF6SGA,10,Music,,0,https://i.ytimg.com/vi/kudOdLbKgMY/hqdefault.jpg,en,en,False,181,PT3M1S,hd,False,True,,,193352,5171,591
