video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
HrpL887WyBs,YE,2025-12-22 02:34:18.247881+00:00,2025-12-21 17:12:58+00:00,عقارب الوقت | سالم المسعودي - أبو حمزة الحنفاشي (حصرياً) 2026,عقارب الوقت | سالم المسعودي - أبو حمزة الحنفاشي (حصرياً) 2026,سالم المسعودي | Al Masoudi,UClvBIeYtsEvOmKZXCGl8vMw,10,Music,"عقارب الوقت, سالم المسعودي, أبو حمزة الحنفاشي, جديد 2026, سالم المسعودي و أبو حمزة الحنفاشي, شيلة عقارب الوقت, جديد اليمن, شيلات اليمن, شيلات الحنفاشي, شيلات سالم المسعودي, ترند اليمن",11,https://i.ytimg.com/vi/HrpL887WyBs/hqdefault.jpg,ar,ar,False,163,PT2M43S,hd,False,True,,,36060,3118,400
BwdMT-OiARI,YE,2025-12-22 02:34:18.247926+00:00,2025-12-21 06:45:01+00:00,Black Clover Second Season | Official Trailer 2 | Crunchyroll,Black Clover Second Season | Official Trailer 2 | Crunchyroll,Crunchyroll,UC6pGDc4bFGD1_36IKv3FnYg,1,Film & Animation,"black clover, black clover anime, black clover season 2, black clover s2, black clover second season, crunchyroll, anime, anime trailer, anime preview",9,https://i.ytimg.com/vi/BwdMT-OiARI/hqdefault.jpg,en,ja,False,110,PT1M50S,hd,False,True,,,1621968,145775,8399
1xSaPMuaf3c,YE,2025-12-22 02:34:18.247938+00:00,2025-12-20 11:12:51+00:00,لعبة عربية مبنية على أحداث واقعية 😢,لعبة عربية مبنية على أحداث واقعية 😢,AboFlah Gaming,UCRu9mro2nPafhMxVy2CRfXA,20,Gaming,"aboflah, flah, gaming, قيمنق, ابو فلة, abo, فله, ابوفلة, ابوفلاح, فلاح, falah, جيمنق, فورتنايت, روبلكس, رعب, حرامي سيارات, جي تي اي, ببجي, ببجي موبايل, PUBG, iphone, العرب, مصر, السعودية, الامارات, دبي, الكويت, kuwait, riyadh, سكواد, عشوائي, لعبة, تحدي, اصعب, ضحك, امونق اس, ديسكورد, ستريم, شات, ماينكرافت, فورت, وارزون, كود, aboflah gaming, abo flah, ابو فلاح, تختيم, سلسلة, فيفا, تحديات, محاكي, لعبة محاكي, هل ابوفله",53,https://i.ytimg.com/vi/1xSaPMuaf3c/hqdefault.jpg,ar,ar,False,891,PT14M51S,hd,False,True,,,1302400,98095,7701
RxGUuh6NF1g,YE,2025-12-22 02:34:18.247949+00:00,2025-12-19 13:00:06+00:00,بدر العزي - عجزت انساه (حصرياً) | 2026,بدر العزي - عجزت انساه (حصرياً) | 2026,badr Alezzi l بدر العزي,UCtz7FuMKqRqjMgJCn2cqkpA,10,Music,"شيلة, شيله, شيلات بدر العزي, شيلات جديده, خليجي جديد, badder alezzi, بدر العزي, دليل المحبه, دفنت الغرام بخافقي والقلوب أسرار, شيلات, شيلات جديده 2025",11,https://i.ytimg.com/vi/RxGUuh6NF1g/hqdefault.jpg,ar,ar,False,275,PT4M35S,hd,False,True,,,131721,6650,1072
XRRnP91SSrQ,YE,2025-12-22 02:34:18.247957+00:00,2025-12-05 16:00:21+00:00,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,UCXqV4yoyC_mmZye6VbKFPeQ,20,Gaming,,0,https://i.ytimg.com/vi/XRRnP91SSrQ/hqdefault.jpg,en,en,False,58,PT58S,hd,True,True,,,4431066,246386,18015
5nS4NYEROnw,YE,2025-12-22 02:34:18.247965+00:00,2025-12-21 12:45:01+00:00,جزء الثاني حلم الطفل امفور الثلجية,جزء الثاني حلم الطفل امفور الثلجية,أترو/Atro,UCjf3ZSi7xMu8O9frZZ8FEGg,20,Gaming,"ببجي, بوبجي, ببجي موبايل, pubg mobile, تحالف, افضل لاعب في ببجي موبايل, صناديق, فتح صناديق ببجي, كمين, فتح صناديق, مقلب, بابجي, اترو, تثبيت سلاح, محترف, مجاني, تحديث, شدات, رومات, بث ببجي, ببجي سعودية, ببجي عراق, ببجي عربي, ببجي سوري, ببجي جزائري, ببجي مغربي, اقوى لاعب ببجي, اسرع لاعب في ببجي, اقوى لاعب في ببجي, اشهر لاعب في ببجي",30,https://i.ytimg.com/vi/5nS4NYEROnw/hqdefault.jpg,ar,ar,False,1039,PT17M19S,hd,False,True,,,71970,14602,2796
BiwetFl-KYc,YE,2025-12-22 02:34:18.247974+00:00,2025-12-21 16:00:06+00:00,Majid Al Mohandis - Dayea | Official Music Video 2025 | ماجد المهندس - ضايع,Majid Al Mohandis - Dayea | Official Music Video 2025 | ماجد المهندس - ضايع,Rotana,UCNhqvQMXIgRfjAGmxQqdNRw,10,Music,"2024, Arabic, Dayea, Majid Al Mohandis, Majid Almohandis, Music, Rotana, Song, Tarab, Trend, abdul majeed abdullah, assala, bahaa sultan, elissa, majid al mohandis, mohammed abdo, music, muslim, najwa karam, new release, rotana, rotana music, top 10, trending, trendy, أغانى, أغاني, أغنيه, اسمع, ترند, ترندي, تيك توك, تيكتوك, روتانا, ضايع, طرب, عربي, علي رياض, علي صابر, فيديو, كليب, ماجد المهندس, مزيكا",43,https://i.ytimg.com/vi/BiwetFl-KYc/hqdefault.jpg,ar,en-US,False,253,PT4M13S,hd,False,True,,,166714,4971,454
YPrijnnpG9o,YE,2025-12-22 02:34:18.247983+00:00,2025-12-21 11:27:48+00:00,فلم قراند : زعرور يشتري منزل الماء الجديد في فلوس مسروقة من احمد ( كركور مصدوم ) 🔥😂,فلم قراند : زعرور يشتري منزل الماء الجديد في فلوس مسروقة من احمد ( كركور مصدوم ) 🔥😂,Ahmad GTA Family - عائلة احمد قراند ,UCQkLgXGjPbIrrNtT8ZtHOmg,22,People & Blogs,"مصطفى GAME OVER, Mr GG, كرافتر - Crafter, XTREEM - اكستريم, اوكا - OKA, AboFlah, Mkamel GG, رانيا كيمنك Rania Gaming, BOZEX, هاردلك | hardlk, افلام, ماين كرافت, فلم ماين كرافت, غني وفقير, فايتر Fighter, ابو فله, فايتر, افلام ماين كرافت, الغني و الفقير, كوكب, M4X5, ماين, MineCraft Movie, Suhaib - صهيب, جلمود - GLMooD, تايمو Tymo, هاردلك HARDLK, Ahmad M4 - احمد ام فور, بطل, Ahmad Hero - احمد البطل, احمد هيرو, سمبوسة - Sambosa, جعطوط - JATOOT, خزان, طيران, P4GAM3R, Y9M5 \ يصمخ, قراند",38,https://i.ytimg.com/vi/YPrijnnpG9o/hqdefault.jpg,ar,ar,False,987,PT16M27S,hd,False,True,,,169016,1799,338
eygoM5K3jds,YE,2025-12-22 02:34:18.247992+00:00,2025-12-20 02:25:51+00:00,الحزن الموسيقي | ابراهيم الملصي | حصري  Ibrahim Al-Mallsi,الحزن الموسيقي | ابراهيم الملصي | حصري  Ibrahim Al-Mallsi,Ibrahim Al-Mallsiابراهيم الملصي,UChm21Kuwi-Tr1WEk_5eD3hQ,10,Music,,0,https://i.ytimg.com/vi/eygoM5K3jds/hqdefault.jpg,ar,ar,False,182,PT3M2S,hd,False,True,,,16584,1211,99
crf9oXiDMyM,YE,2025-12-22 02:34:18.248000+00:00,2025-12-21 21:56:50+00:00,🔴مباشر: المغرب ضد جزر القمر | لعبة محاكاة كرة القدم الإلكترونية بيس 21 على الكمبيوتر,🔴مباشر: المغرب ضد جزر القمر | لعبة محاكاة كرة القدم الإلكترونية بيس 21 على الكمبيوتر,KYRGYZ PUBG,UCmgLrmSvU8lVTrKRd1OgZ7Q,20,Gaming,,0,https://i.ytimg.com/vi/crf9oXiDMyM/hqdefault.jpg,en,ar,False,189,PT3M9S,hd,False,True,,,2526278,8071,5
