video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
vTDFWZSoZco,AR,2026-06-03T05:26:18.518271+00:00,2026-06-02T23:00:06Z,DesaKTa2 x  Candu Domínguez // Dejémoslo Así (En Vivo),DesaKTa2 x  Candu Domínguez // Dejémoslo Así (En Vivo),DesaKTa2 🤟🏼 ,UCW6AsuJPEZEeUH0gRecizkw,10,Music,,0,https://i.ytimg.com/vi/vTDFWZSoZco/hqdefault.jpg,es-419,es-419,False,213,PT3M33S,hd,False,True,False,False,29199,1850,146
HLMX2w3cwuE,AR,2026-06-03T05:26:18.518312+00:00,2026-06-02T22:15:01Z,God of War Laufey - Gameplay Reveal Trailer | PS5 Games,God of War Laufey - Gameplay Reveal Trailer | PS5 Games,PlayStation,UC-2Y8dQb0S6DtpxNgAKoJKA,20,Gaming,"PlayStation, PS5, video games, next gen, Sony, state of play, god of war, God of War Laufey, Official Gameplay Reveal",9,https://i.ytimg.com/vi/HLMX2w3cwuE/hqdefault.jpg,en,en-US,False,1425,PT23M45S,hd,True,True,False,False,1536323,140009,11479
mrvuOaBIxbw,AR,2026-06-03T05:26:18.518323+00:00,2026-06-02T20:14:12Z,JUGAMOS la TORRE TROLL de QUE PREFIERES versión LUCKY BLOCKS en Roblox con Mandarina,JUGAMOS la TORRE TROLL de QUE PREFIERES versión LUCKY BLOCKS en Roblox con Mandarina,Lyna,UC-cnbLlplnXA4oc7rR21qzg,20,Gaming,,0,https://i.ytimg.com/vi/mrvuOaBIxbw/hqdefault.jpg,es-419,es-419,False,1026,PT17M6S,hd,False,True,False,False,427979,7862,556
vrY1THC_NQE,AR,2026-06-03T05:26:18.518331+00:00,2026-06-01T15:00:06Z,IShowSpeed - World Cup (Champions) [Official Music Video],IShowSpeed - World Cup (Champions) [Official Music Video],IShowSpeed,UCWsDFcIhY2DBi3GB5uykGXA,20,Gaming,"ishowspeed, world cup",2,https://i.ytimg.com/vi/vrY1THC_NQE/hqdefault.jpg,en,en,False,299,PT4M59S,hd,False,True,False,False,8381240,1039116,75345
dBRKObRkuOw,AR,2026-06-03T05:26:18.518339+00:00,2026-06-01T13:11:21Z,"EL FINAL DE LA CALLE OAK Tráiler 2 Español Latino (2026) Anne Hathaway, Ewan McGregor","EL FINAL DE LA CALLE OAK Tráiler 2 Español Latino (2026) Anne Hathaway, Ewan McGregor",ONE Media Español,UCcVNDl7ZJMf9lC9a34CY4RA,1,Film & Animation,"Tráiler, Película, Español, Latino, 2026, El final de la Calle Oak, El final de la Calle Oak Tráiler 2, Anne Hathaway, Ewan McGregor, Tráiler 2, Nuevo",11,https://i.ytimg.com/vi/dBRKObRkuOw/hqdefault.jpg,es,es-419,False,167,PT2M47S,hd,False,True,False,False,213352,8513,817
iybkQ8ynjXM,AR,2026-06-03T05:26:18.518347+00:00,2026-06-02T18:40:56Z,CAMIÓN POBRE vs CAMIÓN DE MILLONARIO en Minecraft!,CAMIÓN POBRE vs CAMIÓN DE MILLONARIO en Minecraft!,Dagar,UCEs5MQjXJq27-X2vgdwtYDw,20,Gaming,"Minecraft, minecraft mod, dagar y nacho, nacho y dagar, amigos minecraft, dagar minecraft, minecraft dagar",7,https://i.ytimg.com/vi/iybkQ8ynjXM/hqdefault.jpg,es,es,False,1554,PT25M54S,hd,False,True,False,False,668362,8027,497
82-jTNka3uc,AR,2026-06-03T05:26:18.518355+00:00,2026-06-01T15:00:06Z,Ariana Grande - hate that i made you love me (official music video),Ariana Grande - hate that i made you love me (official music video),ArianaGrandeVevo,UC0VOyT2OCBKdQhF3BAbZ-1g,10,Music,"Ariana Grande, Ariana Grande LP6, Pop, hate that made you love me, ariana grande hate that made you love me, petal ariana grande",6,https://i.ytimg.com/vi/82-jTNka3uc/hqdefault.jpg,en,en,False,301,PT5M1S,hd,False,True,False,False,6015386,625530,32427
Kgp9iOHxrFw,AR,2026-06-03T05:26:18.518363+00:00,2026-06-02T16:00:33Z,Toy Story: Retro Roundup & Toy Story 3: Complete Edition - Official Announcement Trailer,Toy Story: Retro Roundup & Toy Story 3: Complete Edition - Official Announcement Trailer,Atari,UC33t-fSHCIFjvMUhWhJHX6g,20,Gaming,,0,https://i.ytimg.com/vi/Kgp9iOHxrFw/hqdefault.jpg,en,en,False,123,PT2M3S,hd,False,False,False,False,180980,12124,1843
XR98hR7pPL4,AR,2026-06-03T05:26:18.518370+00:00,2026-06-02T19:00:11Z,Me CONVIERTO en el HOMBRE mas RÁPIDO de GTA 5,Me CONVIERTO en el HOMBRE mas RÁPIDO de GTA 5,Vista Gamer,UCMgqXTXjYNCAmyS9ci426Gg,20,Gaming,"gta 5, gta v, grand theft auto v, grand theft auto 5, vista gamer, Me CONVIERTO en el HOMBRE mas RÁPIDO de GTA 5, ME CONVIERTO en el HOMBRE Mas RÁPIDO de GTA 5, GTA 5 pero Cada PASO eres más RÁPIDO, Me CONVIERTO en el HOMBRE MÁS RÁPIDO de GTA 5, JUGANDO como el HOMBRE mas RÁPIDO de GTA 5, Me CONVIERTO en el HOMBRE MAS FUERTE de GTA 5, GTA 5 pero con Cada GOLPE te VUELVES mas FUERTE, ME CONVIERTO en el HOMBRE Mas Fuerte de GTA 5, ME TRANSFORMO en el HOMBRE Mas Fuerte de GTA 5",14,https://i.ytimg.com/vi/XR98hR7pPL4/hqdefault.jpg,es,es-419,False,1183,PT19M43S,hd,False,True,False,False,222539,3146,65
DJWgF6OhUDs,AR,2026-06-03T05:26:18.518378+00:00,2026-06-01T20:00:24Z,Jesse & Joy - Dueles (Letra),Jesse & Joy - Dueles (Letra),Secondverse,UC7VlFZzLxACJ3yexHMNyK5Q,22,People & Blogs,,0,https://i.ytimg.com/vi/DJWgF6OhUDs/hqdefault.jpg,es,es,False,248,PT4M8S,hd,False,True,False,False,166026,285,4
VUkdv18xonk,AR,2026-06-03T05:26:18.518386+00:00,2026-06-01T22:45:02Z,PASTY REACCIONA AL TRAILER DE SCARY MOVIE 6 😂​,PASTY REACCIONA AL TRAILER DE SCARY MOVIE 6 😂​,PastyChill,UCCvRTEUR7Y0hAA2zE8bDLxA,24,Entertainment,"pasty clips, pasthor, passthor, passtor, pastyclips, pasty clip, argentina, reaccion, mexico, peru, bolivia, paraguay, chile, uruguay, españa, español, maria, pasty reaccion, pasty, pasty reacciona, scary movie, scary movie 6, scary movie 6 trailer, ghostface",24,https://i.ytimg.com/vi/VUkdv18xonk/hqdefault.jpg,es-419,es-419,False,229,PT3M49S,hd,False,True,False,False,10032,714,11
WY88pu9bZ00,AR,2026-06-03T05:26:18.518394+00:00,2026-06-02T22:16:56Z,Me Convertí en SUNMAN para ASUSTAR a Mis Amigos en Minecraft,Me Convertí en SUNMAN para ASUSTAR a Mis Amigos en Minecraft,Awita,UC62nFXtc3KNujp9LCPJt-sA,20,Gaming,,0,https://i.ytimg.com/vi/WY88pu9bZ00/hqdefault.jpg,es,es-419,False,1595,PT26M35S,hd,False,True,False,False,216722,4844,509
WDvE6Duqcu8,AR,2026-06-03T05:26:18.518402+00:00,2026-05-30T17:00:35Z,Romeo Santos - Odio (Letra) Ft. Drake,Romeo Santos - Odio (Letra) Ft. Drake,GroovLatn,UCK7wSPETZbh2PK4SX33SuqQ,22,People & Blogs,"Romeo Santos Odio, Odio Romeo Santos, Drake Odio, Odio Drake, Y por ti, Vivo aniquilado en el despecho, Reprimido ardiendo por los celos, Lo odio aunque él te haga feliz, A mí, Nada me intimida pero entiendo, Que él ganó la guerra hace tiempo, Y se me olvida que ya te perdí, Odio, odio romeo santos, romeo santos, Romeo Santos, romeo santos odio, odio drake, drake, Drake, drake odio, Lo odio aunque el te haga feliz, Lo odio aunque, El te haga feliz, letra, Letra, odio",27,https://i.ytimg.com/vi/WDvE6Duqcu8/hqdefault.jpg,es,,False,229,PT3M49S,hd,False,True,False,False,70840,66,4
vxdxkNclEds,AR,2026-06-03T05:26:18.518409+00:00,2026-06-01T19:20:23Z,"Scary Movie: Terroríficamente Incorrecta | Tráiler Final | Junio 3, solo en cines","Scary Movie: Terroríficamente Incorrecta | Tráiler Final | Junio 3, solo en cines",PARAMOUNT PICTURES MÉXICO,UCwTKziMccZoy631_wbxk8wg,1,Film & Animation,#paramount #paramountmexico,1,https://i.ytimg.com/vi/vxdxkNclEds/hqdefault.jpg,es,es,False,56,PT56S,hd,False,True,False,False,59801,1511,39
nOwhCQsAdAU,AR,2026-06-03T05:26:18.518417+00:00,2026-06-01T22:54:20Z,Roblox pero todo es satisfactorio,Roblox pero todo es satisfactorio,Spreen,UCgTOIiEgjm58xLjHvDjmgdA,20,Gaming,"Juego Spreen Español ARGENTINA, GRATIS, PRO, NOOB, SPREENDMC, SPREEN, PVP, ARGENTINA, ARGENTINO, CRAFT, EPICO, GRACISOSO, DIVERTIDO",13,https://i.ytimg.com/vi/nOwhCQsAdAU/hqdefault.jpg,es,es-419,False,1369,PT22M49S,hd,False,True,False,False,656364,52425,817
eyMitOkFC3c,AR,2026-06-03T05:26:18.518424+00:00,2026-06-01T13:00:06Z,Prince Royce - El Amor Que Perdimos (video + lyrics),Prince Royce - El Amor Que Perdimos (video + lyrics),Sabor a Manzana,UCGL2K4JZRKfnU91z40NsasQ,22,People & Blogs,,0,https://i.ytimg.com/vi/eyMitOkFC3c/hqdefault.jpg,es,es,False,246,PT4M6S,hd,False,True,False,False,170732,272,2
L24CYVpQ-LI,AR,2026-06-03T05:26:18.518432+00:00,2026-06-02T13:00:08Z,Onslaught | Official Trailer HD | A24,Onslaught | Official Trailer HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,1,Film & Animation,"a24, a24 films, a24 trailers, independent films, trailer, HD, official, movie, film, a24 movies, oscar winner, academy award winner",12,https://i.ytimg.com/vi/L24CYVpQ-LI/hqdefault.jpg,en,en,False,144,PT2M24S,hd,True,True,False,False,423356,15965,2223
