video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
qH57IsTxiyY,AT,2026-05-30T04:34:48.453022+00:00,2026-05-28T10:04:03Z,Stripes And Stars,Stripes And Stars,Das Nationalteam - Topic,UCir-OhlE6JMTqrBUn0-lvTw,10,Music,"Das Nationalteam, Paul Pizzera, Stripes And Stars",3,https://i.ytimg.com/vi/qH57IsTxiyY/hqdefault.jpg,en,en,False,215,PT3M35S,hd,False,True,False,False,14698,547,0
0JlMjgqduVw,AT,2026-05-30T04:34:48.453083+00:00,2026-05-29T13:54:01Z,House of the Dragon Season 3 | Official Final Trailer | HBO Max,House of the Dragon Season 3 | Official Final Trailer | HBO Max,HBO Max,UCx-KWLTKlB83hDI6UKECtJQ,24,Entertainment,"hbo max, hbo, hbo originals, hbo original series, hbo trailer, new on hbo, max, hbo max originals, hbo max trailer, hbo max teaser, hbo max series, hbo max youtube, house of the dragon, HOTD, Rhaenrya Targaryen, Daemon Targaryen, Aegon Targaryen, Alicent Hightower, game of thrones, Aemond Targaryen, Helaena Targaryen, Alys Rivers, Corlys Velaryon, Emma D'Arcy, Matt Smith, Olivia Cooke, Ormund Hightower, James Norton, A Song of Ice and Fire, Criston Cole, Fabien Frankel",31,https://i.ytimg.com/vi/0JlMjgqduVw/hqdefault.jpg,en,en,False,160,PT2M40S,hd,True,True,False,False,2518028,36642,2225
yS-KIKgidbg,AT,2026-05-30T04:34:48.453099+00:00,2026-05-29T11:30:12Z,LIMONADEN KILLER HEIRATET in GTA 5!,LIMONADEN KILLER HEIRATET in GTA 5!,iCrimax,UCaR5mgH9aZkswPQtjZ4DktA,20,Gaming,"fortnite, fortnite battle royale, fortnite update, fortnite new, fortnite legendary, fortnite win, victory royale, icrimax, fortnite icrimax, fortnite gaming, gta 5 rp, roleplay, gta 5 roleplay, minecraft, minecraft icrimax",15,https://i.ytimg.com/vi/yS-KIKgidbg/hqdefault.jpg,de,de,False,1477,PT24M37S,hd,False,True,False,False,260816,5850,601
_IspNqK9udI,AT,2026-05-30T04:34:48.453110+00:00,2026-05-28T22:00:06Z,FARID BANG feat. KOLLEGAH - REQUIEM [official Video],FARID BANG feat. KOLLEGAH - REQUIEM [official Video],BangerChannel,UCbDNCzgdLlvYY9dk5M8063A,10,Music,"farid bang, so muss man gehen, smmg, banger musik, bobby vandamme, la fouine, mohamed ramadan, baby gang, 3robi, samra, moduzi, ego, xatar, album, neues album, deutschrap, deutschrap 2026, neuer deutschrap, asphalt massaka, jbg, jbg3, rap 2026, hip hop deutsch, gangster rap, rap deutsch aktuell, hype rap, trending rap, deutschrap szene, deutschrap playlist, punchlines, flow, rap neu, musikvideo, rap hype 2026, morad, babygang, france, italy, spain, germany, jbg 4, jung brutal gutaussehend 4",42,https://i.ytimg.com/vi/_IspNqK9udI/hqdefault.jpg,de,de,False,294,PT4M54S,hd,False,True,False,False,322654,38771,3274
gMnCF2SmS1w,AT,2026-05-30T04:34:48.453119+00:00,2026-05-29T14:41:05Z,HOUSE OF THE DRAGON Staffel 3 Finaler Trailer German Deutsch (2026) Game of Thrones,HOUSE OF THE DRAGON Staffel 3 Finaler Trailer German Deutsch (2026) Game of Thrones,KinoCheck,UCOL10n-as9dXO2qtjjFUQbQ,24,Entertainment,"2026, Dragon, Dynastie, Emma D'Arcy, Familie, Game of Thrones, House, House of the Dragon, House of the Dragon (Film), House of the Dragon Trailer, House of the Dragon Trailer Deutsch, House of the Dragon Trailer German, KinoCheck, Königreich, Matt Smith, Olivia Cooke, Spin off, Vorgeschichte, deutsch, drachen, german, got, hotd, könig, sieben königslande, trailer, trailer deutsch, trailer german, westeros",29,https://i.ytimg.com/vi/gMnCF2SmS1w/hqdefault.jpg,de,de,False,162,PT2M42S,hd,False,True,False,False,45908,1088,73
Afwk7O7qBsk,AT,2026-05-30T04:34:48.453128+00:00,2026-05-29T14:00:18Z,ICH MUSS ENTKOMMEN,ICH MUSS ENTKOMMEN,LUCREW,UCnGzJIUgwZmvixL5WzxIwbg,24,Entertainment,"luca, laserluca, lucrew, concrafter, reaction, reaktion, reagiert, live",8,https://i.ytimg.com/vi/Afwk7O7qBsk/hqdefault.jpg,de,de,False,1408,PT23M28S,hd,False,True,False,False,89231,4943,281
KJ7h-k2DRuA,AT,2026-05-30T04:34:48.453136+00:00,2026-05-29T10:00:06Z,VOYAGE X RASTA - HOTEL SA BALKANA (OFFICIAL VIDEO),VOYAGE X RASTA - HOTEL SA BALKANA (OFFICIAL VIDEO),IDJVideos.TV,UCcF7lkZqxzI2asePTbksVdA,10,Music,"idjvideos, pesme, pjesme",3,https://i.ytimg.com/vi/KJ7h-k2DRuA/hqdefault.jpg,sr,sr,False,133,PT2M13S,hd,False,True,False,False,101661,4504,132
jLbst85USN8,AT,2026-05-30T04:34:48.453144+00:00,2026-05-28T14:53:06Z,Call of Duty: Modern Warfare 4 | Reveal Trailer,Call of Duty: Modern Warfare 4 | Reveal Trailer,Call of Duty,UC9YydG57epLqxA9cTzZXSeQ,20,Gaming,"call of duty, cod, activision, call of duty: modern warfare 4, modern warfare 4, mw4",6,https://i.ytimg.com/vi/jLbst85USN8/hqdefault.jpg,en,en,False,170,PT2M50S,hd,False,True,False,False,26866833,174551,18764
JEyG3dMFG0E,AT,2026-05-30T04:34:48.453152+00:00,2026-05-29T12:32:32Z,Ich habe JEDES MEERESMONSTER in Minecraft Hardcore eingesperrt!,Ich habe JEDES MEERESMONSTER in Minecraft Hardcore eingesperrt!,CASTER,UC5Ap0izjCC50ec-A0X_9G-w,20,Gaming,"minecraft, minecraft hardcore, minecraft mods, minecraft hardcore deutsch, minecraft kraken, minecraft megalodon, minecraft bloop, minecraft gran maja, minecraft monster mod, minecraft ozean, minecraft horror mobs, minecraft challenge, minecraft hardcore challenge, minecraft mods deutsch, minecraft gefangen, modded minecraft hardcore, kraken minecraft, megalodon minecraft, bloop minecraft, minecraft deutsch, minecraft mod deutsch, minecraft gaming, minecraft hardcore mobs",23,https://i.ytimg.com/vi/JEyG3dMFG0E/hqdefault.jpg,de,de,False,1620,PT27M,hd,False,True,False,False,113140,5203,140
SniCL4xbRqw,AT,2026-05-30T04:34:48.453160+00:00,2026-05-28T22:00:06Z,Helene Fischer - Heute Nacht (Offizielles Musikvideo),Helene Fischer - Heute Nacht (Offizielles Musikvideo),Helene Fischer (Official),UCn3yU2bHX_8HMCfXOBTkXCg,10,Music,"Helene Fischer, Atemlos, Schlager, Universal, Digster, Herzbeben, Fehlerfrei",7,https://i.ytimg.com/vi/SniCL4xbRqw/hqdefault.jpg,de,de,False,160,PT2M40S,hd,False,True,False,False,352858,6945,667
