video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
wy1bSeTJQY0,AZ,2026-08-31T05:57:03.429506+00:00,2026-08-25T12:30:30Z,Tacir Məmmədov & Səadət Hüseynzadə - Can Qızım 2026 (Yeni Klip),Tacir Məmmədov & Səadət Hüseynzadə - Can Qızım 2026 (Yeni Klip),Tacir Məmmədov,UCiFiz9e3wYX7Jgiaiwt4iwQ,10,Music,,0,https://i.ytimg.com/vi/wy1bSeTJQY0/hqdefault.jpg,az,az,False,167,PT2M47S,hd,False,True,False,False,342838,7306,440
0Kw9vMWJvfw,AZ,2026-08-31T05:57:03.429557+00:00,2026-08-29T15:29:16Z,Zengin VS Fakir: Kafa Evi Kapışması (Minecraft),Zengin VS Fakir: Kafa Evi Kapışması (Minecraft),Ferited,UCKizsKkBBjuEoY_fgRx-4QQ,20,Gaming,"minecraft, minecraft videoları, minecraft animasyon, minecraft mod, türkçe minecraft, ferited, ferited son bölüm, ferited yeni video, ferited ailesi, maykıraft, ferited vs tarık, minecraft parodileri, feritet, zengin vs fakir, kafa evi kapışması",15,https://i.ytimg.com/vi/0Kw9vMWJvfw/hqdefault.jpg,tr,tr,False,1422,PT23M42S,hd,False,True,False,False,552208,6166,883
l318Re1ZG5s,AZ,2026-08-31T05:57:03.429570+00:00,2026-08-28T14:00:07Z,Şebnem Tovuzlu - Xalam Oğlu,Şebnem Tovuzlu - Xalam Oğlu,Şəbnəm Tovuzlu,UCn098rkDpKPXu5GGc_JujwA,10,Music,"sebnem tovuzlu, musiqi, lirik, romantik musiqi, mahni, lirik mahni, 2018 musiqiler, yeni mahnilar, mahni 2018, ritmik musiqi, ritmik mahnilar, pop, oynaq musiqiler, hit şarkılar, türkçe müzik, azeri music, azeri müzik, yabancı şarkılar, şarkı sözleri, sebnem 2018Şəbnəm Tovuzlu, Shebnem Tovuzlu, Шабнам Товузлу, sabnam tovuzlu, shabnam, Şebnem Tovuzlu - Xalam Oğlu, şebnem tovuzlu xalam oglu, xalam oglu, sebnem xalam oglu",28,https://i.ytimg.com/vi/l318Re1ZG5s/hqdefault.jpg,az,az,False,216,PT3M36S,hd,False,True,False,False,192595,3521,370
TtpUwxQYqwQ,AZ,2026-08-31T05:57:03.429580+00:00,2026-08-27T15:01:33Z,AVCI OLMAK İSTERKEN AV OLUYORDUK! | HOW TO FISH | BÖLÜM 1,AVCI OLMAK İSTERKEN AV OLUYORDUK! | HOW TO FISH | BÖLÜM 1,Elraenn,UC51-ljNFrvY5ZmV0C_61XcA,20,Gaming,"elraenn kick, how to fish, elraenn how to fish oynuyor, ekip ile how to fish, balık tutma oyunu, balıkçılık, tehlikeli balıklar, elraenn how to fish bölüm 1, how to fish bölüm 1, ekip ile eğlenceli oyunlar oynadık, balık avcıları, how to fish nasıl oyanır, balıklara av oluyorduk",13,https://i.ytimg.com/vi/TtpUwxQYqwQ/hqdefault.jpg,tr,tr,False,7952,PT2H12M32S,hd,False,True,False,False,2327633,52713,3215
KnyGHh0L20E,AZ,2026-08-31T05:57:03.429589+00:00,2026-08-21T17:32:51Z,Talıb Tale-Şəhanə/Official music vido 2026,Talıb Tale-Şəhanə/Official music vido 2026,Talıb Tale,UCnslh81yIfuR7rDLeEuKH-A,10,Music,"talib, tale, yeni, mahni, hit, musiqi, azerbaycan, konset, sehane, telini, toy, koshik, oynamali, oynaq, nen gozel",15,https://i.ytimg.com/vi/KnyGHh0L20E/hqdefault.jpg,az,az,False,196,PT3M16S,hd,False,True,False,False,214709,2893,208
qhvPlcwJUvk,AZ,2026-08-31T05:57:03.429597+00:00,2026-08-29T15:00:06Z,A New Way to Collect Brawlers! - Brawl Talk,A New Way to Collect Brawlers! - Brawl Talk,Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,20,Gaming,"brawl stars, mobile game, mobile strategy game, mobile rpg, mobile battle royale, battle royale, supercell game, brawl talk, dani, marzio, aj, brawler, blast, collect, skins, gameplay, game mode",17,https://i.ytimg.com/vi/qhvPlcwJUvk/hqdefault.jpg,en,en,False,771,PT12M51S,hd,True,True,False,False,6293717,220218,14391
nXyjT4Xd4bg,AZ,2026-08-31T05:57:03.429606+00:00,2026-08-20T14:00:06Z,Asif Meherremov - Yanindakina Salam De 2026 (Official Music Video),Asif Meherremov - Yanindakina Salam De 2026 (Official Music Video),Asif Meherremov Official,UCGqPRSKemtki5NI54DBdhUw,10,Music,,0,https://i.ytimg.com/vi/nXyjT4Xd4bg/hqdefault.jpg,tr,az,False,191,PT3M11S,hd,False,True,False,False,234438,2962,225
Dy06SXknr_g,AZ,2026-08-31T05:57:03.429613+00:00,2026-08-29T16:00:00Z,World's Largest Minecraft Build!,World's Largest Minecraft Build!,MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,20,Gaming,,0,https://i.ytimg.com/vi/Dy06SXknr_g/hqdefault.jpg,en,en,False,1499,PT24M59S,hd,True,True,False,False,21046242,411109,13885
ADsV7AkTpCM,AZ,2026-08-31T05:57:03.429621+00:00,2026-08-24T13:48:19Z,Rüstəm Yağmur - Dostum Səndə Qocalırsan 2026 (Yeni Klip) 4K,Rüstəm Yağmur - Dostum Səndə Qocalırsan 2026 (Yeni Klip) 4K,Luna Music House,UC4hHykBfhEQ9ZjTH2bE9icg,10,Music,"Rüstəm Yağmur - Dostum Səndə Qocalırsan, Dostum Səndə Qocalırsan, Rüstəm Yağmur, Rüstəm, rustem yagmur yeni mahni, rustem yagmur 2026, rustem dostum sende qocalirsan, Yavaş yavaş saçın ağarır, Hərgün ömürdən azalır, Dostum səndə qocalırsan., luna music, Biz sərnişin dünya qatar, Qəribədir bu ruzigar., Hər yaşın gözəlliyi var, Dərd eləmə hamı qocalır., Rustem yeni mahni, Rustem 2026",17,https://i.ytimg.com/vi/ADsV7AkTpCM/hqdefault.jpg,tr,tr,False,350,PT5M50S,hd,True,True,False,False,204639,2740,127
pWDeS0JMbgs,AZ,2026-08-31T05:57:03.429629+00:00,2026-08-30T14:01:31Z,11 Yıl Önceki Eski Minecraft Evimi Yeniden İnşa Ettim!,11 Yıl Önceki Eski Minecraft Evimi Yeniden İnşa Ettim!,EmirhanCTN,UCYkivyuc_4ZG7TiB6ottPKg,20,Gaming,"minecraft, minecraft videoları, minecraft kaçış, minecraft türkçe, minecraft film, minecraft arkadaşlarım beni hapsetti, minecraft arkadaşlarım beni öldürmeye çalışıyor, minecraft intikam, minecraft efsaneleri, minecraft korku, minecraft gizem, minecraft eğlence, EmirhanCTN, minecraft intikam hikayesi, minecraft roleplay türkçe, minecraft roleplay, minecraft kaçış videoları, minecraft türkiye, minecraft challenge, minecraft mods",20,https://i.ytimg.com/vi/pWDeS0JMbgs/hqdefault.jpg,tr,tr,False,1431,PT23M51S,hd,False,True,False,False,175947,3851,495
-aBRyfxrDD4,AZ,2026-08-31T05:57:03.429638+00:00,2026-08-17T14:00:07Z,Aysun İsmayılova & Gülyanaq Məmmədova - Həsrətəm 2026 (Yeni Klip) 4K,Aysun İsmayılova & Gülyanaq Məmmədova - Həsrətəm 2026 (Yeni Klip) 4K,Aysun İsmayilova,UC7wjRHQJYXMwuZfWgpXAQTw,10,Music,"Aysun İsmayilova, Aysun İsmayılova, İsmayilova Aysun, İsmayılova Aysun",4,https://i.ytimg.com/vi/-aBRyfxrDD4/hqdefault.jpg,tr,tr,False,239,PT3M59S,hd,False,True,False,False,469342,9859,922
