video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
j-rKPBlZBfk,BD,2026-02-15T03:27:31.825384+00:00,2026-02-13T03:00:47Z,ধানের শীষের বিজয়ের গান | BNP Song | Bangla Dj gan | JBL Hard Bass Dj Song | Dj Antu,ধানের শীষের বিজয়ের গান | BNP Song | Bangla Dj gan | JBL Hard Bass Dj Song | Dj Antu,Dj Antu,UCSBUh2RBiPy61wmofilvfXw,10,Music,"BNP Song, dj gan, dj song, dj antu, ডিজে গান, BNP Dj Song, bnp dj gan, বিএনপির গান, বিএনপির বিজয়ের গান, ডিজে গান বাংলা",10,https://i.ytimg.com/vi/j-rKPBlZBfk/hqdefault.jpg,en,en,False,172,PT2M52S,hd,False,True,False,False,265139,3299,60
SKA4Z8p9kRs,BD,2026-02-15T03:27:31.825428+00:00,2026-02-11T13:21:45Z,VP - Trailer | ভিপি | Musfiq R Farhan | Keya Payel | This Valentine | Capital Drama | Upcoming Drama,VP - Trailer | ভিপি | Musfiq R Farhan | Keya Payel | This Valentine | Capital Drama | Upcoming Drama,Capital Drama,UC3wfNI_ZipV1Nihswf540oA,24,Entertainment,"Capital Drama, ক্যাপিটাল ড্রামা, Bangla Natok, বাংলা নাটক, Eid Natok, ঈদের নাটক, Bangla Drama, বাংলা ড্রামা, Bangla Entertainment, বাংলা বিনোদন, Natok 2025, নাটক ২০২৫, Bangladeshi Natok, বাংলাদেশি নাটক, VP Trailer, VP Natok, ভিপি নাটক, VP Musfiq R Farhan, VP Keya Payel, Musfiq R Farhan New Natok, Keya Payel New Natok, Valentine Natok 2026, Bangla Valentine Drama, Bangla Romantic Natok, Capital Drama New Natok, Upcoming Bangla Drama, Bangla Natok Trailer",27,https://i.ytimg.com/vi/SKA4Z8p9kRs/hqdefault.jpg,en,bn,False,188,PT3M8S,hd,False,True,False,False,277190,6167,256
LhaF8O4ehPM,BD,2026-02-15T03:27:31.825440+00:00,2026-02-13T13:20:29Z,FFBPL S1 গ্র্যান্ড ফাইনাল | Garena Free Fire,FFBPL S1 গ্র্যান্ড ফাইনাল | Garena Free Fire,Free Fire Esports Bangladesh,UCMnEWDsoZPdxcfMnfwVSYhg,22,People & Blogs,,0,https://i.ytimg.com/vi/LhaF8O4ehPM/hqdefault.jpg,bn,bn,False,11730,PT3H15M30S,hd,False,False,False,False,1267053,35932,375
nKzRhXpcWqg,BD,2026-02-15T03:27:31.825449+00:00,2026-02-11T03:59:36Z,১৪ ই ফেব্রুয়ারি সেরা গান ২০২৬ | 14 February Song 2026 | Valentine Song | Niloy Khan Sagor New Dance,১৪ ই ফেব্রুয়ারি সেরা গান ২০২৬ | 14 February Song 2026 | Valentine Song | Niloy Khan Sagor New Dance,Niloy Khan Sagor,UCJa0yUaR8Awf5G_K9lV2TkQ,24,Entertainment,"niloy khan sagor, niloy khan sagor new dance, behaya dibos, 14 febeuary song, valentine day song 2026, valentine song 2026, bangla new song, bangla dance, new dance, dj song, 24 febeuary dj song, bangla dj, dj hit song, new dj song",14,https://i.ytimg.com/vi/nKzRhXpcWqg/hqdefault.jpg,en,zxx,False,212,PT3M32S,hd,False,True,False,False,704419,2080,96
Bj0bneCCUnE,BD,2026-02-15T03:27:31.825457+00:00,2026-02-13T13:01:52Z,Je Kotha Hoyni Bola | যে কথা হয়নি বলা | Trailer | Jovan | Niha |Jakaria Showkhin |Bangla Natok 2026,Je Kotha Hoyni Bola | যে কথা হয়নি বলা | Trailer | Jovan | Niha |Jakaria Showkhin |Bangla Natok 2026,CMV Entertainment,UC9FHe3sU-2xmFyEOOHWGbxA,24,Entertainment,"trailer, je kotha hoini bola, jovan, niha, jakaria showkhin, je kotha hoyni bola, যে কথা হয়নি বলা, je kotha hoyni bola trailer, je kotha hoyni bola natok, jovan natok, naznin nahar niha, niha natok, jovan niha natok, bangla natok 2026, new bangla natok 2026, trailer bangla natok, bangla romantic natok, bangla emotional natok, bangla drama 2026, bangladeshi natok, latest bangla natok, natok 2026",22,https://i.ytimg.com/vi/Bj0bneCCUnE/hqdefault.jpg,en,bn,False,152,PT2M32S,hd,False,True,False,False,130542,3309,125
YE2NtFv0jis,BD,2026-02-15T03:27:31.825465+00:00,2026-02-13T04:48:02Z,Shinchan হলো GTA5 এর সবথেকে ধনী ব্যক্তি !!!,Shinchan হলো GTA5 এর সবথেকে ধনী ব্যক্তি !!!,MrReo,UC9gsB-3ZbNiLv7z-MPEef6Q,20,Gaming,"Bengali gta v video, Bengali gta v, bengali gta vice city, gta v bangladesh mod, gta v bangla gameplay, gta 5 benagli story, gta v mrreo, mrreo gta v, bengali gameplay, bangla gameplay, cartoon, gameplay bangla, bangla gamer, gta 5 suit upgrade, bengali gaming, mrreo, ironman, shinchann, shinchanfranklin gta5 poor life, gta5 poor to rich, gorib shinchan, borolok shinchan",22,https://i.ytimg.com/vi/YE2NtFv0jis/hqdefault.jpg,en,bn-IN,False,1072,PT17M52S,hd,False,True,False,False,407385,3912,184
7zJalPn0oSc,BD,2026-02-15T03:27:31.825474+00:00,2026-02-02T08:30:00Z,শবেবরাতের সেরা নতুন গজল ২০২৬ | Baby Najnin | Elo Shab E Barat | New Gojol 2026,শবেবরাতের সেরা নতুন গজল ২০২৬ | Baby Najnin | Elo Shab E Barat | New Gojol 2026,Baby Najnin,UC02Adspw2K1veZkHW4TBvOw,10,Music,"Baby najnin, Baby najnin gojol, Gojol, Bangla gojol, New gojol, Baby naznin, Baby naznin gojol, Nasheed, Islamic gojol, Islamic song, গজল, সেরা গজল, Best gojol, New Islamic Song, New Islamic gojol, Rajiya Risha, Rajiya Risha Gojol, Best gojol 2026, গজল ২০২৬, Shabe, Shabe barat, Elo shabe barat, শবে বরাত গজল, Sobe  borat gojol",24,https://i.ytimg.com/vi/7zJalPn0oSc/hqdefault.jpg,bn,bn,False,195,PT3M15S,hd,False,True,False,False,1714871,13472,657
CN0lNff-zm0,BD,2026-02-15T03:27:31.825482+00:00,2026-02-03T06:42:12Z,Dhurandhar: The Revenge Official Hindi Teaser | Ranveer S | Aditya D | In Cinemas 19 March 2026,Dhurandhar: The Revenge Official Hindi Teaser | Ranveer S | Aditya D | In Cinemas 19 March 2026,JioStudios,UCcXQd6kHKm0b41x8zMVMmMg,24,Entertainment,"Jio Studios, Jio Cinema, Jio Saavn, Jio TV, Dhurandhar, Aditya Dhar, Ranveer Singh, Sanjay Dutt, Akshaye Khanna, R. Madhavan, Arjun Rampal, Sara Arjun, Shashwat Sachdev, Revenge, Hindi Film Trailer, Hindi Film teaser, Blockbuster hindi film, Dhurandhar 2 teaser, Dhurandhar 2, bollywood film, T - Series, Dhurandhar: The Revenge",22,https://i.ytimg.com/vi/CN0lNff-zm0/hqdefault.jpg,en,en,False,73,PT1M13S,hd,False,True,False,False,14529291,439278,18163
ozO46PmvLT4,BD,2026-02-15T03:27:31.825491+00:00,2026-02-13T00:54:55Z,"🔴 Live: 1v4 Clutches & Insane Squad Wipes! 🔥New Meta, Crazy Gunfights & Chicken Dinner! 🏆","🔴 Live: 1v4 Clutches & Insane Squad Wipes! 🔥New Meta, Crazy Gunfights & Chicken Dinner! 🏆",STRANGE 10,UCwXEToTWQH8hMU6MZR92k9Q,17,Sports,"Strange 10, pubg mobile solo vs squad, tips and tricks, bgmi gameplay shorts, bgmi spooky soiree update, spooky soiree update, bgmi spooky soiree mode, pubg spooky soiree mode, spooky soiree, pubg mobile erangel solo vs squad, erangel solo vs squad, bgmi solo vs squad highlights, bgmi solo vs squad 10 kills, pubg mobile 4.0 spooky soiree, bgmi, best 1v4 gameplay, pubg spooky soiree mode tips and tricks, STRANGE 10, bgmi gameplay, bixi, bgmi new update tricks and glitch",21,https://i.ytimg.com/vi/ozO46PmvLT4/hqdefault.jpg,en-US,bn,False,1019,PT16M59S,hd,False,True,False,False,706471,3392,1
55BS8QO5C9o,BD,2026-02-15T03:27:31.825499+00:00,2026-01-16T12:00:18Z,"Dil Lagana Mana Tha (Official MV) Krish & Kishore Mondal | Kunaal V, Devv S | Sanam Johar Ashi Singh","Dil Lagana Mana Tha (Official MV) Krish & Kishore Mondal | Kunaal V, Devv S | Sanam Johar Ashi Singh",RDC Melodies,UCHHIPcqVZ5oOMoFK7qdKufQ,10,Music,"Dil Lagana Mana Tha, Dil Lagana Mana Tha music video, Dil Lagana Mana Tha official video, kishore mondal indian idol, kishore mondal song, new songs, song, trending song, viral song, hindi songs 2026, songs, hindi songs, hindi songs new, rdc melodies, new song 2026, new hindi song, hindi song, new hindi song 2026, romantic song, latest India's Got Talent Season 11, Kishore Mondal, krish mondal, official, video, new bollywood song 2026, Sanam Johar, Ashi Singh",27,https://i.ytimg.com/vi/55BS8QO5C9o/hqdefault.jpg,en,hi,False,206,PT3M26S,hd,True,True,False,False,56499936,1248806,51866
EriEensiy0I,BD,2026-02-15T03:27:31.825507+00:00,2026-02-11T18:00:11Z,Poppy Playtime: Chapter 5 - Official Game Trailer,Poppy Playtime: Chapter 5 - Official Game Trailer,Mob Entertainment,UCXqV4yoyC_mmZye6VbKFPeQ,20,Gaming,,0,https://i.ytimg.com/vi/EriEensiy0I/hqdefault.jpg,en,en,False,153,PT2M33S,hd,True,True,False,False,7914818,490674,46195
iJdf0bpsX2Y,BD,2026-02-15T03:27:31.825514+00:00,2026-02-12T04:41:41Z,Franklin Touch Anything Become Diamond & Gold in GTA 5 | SHINCHAN and CHOP,Franklin Touch Anything Become Diamond & Gold in GTA 5 | SHINCHAN and CHOP,TheGlobalGta,UCBcglhAb4FKytGorqFwyHtA,20,Gaming,"gta 5, gta 5 franklin, shinchan gta 5, gta 5 bangla, gta 5 mods, bangla cartoon, gta 5 bangla gameplay, global gta 5, shinchan, pinchan gta 5, bangla, gta, franklin, cartoon gta 5, franklin and shinchan, chop gta 5, bangla gaming, gta 5 diamond and gold, franklin touch anything diamond gold, shinchan touch gold, franklin become billionaire, diamond gold gta 5, gold, shinchan billionaire, the global gta, gta 5 gameplay",26,https://i.ytimg.com/vi/iJdf0bpsX2Y/hqdefault.jpg,en,bn,False,1451,PT24M11S,hd,False,True,False,False,366621,6969,53
kpdsy0GdD5g,BD,2026-02-15T03:27:31.825522+00:00,2026-02-04T15:50:23Z,"Rasel Babu, Afroj Jahan Asha - Khati Gorur Dudh","Rasel Babu, Afroj Jahan Asha - Khati Gorur Dudh",RaselBabuVEVO,UCCf-EOynx4RblYU1T36TgHw,10,Music,"Rasel Babu, Afroj Jahan Asha, FK Music Limited, Indian",4,https://i.ytimg.com/vi/kpdsy0GdD5g/hqdefault.jpg,en,bn,False,209,PT3M29S,hd,False,True,False,False,207325,471,12
