video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
aR7pFaGQHUs,BG,2026-04-13T03:58:50.714700+00:00,2026-04-03T13:00:02Z,KONSTANTIN - PIYA / КОНСТАНТИН - ПИЯ,KONSTANTIN - PIYA / КОНСТАНТИН - ПИЯ,Konstantin,UCMhhHqpUaE_X1kuZdeP-LrQ,10,Music,"KONSTANTIN, ПИЯ, PIYA",3,https://i.ytimg.com/vi/aR7pFaGQHUs/hqdefault.jpg,bg,bg,False,133,PT2M13S,hd,False,True,False,False,1070912,14767,330
AjFk1cY265I,BG,2026-04-13T03:58:50.714743+00:00,2026-04-10T16:29:45Z,Digital Circus Ep 9 Finale [TRAILER],Digital Circus Ep 9 Finale [TRAILER],GLITCH,UCn_FAXem2-e3HQvmK-mOH4g,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",19,https://i.ytimg.com/vi/AjFk1cY265I/hqdefault.jpg,en,en,False,70,PT1M10S,hd,True,True,False,False,18036861,1387045,102079
r2KSldMS_Jg,BG,2026-04-13T03:58:50.714756+00:00,2026-04-11T06:00:41Z,СТРАШНА ИГРА СЕ ОПИТА ДА ХАКНЕ КОМПЮТЪРА МИ! | 98ХХ,СТРАШНА ИГРА СЕ ОПИТА ДА ХАКНЕ КОМПЮТЪРА МИ! | 98ХХ,Kriskata,UC4lv7ps9d9vo4cEzekQ5K_w,20,Gaming,"криската, kriskata, крис, kris, kriskata gaming, криската гейминг, криската видеа, криската майнкрафт, кримската, kriskata Minecraft, криската роблокс, kriskata roblox, kriskata productions, криската продукшънс",14,https://i.ytimg.com/vi/r2KSldMS_Jg/hqdefault.jpg,bg,bg,False,1555,PT25M55S,hd,False,True,False,False,57482,2637,165
jB7E3VxD8Ak,BG,2026-04-13T03:58:50.714766+00:00,2026-04-06T15:01:16Z,MIRELA - TARIKAT / МИРЕЛА -ТАРИКАТ | OFFICIAL 4K VIDEO 2026,MIRELA - TARIKAT / МИРЕЛА -ТАРИКАТ | OFFICIAL 4K VIDEO 2026,Alpha Music Bulgaria,UCAvjic6NqR2EvjpGT4EyWeg,10,Music,"mirela, mirela alpha, мирела, мирела алфа, tarikat, тарикат, мирела тарикат, mirela tarikat",8,https://i.ytimg.com/vi/jB7E3VxD8Ak/hqdefault.jpg,bg,bg,False,161,PT2M41S,hd,False,True,False,False,585299,9837,449
RIu4sFKGi6E,BG,2026-04-13T03:58:50.714775+00:00,2026-03-25T19:00:01Z,Harry Potter and the Philosopher's Stone | Official Teaser | HBO Max,Harry Potter and the Philosopher's Stone | Official Teaser | HBO Max,Harry Potter,UChPRO1CB_Hvd0TvKRU62iSQ,1,Film & Animation,"Harry Potter, Wizarding World, Warner Bros, Hogwarts, Marauders Map, Draco Malfoy, Ron Weasley, Hermione Granger, Harry Potter Lore, Potter, slytherin, ravenclaw, gryffindor, hufflepuff, hbomax, harrypotterhbo",16,https://i.ytimg.com/vi/RIu4sFKGi6E/hqdefault.jpg,en-GB,en-GB,False,129,PT2M9S,hd,True,True,False,False,10240097,270124,36044
cgGVrr2tfSg,BG,2026-04-13T03:58:50.714783+00:00,2026-04-11T13:37:56Z,РАЗБИВАМ НАЙ-СТРАШНИТЕ МИТОВЕ ЗА STEAL A BRAINROT,РАЗБИВАМ НАЙ-СТРАШНИТЕ МИТОВЕ ЗА STEAL A BRAINROT,VasieBee,UCyoHAE-xksMucNFxLRPU92Q,20,Gaming,,0,https://i.ytimg.com/vi/cgGVrr2tfSg/hqdefault.jpg,bg,bg,False,1486,PT24M46S,hd,False,True,False,False,47217,2645,528
QtKFdHWMf0A,BG,2026-04-13T03:58:50.714791+00:00,2026-04-07T19:32:09Z,Тарикат,Тарикат,Mirela - Topic,UCI2vmeAPvMg0WrkMn9JystA,10,Music,"Mirela, Тарикат",2,https://i.ytimg.com/vi/QtKFdHWMf0A/hqdefault.jpg,mk,bg,False,152,PT2M32S,hd,False,True,False,False,111911,879,0
oSeqs_xeqv4,BG,2026-04-13T03:58:50.714799+00:00,2026-04-09T16:00:01Z,A Marvel Television Special Presentation: The Punisher: One Last Kill | Official Trailer,A Marvel Television Special Presentation: The Punisher: One Last Kill | Official Trailer,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/oSeqs_xeqv4/hqdefault.jpg,en,en,False,102,PT1M42S,hd,True,True,False,False,4903515,182996,7315
KOhKBOWDRqw,BG,2026-04-13T03:58:50.714807+00:00,2026-04-10T16:03:48Z,ИЗНЕНАДАХ Дани с НАЙ-РЯДКАТА БАЗА в Steal a Brainrot!,ИЗНЕНАДАХ Дани с НАЙ-РЯДКАТА БАЗА в Steal a Brainrot!,Andy PlayZ GameZ,UCfAbgoBuOHXRnpheRzZ4ABQ,20,Gaming,"andy playz gamez, andy, playz, gamez, andy playz, playz gamez, games, plays games, andy plays games, andi studio, andy studio, andi, studio, анди студио, анди, дани, анди плейз, плейз, гейминг, gaming, video games, видео игри, фортнайт, майнкрафт, fortnite, minecraft, play, игра, игри, играем, играя, геймплей, gameplay, andy plays gaming, анди plays games, andy playz games, andi playz gamez, #andyplayzgamez, andyplayzgamez, andy studio gaming, andy gaming, анди gaming, роблокс, roblox",44,https://i.ytimg.com/vi/KOhKBOWDRqw/hqdefault.jpg,bg,bg,False,1488,PT24M48S,hd,False,True,False,False,76060,2448,205
9Lsp1iVgkIQ,BG,2026-04-13T03:58:50.714817+00:00,2026-03-21T16:00:06Z,TORINO & PASHATA X TONI STORARO - BEDNI  &  BOGATI / БЕДНИ И БОГАТИ [OFFICIAL 4K VIDEO],TORINO & PASHATA X TONI STORARO - BEDNI  &  BOGATI / БЕДНИ И БОГАТИ [OFFICIAL 4K VIDEO],TORINO & PASHATA ,UC_aJSpemjjwD-pjaQ4K9lPQ,10,Music,"Bedni, Bogati, Toni, Storaro, Toni Storaro, Pashata, Torino, Torino Pashata, Amg, Бедни, Богати, Живота, Шматки, Тарикати, tarikati, shmatki, Торино, Пашата",18,https://i.ytimg.com/vi/9Lsp1iVgkIQ/hqdefault.jpg,bg,bg,False,189,PT3M9S,hd,False,True,False,False,4733290,51694,1561
