video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
2GJfWMYCWY0,BO,2026-03-01T03:28:03.259235+00:00,2026-02-27T05:00:07Z,BLACKPINK - ‘GO’ M/V,BLACKPINK - ‘GO’ M/V,BLACKPINK,UCOmHUn--16B90oW2L6FRR3A,10,Music,"YG Entertainment, YG, 와이지, K-pop, BLACKPINK, 블랙핑크, 블핑, 제니, 로제, 리사, 지수, LISA, JISOO, JENNIE, ROSÉ, BLINK, 블링크, JENNIE You & Me, JENNIE You and ME, You & Me, You and Me, 제니 You & Me, 제니 You and Me, 제니 유앤미, 유앤미, JENNIE 유앤미, 제니 코첼라, JENNIE COACHELLA",28,https://i.ytimg.com/vi/2GJfWMYCWY0/hqdefault.jpg,en,ko,False,202,PT3M22S,hd,True,True,False,False,27350400,2954286,247546
U2AMM3LejcM,BO,2026-03-01T03:28:03.259276+00:00,2026-02-27T15:41:39Z,"""Yoshi llega en una moto"" SUPER MARIO GALAXY LA PELÍCULA Tráiler (2026)","""Yoshi llega en una moto"" SUPER MARIO GALAXY LA PELÍCULA Tráiler (2026)",Boxoffice Tráilers Español,UCdW_XfqcobQ79Oj4ur6-Ylg,1,Film & Animation,"tráiler, tráiler espanol, tráiler latino, latino, Yoshi llega en una moto, Super Mario Galaxy La Película, Super Mario Galaxy, Mario, Yoshi, Super Mario Galaxy: La Película Tráiler, Luigi, Toad, Animación",13,https://i.ytimg.com/vi/U2AMM3LejcM/hqdefault.jpg,es,es-419,False,233,PT3M53S,hd,False,True,False,False,236273,4442,178
XrAoDZLZZ1g,BO,2026-03-01T03:28:03.259289+00:00,2026-02-28T17:00:01Z,1 Minute vs 10 Year Build Challenge,1 Minute vs 10 Year Build Challenge,MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,20,Gaming,,0,https://i.ytimg.com/vi/XrAoDZLZZ1g/hqdefault.jpg,en,en,False,864,PT14M24S,hd,True,True,False,False,3872884,129388,6112
veMq6pMqczo,BO,2026-03-01T03:28:03.259299+00:00,2026-02-27T14:01:43Z,Ariis - GOZALO (Ultra Slowed) 💫 BRAZILIAN FUNK PHONK,Ariis - GOZALO (Ultra Slowed) 💫 BRAZILIAN FUNK PHONK,Mid9PHONK,UC2-QqlUG038PQQcf_KMlYZQ,10,Music,"MidNPHONK, Mid9PHONK, Aggressive Phonk, phonk music, best phonk, фонк, phonk mix, aggressive phonk mix, phonk songs, Фонка, rave, phonk, brazilian phonk 2026, brazil phonk 2026, phonk brazil 2026, top brazilian phonk, new brazilian phonk, phonk 2026 brazil, 2026 phonk brazilian, brazilian phonk playlist, phonk mix 2025, Ariis, GOZALO, Ultra Slowed, Ariis GOZALO Ultra Slowed, Ariis GOZALO, Ariis GOZALO Slowed, ariis phonku, gozalo, Ariis - GOZALO slowed, Ariis GOZALO funk, ariis",32,https://i.ytimg.com/vi/veMq6pMqczo/hqdefault.jpg,en,en,False,145,PT2M25S,hd,False,True,False,False,449176,2227,46
safwtzQFfgM,BO,2026-03-01T03:28:03.259309+00:00,2026-02-28T05:59:55Z,MALCOLM Revival Teaser Trailer Doblado Español latino (2026),MALCOLM Revival Teaser Trailer Doblado Español latino (2026),SoyMateo :D,UC5DKlg_ogQ6m4tu_txyCiPA,24,Entertainment,"Vlogs, Mateo Llerena, Soy Mateo, Youtube Ecuador, youtuber ecuatoriano, vlogueando conmigo, vloguando por mi pais",7,https://i.ytimg.com/vi/safwtzQFfgM/hqdefault.jpg,es,es-419,False,31,PT31S,hd,False,False,False,False,64202,2847,319
Fmf953Ye4lM,BO,2026-03-01T03:28:03.259317+00:00,2026-02-28T19:23:11Z,Hice Trampa con MONSTRUO MARINO HUMANO en Batalla de MOBS en Minecraft!,Hice Trampa con MONSTRUO MARINO HUMANO en Batalla de MOBS en Minecraft!,Dagar,UCEs5MQjXJq27-X2vgdwtYDw,20,Gaming,"Minecraft, minecraft mod, dagar y nacho, nacho y dagar, amigos minecraft, dagar minecraft, minecraft dagar",7,https://i.ytimg.com/vi/Fmf953Ye4lM/hqdefault.jpg,es,es,False,1405,PT23M25S,hd,False,True,False,False,466611,9285,570
vj8Da6-_yy8,BO,2026-03-01T03:28:03.259326+00:00,2026-02-25T19:11:06Z,Air Supply — Making Love Out of Nothing at All (Sub. Español / Lyrics),Air Supply — Making Love Out of Nothing at All (Sub. Español / Lyrics),Richie Lyrics,UC2WgwqSVzg2J4tnMu-c2tjQ,10,Music,"lyrics, lyric video, letra, letra oficial, canciones con letra, music with lyrics, subtitulado, subtitulado al español, video lyrics, musica viral, canciones virales, trending music 2026, estrenos musicales, canciones del momento, mix, cancion rock, rock en ingles, rock viejito, rock pop, rock alternativo, Air Supply — Making Love Out of Nothing at All, Making Love Out of Nothing at All, mix musica rock, musica triste, canciones tristes",25,https://i.ytimg.com/vi/vj8Da6-_yy8/hqdefault.jpg,en,en,False,342,PT5M42S,hd,False,True,False,False,274288,1305,6
-S-TTb0iXzw,BO,2026-03-01T03:28:03.259334+00:00,2026-02-25T18:31:27Z,Mortal Kombat II | Tráiler Oficial II | Doblado,Mortal Kombat II | Tráiler Oficial II | Doblado,Warner Bros. Pictures Latinoamérica,UCu-cVVMn41qUA-pwdEhNqhg,1,Film & Animation,"2026, Accion, Adeline Rudolph, Aventura, Battle, Chin Han, Damon Herriman, Fantasy, Film, Film Trailer, Game, Hiroyuki Sanada, Jessica McNamee, Joe Taslim, Josh Lawson, Karl Urban, Lewis Tan, Ludi Lin, MMA Fighter, Martial Arts, Mehcad Brooks, Mortal Kombat, Mortal Kombat II, Movie, Official Trailer, Pelicula Warner, Proximamente, Simon McQuoid, Tadanobu Asano, Tati Gabrielle, Trailer, Video Juego, WB, Warner, Warner Bros, Warner Brothers, Warner Media, cines, estreno",39,https://i.ytimg.com/vi/-S-TTb0iXzw/hqdefault.jpg,es,en-US,False,155,PT2M35S,hd,False,False,False,False,1529553,16265,957
9wDIYjdC8QM,BO,2026-03-01T03:28:03.259342+00:00,2026-02-28T19:30:01Z,"10 Years of Chaos, All for the Crown","10 Years of Chaos, All for the Crown",Clash Royale,UC_F8DoJf9MZogEOU51TpTbQ,20,Gaming,"Clash Royale, Clash Royale Game, Supercell, Supercell Game, Clash Royale Supercell, Mobile Game",6,https://i.ytimg.com/vi/9wDIYjdC8QM/hqdefault.jpg,en,en,False,91,PT1M31S,hd,False,True,False,False,1110611,68793,2071
y9IDFLJnq50,BO,2026-03-01T03:28:03.259350+00:00,2026-02-21T21:00:00Z,"Maluma, Carin Leon - Según Quién (Letra)","Maluma, Carin Leon - Según Quién (Letra)",Ghostify.,UCgQA23m8tvTQS6xRp3IqBdQ,10,Music,"maluma carin leon segun quien letra, maluma carin leon segun quien, carin leon segun quien letra, carin leon segun quien, segun quien maluma carin leon, segun quien carin leon letra",6,https://i.ytimg.com/vi/y9IDFLJnq50/hqdefault.jpg,es,es,False,143,PT2M23S,hd,False,True,False,False,54374,176,0
