video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
U6BDbXIah-Y,CA,2026-04-21T03:51:17.932373+00:00,2026-04-20T08:58:06Z,CORTIS (코르티스) 'REDRED' Official MV,CORTIS (코르티스) 'REDRED' Official MV,HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,10,Music,"HYBE, HYBE LABELS, 하이브, 하이브레이블즈",4,https://i.ytimg.com/vi/U6BDbXIah-Y/hqdefault.jpg,ko,ko,False,209,PT3M29S,hd,True,True,False,False,2879353,540692,47652
iSWP2feb4rw,CA,2026-04-21T03:51:17.932415+00:00,2026-04-20T16:01:08Z,Practical Magic 2 | Official Teaser Trailer,Practical Magic 2 | Official Teaser Trailer,Warner Bros.,UCjmJDM5pRKbUlVIzDYYWb6g,1,Film & Animation,"2026, Coming Soon, Dianne West, Fantasy, Joey King, Lee Pace, Magic, Maisie Williams, Nicole Kidman, Owens Sisters, Practical Magic 2, Practical Magic sequel, Romantic, Sandra Bullock, Stockard Channing, Teaser Trailer, WB, Warner Bros Pictures, Warner Brothers, Witches",20,https://i.ytimg.com/vi/iSWP2feb4rw/hqdefault.jpg,en,en-US,False,103,PT1M43S,hd,True,False,False,False,1134915,11576,802
Rinm-EETs0U,CA,2026-04-21T03:51:17.932427+00:00,2026-04-20T19:28:00Z,This Drain Clearing Game is INCREDIBLY Satisfying,This Drain Clearing Game is INCREDIBLY Satisfying,SMii7Y,UCzXwjTI6c6mVn6oui_p6oiw,20,Gaming,"smii7y, smii7yplus, smii7y+, smii7y plus, drain sim, drain simulator, drain sim gameplay, drainsim gameplay, flood simulator, drain sim flood, drainsim simulator, drain cleaning game, drain sim game, fix flooding game, unclogging drains game, satisfying simulation game, water physics simulator, satisfying game, satisfying games, satisfying, oddly satisfying",21,https://i.ytimg.com/vi/Rinm-EETs0U/hqdefault.jpg,en,en,False,2414,PT40M14S,hd,False,True,False,False,505610,37203,1349
MT7Oh0wFHYM,CA,2026-04-21T03:51:17.932437+00:00,2026-04-20T05:29:31Z,SANJOG (Official Video) | SAJJAN ADEEB | Latest Punjabi Songs 2026 | T-Series,SANJOG (Official Video) | SAJJAN ADEEB | Latest Punjabi Songs 2026 | T-Series,T-Series Apna Punjab,UCcvNYxWXR_5TjVK7cSCdW-g,10,Music,"new punjabi song 2026, punjabi song, punjabi, latest punjabi songs 2026, latest punjabi songs, new punjabi songs, latest punjabi song, punjabi songs, new punjabi song, songs, tseries apna punjab, latest punjabi song 2026, new punjabi songs 2026, new punjabi song 2026 latest this week, punjabi song 2026, punjabi gane, punjabi songs 2026, tseries, punjab, sanjog, sanjog punjabi song, sajjan adeeb new song, sajjan adeeb song, sajjan adeeb all song, sanjog song, sajjan adeeb songs",26,https://i.ytimg.com/vi/MT7Oh0wFHYM/hqdefault.jpg,en,pa,False,172,PT2M52S,hd,False,True,False,False,676857,10521,311
cYFevn5frf0,CA,2026-04-21T03:51:17.932446+00:00,2026-04-20T20:20:14Z,SUPER TROOPERS 3 | Official Trailer | Searchlight Pictures,SUPER TROOPERS 3 | Official Trailer | Searchlight Pictures,SearchlightPictures,UCor9rW6PgxSQ9vUPWQdnaYQ,24,Entertainment,,0,https://i.ytimg.com/vi/cYFevn5frf0/hqdefault.jpg,en,en,False,150,PT2M30S,hd,True,True,False,False,734126,8006,619
7zW_k7iw8rs,CA,2026-04-21T03:51:17.932454+00:00,2026-04-21T02:06:19Z,monday fun day,monday fun day,Jynxzi,UCjiXtODGCCulmhwypZAWSag,24,Entertainment,,0,https://i.ytimg.com/vi/7zW_k7iw8rs/hqdefault.jpg,en,en,False,26094,PT7H14M54S,hd,False,True,False,False,524633,10270,116
g4R9UCu4gvg,CA,2026-04-21T03:51:17.932462+00:00,2026-04-20T16:00:06Z,Harry Styles - Harry Live from Funkhaus,Harry Styles - Harry Live from Funkhaus,HarryStylesVEVO,UCbOCbp5gXL8jigIBZLqMPrw,10,Music,"Kiss All The Time Disco Occasionally, Funkhaus, Harry Styles Funkhaus, Coming Up Roses, Season Weight Loss, Paint By Numbers, Harry Styles Live, Harry Styles Concert, Harry Styles Performance, Harry Styles new album, Harry Live from Funkhaus, Harry Styles, Live",13,https://i.ytimg.com/vi/g4R9UCu4gvg/hqdefault.jpg,en,en,False,795,PT13M15S,hd,False,True,False,False,487404,68868,3573
Os4JVfZp4jg,CA,2026-04-21T03:51:17.932470+00:00,2026-04-20T05:30:02Z,"PATI PATNI AUR WOH DO (Teaser) | Ayushmann, Wamiqa, Sara, Rakul | Mudassar, Bhushan K, Juno | 15 May","PATI PATNI AUR WOH DO (Teaser) | Ayushmann, Wamiqa, Sara, Rakul | Mudassar, Bhushan K, Juno | 15 May",T-Series,UCq-Fj5jknLsUf-MWSy4_brA,10,Music,"tseries, t series films, pati patni ay woh do teaser, ayushmann khurrana movies, pati patni aur woh 2, latest hindi movies, new hindi movies, comedy movies hindi, pati patnu aur woh 2 trailer, ayushmann khurana movies, comedy movies hindi full, pati patni aur woh do reaction, ayushmann khurrana new movie, pati patni aur woh do ayushmann khurrana, new hindi movie, funny movies hindi, wamiqa gabbi pati patni aur woh do, rakul preet singh pati patni aur woh do, ayushmann khurrana",19,https://i.ytimg.com/vi/Os4JVfZp4jg/hqdefault.jpg,en,hi,False,83,PT1M23S,hd,True,True,False,False,3189544,42612,3421
c68v6k9_sW4,CA,2026-04-21T03:51:17.932478+00:00,2026-04-20T17:00:43Z,Tomodachi Life: Living the Dream is Hilariously Inappropriate,Tomodachi Life: Living the Dream is Hilariously Inappropriate,RTGame,UCRC6cNamj9tYAO6h_RXd5xA,20,Gaming,"rtgame, rt, game, rtgames, rtgaming, rt games, rtgamecrowd, rt gaming, rt game, rtgame twitch, tomodachi life, tomodachi life switch, switch 2, nintendo switch 2, tomodachi life 2, tomodachi life living the dream gameplay, tomodachi life funny, tomodachi life living the dream review, tomodachi life miis, mii, mii games, wii, wii games, tomodachi life living the dream full game, tomodachi life living the dream let's play, tomodachi life living the dream game, I want die",27,https://i.ytimg.com/vi/c68v6k9_sW4/hqdefault.jpg,en,en-GB,False,2815,PT46M55S,hd,False,True,False,False,241905,20729,1259
Y22km5vSOxg,CA,2026-04-21T03:51:17.932486+00:00,2026-04-20T04:23:43Z,52 Shades (Official Video) Kulwinder Sohi | Jang Dhillon | New Punjabi Songs | Latest Punjabi Songs,52 Shades (Official Video) Kulwinder Sohi | Jang Dhillon | New Punjabi Songs | Latest Punjabi Songs,Leaf Records,UCiE2gEfINCt7InqJP6SOrQQ,10,Music,"punjabi, punjabi music, punjabi latest music, punjabi latest songs, songs, punjabi songs, latest punjabi songs 2026, punjab, Punjabi Songs, All hit punjabi songs, New punjabi songs 2026, All new punjabi songs 2026, All new latest punjabi songs 2026, Hit punjabi song, jang dhillon songs, kulwinder sohi new song, kulwinder sohi, tohar de 52 patte, 52 patte kulwinder sohi, kulwinder sohi jang dhillon, bhindder burj videos, leaf records, latest punjabi song",23,https://i.ytimg.com/vi/Y22km5vSOxg/hqdefault.jpg,en,pa,False,147,PT2M27S,hd,False,True,False,False,375987,2547,753
