video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
chb6WRQgWw4,CH,2026-09-26T05:18:24.693843+00:00,2026-09-14T14:00:06Z,Xhafer Ahmetaj - ÇLIRIMTARËT,Xhafer Ahmetaj - ÇLIRIMTARËT,Xhafer Ahmetaj,UCiJDHyEqeNgiGv3LRhTG3JA,10,Music,"baresha music, baresha, bareshamusic, xhafer ahmetaj, XhaferAhmetaj, Xhafer Ahmetaj, xhafa, xhafer vlora ahmetaj, Xhafer Vlora Ahmetaj, hite, hite popullore, hitet popullore, hite folk, hitet folklorike, hitet 2025, Xhafer Ahmetaj - ÇLIRIMTARËT, Hashim Thaqi, Hashim, Xhafer, Ahmetaj, ÇLIRIMTARËT, Jakup Krasniqi, Popullore, Muzik, Shqip, Muzik Shqip, Shqip 2026, Kenge, Te reja, 2026",30,https://i.ytimg.com/vi/chb6WRQgWw4/hqdefault.jpg,sq,sq,False,185,PT3M5S,hd,False,True,False,False,1459953,7729,189
HvW_N5p1q44,CH,2026-09-26T05:18:24.693919+00:00,2026-09-23T13:00:14Z,You Can See Everything | Official Trailer HD | A24,You Can See Everything | Official Trailer HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,1,Film & Animation,"a24, a24 films, a24 trailers, independent films, trailer, HD, official, movie, film, a24 movies, oscar winner, academy award winner",12,https://i.ytimg.com/vi/HvW_N5p1q44/hqdefault.jpg,en,en,False,149,PT2M29S,hd,False,True,False,False,6963929,65340,5760
ApNthEpYDxU,CH,2026-09-26T05:18:24.693933+00:00,2026-09-21T18:05:38Z,"Ich kaufe MINECRAFT INSELN für 10€, 100€, 300€, 500€ und 1000€","Ich kaufe MINECRAFT INSELN für 10€, 100€, 300€, 500€ und 1000€",BastiGHG,UCgZpwegd4AdDlZNrIamIgRw,20,Gaming,"minecraft, mc, challenge, bastighg, ghg, pvp, durchspielen, german, deutsch, hungergames, runde, team, hacker, texturepack, highlights, varo 4, best of, tutorial, basti ghg, extreme, fail, wir, xxl, chaos, drop, neu, alle, zufall, jedes, für, alles, schaden, muss, randomizer, item, mit, mob, projekt, 100%, welt, ultra, ich, map, nur, neues, 24 stunden, craft attack, uhc, größe, random, neue, wer, ist, der, beste, spieler, kaufe, insel, fiverr, folge, scam, bastighg fiverr, bastighg kauft, betrug, escape, room, rätsel, download, hardcore, border",70,https://i.ytimg.com/vi/ApNthEpYDxU/hqdefault.jpg,de,de,False,3703,PT1H1M43S,hd,False,True,False,False,1251679,59222,1567
mP62uBRAjnk,CH,2026-09-26T05:18:24.693945+00:00,2026-09-14T13:00:18Z,MAGLA - KRIVE DRINE (Album KRIVE DRINE 2026),MAGLA - KRIVE DRINE (Album KRIVE DRINE 2026),MAGLA,UCrPxTQOR0OMOEWV_77OMp5Q,10,Music,"magla, bend, magla bend, magla band, krive drine, neka ti mali nosi moje ime, volim iz daljine, album, 2026, novo, nove pesme, da bog da, cini mi se, cini",14,https://i.ytimg.com/vi/mP62uBRAjnk/hqdefault.jpg,sr,sr,False,177,PT2M57S,hd,False,True,False,False,3580288,23796,688
YNCua5sQhuM,CH,2026-09-26T05:18:24.693955+00:00,2026-09-25T07:16:07Z,"DAY DRINKER Trailer German Deutsch (2027) Johnny Depp, Penélope Cruz","DAY DRINKER Trailer German Deutsch (2027) Johnny Depp, Penélope Cruz",KinoCheck,UCOL10n-as9dXO2qtjjFUQbQ,24,Entertainment,"2027, Barkeeper, Day Drinker, Day Drinker (Film), Day Drinker Trailer, Day Drinker Trailer Deutsch, Day Drinker Trailer German, Getränk, Johnny Depp, KinoCheck, Kreuzfahrtschiff, Madelyn Cline, Penélope Cruz, deutsch, german, trailer, trailer deutsch, trailer german",18,https://i.ytimg.com/vi/YNCua5sQhuM/hqdefault.jpg,de,de,False,109,PT1M49S,hd,False,True,False,False,235830,1096,86
5hG_nAYEC2g,CH,2026-09-26T05:18:24.693963+00:00,2026-09-20T00:00:06Z,How I Saved the World's Largest Minecraft Server,How I Saved the World's Largest Minecraft Server,Wemmbu,UCkzzNLnuM-VsATWC53ehwOQ,20,Gaming,"wemmbu, unstable smp, wembu, wenbu, wemmbu unstable smp, eggchan, unstable universe, parrotx2, minecraft, unstable smp in order, minecraft smp, unstable smp in order wemmbu, unstable smp latest video, unstable smp new video, wemmbu assassin, wemmbu invis player, unstable blue invis player, eggchan missing, flamefrags, egchan, 100 days, wemmbu eggchan, minecraft purge, purge, minecraft simulation, spoke, null, How I Saved the World's Largest Minecraft Server",28,https://i.ytimg.com/vi/5hG_nAYEC2g/hqdefault.jpg,en-US,en-US,False,14395,PT3H59M55S,hd,False,True,False,False,14601961,314728,23538
6gPb-GTy6Q8,CH,2026-09-26T05:18:24.693972+00:00,2026-09-10T16:00:06Z,Dafina Zeqiri x Matolale - Nje Dance,Dafina Zeqiri x Matolale - Nje Dance,Dafina Zeqiri,UCrv0PJoutcRhHkSMJYoXAIQ,10,Music,"Dafina Zeqiri, Matolale, Nje Dance, Dafina Zeqiri x Matolale, Dafina Zeqiri x Matolale - Nje Dance, dafina zeqiri, matolale, dafina zeqiri matolale, dafina zeqiri matolale nje dance, DAFINA ZEQIRI, dafina, zeqiri, prishtina, kosova, albania, duffye",16,https://i.ytimg.com/vi/6gPb-GTy6Q8/hqdefault.jpg,sq,en,False,170,PT2M50S,hd,False,True,False,False,3699432,20382,264
N-kRQ1T6_lI,CH,2026-09-26T05:18:24.693980+00:00,2026-09-20T16:00:37Z,TRAILER - MANHUNT SAIGON 2026,TRAILER - MANHUNT SAIGON 2026,Manhunt,UCnXFGVa7VEoiM2Adftm_Hug,24,Entertainment,"96 Stunden auf der Flucht, Manhunt, Staffel 3",3,https://i.ytimg.com/vi/N-kRQ1T6_lI/hqdefault.jpg,de,de-DE,False,128,PT2M8S,hd,False,True,False,False,241408,12108,931
Ko0vVeuH36o,CH,2026-09-26T05:18:24.693988+00:00,2026-09-25T10:01:14Z,200 Tage Going Medieval - Der Film,200 Tage Going Medieval - Der Film,Cornelius,UCsNqARlZk9nv40opnPpVwrw,20,Gaming,"kornelius, cornelus, cornelius 100 tage, 100 tage going medieval, 100 tage, going medieval deutsch, going medieval german, going medieval gameplay, cornelius going medieval",9,https://i.ytimg.com/vi/Ko0vVeuH36o/hqdefault.jpg,de,de,False,9300,PT2H35M,hd,False,True,False,False,221434,7172,255
syvr5pSSvTg,CH,2026-09-26T05:18:24.693996+00:00,2026-09-24T14:06:02Z,2TON - BELA,2TON - BELA,2TONoffical,UCjPvfXJmB0pVSYAgchVOTbA,10,Music,"2TON, BELA, 2TON - BELA, 2Ton, 2ton, Bela, bela, 2ton bela, 2ton - bela, Tirana, Prishtina, Kosova, Albania, Music, Hite shqip, Hitet 2026, HipHop, shqip, hitet",19,https://i.ytimg.com/vi/syvr5pSSvTg/hqdefault.jpg,en,sq,False,153,PT2M33S,hd,False,True,False,False,141779,3072,146
