video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
osUXCf8binQ,CL,2026-03-14T03:12:31.276996+00:00,2026-03-13T00:00:06Z,"Gino Mella - LOS BANDIDOS - Alex Fer, Jairo Vera, Lleflight, King Savagge, BenjitaAlkapone, Ag Daddy","Gino Mella - LOS BANDIDOS - Alex Fer, Jairo Vera, Lleflight, King Savagge, BenjitaAlkapone, Ag Daddy",Gino Mella,UCWqqDZd90jLJW47Eih7k9OQ,10,Music,"gino mella, jairo vera, lleflight, Alexfer, bandidos, mambo, chile, argentina, 707, carro, extracto",11,https://i.ytimg.com/vi/osUXCf8binQ/hqdefault.jpg,es,es,False,309,PT5M9S,hd,False,False,False,False,189888,3604,568
Exukk6JO9i0,CL,2026-03-14T03:12:31.277041+00:00,2026-03-13T02:00:00Z,BTS (방탄소년단) '아리랑 (ARIRANG)' Animation Trailer: What is your love song?,BTS (방탄소년단) '아리랑 (ARIRANG)' Animation Trailer: What is your love song?,BANGTANTV,UCLkAepWjdylmXSltofFvsYQ,10,Music,"방탄소년단, BTS, BANGTAN, 알엠, RM, 슈가, SUGA, 제이홉, jhope, 지민, 정국, k-pop, 방탄, j-hope, Jung Kook, Jimin, BTS V, Jin",18,https://i.ytimg.com/vi/Exukk6JO9i0/hqdefault.jpg,ko,ko,False,64,PT1M4S,hd,False,True,False,False,2656814,625260,36925
GPg2qp0iqFk,CL,2026-03-14T03:12:31.277055+00:00,2026-03-13T20:15:52Z,ESTO ES UN COMPLETO CAOS!!!!!!,ESTO ES UN COMPLETO CAOS!!!!!!,JuegaGerman,UCYiGq8XF7YQD00x7wAd62Zg,20,Gaming,"juegagerman, juega, german, holasoygerman, hola soy german, juega german, my voice zoo, myvoicezoo, voice zoo, voice, zoo",11,https://i.ytimg.com/vi/GPg2qp0iqFk/hqdefault.jpg,es-419,es-419,False,2182,PT36M22S,hd,False,True,False,False,285329,23824,1627
ItfFG59wM-c,CL,2026-03-14T03:12:31.277065+00:00,2026-03-13T00:02:38Z,Gustito,Gustito,Tego Calderón - Topic,UCjjGC_RCTg9F2_aT-viHSsQ,10,Music,"Tego Calderón, テゴカルデロン, テゴ・カルデロン, J Alvarez, ジェイアルバレス, J. アルヴァレス, Gustito",7,https://i.ytimg.com/vi/ItfFG59wM-c/hqdefault.jpg,en,es,False,176,PT2M56S,hd,False,True,False,False,107567,2776,124
AcdpY5oh8oA,CL,2026-03-14T03:12:31.277075+00:00,2026-03-12T20:42:14Z,MALCOLM IN THE MIDDLE: La Vida Sigue Siendo Injusta Tráiler Español Latino (2026),MALCOLM IN THE MIDDLE: La Vida Sigue Siendo Injusta Tráiler Español Latino (2026),ONE Media Español,UCcVNDl7ZJMf9lC9a34CY4RA,1,Film & Animation,"Tráiler, Película, Español, Latino, 2026, Malcolm, Malcolm in the Middle Tráiler, Bryan Cranston, Frankie Muniz, La Vida Sigue Siendo Injusta",10,https://i.ytimg.com/vi/AcdpY5oh8oA/hqdefault.jpg,es,es,False,117,PT1M57S,hd,False,True,False,False,883121,37504,2195
-V5nAqmZ-3A,CL,2026-03-14T03:12:31.277083+00:00,2026-03-13T20:49:02Z,Mandarina DESAPARECIÓ en Brookhaven Roblox,Mandarina DESAPARECIÓ en Brookhaven Roblox,Lyna,UC-cnbLlplnXA4oc7rR21qzg,20,Gaming,,0,https://i.ytimg.com/vi/-V5nAqmZ-3A/hqdefault.jpg,es-419,es-419,False,869,PT14M29S,hd,False,True,False,False,285022,4603,483
iaSoFHcnLk0,CL,2026-03-14T03:12:31.277091+00:00,2026-03-10T14:30:41Z,Mark Anthony - Tu Amor Me Hace Bien (Letra),Mark Anthony - Tu Amor Me Hace Bien (Letra),Unity Vibe ,UCYG2C7jhtUyFYV1s81qpOTQ,10,Music,"mark anthony, tu amor me hace bien, mark anthony tu amor me hace bien, tu amor me hace bien mark anthony, mark anthony tu amor me hace bien letra, tu amor me hace bien mark anthony letra, mark anthony letra tu amor me hace bien, tu amor me hace bien letra mark anthony, letra mark anthony, letra tu amor me hace bien, letra mark anthony tu amor me hace bien, letra tu amor me hace bien mark anthony, latin, latin music, latin trending, latin trend, latin on screen",17,https://i.ytimg.com/vi/iaSoFHcnLk0/hqdefault.jpg,es,es,False,301,PT5M1S,hd,False,True,False,False,94267,153,0
j2-octxleCk,CL,2026-03-14T03:12:31.277099+00:00,2026-03-12T20:21:28Z,Malcom in the Middle | Tráiler Doblado | Disney+,Malcom in the Middle | Tráiler Doblado | Disney+,Hulu Latinoamérica,UCLv2j33-tarLsnq4TzcBTZA,24,Entertainment,"estrenos series, estrenos fox premium, the walking dead, que ver en fox premium, series fox premium, estrenos noviembre",6,https://i.ytimg.com/vi/j2-octxleCk/hqdefault.jpg,es,es,False,97,PT1M37S,hd,False,True,False,False,403047,16733,902
CDLV6pBvwoo,CL,2026-03-14T03:12:31.277108+00:00,2026-03-13T17:34:36Z,Salvando al GATO en 99 Noches en el Bosque!,Salvando al GATO en 99 Noches en el Bosque!,ShiquiRbx,UC4-EgWjaQmUJDHedGWGel5A,24,Entertainment,"roblox, 99 noches en el bosque, 99 nights in the forest, gameplay, divertidos, 1000 noches en 99 noches, rompi oficialmente 99 noches en el bosque, 1000 noches, admin cat, Clase de gato, nuevo enemigo gato, salve al nuevo enemigo, salve al gato en 99 noches, 99 noches pero salve al gato, Gato herido 99 nights, Saving the Cat in 99 Nights in the Forest",16,https://i.ytimg.com/vi/CDLV6pBvwoo/hqdefault.jpg,es,es,False,989,PT16M29S,hd,False,True,False,False,458253,5434,901
UlGyHb9DdBs,CL,2026-03-14T03:12:31.277116+00:00,2026-03-13T00:03:03Z,Una Aventura,Una Aventura,Ozuna - Topic,UCKEFjh4JL-OyMI8z3h5Coaw,10,Music,"Ozuna, オズナ, Una Aventura",3,https://i.ytimg.com/vi/UlGyHb9DdBs/hqdefault.jpg,en,es,False,181,PT3M1S,hd,False,True,False,False,149893,4004,60
