video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
3rg0p23brQ0,CO,2026-02-07T03:09:52.088429+00:00,2026-02-05T00:00:06Z,"W Sound 23 “5 Estrellas” - Myke Towers, Westcol, Ovy On The Drums","W Sound 23 “5 Estrellas” - Myke Towers, Westcol, Ovy On The Drums",W Sound,UCWOVPbJfZ_g1JslVi_OFGfQ,10,Music,,0,https://i.ytimg.com/vi/3rg0p23brQ0/hqdefault.jpg,es,es-419,False,191,PT3M11S,hd,False,False,False,False,1944389,174454,10858
WYmvLoOEGB8,CO,2026-02-07T03:09:52.088452+00:00,2026-02-06T18:28:08Z,"""Yoshi se come a Kamek"" SUPER MARIO GALAXY: La Película Tráiler Español Latino (2026)","""Yoshi se come a Kamek"" SUPER MARIO GALAXY: La Película Tráiler Español Latino (2026)",ONE Media Español,UCcVNDl7ZJMf9lC9a34CY4RA,1,Film & Animation,"Tráiler, Película, Español, Latino, 2026, Yoshi se come a Kamek, Super Mario Galaxy, Super Mario Galaxy Tráiler, Mario, Luigi, Yoshi, Tráiler 2, Super Mario Galaxy: La Película",13,https://i.ytimg.com/vi/WYmvLoOEGB8/hqdefault.jpg,es,es,False,176,PT2M56S,hd,False,True,False,False,273128,9991,370
VWxkSx1lg2M,CO,2026-02-07T03:09:52.088464+00:00,2026-02-06T21:28:09Z,Me Convertí en BEBÉ BLOOP para Trollear a Mis Amigos en Minecraft!,Me Convertí en BEBÉ BLOOP para Trollear a Mis Amigos en Minecraft!,Dagar,UCEs5MQjXJq27-X2vgdwtYDw,20,Gaming,"Minecraft, minecraft mod, dagar y nacho, nacho y dagar, amigos minecraft, dagar minecraft, minecraft dagar",7,https://i.ytimg.com/vi/VWxkSx1lg2M/hqdefault.jpg,es,es-ES,False,1339,PT22M19S,hd,False,True,False,False,330621,6391,412
MuLlJ2NMpIU,CO,2026-02-07T03:09:52.088473+00:00,2026-02-06T00:01:39Z,GPS #5 - Dime Que Sí,GPS #5 - Dime Que Sí,Georgy Parra Salvaje - Topic,UCuThEImtmdPhrs3CS_UV3KQ,10,Music,"Georgy Parra Salvaje, Yeison Jimenez, GPS #5 - Dime Que Sí",3,https://i.ytimg.com/vi/MuLlJ2NMpIU/hqdefault.jpg,es,es,False,195,PT3M15S,hd,False,True,False,False,124852,12498,0
Z1PIUf2A48U,CO,2026-02-07T03:09:52.088480+00:00,2026-02-05T12:03:03Z,ATRAPANDO A UN MONSTRUO Tráiler Oficial Español (2026) Mads Mikkelsen,ATRAPANDO A UN MONSTRUO Tráiler Oficial Español (2026) Mads Mikkelsen,Trailers In Spanish,UCkpS96fmTFa8gGVWJx2uVAA,1,Film & Animation,"Película, tráiler, 2026, tráiler de película, tráilers de películas, tráiler de película 2026, tráilers de películas 2026, nueva película, nuevas películas, nuevos tráilers de películas, nuevos tráilers de películas 2026, nuevas películas 2026, mejores películas, mejores películas 2026, mejores próximos estrenos, mejores próximos estrenos 2026, mejores tráilers de películas nuevas, recopilación de tráilers de películas, mejores películas para ver, los mejores próximos estrenos",20,https://i.ytimg.com/vi/Z1PIUf2A48U/hqdefault.jpg,es,es,False,130,PT2M10S,hd,False,True,False,False,115630,1125,35
Uo_YVmsQBCA,CO,2026-02-07T03:09:52.088489+00:00,2026-02-07T00:43:21Z,roblox best gameplay,roblox best gameplay,StanRP,UCHYA5HNaS5n4idxmP-at8nA,20,Gaming,"roblox, granny, free fire, live roblox, roblox shorts, shorts feed, 67, six seven, meme reset, singing brainrot song, great meme reset",11,https://i.ytimg.com/vi/Uo_YVmsQBCA/hqdefault.jpg,en-US,en,False,20,PT20S,hd,False,True,False,False,1103872,9965,13
nUaQMon-OXo,CO,2026-02-07T03:09:52.088498+00:00,2026-02-05T10:04:34Z,Me Niegas,Me Niegas,Baby Rasta & Gringo - Topic,UCzmQURLJn3l-8lTa1nNEI-w,10,Music,"Baby Rasta y Gringo, Los Cotizados, Me Niegas",3,https://i.ytimg.com/vi/nUaQMon-OXo/hqdefault.jpg,es,es,False,202,PT3M22S,hd,False,True,False,False,199518,1584,4
swBvizspN1E,CO,2026-02-07T03:09:52.088505+00:00,2026-02-04T18:00:00Z,Máquina de guerra | Tráiler oficial | Netflix,Máquina de guerra | Tráiler oficial | Netflix,Netflix Latinoamérica,UC5ZiUaIJ2b5dYBYGf5iEUrA,24,Entertainment,"Alan Ritchson, Alan Ritchson Máquina de guerra, Armor Wars, Dennis Quaid, Jai Courtney, MCU, Marvel Máquina de guerra, Máquina de guerra 2026, Máquina de guerra Netflix, Máquina de guerra película, Máquina de guerra tráiler, Máquina de guerra tráiler oficial, Netflix, Patrick Hughes, Reacher Alan Ritchson, UCM, War Machine, ciencia ficción, intriga militar, sci-fi, thriller, thriller sci-fi 2026, tráiler, tráiler película nueva",24,https://i.ytimg.com/vi/swBvizspN1E/hqdefault.jpg,es,en-US,False,123,PT2M3S,hd,False,False,False,False,261937,3383,198
a4bopYAR9p0,CO,2026-02-07T03:09:52.088513+00:00,2026-02-06T21:00:01Z,ALQUILÉ UN CINE PARA JUGAR JUEGOS DE TERROR ☠️,ALQUILÉ UN CINE PARA JUGAR JUEGOS DE TERROR ☠️,Peli,UCNnv0KDG4XDHx__iUt6zASA,20,Gaming,"pelicanger, pelicanger jugando, juegos de terror en un cine, juegos de terror, pelicanger jugando juegos de terror, peli jugando juegos de terror, pelicanger videos de terror, peli juegos de terror, pelicanger terror, pelicanger cine juegos de terror, pelicanger juegos de terror, pelicanger juega juegos de terror, pelicanger juegos de miedo, pelicanger juegos, pelicanger fnaf, pelicanger granny, alquile un cine para jugar videojuegos, Alquilé Un Cine Para Jugar Juegos de Terror",18,https://i.ytimg.com/vi/a4bopYAR9p0/hqdefault.jpg,es,es-ES,False,2125,PT35M25S,hd,False,True,False,False,88671,9457,436
CUUcbMQsQKM,CO,2026-02-07T03:09:52.088521+00:00,2026-02-06T02:00:07Z,TOPBOY - PAIA (Visualizer) #TBTRAP3.0,TOPBOY - PAIA (Visualizer) #TBTRAP3.0,Topboy TGR,UCLEaqE_1QoUtDk-hghD4tBQ,10,Music,"TOPBOY, TOPBOY TGR, TOPBOY trap colombiano, TOPBOY Buenaventura, TOPBOY TRAP SEASON, SKY ROMPIENDO, Sky Rompiendo productor, Sky Rompiendo Colombia, Sky Rompiendo Latin Grammy, Alejandro Ramírez Sky Rompiendo, trap urbano 2026, PAIA visualizer, TBTRAP3.0, trap colombiano 2026, música urbana, reggaetón fusion, productores latinos, escena trap Cali, trap Storytelling, top trap tracks, nuevo trap colombiano, video PAIA, mike tower pirlo, mike towers, trap sznn, trap season",26,https://i.ytimg.com/vi/CUUcbMQsQKM/hqdefault.jpg,es,es-419,False,167,PT2M47S,hd,False,True,False,False,103795,10026,340
3nIspCAm01M,CO,2026-02-07T03:09:52.088528+00:00,2026-02-06T00:01:59Z,EL FIN DE POPPY PLAYTIME ESTA CERCA - Poppy Playtime Capitulo 5 Teaser Trailer OFICIAL,EL FIN DE POPPY PLAYTIME ESTA CERCA - Poppy Playtime Capitulo 5 Teaser Trailer OFICIAL,ÑeBoyGamer,UC2dyvfVqMfmXUxgL0oAuXTw,20,Gaming,"poppy playtime capitulo 5, poppy playtime chapter 5, poppy playtime 5 trailer, poppy playtime capitulo 5 teoria, poppy palytime 5 teaser trailer, poppy playtime, Poppy Playtime chapter 5, Poppy Playtime 5, Poppy Playtime 5 news, poppy playtime 5 teaser, poppy playtime trailer, poppy, Poppy Playtime teaser trailer, Poppy playtime VHS, Poppy playtime capitulo 5, Poppy playtime chs catnap, Catnap, Poppy playtime 5 huggy rojo, Poppy playtime 5 nuevo huggy, Huggy, Poppy playtime 5 arg",21,https://i.ytimg.com/vi/3nIspCAm01M/hqdefault.jpg,es,es,False,789,PT13M9S,hd,False,True,False,False,114998,5958,644
txoJog36kDs,CO,2026-02-07T03:09:52.088535+00:00,2026-02-06T20:13:13Z,CONSTRUYE para PROTEGER a BEBÉ KIRA y MANDARINA en Roblox,CONSTRUYE para PROTEGER a BEBÉ KIRA y MANDARINA en Roblox,Lyna,UC-cnbLlplnXA4oc7rR21qzg,20,Gaming,,0,https://i.ytimg.com/vi/txoJog36kDs/hqdefault.jpg,es-419,es-419,False,975,PT16M15S,hd,False,True,False,False,306246,4418,341
sSUrYVBQegM,CO,2026-02-07T03:09:52.088542+00:00,2026-02-06T01:00:07Z,Hades66 - Manhattan II X MR GOAT (Video Oficial) ,Hades66 - Manhattan II X MR GOAT (Video Oficial) ,Hades 66,UCmq68gs3AMYLHwu-3ujlcaA,10,Music,"Hades66, LaMRecords, PR, LaM, El66, Manhattan2, Manhattan, Manhattan II, New York, NYC",10,https://i.ytimg.com/vi/sSUrYVBQegM/hqdefault.jpg,es,es,False,136,PT2M16S,hd,False,True,False,False,434873,46473,3722
nps7BxWPbkI,CO,2026-02-07T03:09:52.088550+00:00,2026-02-06T22:00:06Z,ME PICÓ EL OJO | A Fairy Good Night Tráiler | Miraculous Ladybug | Discusión,ME PICÓ EL OJO | A Fairy Good Night Tráiler | Miraculous Ladybug | Discusión,Alfrely,UCt4gUEkNUM3dahWDpouQqdw,1,Film & Animation,,0,https://i.ytimg.com/vi/nps7BxWPbkI/hqdefault.jpg,es-419,es-419,False,1706,PT28M26S,hd,False,True,False,False,8172,1130,146
EkFxxaR2Z3w,CO,2026-02-07T03:09:52.088556+00:00,2026-02-06T21:15:00Z,CONSTRUI UNA CASA SEGURA EN UN SUPERMERCADO COMPLETO (ROBLOX),CONSTRUI UNA CASA SEGURA EN UN SUPERMERCADO COMPLETO (ROBLOX),Chuy Mine,UCrppUjIbcQjh2Drz8UyuRVg,20,Gaming,"chuymine, chuy mine, CONSTRUI UNA CASA SEGURA EN UN SUPERMERCADO COMPLETO, CONSTRUI UNA CASA SEGURA EN UN SUPERMERCADO, CONSTRUI UNA CASA SEGURA, CASA SEGURA EN UN SUPERMERCADO, CASA SEGURA, SUPERMERCADO COMPLETO, SUPERMERCADO, CONSTRUI UNA CASA, ROBLOX",11,https://i.ytimg.com/vi/EkFxxaR2Z3w/hqdefault.jpg,es,es,False,1376,PT22M56S,hd,False,True,False,False,185306,2656,167
