video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
KF6SfC6Q-ZA,CY,2026-08-11T02:36:30.029179+00:00,2026-08-06T21:00:06Z,Burak Bulut - Ah Be Manolya [Official Video],Burak Bulut - Ah Be Manolya [Official Video],Burak Bulut,UCFVzWCK50ZYWUhuIS6Y0C0A,22,People & Blogs,,0,https://i.ytimg.com/vi/KF6SfC6Q-ZA/hqdefault.jpg,tr,tr,False,178,PT2M58S,hd,True,True,False,False,3629055,78277,5177
G5hWlD5zfhw,CY,2026-08-11T02:36:30.029214+00:00,2026-08-08T13:31:22Z,Toxic Official Hindi Trailer | Rocking Star Yash | Geetu Mohandas | KVN | Monster Mind Creations,Toxic Official Hindi Trailer | Rocking Star Yash | Geetu Mohandas | KVN | Monster Mind Creations,KVN PRODUCTIONS,UC3DOgauBYLQQXdH1siGjfpw,1,Film & Animation,"KVN Production, KVN, KVN Movies, Toxic, Yash, KD, Toxic Trailer, Toxic Movie, Toxic Yash, Rocking Star Yash, Yash New Movie, KVN Productions, Monster Mind Creations, Geetu Mohandas, Ravi Basrur, Kiara Advani, Nayanthara, Huma Qureshi, Tara Sutaria, Rukmini Vasanth, Rocky Bhai, Yash Movie, Toxic Update, Toxic A Fairy Tale, Toxic New Movie, Toxic Movie Trailer, Yash Movie Trailer, Yash Toxic Movie Trailer, toxic, Toxic Hindi Trailer, Toxic Hindi, Toxic Hindi Movie Trailer",32,https://i.ytimg.com/vi/G5hWlD5zfhw/hqdefault.jpg,en,en-IN,False,279,PT4M39S,hd,True,True,False,False,23640513,582991,33890
Cb5Cde_D5SM,CY,2026-08-11T02:36:30.029226+00:00,2026-08-08T21:25:33Z,MINECRAFT HARDCORE ALL BOSSES DAY 2 🍄🔨🧟‍♂️ft. KaiCenat,MINECRAFT HARDCORE ALL BOSSES DAY 2 🍄🔨🧟‍♂️ft. KaiCenat,IShowSpeed,UCWsDFcIhY2DBi3GB5uykGXA,20,Gaming,ishowspeed,1,https://i.ytimg.com/vi/Cb5Cde_D5SM/hqdefault.jpg,en,en,False,42901,PT11H55M1S,hd,False,True,False,False,10472550,197101,775
HaJSYCFsgOY,CY,2026-08-11T02:36:30.029235+00:00,2026-07-09T20:59:06Z,Ezhel - Bana Ne Bu Sevdalardan (Live Session),Ezhel - Bana Ne Bu Sevdalardan (Live Session),Ezhel,UCs-ofxCnIFUW74vjTbdw5zg,10,Music,"ezhel, artz, bugy, koal, bana, ne, bu, sevdalardan, bir, en, yeni, new, music, müzik, musik, video, vidyo, klip, şarkı, turkish, turkce, türkçe, hiphop, rap, reggae, ezel, rapçi, rep, cimer, BNBS, CİMER",31,https://i.ytimg.com/vi/HaJSYCFsgOY/hqdefault.jpg,tr,tr,False,140,PT2M20S,hd,True,True,False,False,8758228,78935,2692
irVNGjRFZGk,CY,2026-08-11T02:36:30.029245+00:00,2026-07-20T13:00:20Z,Avengers: Doomsday | Official Trailer | In Theaters December 18,Avengers: Doomsday | Official Trailer | In Theaters December 18,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/irVNGjRFZGk/hqdefault.jpg,en,en,False,146,PT2M26S,hd,True,True,False,False,61006294,2548590,190750
QMwnezOZuMM,CY,2026-08-11T02:36:30.029253+00:00,2026-08-08T12:00:03Z,ΑΝΟΙΞΑ SATISFYING ΠΡΑΓΜΑΤΑ ΣΤΟ ROBLOX,ΑΝΟΙΞΑ SATISFYING ΠΡΑΓΜΑΤΑ ΣΤΟ ROBLOX,Gunzar,UCLk_on12RSyA7OAAnmV5S3g,20,Gaming,"gunzar, guenzar, ganzar, γανζαρ, γθενζαρ, γθνζαρ, γρεεκ, κρις, chris, ROBLOX, ROBLOX GR, GUNZAR ROBLOX, GANZAR ROBLOX, BRAINROT, ITALIAN BRAINROT ROBLOX, ROBLOX TUN TUN TUN, ΑΥΤΟ ΕΙΝΑΙ ΤΟ ΠΙΟ ΕΥΚΟΛΟ ΠΑΙΧΝΙΔΙ ΣΤΟ ROBLOX, ΚΕΡΔΙΖΩ ΤΟ ΠΙΟ ΕΥΚΟΛΟ ΠΑΙΧΝΙΔΙ ΣΤΟ ROBLOX, γκρου α γκαρτεν, grow a garden, grow a garden gr, squid games, squid games greek, roblox squid game, 99 days in forest, 99 days in forest roblox, roblox 99 days in forest gr, greek 99 days in forest, TIPS, STEAL A BRAINROT",30,https://i.ytimg.com/vi/QMwnezOZuMM/hqdefault.jpg,el,el,False,1186,PT19M46S,hd,False,True,False,False,85136,2628,346
fn-V2mIei2M,CY,2026-08-11T02:36:30.029262+00:00,2026-08-06T16:00:00Z,manifest - Hileli | Special Dance Video,manifest - Hileli | Special Dance Video,manifest,UC3aqBnkDAfMh5eUmiYi_tfQ,10,Music,"manifest, big5 türkiye, big5 manifest, official music video, manifest video, manifest music video, manifest girlband, amatör manifest music video, official music video türkçe, manifest esin, manifest hilal, manifest mina, manifest zoktay, zeynep oktay, manifest lidya, manifest sueda, manifest şarkıları, manifest klip, manifest daha iyi, sueda uluca, ajda pekkan, hileli, ajda pekkan manifest, hileli music video, ajda pekkan hileli, dance video, special dance video",27,https://i.ytimg.com/vi/fn-V2mIei2M/hqdefault.jpg,tr,tr,False,233,PT3M53S,hd,False,True,False,False,4013912,191958,17572
mNd1gb19A-c,CY,2026-08-11T02:36:30.029271+00:00,2026-07-23T13:00:24Z,RESIDENT EVIL – Official Trailer (4K),RESIDENT EVIL – Official Trailer (4K),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,24,Entertainment,,0,https://i.ytimg.com/vi/mNd1gb19A-c/hqdefault.jpg,en,en,False,153,PT2M33S,hd,True,True,False,False,9678788,379084,23315
om-Iun3duMA,CY,2026-08-11T02:36:30.029279+00:00,2026-08-09T15:46:44Z,PMWC WATCHPARTY Group B | Day 2,PMWC WATCHPARTY Group B | Day 2,Cr7 HORAA,UC27pyUnJTUyxe_z_0WxxNXw,20,Gaming,,0,https://i.ytimg.com/vi/om-Iun3duMA/hqdefault.jpg,en-US,en-US,False,19091,PT5H18M11S,hd,False,True,False,False,1309619,45573,76
aKGCXYX7jN8,CY,2026-08-11T02:36:30.029288+00:00,2026-07-30T20:59:06Z,CRUSH - CRUSH! | Official Music Video,CRUSH - CRUSH! | Official Music Video,CRUSH,UCdKIMZMJeZtLwitpv0O_U3Q,10,Music,"crush, crush crush, turkish boysband, turkish boyband",4,https://i.ytimg.com/vi/aKGCXYX7jN8/hqdefault.jpg,tr,tr,False,174,PT2M54S,hd,True,False,False,False,10050801,354148,279559
