video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
5UsjPTqJhjo,DE,2026-09-13T05:11:49.458462+00:00,2026-09-10T11:00:28Z,Anna-Carina Woitschack & Stefan Mross - Stark wie Zwei (Jojo Dance Remix) (Offizielles Cover-Video),Anna-Carina Woitschack & Stefan Mross - Stark wie Zwei (Jojo Dance Remix) (Offizielles Cover-Video),Schlager für Alle,UC8JETzqWNyTnAtwaq0_dl9A,10,Music,"telamo, schlagermusik, Schlager für alle, offizielles Video, Schlager Hits, Schlager Charts, Schlager Mix, Schlager Musik, deutsche Schlager youtube, youtube schlager, schlager, schlager hit mix, schlager hits mix, schlager 2026, schlager video 2026, schlager hit mix 2026, schlager hits 2026, schlager musik 2026, anna carina woitschack, stefan mross, stark wie zwei, jojo dance remix, cover video",23,https://i.ytimg.com/vi/5UsjPTqJhjo/hqdefault.jpg,de,de-DE,False,209,PT3M29S,hd,False,True,False,False,64293,134,16
uQuKE0KDgiM,DE,2026-09-13T05:11:49.458504+00:00,2026-09-12T18:57:59Z,World of Warcraft: Forever | Gameplay Trailer,World of Warcraft: Forever | Gameplay Trailer,World of Warcraft,UCbLj9QP9FAaHs_647QckGtg,20,Gaming,"World of Warcraft, WoW, Warcraft, Blizzard, Blizzard Entertainment, gaming, video games, rpg, mmo, esports, wow classic",11,https://i.ytimg.com/vi/uQuKE0KDgiM/hqdefault.jpg,en,en,False,180,PT3M,hd,False,True,False,False,968612,18800,3516
X4euGKFMZOU,DE,2026-09-13T05:11:49.458516+00:00,2026-09-12T18:15:55Z,WER IST DER BESTE MINECRAFT SPIELER? (NEUES FORMAT),WER IST DER BESTE MINECRAFT SPIELER? (NEUES FORMAT),BastiGHG,UCgZpwegd4AdDlZNrIamIgRw,20,Gaming,"minecraft, mc, challenge, bastighg, ghg, pvp, durchspielen, german, deutsch, hungergames, runde, team, hacker, texturepack, highlights, varo 4, best of, tutorial, basti ghg, extreme, fail, wir, xxl, chaos, drop, neu, alle, zufall, jedes, für, alles, schaden, muss, randomizer, item, mit, mob, monster, projekt, 100%, welt, ultra, ich, map, nur, neues, 24 stunden, craft attack, duo, block, level border, uhc, größe, one, wer, ist, der, beste, spieler, random, papaplatte, castcrafter, holzkopf, border, neue, format, wichtiger, gruppe, quiz, show, olympiade",71,https://i.ytimg.com/vi/X4euGKFMZOU/hqdefault.jpg,de,de,False,4503,PT1H15M3S,hd,False,True,False,False,242600,12611,582
Z1IZFgJ1ZkI,DE,2026-09-13T05:11:49.458528+00:00,2026-09-11T14:00:07Z,Mike Krüger - Die Blues Brüder - Mit dem HVV zum HSV (Official Video),Mike Krüger - Die Blues Brüder - Mit dem HVV zum HSV (Official Video),Mike Krüger,UCpauakVGzw53w9i9DM0w1Gw,22,People & Blogs,"Mike Krüger, Mein Gott Walther, Bodo mit dem Bagger, Der Nippel",4,https://i.ytimg.com/vi/Z1IZFgJ1ZkI/hqdefault.jpg,de,de,False,146,PT2M26S,hd,False,True,False,False,80622,770,71
GxCN_AKYtts,DE,2026-09-13T05:11:49.458538+00:00,2026-09-12T18:20:04Z,Diablo V Teaser,Diablo V Teaser,Diablo,UCxn8csYeZg6awRnZS-aqg0g,20,Gaming,"Diablo, Diablo III, D3, Blizzard, Blizzard Entertainment",5,https://i.ytimg.com/vi/GxCN_AKYtts/hqdefault.jpg,en,en,False,48,PT48S,hd,True,True,False,False,493710,12641,2442
2hcbkWMK7vs,DE,2026-09-13T05:11:49.458547+00:00,2026-09-12T16:30:07Z,"Edeltour, aber ich hab richtig große Scheiße gebaut...","Edeltour, aber ich hab richtig große Scheiße gebaut...",Papaplatte Gaming,UCxdaFKaMlRHtVkBeGygsYTw,20,Gaming,"papaplatte gaming, papaplatte games, papaplatte lets play, papalatte gaming, gaming channel papaplatte, gaming papaplatte, lets play, gaming deutsch, twitch highlights, twitch gaming, twitch games, livestreamer",12,https://i.ytimg.com/vi/2hcbkWMK7vs/hqdefault.jpg,de,de,False,5220,PT1H27M,hd,False,True,False,False,248938,8486,117
6M8MfRdGJc0,DE,2026-09-13T05:11:49.458556+00:00,2026-09-11T18:00:11Z,Saifond Welaylan Feat Ak ( Clip Officiel By Mintigui Prod,Saifond Welaylan Feat Ak ( Clip Officiel By Mintigui Prod,SAIFOND,UCL3ltgLhi_JcFeFzzsOQ9pg,10,Music,,0,https://i.ytimg.com/vi/6M8MfRdGJc0/hqdefault.jpg,fr,fr,False,169,PT2M49S,hd,False,True,False,False,879685,44553,3885
67Mln_OqFGM,DE,2026-09-13T05:11:49.458565+00:00,2026-09-12T19:24:43Z,I Didn't See This Coming..,I Didn't See This Coming..,Asmongold TV  ,UCQeRaTukNYft1_6AZPACnog,20,Gaming,"asmongold, asmongold reacts, asmongold wow, asmongold highlights, asmongold youtube, world of warcraft, asmongold funny, asmongold tv, asmongold channel, zackrawrr",10,https://i.ytimg.com/vi/67Mln_OqFGM/hqdefault.jpg,en,en,False,4178,PT1H9M38S,hd,False,True,False,False,1412763,47174,6060
gDQRwTmSgGk,DE,2026-09-13T05:11:49.458574+00:00,2026-09-12T16:00:21Z,Ich verbringe 1 Nacht in Minecraft,Ich verbringe 1 Nacht in Minecraft,laserluca,UCmxc6kXbU1J-0pR2F3wIx9A,24,Entertainment,"luca, laserluca",2,https://i.ytimg.com/vi/gDQRwTmSgGk/hqdefault.jpg,de,de,False,1158,PT19M18S,hd,False,True,False,False,248405,10487,470
2hV7kte90BA,DE,2026-09-13T05:11:49.458582+00:00,2026-09-10T22:00:34Z,Sa4 x Gzuz - Count your blessings (TommyGun),Sa4 x Gzuz - Count your blessings (TommyGun),CrhymeTV,UCGh8tmH9x9njaI2mXfh2fyg,10,Music,"187, 187 Strassenbande, BONEZ MC, RAF Camora, MAXWELL, rap, hiphop, deutschrap, CrhymeTV, strassenbande, gzuz, lx, maxwell, sa4, bonez, raf, camora, ghost, schnapp, 500 ps, ohne mein team, honda civic, millionär, mit den jungs, Bonez MC - Tilidin weg, bonez tilidin, Tilidin weg, bonez zombiez, bonez tilidin weg, 187 Strassenbande Sampler 5, 187 Sampler 5, Sampler 5, Sa4 Gzuz Count your blessings, Gzuz Count your blessings, Sa4 Count your blessings, Count your blessings, Sa4 Gzuz",37,https://i.ytimg.com/vi/2hV7kte90BA/hqdefault.jpg,de,de,False,161,PT2M41S,hd,False,True,False,False,358110,16574,705
