video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
X_D80tip9rY,DO,2026-06-14T05:16:16.894267+00:00,2026-06-12T22:00:15Z,Ronny GTA - No Se Dejan Mete Cabra (Video Oficial),Ronny GTA - No Se Dejan Mete Cabra (Video Oficial),Ronny GTA,UCTKkT14ceYtu4pFYC7FUpvQ,10,Music,"Ronny GTA, DR Music, ronny gta esa nena, ronny gta rumor de guerra, ronny gta me pisaron los jordan, por el respeto ronny gta, ronny gta ow si, ronny gta dembow, dembow, ronny gta, Dembow, Ronny gta, Rochy RD, Donaty, Yomel el meloso, Ceky viciny, Rony Alca, rochy rd, dembow dominicano, Por El Respeto, Doble Cara, Boquita, republica dominicana, dembow mix, Ronny GTA - No Se Dejan Mete Cabra, ronny gta - no se dejan mete cabra, yailin la mas viral, el alfa",28,https://i.ytimg.com/vi/X_D80tip9rY/hqdefault.jpg,es,es,False,133,PT2M13S,hd,False,True,False,False,113100,8798,365
Kf3c53eX7Lg,DO,2026-06-14T05:16:16.894313+00:00,2026-06-09T16:00:09Z,Cyclops: The Fearless Leader | Character Reveal Trailer | Marvel Rivals,Cyclops: The Fearless Leader | Character Reveal Trailer | Marvel Rivals,Marvel Rivals,UCWzmOSSiSPbVnVu3ZAyDx2w,20,Gaming,"Marvel Rivals, Cyclops, Cyclops Reveal Trailer, Marvel, Marvel Games",5,https://i.ytimg.com/vi/Kf3c53eX7Lg/hqdefault.jpg,en,,False,61,PT1M1S,hd,False,False,False,False,3216080,82939,6538
FU7FObOIOrc,DO,2026-06-14T05:16:16.894325+00:00,2026-06-14T03:34:03Z,HAITI vs SCOTLAND | World Cup 2026 Match Simulation | eFootball PES 21 Gameplay,HAITI vs SCOTLAND | World Cup 2026 Match Simulation | eFootball PES 21 Gameplay,Astra Football,UCWMS19xlGSNULdXERktZvAw,20,Gaming,,0,https://i.ytimg.com/vi/FU7FObOIOrc/hqdefault.jpg,en-IN,en-IN,False,10300,PT2H51M40S,hd,False,True,False,False,460970,2542,9
OvqnfysCoGs,DO,2026-06-14T05:16:16.894335+00:00,2026-06-13T22:25:27Z,SIENTO QUE TE QUIERO - EL RUBIO ACORDEÓN (EN VIVO),SIENTO QUE TE QUIERO - EL RUBIO ACORDEÓN (EN VIVO),El Rubio Acordeón,UCAMv4v_SL4t3RxdMND9JDyg,10,Music,"rubio acordeon, el rubio acordeon mariela, coleccionista tipico, El Rubio Acordeon - Mariela En Vivo, mariela el rubio acordeon, mariela, el rubio del acordeon, el rubio, el rubio acordeón, para musicologo, tipico para musicologo, tipico mix, el rubio tipico, el rubio acordeon, el rubio acordeon el abogado, raquel arias, wilman peña, los cabareces, las indias de bani, Siento que te quiero, El Rubio acordeón siento que te quiero",21,https://i.ytimg.com/vi/OvqnfysCoGs/hqdefault.jpg,es,es,False,461,PT7M41S,hd,False,True,False,False,16435,1527,91
yHp_wxsL4j4,DO,2026-06-14T05:16:16.894343+00:00,2026-06-13T19:16:06Z,Evolución de Chunk KFC vs MCDONALDS en Minecraft!,Evolución de Chunk KFC vs MCDONALDS en Minecraft!,Nacho,UC8EkcHOycB94lHDkbAPSnQA,20,Gaming,"nacho, dagar, nacho minecraft, dagar y nacho, nacho y dagar, minecraft, minecraft mod, trucos minecraft, dagar minecraft, amigos minecraft, lia, lia minecraft, nacho y lia, reto de construccion, base, kfc, kfc minecraft, restaurante minecraft, pollo, pollo frito, mcdonalds, nacho vs dagar, mcdonalds vs kfc, mcdonalds minecraft",24,https://i.ytimg.com/vi/yHp_wxsL4j4/hqdefault.jpg,es,es,False,1386,PT23M6S,hd,False,True,False,False,589472,8780,380
j8sALUQOTrU,DO,2026-06-14T05:16:16.894352+00:00,2026-06-12T19:00:06Z,LAJA - MALCRIAO (Video Oficial) Shot.by @checkthefootage #spanishdrill,LAJA - MALCRIAO (Video Oficial) Shot.by @checkthefootage #spanishdrill,LAJA,UCA_R5DJK_2lI4fAjNOyn7pw,24,Entertainment,,0,https://i.ytimg.com/vi/j8sALUQOTrU/hqdefault.jpg,es,es,False,187,PT3M7S,hd,False,True,False,False,237909,27479,6902
NjgdB0GBDhA,DO,2026-06-14T05:16:16.894360+00:00,2026-06-11T16:15:04Z,HAITI vs SCOTLAND - FIFA World Cup 2026 Group Stage | simulation gameplay,HAITI vs SCOTLAND - FIFA World Cup 2026 Group Stage | simulation gameplay,Mundo Futbol ,UCM1A7au6KmYdAkp_K1zgPZA,17,Sports,"haiti, fifa world cup, world cup highlights, HAITI VS SCOTLAND 2026, RESUMEN HAITI VS ESCOCIA 2026, PARTIDO DE ESCOCIA HOY, VER ESCOCIA EN VIVO ONLINE GRATIS, ESCOCIA JUEGA HOY, scotland, escocia, seleccion de haiti, seleccion de escocia, duckens nazon, andrew robertson, scott mctominay, world cup 2026, copa mundial 2026, haiti vs scotland live, scotland vs haiti, highlights haiti vs scotland, GOLES DE ESCOCIA HOY, RESUMEN HAITI HOY, RESULTADO ESCOCIA VS HAITI, haiti vs",24,https://i.ytimg.com/vi/NjgdB0GBDhA/hqdefault.jpg,es,es,False,1347,PT22M27S,hd,False,True,False,False,85767,528,41
BtoYOW5i3EE,DO,2026-06-14T05:16:16.894368+00:00,2026-06-12T16:00:06Z,Lomiiel - NO ME IMPORTA - ( VIDEO OFICIAL 4K ),Lomiiel - NO ME IMPORTA - ( VIDEO OFICIAL 4K ),Lomiiel,UC074AJqASc35t5kAnENS5qQ,10,Music,"TENDENCIAS, omar courtz, OMAR COURTZ, ROA, Jay Wheeler, Trap, Dembow, Alofoke, DRAKE, TEMS, DAVE, REPUBLICA DOMINICANA, ESTADOS UNIDOS, EUROPA, MUSICA, BAD BUNNY, TIK TOK, LOMIIEL, De La Rose, Young Miko, Raw Alejandro, Milo J, Maluma, NO ME IMPORTA LOMIIEL",24,https://i.ytimg.com/vi/BtoYOW5i3EE/hqdefault.jpg,es,es,False,81,PT1M21S,hd,False,False,False,False,126098,6184,1031
MNn06ah6PMc,DO,2026-06-14T05:16:16.894376+00:00,2026-06-12T23:00:09Z,HAÏTI vs ÉCOSSE | Coupe du Monde FIFA 2026 | Stade Gillette | Simulation PES 2021,HAÏTI vs ÉCOSSE | Coupe du Monde FIFA 2026 | Stade Gillette | Simulation PES 2021,Shai Gameplay,UCCG_xCSUtvBeT23LZa1_XKw,17,Sports,"Haiti vs Scotland, Haïti vs Écosse, Haiti vs Scotland simulation, Haiti vs Scotland full match, Haiti vs Scotland World Cup, Coupe du Monde FIFA 2026, simulation de football, simulation de football réaliste, simulation de match complète, eFootball PES21, simulation eFootball, simulation Haïti, simulation Écosse, gameplay football, gameplay réaliste, simulation soccer, match Coupe du Monde 2026, Shai Gameplay",18,https://i.ytimg.com/vi/MNn06ah6PMc/hqdefault.jpg,fr,fr,False,3908,PT1H5M8S,hd,False,True,False,False,157076,2373,430
tzXtf6X3FmA,DO,2026-06-14T05:16:16.894384+00:00,2026-06-12T16:00:07Z,Rony Alca - Hasta Mañana Eh (Video Oficial),Rony Alca - Hasta Mañana Eh (Video Oficial),Rony Alca,UCqvEV-LclM5RQ5SZKgLj3HA,10,Music,"Rony Alca, Bandidaje Intenso Rony Alca, Mente Delincuente Rony Alca, Una Muñeca Rony Alca, Siento Que Te Quiero Rony Alca, rony alca, la droga es mala y seguimos consumiendo, zaza, memo dame zaza, ronny, no me amé rony alca, dembow, rony zarzuela meson, rony zarzuela, shelow shaq, el sie7e, el alfa, rochy rd, tan de pinga, dflow aka la malda, te la singx, tu quiere ser tiguere, moly ma moly, mente delincuente rony alca",24,https://i.ytimg.com/vi/tzXtf6X3FmA/hqdefault.jpg,es,es-419,False,122,PT2M2S,hd,False,True,False,False,86899,9759,777
