video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
GqioJXXmPuw,EC,2026-08-31T05:57:29.914573+00:00,2026-08-30T00:00:06Z,TIWINZA X NEW JERSON - PA FRONTEARLE A CUALQUIERA (AUDIO OFICIAL),TIWINZA X NEW JERSON - PA FRONTEARLE A CUALQUIERA (AUDIO OFICIAL),Tiwinza,UCfNXHs9f989H610YXnnruXw,10,Music,"tiwinza, twz, machala, criminales, twz criminales, mirko, la para, jefes, kike eipi, mirko el fresh, ecuador, detroit, trap, trap ecuador, musica tiwinza, tiwinza musica, jombriel, la twz, ecuador musica, malianteo, new jerson, dmm, ecuador detroit, tiguinsa, se murio, el legado hp, se murio la para, neutro, 24 7, 24/7, NEW JERSON, las perras quieren color, la fresita y el maleante, topboy, tony monta, pa frontearle a cualquiera, pa frontearle a cualquiera new jerson, musica, musica latina",39,https://i.ytimg.com/vi/GqioJXXmPuw/hqdefault.jpg,es,es,False,131,PT2M11S,hd,False,True,False,False,75891,4757,343
rkEHl4jCpLU,EC,2026-08-31T05:57:29.914620+00:00,2026-08-30T20:00:25Z,MI REACCIÓN al TRAILER de GTA 6 😱 - Nexxuz,MI REACCIÓN al TRAILER de GTA 6 😱 - Nexxuz,Nexxuz World,UCggHFGmLDDStxyM-uy9DYnQ,24,Entertainment,"ark, ARK, ARK SURVIVAL EVOLVED, ARK SERIE, reinos enfrentados, reinos, serie ark, extremo, supervivencia, dinosaurio depredador, dinosaurios, dinosaurios juegos, dinosaurio juego, juego dinosaurio, juegos de dinosaurios, parque dinosaurios, dinosaurios juego, dinosaurios ark, jurassic world ark, juegos dinosaurios, dinosaurios serie, dinosaurio ark, nexxuz, nexxuz world, nexxuz hd, nexxuz ark, nexus",27,https://i.ytimg.com/vi/rkEHl4jCpLU/hqdefault.jpg,es,es,False,2962,PT49M22S,hd,False,True,False,False,175226,11467,404
-SlvFCOVvTQ,EC,2026-08-31T05:57:29.914631+00:00,2026-08-30T18:00:20Z,POR CADA SALTO LLEGO MAS ALTO EN ROBLOX!🏔️,POR CADA SALTO LLEGO MAS ALTO EN ROBLOX!🏔️,ElAbrahaham,UColTsB6zogXWooPbeO67Wgw,20,Gaming,"abrahahamflores, stream, entretenimiento, divertido, risa, gracioso, gamer, videojuegos, elabrahaham, copilacion, videos graciosos, antes vs ahora, mexico vs usa, abrahaham, directos, shorts, tiktoks, streams, twitch, reaccion, reacciones, roblox, brainrots, gameplays, random, terror, los bros, bros, bros roblox",29,https://i.ytimg.com/vi/-SlvFCOVvTQ/hqdefault.jpg,es-MX,es-419,False,1413,PT23M33S,hd,False,True,False,False,722392,25097,3179
QJTP_mN-tbE,EC,2026-08-31T05:57:29.914639+00:00,2026-08-27T13:00:22Z,Romeo Santos - Que Se Mueran  (Letra),Romeo Santos - Que Se Mueran  (Letra),Prestige Vibes,UCuMZUmEIz6V26xIFiyDRgJg,10,Music,"traducida, letra, sub español, español, lyrics, hd, hq, video lyrics, mv, music video, subtitulada, traducción, letra español, mix, canciones mix, indie, alternativo, canciones tristes, vibes, musica 2026, pop, canciones playlist, canciones para llorar, canciones tranquilas, canciones de rock, canciones pop, crxs lyrics, youtube, traducido al español, pop español, dj session, bachata, bachata mix, romeo santos, romeo santos que se mueran, que se mueran, romeo santos mix",37,https://i.ytimg.com/vi/QJTP_mN-tbE/hqdefault.jpg,es,en,False,250,PT4M10S,hd,False,True,False,False,82860,75,1
qaQlkyDnqNc,EC,2026-08-31T05:57:29.914649+00:00,2026-08-30T19:00:13Z,AQUINO reacciona al NUEVO TRAILER de GTA VI,AQUINO reacciona al NUEVO TRAILER de GTA VI,AQUISI R,UCDWfTlPBpzJjuR6fImZpzqA,24,Entertainment,"AQUINO, AQUISI, AQUINO2, aquisiclips, aquinoby2002, aquino ia, reacciona, Aquisi R, aquisi reacciona, aquino reacciona, aquino reacciona a, reaccion a, gta, gta 6, gta vi, gta vi extended look, gta vi gameplay, gta vi trailer, reaccion, reaccion gta 6, aquino, aquisi, aquisi gta 6, aquisi gta 5, aquino reacciona al gta 6, gta 6 2026, gameplay de gta 6, rockstar, rockstar gta 6, increible, juegazo, goty, aquisi r, aquisi r gta vi",34,https://i.ytimg.com/vi/qaQlkyDnqNc/hqdefault.jpg,es,es-419,False,2303,PT38M23S,hd,False,True,False,False,71834,2990,108
y4PdXhBzP_0,EC,2026-08-31T05:57:29.914657+00:00,2026-08-30T21:07:18Z,Evolucioné de POBRE a Adoptado por FAMILIA MILLONARIA en Minecraft!,Evolucioné de POBRE a Adoptado por FAMILIA MILLONARIA en Minecraft!,Nacho,UC8EkcHOycB94lHDkbAPSnQA,20,Gaming,"nacho, dagar, nacho minecraft, dagar y nacho, nacho y dagar, minecraft, minecraft mod, amigos, amigos minecraft, dinero, dinero minecraft, millonario minecraft, rico minecraft, pobre minecraft, de pobre a rico, chico pobre, chico rico, chico pobre vs chico rico, chico millonario, bebe, casa, casa minecraft, casa de rico, casa minecraft rico, de rico a pobre, casa millonario, lia minecraft, millonario, adoptado por familia millonaria, familia millonaria, mansion",31,https://i.ytimg.com/vi/y4PdXhBzP_0/hqdefault.jpg,es,es,False,1448,PT24M8S,hd,False,True,False,False,338855,4641,267
kXcOItata8E,EC,2026-08-31T05:57:29.914664+00:00,2026-08-29T20:30:07Z,Romeo Santos - Que Se Mueran (Letra),Romeo Santos - Que Se Mueran (Letra),Velada,UCU8FHs_uSV10jFb0RqpiqKQ,22,People & Blogs,"romeo santos, que se mueran, que se mueran letra, letra que se mueran, romeo santos que se mueran, romeo santos que se mueran letra, letra romeo santos que se mueran, romeo santos letra que se mueran, que se mueran romeo santos, que se mueran romeo santos letra, letra que se mueran romeo santos, que se mueran letra romeo santos, letra on screen, tiktok, tiktok song, tiktok remix, lyrics on screen",17,https://i.ytimg.com/vi/kXcOItata8E/hqdefault.jpg,es,es,False,251,PT4M11S,hd,False,True,False,False,67368,162,2
WsHXdkWrExA,EC,2026-08-31T05:57:29.914672+00:00,2026-08-29T13:35:26Z,Avengers: Doomsday | FINAL TRAILER CONCEPT “SACRIFICE” | Marvel Studios,Avengers: Doomsday | FINAL TRAILER CONCEPT “SACRIFICE” | Marvel Studios,MovieTrailers Entertainment,UCO2EFMFF07y9BikFGKGIlkw,24,Entertainment,"avengers, avengers doomsday, avengers doomsday trailer, avengers doomsday teaser trailer, avengers doomsday new trailer, avengers doomsday final trailer, avengers doomsday official trailer, chris evans, robert downey jr, tom holland, tobey maguire, andrew garfield, avengers doomsday imax trailer, avengers doomsday soundtrack, avengers doomsday scene, avengers doomsday leaked trailer, avengers doomsday tv spot, sadie sink, avengers doomsday trailer music",19,https://i.ytimg.com/vi/WsHXdkWrExA/hqdefault.jpg,en-US,en,False,92,PT1M32S,hd,False,False,False,False,3437399,24029,640
OUE3KYlM7Mg,EC,2026-08-31T05:57:29.914679+00:00,2026-08-31T00:26:50Z,"Usé BUGS para GANAR en un ESCONDITE por 10,000$ en Escapa del Teclado...","Usé BUGS para GANAR en un ESCONDITE por 10,000$ en Escapa del Teclado...",SoyNeto,UCbtLdlNCv721DvMBZrF5XSQ,20,Gaming,"roblox, steal a brainrot, brainrot, roba un brainrot, brainrot roblox, brainrot secreto, base brainrot, soyneto, nueva base, flex roblox, zeer",11,https://i.ytimg.com/vi/OUE3KYlM7Mg/hqdefault.jpg,es,es,False,1713,PT28M33S,hd,False,True,False,False,171572,3637,348
XTdwQORXEJM,EC,2026-08-31T05:57:29.914687+00:00,2026-08-29T19:00:33Z,"Fuerza Regida, Grupo Frontera - COQUETA [video lyrics + letra]","Fuerza Regida, Grupo Frontera - COQUETA [video lyrics + letra]",Stream Lyrics,UCWAlw2fr0YPfeLGyAGs3nuQ,10,Music,"Fuerza Regida, Grupo Frontera, COQUETA, Fuerza Regida COQUETA, Grupo Frontera COQUETA, COQUETA letra, COQUETA lyrics, COQUETA Fuerza Regida letra, Fuerza Regida Grupo Frontera, musica regional mexicana, regional mexicano, música norteña, MALA MÍA, canciones románticas, lyrics español",15,https://i.ytimg.com/vi/XTdwQORXEJM/hqdefault.jpg,es,es,False,242,PT4M2S,hd,False,True,False,False,75731,140,4
