video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
naoGk-Zjc1s,ES,2026-06-08T05:13:26.237540+00:00,2026-06-07T15:00:06Z,BABYMONSTER - 'SUGAR HONEY ICE TEA' M/V,BABYMONSTER - 'SUGAR HONEY ICE TEA' M/V,BABYMONSTER,UCqwUnggBBct-AY2lAdI88jQ,10,Music,"BABYMONSTER, 베이비몬스터, 베몬, BABYMON, BAEMON, 하람, 아현, 루카, 치키타, 파리타, 로라, 아사, HARAM, AHYEON, RUKA, CHIQUITA, PHARITA, RORA, ASA",19,https://i.ytimg.com/vi/naoGk-Zjc1s/hqdefault.jpg,en,ko,False,187,PT3M7S,hd,True,True,False,False,7882521,605756,62902
1osdiOAkBKc,ES,2026-06-08T05:13:26.237585+00:00,2026-06-07T17:22:12Z,Persona 4 Revival — Pre-Order Trailer,Persona 4 Revival — Pre-Order Trailer,Official ATLUS West,UC7hgDFSPvJVIUx_b8i1cILA,20,Gaming,,0,https://i.ytimg.com/vi/1osdiOAkBKc/hqdefault.jpg,en,en,False,122,PT2M2S,hd,True,False,False,False,751435,64650,4784
i5UzRW7Uhdk,ES,2026-06-08T05:13:26.237598+00:00,2026-06-07T15:45:14Z,La Tienda de Ramen,La Tienda de Ramen,Rubius Z,UCcjIvuxmWlS5IEQ0JdPV4Ng,20,Gaming,"elrubius, rubius, ramen, tienda, comida, restaurante, cocina, clientes, terror, horror, ramen terror, sustos, 2026, Nuevo, the ramen shop, ramen shop, susto, miedo, Ramen Shop, simulador, japon, japones, noodle, naruto, shop, meme, memes",27,https://i.ytimg.com/vi/i5UzRW7Uhdk/hqdefault.jpg,es,es,False,2718,PT45M18S,hd,False,True,False,False,636033,40571,1073
mETXN_uo5yg,ES,2026-06-08T05:13:26.237608+00:00,2026-06-04T19:00:06Z,RVFV - Tenías Razón (Video Oficial),RVFV - Tenías Razón (Video Oficial),RVFV,UClIUG4FjlugqTUjHSLC-zeA,10,Music,"RVFV, rvfv, Music, Musica, Videoclip, Urban Music, Musica Urbana, Tenias Razon, Bachata, Latin Urban, Urbano Latino, Musica Española, Spanish Music, Lanzamiento Musical, Exitos España",15,https://i.ytimg.com/vi/mETXN_uo5yg/hqdefault.jpg,es,es,False,209,PT3M29S,hd,False,True,False,False,228593,7846,258
uxUMXniTfjM,ES,2026-06-08T05:13:26.237617+00:00,2026-06-05T23:31:56Z,Resident Evil Veronica - Announcement Trailer,Resident Evil Veronica - Announcement Trailer,Resident Evil,UCS2iGSouOopNHXFBcWtBQiA,20,Gaming,"#ResidentEvil, #RE, #REVeronica, #Veronica, #REV",5,https://i.ytimg.com/vi/uxUMXniTfjM/hqdefault.jpg,en,en,False,240,PT4M,hd,False,True,False,False,1501513,120091,8300
QdNmVWXuYec,ES,2026-06-08T05:13:26.237625+00:00,2026-06-06T00:27:34Z,"SUMMER GAME FEST 2026: Official 4K60FPS Livestream, (Resident Evil Veronica, FINAL FANTASY VII)","SUMMER GAME FEST 2026: Official 4K60FPS Livestream, (Resident Evil Veronica, FINAL FANTASY VII)",thegameawards,UCqDS7KWjAPKv-7ZSlro9OiQ,20,Gaming,"game awards, the game awards, gameplay, world premiere, video game awards, xbox, playstation, nintendo, summer game fest, sgf, tga, geoff keighley, game of the year, lucy games",14,https://i.ytimg.com/vi/QdNmVWXuYec/hqdefault.jpg,en,en,False,11259,PT3H7M39S,hd,True,True,False,False,11446894,150584,603
b4POSj61DT0,ES,2026-06-08T05:13:26.237634+00:00,2026-06-06T22:00:31Z,"Ryan Castro, Kapo, Gangsta - LA VILLA (Letra/Lyrics)","Ryan Castro, Kapo, Gangsta - LA VILLA (Letra/Lyrics)",c r x s ;,UCWuhwpkzJVIdq8C5uPFiYxA,10,Music,"traducida, letra, sub español, español, lyrics, hd, hq, video lyrics, mv, music video, subtitulada, traducción, letra español, traducción música, mix, canciones mix, indie, alternativo, canciones tristes, vibes, musica 2026, pop, rock indie lyrics, canciones playlist, canciones para llorar, canciones tranquilas, canciones con traducción, canciones de rock, canciones pop, crxs lyrics, indie lyric videos, youtube, traducido al español, pop español, urban letra",35,https://i.ytimg.com/vi/b4POSj61DT0/hqdefault.jpg,es,es,False,193,PT3M13S,hd,False,True,False,False,148119,189,2
G4sUx2nX5EQ,ES,2026-06-08T05:13:26.237643+00:00,2026-06-07T17:11:55Z,Halo: Campaign Evolved | New Missions Trailer | Operation: Meteorite,Halo: Campaign Evolved | New Missions Trailer | Operation: Meteorite,HALO,UC7NCg0venpKJg3kuJojKlbQ,20,Gaming,"Halo, Bonus Missions, Prequel, Cinematic, Cutscenes, Story, Trailer, Teaser, Halo Studios, Halo Trailer, Halo: Campaign Evolved, Halo Campaign Evolved, Halo: Combat Evolved Remake, Halo Remake, Halo CE Remake, Halo CE, HCE, Halo Gameplay, Halo 1, Halo 1 Remake, Halo Remaster, Remake, Installation 04, Xbox, PlayStation, PS5, Steam, Halo Unreal, Unreal Engine, UE5, Unreal, Master Chief, Cortana, Sgt Johnson",34,https://i.ytimg.com/vi/G4sUx2nX5EQ/hqdefault.jpg,en,en,False,150,PT2M30S,hd,True,False,False,False,346906,30400,3774
OAjz1pm5SHw,ES,2026-06-08T05:13:26.237651+00:00,2026-06-08T00:02:11Z,Pokémon X DuoLocke - LIGA POKÉMON DEFINITIVA,Pokémon X DuoLocke - LIGA POKÉMON DEFINITIVA,Folagor03,UCYcdw2wL6W6iGBKZgGK_Hjw,20,Gaming,"fola, folagor, folagor03, pokemon, dedsafio, randomlocke",6,https://i.ytimg.com/vi/OAjz1pm5SHw/hqdefault.jpg,es,es,False,15357,PT4H15M57S,hd,False,True,False,False,149403,7845,392
-uvNvVtUidc,ES,2026-06-08T05:13:26.237659+00:00,2026-06-05T13:59:10Z,"Romeo Santos, Prince Royce - Ay! San Miguel (Official Video)","Romeo Santos, Prince Royce - Ay! San Miguel (Official Video)",Romeo Santos,UCyxbZF7_PK4nLiexj0kkCNg,10,Music,,0,https://i.ytimg.com/vi/-uvNvVtUidc/hqdefault.jpg,es,es,False,348,PT5M48S,hd,False,True,False,False,1412833,47762,2914
mAUfp7tP2bg,ES,2026-06-08T05:13:26.237666+00:00,2026-06-07T17:25:19Z,METRO 2039 | Gameplay Reveal - Hunter,METRO 2039 | Gameplay Reveal - Hunter,metrovideogame,UC6XGqPhLktO4equS99J2ENw,20,Gaming,"Metro Exodus, Metro Redux, Metro 2033, Metro Last Light, Xbox One, Xbox Scorpio, PlayStation 4, PC, Deep Silver, 4A Games, FPS, Artyom, Moscow, Russia, Apocalypse, Dmitry Glukhovsky, METRO 2039, Xbox Series, PlayStation 5, PS5, Steam, Wasteland, STALKER, New Metro",24,https://i.ytimg.com/vi/mAUfp7tP2bg/hqdefault.jpg,en-GB,en,False,164,PT2M44S,hd,True,False,False,False,240312,27295,2307
RinXA_k9f4s,ES,2026-06-08T05:13:26.237674+00:00,2026-06-07T18:51:04Z,[4K] XBOX Games Showcase 2026 | Gears of War: E-Day Direct,[4K] XBOX Games Showcase 2026 | Gears of War: E-Day Direct,XBOX,UCjBp_7RuDBUYbd1LegWEJ8g,20,Gaming,"Showcase, Show case, The Coalition, Gears of War, Xbox25, 25th, anniversary, Gear, Gears, GoW, E-day, first party, third party, 1st, 3rd, 3P, 1P, Direct, Special, E3, Los Angeles, LA",22,https://i.ytimg.com/vi/RinXA_k9f4s/hqdefault.jpg,en,en,False,6104,PT1H41M44S,hd,True,False,False,False,2195796,93173,1178
XbG-vHWXQzQ,ES,2026-06-08T05:13:26.237682+00:00,2026-06-05T12:00:06Z,PASA - La Excepción ❌ SFDK (Video Oficial),PASA - La Excepción ❌ SFDK (Video Oficial),Langui,UCwJJyVzaRTWzZgC6Ye-9I8w,10,Music,"El Langui Hip Hop, Rap, Sfdk, Violadores del Verso, Toteking, Santiago Segura, Torrente, La Sexta, Leo Harlem, El Hormiguero",10,https://i.ytimg.com/vi/XbG-vHWXQzQ/hqdefault.jpg,es,es,False,216,PT3M36S,hd,False,False,False,False,134491,8550,449
VyZKYhM0Kv4,ES,2026-06-08T05:13:26.237690+00:00,2026-06-07T17:43:02Z,MINECRAFT DUNGEONS II | Reveal Trailer,MINECRAFT DUNGEONS II | Reveal Trailer,Minecraft,UC1sELGmy5jp5fQUugmuYlXQ,20,Gaming,Minecraft,1,https://i.ytimg.com/vi/VyZKYhM0Kv4/hqdefault.jpg,en,en,False,109,PT1M49S,hd,False,False,False,False,442699,39731,2806
1pFNlyTVVqU,ES,2026-06-08T05:13:26.237698+00:00,2026-06-07T20:01:44Z,G2 vs KC | GRAN FINAL DEL SPLIT DE PRIMAVERA #WatchLEC,G2 vs KC | GRAN FINAL DEL SPLIT DE PRIMAVERA #WatchLEC,IbaiExtra,UCCJM7yZCchfal6rjkdLYymw,20,Gaming,"ibai directos, ibai kings league, kings league, ibai vods, ibai vod, ibai directo entero, ibai directo, directos enteros, ibai completo, ibai directo completo, ibai canal directos, canal directos, ibai reaccion, ibai reaccionando, ibai si te ries pierdes, ibai twitch, lvp, lvpes, koi, mkoi, mkoi vs g2, mkoi vs kc",22,https://i.ytimg.com/vi/1pFNlyTVVqU/hqdefault.jpg,es,es-ES,False,18241,PT5H4M1S,hd,False,True,False,False,180044,2532,19
-JjYVQ4kcHk,ES,2026-06-08T05:13:26.237706+00:00,2026-06-06T11:32:37Z,Romeo Santos - Imitadora | Letra,Romeo Santos - Imitadora | Letra,Sabor Amor,UCA-aQabE2fT_suob1uJFkWQ,22,People & Blogs,,0,https://i.ytimg.com/vi/-JjYVQ4kcHk/hqdefault.jpg,es,es,False,235,PT3M55S,hd,False,True,False,False,556786,888,11
ITPzxITngqA,ES,2026-06-08T05:13:26.237714+00:00,2026-06-05T21:49:08Z,Guild Wars 3 | Announcement Trailer,Guild Wars 3 | Announcement Trailer,Guild Wars 2,UCP_FgMqOxp_VsM0UfrL-DxA,20,Gaming,"Guild Wars 2, Guild Wars, mmorpg, Guild Wars (Video Game Series), Guild Wars 2 (Video Game), Guild Wars 2 game footage, MMO, GuildWars, GuildWars2, Guild Wars II, GW, GW2, G W 2, G W, Living world, Living story, Fastest selling MMO, Massively Multiplayer Online Role-playing Game (Video Game Genre)",18,https://i.ytimg.com/vi/ITPzxITngqA/hqdefault.jpg,en,en-US,False,104,PT1M44S,hd,True,False,False,False,812008,39251,6071
5F5MKI_jXJw,ES,2026-06-08T05:13:26.237722+00:00,2026-06-06T16:00:01Z,I Survived 100 Days In Realistic Minecraft,I Survived 100 Days In Realistic Minecraft,MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,20,Gaming,,0,https://i.ytimg.com/vi/5F5MKI_jXJw/hqdefault.jpg,en,en,False,1609,PT26M49S,hd,True,True,False,False,20721280,509980,17834
psKnUgIqZYc,ES,2026-06-08T05:13:26.237729+00:00,2026-05-31T21:32:54Z,Danny Ocean - Me Rehúso,Danny Ocean - Me Rehúso,Moda Argentina,UCelH0Kq6RZF0_Smqsbqjd_w,22,People & Blogs,"Danny Ocean Me Rehúso Letra, Danny Ocean Me Rehúso, Me Rehúso Letra, Me Rehúso, Danny Ocean, Baby no, Me rehúso a darte un último beso así que guárdalo, Para que la próxima ve' te lo dé haciéndolo, Haciéndotelo así así así, Así como te gusta baby, Y dale tiempo mami al tiempo, Que tú que yo, Estamos hechos para estar los dos, danny ocean me rehuso letra, danny ocean me rehuso, danny ocean me rehúso, me rehuso letra, me rehuso, Danny Ocean - Me Rehúso Letra",19,https://i.ytimg.com/vi/psKnUgIqZYc/hqdefault.jpg,es,,False,206,PT3M26S,hd,False,True,False,False,303782,364,3
PH3ox5krci8,ES,2026-06-08T05:13:26.237738+00:00,2026-06-05T23:06:05Z,FINAL FANTASY VII REVELATION - Reveal Trailer,FINAL FANTASY VII REVELATION - Reveal Trailer,FINAL FANTASY,UCH3sMKVJ2P7hm7ROBy5FHJg,20,Gaming,,0,https://i.ytimg.com/vi/PH3ox5krci8/hqdefault.jpg,en,en,False,143,PT2M23S,hd,True,True,False,False,607278,38313,3683
ApsV_su1d0A,ES,2026-06-08T05:13:26.237745+00:00,2026-06-06T18:35:07Z,¿QUE PUEDES COMPRAR SI GASTAS 1.000.000 de GEMAS en BRAWL STARS?,¿QUE PUEDES COMPRAR SI GASTAS 1.000.000 de GEMAS en BRAWL STARS?,GoDeiK,UCHwH70ZhfYHT9ZM2Z5OEkRg,20,Gaming,"brawl stars, brawl, stars, brwl stars gemas, gemas, gemas brawl stars, godeik, 1 millon, 1 milon de gemas, brawl stars 1 millon de gemas, 1 millon de gemas brawl stars, nuevo, brawler, brawlers, comprar, brawl stars gratis, gratis, gratis brawl stars, gastar gemas",19,https://i.ytimg.com/vi/ApsV_su1d0A/hqdefault.jpg,es,es,False,1216,PT20M16S,hd,False,True,False,False,283146,10599,525
J8-Km2eBHpY,ES,2026-06-08T05:13:26.237752+00:00,2026-06-07T01:00:06Z,"Q Hubo Amor (Medellín) - Ovy On The Drums, Jere Klein, Blessd (Official Video)","Q Hubo Amor (Medellín) - Ovy On The Drums, Jere Klein, Blessd (Official Video)",Ovy On The Drums,UC9vR20I0Qp-FRZvF4iXjcfQ,10,Music,"Ovy On The Drums, Ovy, Dr Drums, Karol G, jere klein, medellin, blessd, que hubo amor, w sound, westcol, qiubo amor",11,https://i.ytimg.com/vi/J8-Km2eBHpY/hqdefault.jpg,es-419,es-419,False,173,PT2M53S,hd,True,True,False,False,275461,10555,689
gW-vJh0jpOA,ES,2026-06-08T05:13:26.237759+00:00,2026-06-05T23:45:23Z,Attack on Titan 3 - Announce Trailer | PS5 Games,Attack on Titan 3 - Announce Trailer | PS5 Games,PlayStation,UC-2Y8dQb0S6DtpxNgAKoJKA,20,Gaming,"PlayStation, PS5, video games, next gen, Sony, yt:quality=high, Attack on Titan, Attack on Titan 2, AOT, Shingeki No Kyojin, Attack on Titan Game, Attack on Titan 3, AOT3, Hack & Slash, Titan game, Omega Force, Dedicate your heart, Summer Game Fest, SGF2026",19,https://i.ytimg.com/vi/gW-vJh0jpOA/hqdefault.jpg,en,en-US,False,101,PT1M41S,hd,False,True,False,False,841322,47663,2099
7-WyV0O2JuU,ES,2026-06-08T05:13:26.237767+00:00,2026-06-06T14:00:07Z,BOB ESPONJA ASESINO | Spongebob: Evil Clone,BOB ESPONJA ASESINO | Spongebob: Evil Clone,Iker Unzu,UCQW8tWGYajwUv6jdQ2kmsRw,20,Gaming,"iker unzu, iker tiktok, iker unzu tiktok, iker, comedia, sketches de comedia, iker comedia, Bob Esponja, Clon, Evil, Malvado, Patricio, Calamardo, Señor cangrejo, Arenita, Plankton, Pantalones cuadrados",17,https://i.ytimg.com/vi/7-WyV0O2JuU/hqdefault.jpg,es,es,False,1225,PT20M25S,hd,False,True,False,False,647717,19252,2026
S5jAiTLdsUw,ES,2026-06-08T05:13:26.237774+00:00,2026-06-06T13:22:05Z,Abdou Gambetta ft. Soolking 2026 - Seknet Marseille سكنت مارساي (Music Remix),Abdou Gambetta ft. Soolking 2026 - Seknet Marseille سكنت مارساي (Music Remix),KERS Music,UCyM3CefqtP0L6coGrrS5cCw,10,Music,,0,https://i.ytimg.com/vi/S5jAiTLdsUw/hqdefault.jpg,fr,ar,False,186,PT3M6S,hd,False,True,False,False,249809,1120,32
97ydHJeqHi8,ES,2026-06-08T05:13:26.237782+00:00,2026-06-06T19:46:11Z,Blasphemous 2: The Third Sin Trailer | OUT NOW,Blasphemous 2: The Third Sin Trailer | OUT NOW,Team17,UC-pYdpQSasQvmocEDWZUotQ,20,Gaming,"team17, indie games, games label, video game, indie, gaming, indie publisher",7,https://i.ytimg.com/vi/97ydHJeqHi8/hqdefault.jpg,en,en-GB,False,67,PT1M7S,hd,False,False,False,False,188451,11492,861
AwwbP-QmMI4,ES,2026-06-08T05:13:26.237790+00:00,2026-06-07T19:00:01Z,SIMULÉ UNA TEMPORADA CON LOS JUGADORES QUE NO VAN AL MUNDIAL!!,SIMULÉ UNA TEMPORADA CON LOS JUGADORES QUE NO VAN AL MUNDIAL!!,Kolderiu,UCtXcCX5sHd061ftsPQ_3UiA,20,Gaming,"kolderiu, fifa ultimate team, kolde, fifa 23, fut champions, elite, kolderiu fifa 23",7,https://i.ytimg.com/vi/AwwbP-QmMI4/hqdefault.jpg,es,es,False,2960,PT49M20S,hd,False,True,False,False,33224,2700,45
c6PNaAfedeg,ES,2026-06-08T05:13:26.237797+00:00,2026-06-01T21:26:56Z,Marc Anthony - Tu Amor Me Hace Bien (Letra),Marc Anthony - Tu Amor Me Hace Bien (Letra),Harmony Lyrics,UCbwdCZRkKqAevyCdMC5686Q,22,People & Blogs,"Marc Anthony, Tu amor me hace bien, Marc Anthony letra, Letra Marc Anthony, Marc Anthony Tu amor me hace bien, Marc Anthony Tu amor me hace bien letra, Letra Marc Anthony Tu amor me hace bien",7,https://i.ytimg.com/vi/c6PNaAfedeg/hqdefault.jpg,es,es,False,300,PT5M,hd,False,True,False,False,95697,131,1
q21jZaUOa4Q,ES,2026-06-08T05:13:26.237805+00:00,2026-06-05T21:10:38Z,Mighty Cuphead Adventure | Teaser Trailer,Mighty Cuphead Adventure | Teaser Trailer,Studio MDHR,UCf2PB4w6M3co9GxQKTOvQMA,20,Gaming,"cuphead, mighty cuphead adventure, studiomdhr",3,https://i.ytimg.com/vi/q21jZaUOa4Q/hqdefault.jpg,en,en,False,29,PT29S,hd,False,True,False,False,759697,52908,3537
UMZGH5kY0Hk,ES,2026-06-08T05:13:26.237812+00:00,2026-06-07T15:06:29Z,LA TEMPORADA 3 NO ES PARA NIÑOS 🥵,LA TEMPORADA 3 NO ES PARA NIÑOS 🥵,Miguelillo_RL,UCiIvxNCnGngYbX6GBY7hs9A,23,Comedy,"RANDOMLIFE, RANDOM LIFE, randomlaif, randomlive, random life, miguelillo, miguelillo directo, cencia, miguelillorl, ramon life, ramonlife",11,https://i.ytimg.com/vi/UMZGH5kY0Hk/hqdefault.jpg,es,es,False,2101,PT35M1S,hd,False,True,False,False,72918,5387,233
Up8oXqW4XfY,ES,2026-06-08T05:13:26.237820+00:00,2026-06-05T14:00:06Z,"Dai Dai Iko | Shakira, Burna Boy | FIFA World Cup 2026","Dai Dai Iko | Shakira, Burna Boy | FIFA World Cup 2026",Davuiside,UC09TqdjM4ld0BxL4zZArabA,10,Music,"Davuiside, Gangster City, Car Music, G House, Night Music, Deep House, Music 2024, Bass Boosted, Bass Music, Slap House, Phonk, Brazilian Phonk, Girls, Models Car, Tik Tok Music, Tik Tok Songs, Tik Tok Trends, Vava Media, Vava Music, Gangster Music, Gangster Deep, Krush Funk, Afro House, Tik Tok, Tik Tok Video, Video Viral, Video Edits, Edits, Viral, Tik Tok Viral, Tik Tok Edits, Shakira, Burna Boy, FIFA World Cup 2026, World Cup 2026, Dai Dai Iko, Dai Dai Iko | Shakira",37,https://i.ytimg.com/vi/Up8oXqW4XfY/hqdefault.jpg,en,en,False,152,PT2M32S,hd,False,False,False,False,1276033,10552,638
