video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
arE4dO4CZN4,FI,2026-01-10T02:28:50.383254+00:00,2026-01-08T22:00:03Z,Mira Luoti - Cokis ja Mentos (Virallinen musiikkivideo),Mira Luoti - Cokis ja Mentos (Virallinen musiikkivideo),Warner Music Finland,UCRmjtDQlW0-TyWY38jWcIvQ,10,Music,,0,https://i.ytimg.com/vi/arE4dO4CZN4/hqdefault.jpg,fi,fi,False,168,PT2M48S,hd,False,True,False,False,12362,356,34
AnGdzz-XWcE,FI,2026-01-10T02:28:50.383293+00:00,2026-01-05T15:00:31Z,WHY WE FIGHT BACK // Season 2026 Cinematic Kickoff Trailer - VALORANT,WHY WE FIGHT BACK // Season 2026 Cinematic Kickoff Trailer - VALORANT,VALORANT,UC8CX0LD98EDXl4UYX1MDCXg,20,Gaming,"VALORANT trailer, VALORANT, VALORANT Cinematic, VALORANT game, valorant act I, VALORANT act 1, fps, shooters, tactical FPS, launch, act 1, V26, 2026, Why We Fight, Why We Fight Back, Sage, Viper, Reyna, Brimstone, Raze, Chamber, Yoru, Sova, Alpha, Omega, V26 Conflict, Season 2026, S26",28,https://i.ytimg.com/vi/AnGdzz-XWcE/hqdefault.jpg,en,en-US,False,210,PT3M30S,hd,True,True,False,False,6836511,375771,13361
loAWKnmYtdY,FI,2026-01-10T02:28:50.383305+00:00,2026-01-07T11:17:31Z,Steal A Brainrot KASSUN Kanssa! | Roblox #1,Steal A Brainrot KASSUN Kanssa! | Roblox #1,Robbe,UCi_67lZe_7TyaOfZSsCIVIw,20,Gaming,"Robbe, Suomi, Roni Löfman, RobbeBoy, Live, Stream, Finland, Kassu, Kanssa, Robe, Roppe, Roobe, Rodde, Tixtuu, Nikojasanttu, Söpö, Roni Back, Hauska, Fortnite, Fortnitea, Fortti, 100e, OG, Ammattilainen, pelivideo, rage, Minecraft, Robbe ja kassu, Mine craft, Mainkraft, Roope, Kaasu, erilaiset, Roblox, rob lox, robloks, roplox, Lewa, Branu, Steal a brainrot, brain rot, steel, stiil, 99 nights, Osta toi, tim cheese, lirili larila, brr brr patapim, tubekassu, 67, osa 1, jakso 1, 2026",53,https://i.ytimg.com/vi/loAWKnmYtdY/hqdefault.jpg,fi,fi,False,1374,PT22M54S,hd,False,True,False,False,93796,2700,350
A4dARSCu7Hc,FI,2026-01-10T02:28:50.383315+00:00,2026-01-01T22:04:50Z,Everest,Everest,Minttu - Topic,UC3-F1Ohto5RHAa0Djr7AgSQ,10,Music,"Minttu, Everest",2,https://i.ytimg.com/vi/A4dARSCu7Hc/hqdefault.jpg,en,en,False,184,PT3M4S,hd,False,True,False,False,40388,631,33
Mzw2ttJD2qQ,FI,2026-01-10T02:28:50.383323+00:00,2025-12-22T14:00:04Z,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,True,True,False,False,31082678,535128,27163
Wcgk8gEV334,FI,2026-01-10T02:28:50.383331+00:00,2026-01-08T14:00:49Z,I Got Trained By a Minecraft Spear Master,I Got Trained By a Minecraft Spear Master,FlameFrags,UCvYPobTo42NM36X7VC4dLhA,20,Gaming,"minecraft, flamefrags, flame frags, flamefrags minecraft, flame minecraft",5,https://i.ytimg.com/vi/Wcgk8gEV334/hqdefault.jpg,en-US,en-US,False,5630,PT1H33M50S,hd,False,True,False,False,3261620,161905,22689
t5BbqiS5FVQ,FI,2026-01-10T02:28:50.383339+00:00,2026-01-09T10:00:06Z,Korelon - Toimitusjohtaja (Lyrics Video),Korelon - Toimitusjohtaja (Lyrics Video),Korelon,UCWIKuN_j4GxQLGouF1UsDXQ,10,Music,"Korelon, Toimitusjohtaja, Musiikkivideo, Musiikkivideo virallinen, Virallinen, Suomirap, Suomiräppi, Musiikki, Finnish Rap, Finland, Viraali, Suomi",12,https://i.ytimg.com/vi/t5BbqiS5FVQ/hqdefault.jpg,fi,fi,False,166,PT2M46S,hd,False,True,False,False,7305,296,22
tlSDDuWxO_0,FI,2026-01-10T02:28:50.383346+00:00,2026-01-06T14:01:12Z,The Death of Robin Hood | Official Trailer HD | A24,The Death of Robin Hood | Official Trailer HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,1,Film & Animation,"a24, a24 films, a24 trailers, independent films, trailer, HD, official, movie, film, a24 movies, oscar winner, academy award winner",12,https://i.ytimg.com/vi/tlSDDuWxO_0/hqdefault.jpg,en,en,False,147,PT2M27S,hd,True,True,False,False,5077874,49991,3775
e5DSW2lsRdU,FI,2026-01-10T02:28:50.383354+00:00,2026-01-08T19:00:43Z,JOUDUIN SYYTTÖMÄNÄ VANKILAAN! | #29 | My Winter Car,JOUDUIN SYYTTÖMÄNÄ VANKILAAN! | #29 | My Winter Car,Klapa,UCyDLhLCC7rN9Ij4T5hpsLRQ,20,Gaming,,0,https://i.ytimg.com/vi/e5DSW2lsRdU/hqdefault.jpg,fi,fi,False,1991,PT33M11S,hd,False,True,False,False,12279,930,191
fmrr5GK55kc,FI,2026-01-10T02:28:50.383361+00:00,2026-01-01T22:00:45Z,cledos - Nene (Official Music Video),cledos - Nene (Official Music Video),Cledos,UCeT-YzLz4V_HqJGty0xCk3A,10,Music,,0,https://i.ytimg.com/vi/fmrr5GK55kc/hqdefault.jpg,en,fi,False,144,PT2M24S,hd,False,True,False,False,31930,974,78
khX1Y3kmOJY,FI,2026-01-10T02:28:50.383369+00:00,2026-01-06T14:08:51Z,"Avengers: Doomsday - Official 'X-Men' Teaser Trailer (2026) Patrick Stewart, James Marsden","Avengers: Doomsday - Official 'X-Men' Teaser Trailer (2026) Patrick Stewart, James Marsden",IGN,UCKy1dAqELo0zrOtPkf0eTMw,24,Entertainment,"Avengers, Avengers: Doomsday, MCU - Marvel Connected Universe, Marvel, Marvel Studios, Superhero, Theater, Walt Disney Studios Motion Pictures, Avengers Dooms Day, X Men, X Men Fox, Fox X Men, Patrick Stewart, Patrick Stuart, Ian Mckellan, Magneto, Charles Xavier, James Marsden, Scott Summers, Cyclops, Avengers X Men",21,https://i.ytimg.com/vi/khX1Y3kmOJY/hqdefault.jpg,en,en,False,69,PT1M9S,hd,False,True,False,False,2233945,37429,3231
