video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
CbEtOzMDaJw,FR,2026-03-17T03:19:18.815140+00:00,2026-03-15T18:00:06Z,PLK -  Pas comme eux (clip officiel),PLK -  Pas comme eux (clip officiel),PLK TV,UCL6gZm742-Xhxp4Cwa6kqpw,10,Music,,0,https://i.ytimg.com/vi/CbEtOzMDaJw/hqdefault.jpg,fr,fr,False,170,PT2M50S,hd,False,True,False,False,161560,13251,457
01t0_Y_Iuyk,FR,2026-03-17T03:19:18.815184+00:00,2026-03-16T17:29:41Z,STAR WARS : MAUL Seigneur de l'Ombre Bande Annonce VF (2026) Nouvelle,STAR WARS : MAUL Seigneur de l'Ombre Bande Annonce VF (2026) Nouvelle,FilmsActu,UC_i8X3p8oZNaik8X513Zn1Q,1,Film & Animation,"cinema, filmsactu, bande annonce, film, officiel, français, VF, 2026, Star Wars, Star Wars Maul, Star Wars Maul Bande Annonce VF, Seigneur de l'Ombre, Nouveau, Nouvelle",14,https://i.ytimg.com/vi/01t0_Y_Iuyk/hqdefault.jpg,fr,fr,False,144,PT2M24S,hd,False,True,False,False,24242,1170,117
MRTQWICiCtI,FR,2026-03-17T03:19:18.815197+00:00,2026-03-16T17:00:35Z,DES FAUX JOUEURS IMITENT NOS VOIX ?! (MIMESIS),DES FAUX JOUEURS IMITENT NOS VOIX ?! (MIMESIS),SQUEEZIE GAMING,UCY-_QmcW09PHAImgVnKxU2g,20,Gaming,"squeezie best of, squeezie moments marrants, squeezie compilation",3,https://i.ytimg.com/vi/MRTQWICiCtI/hqdefault.jpg,fr,fr,False,1391,PT23M11S,hd,False,True,False,False,209547,14079,115
Nrko7HcSIgg,FR,2026-03-17T03:19:18.815208+00:00,2026-03-15T10:12:16Z,Bigflo & Oli - KARMA 🌀,Bigflo & Oli - KARMA 🌀,Bigflo et Oli,UCp6bpinXPzdx7d7-gekWzZQ,10,Music,,0,https://i.ytimg.com/vi/Nrko7HcSIgg/hqdefault.jpg,fr,fr,False,279,PT4M39S,hd,False,True,False,False,641538,23260,814
Qr4TUmo6LzI,FR,2026-03-17T03:19:18.815217+00:00,2026-03-15T16:05:18Z,NATURE PRÉDATRICE Bande Annonce VF (2026) Requins,NATURE PRÉDATRICE Bande Annonce VF (2026) Requins,AuCiné,UClz394yrcpOnPEHqO4_Gjpg,1,Film & Animation,"NATURE PRÉDATRICE, bande annonce, vf, 2026, Film, NATURE PRÉDATRICE Bande Annonce VF",6,https://i.ytimg.com/vi/Qr4TUmo6LzI/hqdefault.jpg,fr,fr,False,154,PT2M34S,hd,False,False,False,False,46649,233,27
oUw120XzrgE,FR,2026-03-17T03:19:18.815226+00:00,2026-03-16T15:50:00Z,J'ai TERMINÉ LE JEU !,J'ai TERMINÉ LE JEU !,Unchained_Off,UCiFyJ_EBmF2XJuR9buWE_3A,20,Gaming,"unchained, unchained_off, unchained fortnite, fortnite, jeu vidéo, squeezie, gameplay, drole, gratuit, unchained gaming, fortnite battle royale, vbucks, mise à jour, maj, fortnite maj, fortnite chapitre, skin gratuit, unchained map, roblox, unchained roblox, robux, roblox brainrot, skin, unchained skin, Brainblock, 60 secondes jeu, 60 secondes, bunker, unchained bunker, 60 secondes reatomized, 60 seconds, dubai bombe, unchained dubai, michou, inoxtag, 60 Seconds!, 60 Seconds unchained",37,https://i.ytimg.com/vi/oUw120XzrgE/hqdefault.jpg,fr,fr-FR,False,981,PT16M21S,hd,False,True,False,False,206168,9621,769
KUVZaAZJyQs,FR,2026-03-17T03:19:18.815236+00:00,2026-03-16T22:21:38Z,HIMRA - NOSTALGIE (Clip Officiel ),HIMRA - NOSTALGIE (Clip Officiel ),Himra officiel,UCck5J0M6YKnXCrnuXkCFuvw,10,Music,,0,https://i.ytimg.com/vi/KUVZaAZJyQs/hqdefault.jpg,fr,fr,False,203,PT3M23S,hd,False,False,False,False,126897,31198,6830
BQcNd1x617Y,FR,2026-03-17T03:19:18.815244+00:00,2026-03-16T12:07:49Z,"JUSTE UNE ILLUSION Bande Annonce (2026) Camille Cottin, Louis Garrel","JUSTE UNE ILLUSION Bande Annonce (2026) Camille Cottin, Louis Garrel",Allociné | Bandes Annonces,UC5i9ji_nljs6-mp0jz_hOHg,1,Film & Animation,"bande annonce, bande annonce vf, allocine, film, français, 2026, Juste Une Illusion, Juste Une Illusion Bande Annonce, Camille Cottin, Louis Garrel",10,https://i.ytimg.com/vi/BQcNd1x617Y/hqdefault.jpg,fr,fr,False,113,PT1M53S,hd,False,True,False,False,10447,78,6
iVMJgSbspj0,FR,2026-03-17T03:19:18.815253+00:00,2026-03-16T15:51:50Z,SE BALANCER POUR VOLER DES BRAINROTS !! (Incroyable),SE BALANCER POUR VOLER DES BRAINROTS !! (Incroyable),Kevko,UCzCzMjtMD4vCWVgbmv4uq0Q,20,Gaming,"Brawl Stars, Brawl star fr, Unchained, Unchained OFF, Unchained Brawl Stars, RomainDotlive BS, Roblox, Vol Un Brainrot, Roblox Kevko, Steal a brainrot, Vol Un brainrot kevko, roblox unchained, roblox toinelag, kevko roblox, kevko vol un brainrot, unchained off, unchained steal a brainrot, brainrot, roblox brainrot, brainrot og, kevko pigeon, graphyx, talcado, yoananas, shadobass, dhm, dhm2.0, jeanfils, chocoh, chocolatandvanillah, youtubeur fr steal a brainrot",31,https://i.ytimg.com/vi/iVMJgSbspj0/hqdefault.jpg,fr,fr,False,982,PT16M22S,hd,False,True,False,False,170516,4048,511
xzMA7_i9Szk,FR,2026-03-17T03:19:18.815264+00:00,2026-03-15T11:30:55Z,Twenty One Pilots - Stressed Out (Lyrics),Twenty One Pilots - Stressed Out (Lyrics),Celesty,UCZgXmFP8ktC2nZDWEGMKOPQ,10,Music,"Stressed Out Lyrics, Twenty One Pilots Stressed Out, Stressed Out Twenty One Pilots, When our momma sang us to sleep but now we're stressed out, Wish we could turn back time to the good old days, When our momma sang us to sleep, but now we're stressed out, Twenty One Pilots Stressed Out Lyrics, Stressed Out Twenty One Pilots Lyrics, Twenty One Pilots Lyrics Stressed Out, Stressed Out Lyrics Twenty One Pilots, Stressed Out, stressed out lyrics, twenty one pilots stressed out",14,https://i.ytimg.com/vi/xzMA7_i9Szk/hqdefault.jpg,en,en-US,False,204,PT3M24S,hd,True,True,False,False,176067,643,8
gictwC-KlTk,FR,2026-03-17T03:19:18.815273+00:00,2026-03-15T17:00:55Z,NEVER FIGHT ALONE // Miks Agent Trailer - VALORANT,NEVER FIGHT ALONE // Miks Agent Trailer - VALORANT,VALORANT,UC8CX0LD98EDXl4UYX1MDCXg,20,Gaming,"Miks, Miks Agent, Croatia, Croatian, Controller, VALORANT trailer, S26, Season 2026, VALORANT, VALORANT game, valorant act 2, VALORANT act II, fps, shooters, tactical FPS, launch, VALORANT agent, AGENT, agent, Reyna, Sage, Gekko, Wingman, Bunt, bunt., Bunt., Clarity, Zedd Clarity, Zedd, Clarity Remix",30,https://i.ytimg.com/vi/gictwC-KlTk/hqdefault.jpg,en,en-US,False,180,PT3M,hd,True,True,False,False,949901,60123,2763
0W6rd11-cGw,FR,2026-03-17T03:19:18.815283+00:00,2026-03-16T17:00:02Z,Super Battle Golf - Rediffusion Squeezie du 11/03,Super Battle Golf - Rediffusion Squeezie du 11/03,Squeezie - Rediffusions,UC7_THngP20pzk5VRHNKDvtg,20,Gaming,"games, twitch",2,https://i.ytimg.com/vi/0W6rd11-cGw/hqdefault.jpg,fr,fr,False,4512,PT1H15M12S,hd,False,True,False,False,47791,2253,48
tcWdPeeIaxI,FR,2026-03-17T03:19:18.815292+00:00,2026-03-09T23:01:08Z,Pink Floyd - Wish You Were Here (Sub. Español + Lyrics),Pink Floyd - Wish You Were Here (Sub. Español + Lyrics),nostalgia lyrics.,UCaxjS8mdF402rdn1hP6_1_Q,10,Music,,0,https://i.ytimg.com/vi/tcWdPeeIaxI/hqdefault.jpg,es,es,False,335,PT5M35S,hd,False,True,False,False,298467,1367,13
ACyPAoXGXco,FR,2026-03-17T03:19:18.815301+00:00,2026-03-16T17:19:51Z,Star Wars : Maul - Seigneur de l’Ombre - Bande-annonce officielle (VF) | Disney+,Star Wars : Maul - Seigneur de l’Ombre - Bande-annonce officielle (VF) | Disney+,Disney Plus FR,UCfrLPVjIxAJzNFu_TsevXVw,1,Film & Animation,"Disney+, Disney Plus, Disney Plus France, Bande annonce, Star, Star Original, Disney+ Original, Disney Plus Original, France, French",10,https://i.ytimg.com/vi/ACyPAoXGXco/hqdefault.jpg,fr,fr,False,124,PT2M4S,hd,False,True,False,False,3559,292,18
42EjAZg4bhs,FR,2026-03-17T03:19:18.815310+00:00,2026-03-16T17:47:22Z,Je lance ma DERNIÈRE CUP SOLO de cette SAISON.. Voici le résultat (c’est quoi cette meta),Je lance ma DERNIÈRE CUP SOLO de cette SAISON.. Voici le résultat (c’est quoi cette meta),Teeqzy,UCb8A85srkG5a0QUhB6ikVLg,20,Gaming,"teeqzy, FR, gameplay, battle, royale, fortnite, top, world, record, pro, prism, quitte, vitality, jltomy, tomy, mushway, payamzer, payamz, payamkills, solo, vs, squad",22,https://i.ytimg.com/vi/42EjAZg4bhs/hqdefault.jpg,fr,fr,False,2560,PT42M40S,hd,False,True,False,False,27959,1647,102
83zmIfIiNWc,FR,2026-03-17T03:19:18.815318+00:00,2026-03-16T13:00:15Z,AiAiA,AiAiA,Ado - Topic,UC5DHwv9N4OQ9AWtKr8YSefw,10,Music,"Ado, アド, AiAiA, アイアイア, アイ・アイ・ア",5,https://i.ytimg.com/vi/83zmIfIiNWc/hqdefault.jpg,en,ja,False,255,PT4M15S,hd,False,True,False,False,226107,34493,1454
BbrDlV3sR28,FR,2026-03-17T03:19:18.815327+00:00,2026-03-16T17:00:14Z,GTA 6 : TRAILER 3 EN AVRIL ?! + GROSSE ANNONCE !,GTA 6 : TRAILER 3 EN AVRIL ?! + GROSSE ANNONCE !,Rey Flex,UC1JM5xcIPmFdqXmN0Zh99aQ,20,Gaming,"rey, rey flex, geoffrey, reyflex, rey flex gta, rey flex gta 6, gta 6, grand theft auto 6, gta vi, rockstar games, leaker, gta 6 leak, gta 6 leaker, gta 6 lead code source jeu, leaker prison gta 6, gta 6 retour du leaker, gta 6 leaked, gta 6 rey, gta vi rockstar, leak gta 6, leak gta vi, gta leak, Gta 6 trailer 3, Gta 6 trailer 3 en avril, Trailer 3 gta 6 avril, Gta 6 trailer 3 date, Gta 6 trailer 3 avril, Gta 6 trailer 3 infos, Gta vi trailer 3",29,https://i.ytimg.com/vi/BbrDlV3sR28/hqdefault.jpg,fr,fr,False,802,PT13M22S,hd,False,True,False,False,4281,455,131
l8dS-07jDfE,FR,2026-03-17T03:19:18.815336+00:00,2026-03-15T13:01:22Z,IL EST EN PÉTARD (CS2) ft. Squeezie,IL EST EN PÉTARD (CS2) ft. Squeezie,Wankil Studio - Laink et Terracid,UCYGjxo5ifuhnmvhPvCc3DJQ,20,Gaming,"terracid, laink, wankil, prank, counter strike, squeezie, cs2, csgo",8,https://i.ytimg.com/vi/l8dS-07jDfE/hqdefault.jpg,fr,fr,False,948,PT15M48S,hd,False,True,False,False,391951,30878,267
oK7wg3isWn0,FR,2026-03-17T03:19:18.815344+00:00,2026-03-14T10:03:58Z,Bandit Des Cités,Bandit Des Cités,Imraan - Topic,UCDlRAlFUwdGb3IgsnIUAajg,10,Music,"Imraan, Skaer, Temujin records, oussou, Alex Temujin, Blatt, Bandit Des Cités",7,https://i.ytimg.com/vi/oK7wg3isWn0/hqdefault.jpg,fr,pa,False,167,PT2M47S,hd,False,True,False,False,5527,945,0
Arg0uzOTUOw,FR,2026-03-17T03:19:18.815352+00:00,2026-03-16T16:10:26Z,YARRICK EST DE RETOUR ! Trailer Réaction et Warhammer 40k Lore,YARRICK EST DE RETOUR ! Trailer Réaction et Warhammer 40k Lore,Brushclub,UCLkwTbElkwSaaufeACJaPdQ,20,Gaming,"w40k, warhammer, warhammer 40k, warhammer 40000, warhammer 40'000, warhammer seigneur des anneaux, age of sigmar, warhammer age of sigmar, brushclubfr, brushclub warhammer, warhammer brushclub, guide débutant, débutant, commencer warhammer, warhammer facil, comment warhammer, warhammer pas cher, warhammer pour nul, warhammer débuter, warhammer fr, warhammer france, warhammer français, warhammer francais, space marine, figurine, figurines, sci fi, space, opera",29,https://i.ytimg.com/vi/Arg0uzOTUOw/hqdefault.jpg,fr,fr-FR,False,810,PT13M30S,hd,False,True,False,False,4328,341,51
qH_yEqkqEP4,FR,2026-03-17T03:19:18.815361+00:00,2026-03-16T16:01:19Z,J'ai Tenté de Survivre 30 Jours à une Apocalypse de Zombie ! (Vein),J'ai Tenté de Survivre 30 Jours à une Apocalypse de Zombie ! (Vein),StundZow Off,UCbUXiv7ro8Pm8NZkQQjXCMA,20,Gaming,"stundzow, stund, zombie, apocalypse, apocalypse de zombie, jeu zombie, stund zombie, stundzow zombie, survie, survivre, survivre zombie, 30 jours, survivre 30 jours, voici ce que il s'est passé, aventure",15,https://i.ytimg.com/vi/qH_yEqkqEP4/hqdefault.jpg,fr,fr,False,1575,PT26M15S,hd,False,True,False,False,56123,2039,110
i6f9oRTmMXU,FR,2026-03-17T03:19:18.815369+00:00,2026-03-14T10:30:34Z,Lukas Graham - 7 Years (Lyrics),Lukas Graham - 7 Years (Lyrics),TikTokHymn,UCP1HSR0CMY5YZ7_coeDYbCg,10,Music,"7 years Lukas graham, 7 years, Lukas graham 7 years, 7 years Lukas graham lyrics, 7 years lyrics, Lukas graham 7 years lyrics, 7 years Lukas graham tiktok, 7 years tiktok, Lukas graham 7 years riktok",9,https://i.ytimg.com/vi/i6f9oRTmMXU/hqdefault.jpg,en,en,False,238,PT3M58S,hd,False,True,False,False,553422,2121,65
IanqpvZsp_s,FR,2026-03-17T03:19:18.815377+00:00,2026-03-16T22:24:58Z,Sekiro: No Defeat | Official Trailer 2 | Crunchyroll,Sekiro: No Defeat | Official Trailer 2 | Crunchyroll,Crunchyroll,UC6pGDc4bFGD1_36IKv3FnYg,1,Film & Animation,"sekiro, sekiro anime, sekiro shadows die twice, sekiro no defeat, crunchyroll, anime, anime preview, anime trailer, anime pv, sekiro new trailer, sekiro new pv, sekiro sxsw",12,https://i.ytimg.com/vi/IanqpvZsp_s/hqdefault.jpg,en,ja,False,110,PT1M50S,hd,True,True,False,False,157300,26562,1257
t8OBgmr1cNQ,FR,2026-03-17T03:19:18.815385+00:00,2026-03-16T16:01:19Z,J'ai une Famille de REQUINS sur Minecraft !,J'ai une Famille de REQUINS sur Minecraft !,Talcado,UCTqAZGakovPcZLLXi09uodw,20,Gaming,"Ne choisissez pas, Talcado, Minecraft, Minecraft téléphone, minecraft aventure, minecraft aventure talcado, Awariz, talcado minecraft, talcado roblox, talcado rainbow friends, anna minecraft, yoananas, kikoo",13,https://i.ytimg.com/vi/t8OBgmr1cNQ/hqdefault.jpg,fr,fr-FR,False,1395,PT23M15S,hd,False,True,False,False,40160,1032,65
dnuUm34NmGE,FR,2026-03-17T03:19:18.815393+00:00,2026-03-15T16:58:53Z,"À bientôt, Marcel.","À bientôt, Marcel.",Wallace Cleaver,UCnu495cbo2ZJvaViPdbe76w,10,Music,,0,https://i.ytimg.com/vi/dnuUm34NmGE/hqdefault.jpg,fr,fr,False,153,PT2M33S,hd,False,False,False,False,29483,4170,137
