video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
9rUrNQb4MU4,GE,2026-08-26T02:10:10.559470+00:00,2026-08-21T18:32:41Z,"Jakone, Kiliana - Была, не была","Jakone, Kiliana - Была, не была",GOLDEN SOUND,UCy8MBNS-yBok_3nbCHJ0H3w,10,Music,,0,https://i.ytimg.com/vi/9rUrNQb4MU4/hqdefault.jpg,ru,en-US,False,166,PT2M46S,hd,False,True,False,False,255689,6012,75
X1aFkAkFASk,GE,2026-08-26T02:10:10.559494+00:00,2026-08-15T04:06:21Z,Avengers: Doomsday | Special Look | In Theaters December 18,Avengers: Doomsday | Special Look | In Theaters December 18,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/X1aFkAkFASk/hqdefault.jpg,en,en,False,130,PT2M10S,hd,True,True,False,False,34430172,1330869,59088
tE96WxBUKbA,GE,2026-08-26T02:10:10.559506+00:00,2026-08-24T09:00:14Z,ვინ არის ჩემს სახლში ღამის 3 'ზე? - Minecraft,ვინ არის ჩემს სახლში ღამის 3 'ზე? - Minecraft,Geo Zaxid - Games,UCazMACdpHmK8-pVDUyV2dmQ,20,Gaming,"geo zaxid, ჯეო ზახიდი, geo zaxid minecraft, zaxid, ზახიდი, jeozaxidi, minecraft qartulad, გეო ზახიდი, minecraft, geozaxid, ჯეოსახიდი, გეო ზახიდ, zaxidi, geo zaxidi, zaxida, minecraft ქართულად, minecraft map, minecraft maps, games, gaming, fun, funny, video games, მაინქრაფტი, მაინქრავთი, მაინქრაფტი ქართულად, მაინქრაფთი, მაინკრაფტი, მაინკრაფტი ქართულად, ქართულად, zakhid, ჯუმბერა, ჩინჩინა, საშიში, კოკა კოლა, კოკა, კოლა, ცუნამი, პილოტი, აეროპორტი, აეროპორტის კონტროლი",41,https://i.ytimg.com/vi/tE96WxBUKbA/hqdefault.jpg,ka,ka,False,964,PT16M4S,hd,False,True,False,False,26966,664,22
1T3ybpu1P30,GE,2026-08-26T02:10:10.559517+00:00,2026-08-20T21:01:58Z,"Была, не была","Была, не была",Release - Topic,UCtvcx2JSDThyOmRg0wDISCw,10,Music,"Jakone, Kiliana, Была, не была",3,https://i.ytimg.com/vi/1T3ybpu1P30/hqdefault.jpg,ru,ru,False,168,PT2M48S,hd,False,True,False,False,362536,4885,0
IGk17XQ7IrQ,GE,2026-08-26T02:10:10.559526+00:00,2026-08-25T19:59:52Z,The Witcher 3: Wild Hunt — Remastered | Official Announcement Trailer,The Witcher 3: Wild Hunt — Remastered | Official Announcement Trailer,The Witcher,UCzybXLxv08IApdjdN0mJhEg,20,Gaming,,0,https://i.ytimg.com/vi/IGk17XQ7IrQ/hqdefault.jpg,en,en,False,106,PT1M46S,hd,True,True,False,False,847262,86223,8047
fGSJWKKTT_U,GE,2026-08-26T02:10:10.559536+00:00,2026-08-23T08:00:13Z,მოჩვენება გავხდი და ხალხი შევაშინე! - Minecraft,მოჩვენება გავხდი და ხალხი შევაშინე! - Minecraft,ჯუმბერა,UC6z7-y6JA1HYgwyreQK02aw,20,Gaming,"ჯუმბერა, ჯუმბერი, ჯუმბერიკო, jumbera, jumberi, jumberiko, ქართულად, საქართველო, qartulad, georgia, გასართობი, სასაცილო, გეიმინგი, fun, gaming, games, თამაში, თამაშები, საინტერესო, პერსონაჟი, ყველაზე, minecraft, minecraft qartulad, მაინქრაფთი, მაინკრაფტი, საშიში, sashishi, horror",28,https://i.ytimg.com/vi/fGSJWKKTT_U/hqdefault.jpg,ka,ka,False,758,PT12M38S,hd,False,True,False,False,24533,851,16
T_OFyCSNBOY,GE,2026-08-26T02:10:10.559545+00:00,2026-08-20T15:33:48Z,Wake Up | Mostafa Elsaadi (Lyric Video),Wake Up | Mostafa Elsaadi (Lyric Video),Mostafa Elsaadi,UCd4YRhZILAQxyS6SOF26t4Q,10,Music,"Mostafa Elsaadi, Wake Up, Wake Up Lyrics, Mostafa Elsaadi Wake Up, Wake Up Mostafa Elsaadi, lyrics, lyric video, tech house, spiritual tech house, soulful tech house, deep house, vocal house, soulful house, electronic music, dance music, spiritual house, deep vocal house, female vocal house, melodic house, house music, electronic dance music, new house music, Mostafa Elsaadi 2026",23,https://i.ytimg.com/vi/T_OFyCSNBOY/hqdefault.jpg,en,en,False,339,PT5M39S,hd,False,False,False,False,1115111,6407,88
v50ZccruGEs,GE,2026-08-26T02:10:10.559554+00:00,2026-08-15T11:47:44Z,МСТИТЕЛИ 5: ДОКТОР ДУМ ТРЕЙЛЕР РЕАКЦИЯ И РАЗБОР,МСТИТЕЛИ 5: ДОКТОР ДУМ ТРЕЙЛЕР РЕАКЦИЯ И РАЗБОР,Qewbite,UCBss5McqBPfUKk5OZES0WFA,1,Film & Animation,"мстители, avengers doomsday, трейлер, тизер, реакция, мстители 5 тизер, avengers doomsday Teaser Trailer, мстители судный день трейлер реакция, разбор, мстители разбор, Кьюбайт, Qewbite, Marvel Studios, мстители доктор дум трейлер, мстители судный день 2026, мстители 5 разбор трейлера, мстители доктор дум тизер, avengers, doomsday",19,https://i.ytimg.com/vi/v50ZccruGEs/hqdefault.jpg,ru,ru,False,605,PT10M5S,hd,False,True,False,False,371786,14922,928
jNmirpdOdRI,GE,2026-08-26T02:10:10.559563+00:00,2026-08-20T15:02:54Z,Black Mamba ს ბოლო ვიდეო GTA5 ში !! @ashvebulebi,Black Mamba ს ბოლო ვიდეო GTA5 ში !! @ashvebulebi,Amiko Zarkua - Games,UC4I8ObTn0IkIhRdTBflObJg,20,Gaming,,0,https://i.ytimg.com/vi/jNmirpdOdRI/hqdefault.jpg,ka,ka,False,749,PT12M29S,hd,False,True,False,False,32562,4276,168
-UxKpMRbUDU,GE,2026-08-26T02:10:10.559572+00:00,2026-08-22T17:12:36Z,Oasis Deep - Вор Не Ходит На Работу,Oasis Deep - Вор Не Ходит На Работу,Oasis Deep,UCAPRbcQD2B3fZ_xx_islisQ,10,Music,,0,https://i.ytimg.com/vi/-UxKpMRbUDU/hqdefault.jpg,ru,ru,False,186,PT3M6S,hd,False,False,False,False,33061,144,2
