video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
9SAvVHpOrE0,GH,2026-01-05T04:15:47.332056+00:00,2026-01-02T17:00:07Z,AMEN - Dunsin Oyekan ft Pastor E.A Adeboye #holyspirit #pastoradeboye #dunsinoyekan #gospelmusic,AMEN - Dunsin Oyekan ft Pastor E.A Adeboye #holyspirit #pastoradeboye #dunsinoyekan #gospelmusic,Dunsin Oyekan,UC9unpsMUkOGDIMraqBfZtYg,29,Nonprofits & Activism,,0,https://i.ytimg.com/vi/9SAvVHpOrE0/hqdefault.jpg,en,und,False,549,PT9M9S,hd,False,True,False,False,249437,30083,3771
wHuWmjXsReU,GH,2026-01-05T04:15:47.332094+00:00,2026-01-01T17:00:08Z,Marvel Television’s Wonder Man | Official Trailer,Marvel Television’s Wonder Man | Official Trailer,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/wHuWmjXsReU/hqdefault.jpg,en,en,False,130,PT2M10S,hd,True,True,False,False,7386307,142684,5974
h4lTgIHnoX0,GH,2026-01-05T04:15:47.332105+00:00,2026-01-04T17:26:04Z,REAL MADRID 5 - 1 REAL BETIS | RESUMEN LALIGA EA SPORTS,REAL MADRID 5 - 1 REAL BETIS | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,UCTv-XvfzLX3i4IGWAm4sbmA,17,Sports,"Real Madrid, Real Betis, Betis, Madrid, Real Madrid Real Betis, Real Madrid vs Real Betis, LaLiga, jornada 18 laliga ea sports, laliga ea sports, highlights Real Madrid Betis, resumen Real Madrid Betis, goles Real Madrid, goles Betis, Gonzalo, hat trick Gonzalo, Raúl Asencio, Cucho Hernández, Fran García, Santiago Bernabéu, goleada Real Madrid, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Hattrick Gonzalo, Goles Gonzalo, Rodrygo",28,https://i.ytimg.com/vi/h4lTgIHnoX0/hqdefault.jpg,es,es,False,195,PT3M15S,hd,False,True,False,False,1697607,45830,1331
_aSAyNUmUUc,GH,2026-01-05T04:15:47.332113+00:00,2025-12-26T10:00:58Z,Strongman x Criss Waddle - I Am Strongman [Audio Slide],Strongman x Criss Waddle - I Am Strongman [Audio Slide],Strongman Burner,UCi9Q7BqojVxhBwKieP1pZww,10,Music,,0,https://i.ytimg.com/vi/_aSAyNUmUUc/hqdefault.jpg,en,en-GB,False,166,PT2M46S,hd,False,False,False,False,82393,4459,507
dxpOyudIXuY,GH,2026-01-05T04:15:47.332121+00:00,2025-12-26T12:23:31Z,"FAST & FURIOUS 11 (2026) - First Trailer | Vin Diesel, Cristiano Ronaldo","FAST & FURIOUS 11 (2026) - First Trailer | Vin Diesel, Cristiano Ronaldo",US Studio,UCehUxf1EphIIDyHmyK6rOGQ,24,Entertainment,,0,https://i.ytimg.com/vi/dxpOyudIXuY/hqdefault.jpg,en,en,False,96,PT1M36S,hd,False,True,False,False,863557,8494,177
mXLDe3jpO_w,GH,2026-01-05T04:15:47.332128+00:00,2025-12-29T21:06:19Z,Zambia v Morocco | Match in 3 | CAF Africa Cup of Nations Morocco 2025,Zambia v Morocco | Match in 3 | CAF Africa Cup of Nations Morocco 2025,SuperSport,UCZH6G3Z5XINU6r92QN1l5Lw,17,Sports,"Morocco, Zambia, Zambia vs. Morocco",3,https://i.ytimg.com/vi/mXLDe3jpO_w/hqdefault.jpg,en,en,False,195,PT3M15S,hd,False,True,False,False,281298,2912,276
Nrw7X-dfUOw,GH,2026-01-05T04:15:47.332136+00:00,2026-01-02T15:00:07Z,JEHOVAH | NATHANIEL BASSEY #nathanielbassey #Thegloryofhis presence #hallelujahchallenge ,JEHOVAH | NATHANIEL BASSEY #nathanielbassey #Thegloryofhis presence #hallelujahchallenge ,Nathaniel Bassey Main,UCRe2Ir9wtPk_YQjElam7n2w,10,Music,,0,https://i.ytimg.com/vi/Nrw7X-dfUOw/hqdefault.jpg,en,en-GB,False,378,PT6M18S,hd,False,False,False,False,287233,24358,2485
AfQ13jsLDms,GH,2026-01-05T04:15:47.332143+00:00,2025-12-30T14:00:05Z,Stranger Things 5 | Finale Trailer | Netflix,Stranger Things 5 | Finale Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/AfQ13jsLDms/hqdefault.jpg,en,en-US,False,97,PT1M37S,hd,True,True,False,False,13864643,310835,24832
DCYohevWeek,GH,2026-01-05T04:15:47.332151+00:00,2026-01-04T16:30:14Z,Real Madrid vs Betis 5-1 All Goals vs Highlights 2026,Real Madrid vs Betis 5-1 All Goals vs Highlights 2026,Chị dâu em chồng,UCb-2wRXoEoa6xXao8c10Qqw,23,Comedy,,0,https://i.ytimg.com/vi/DCYohevWeek/hqdefault.jpg,en,en,False,518,PT8M38S,hd,False,True,False,False,90887,855,23
eoVzz2X0Xk4,GH,2026-01-05T04:15:47.332159+00:00,2025-12-29T21:27:03Z,King Paluta - Ewor Me ( Audio Slide ) ft. Kwabena Kwabena,King Paluta - Ewor Me ( Audio Slide ) ft. Kwabena Kwabena,King Paluta,UCP2a-JAUTtTNfMY3KRBlKeQ,10,Music,"King Paluta, King Paluta Yahitte, Yahitte Remix King Paluta, Ghana Music, Music, Videos, Music Videos, Afrobeats, Afropop, Ghana, Songs, AFRICA, New Music, Upon my sins, Afro sounds, Album, King Paluta Album, Give Time Some Time, new song, afro pop, african music, accra",22,https://i.ytimg.com/vi/eoVzz2X0Xk4/hqdefault.jpg,en,und,False,221,PT3M41S,hd,False,True,False,False,40401,945,107
Z6X60iUGiUs,GH,2026-01-05T04:15:47.332166+00:00,2025-12-28T15:51:21Z,"😭OBAATAN NISUO😭(OFFICIAL TRAILER)ft AKABENEZER,DIANA,BERNICE,OTOO,ABIGAIL,ATADWE ","😭OBAATAN NISUO😭(OFFICIAL TRAILER)ft AKABENEZER,DIANA,BERNICE,OTOO,ABIGAIL,ATADWE ",OFFICIAL DR. LIKEE TV,UCA80gWFLEakovRHrBGSF0mQ,22,People & Blogs,,0,https://i.ytimg.com/vi/Z6X60iUGiUs/hqdefault.jpg,en,en,False,134,PT2M14S,hd,False,True,False,False,17430,794,46
M2Jq9bevzCo,GH,2026-01-05T04:15:47.332174+00:00,2026-01-03T17:09:53Z,I Saved Chelsea with Mourinho...,I Saved Chelsea with Mourinho...,S2G,UChR1Yn7YpVrnP-SbsWtjuBA,20,Gaming,,0,https://i.ytimg.com/vi/M2Jq9bevzCo/hqdefault.jpg,en-GB,en,False,1570,PT26M10S,hd,True,True,False,False,378620,17943,703
kTsBn5D8DJA,GH,2026-01-05T04:15:47.332181+00:00,2025-12-27T07:37:00Z,Stonebwoy - BHIMFest 2025 - Part 1 [Live from Accra Sports Stadium] (The Torcher - Reggae Session),Stonebwoy - BHIMFest 2025 - Part 1 [Live from Accra Sports Stadium] (The Torcher - Reggae Session),Stonebwoy,UCyY3qjWb8vgKyUov8iJwXyg,24,Entertainment,"stonebwoy, ghana, anlogajunction, afrobeat, dancehall, music, worldwide",7,https://i.ytimg.com/vi/kTsBn5D8DJA/hqdefault.jpg,en-GB,en-GB,False,3713,PT1H1M53S,hd,False,True,False,False,52510,3141,653
Mzw2ttJD2qQ,GH,2026-01-05T04:15:47.332189+00:00,2025-12-22T14:00:04Z,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,True,True,False,False,29739626,520550,26584
4r5BAEfpXys,GH,2026-01-05T04:15:47.332196+00:00,2026-01-03T07:48:25Z,POOR vs RICH Water House Survival Battle in Minecraft,POOR vs RICH Water House Survival Battle in Minecraft,Maizen,UCJHBJ7F-nAIlMGolm0Hu4vg,20,Gaming,"Minecraft, Maizen",2,https://i.ytimg.com/vi/4r5BAEfpXys/hqdefault.jpg,en,en,False,1786,PT29M46S,hd,False,True,False,False,1228044,9756,984
jbmMgL7DKGk,GH,2026-01-05T04:15:47.332203+00:00,2025-12-25T10:04:50Z,Still Hammer,Still Hammer,Hammer of The Last Two - Topic,UCb3Z3WYPmNmJzqBa-7HR7sw,10,Music,"Hammer of The Last Two, Joey B, E.L, Fameye, Still Hammer",5,https://i.ytimg.com/vi/jbmMgL7DKGk/hqdefault.jpg,en,en,False,311,PT5M11S,hd,False,True,False,False,55376,2830,395
n9gbhVOooG8,GH,2026-01-05T04:15:47.332211+00:00,2026-01-01T20:00:06Z,BALARABA Trailer ,BALARABA Trailer ,Maishadda Global Resources,UCdiI6VrQ4aYI29FW1ChiHsA,24,Entertainment,,0,https://i.ytimg.com/vi/n9gbhVOooG8/hqdefault.jpg,ha,ha,False,299,PT4M59S,hd,False,True,False,False,148099,5836,472
M1Rx1JQ5MC0,GH,2026-01-05T04:15:47.332218+00:00,2026-01-04T08:47:00Z,سبايدر مان اصعب دراجة نارية فوق اسماك القرش - Superheroes Ride on Motorcycle Stunt Funny Moments??,سبايدر مان اصعب دراجة نارية فوق اسماك القرش - Superheroes Ride on Motorcycle Stunt Funny Moments??,CyberCOW,UCQ7IDbbSQkxnlkcdTaaY9ow,20,Gaming,,0,https://i.ytimg.com/vi/M1Rx1JQ5MC0/hqdefault.jpg,ar,ar,False,946,PT15M46S,hd,False,True,False,False,772546,12367,337
i4tXAEg4CNg,GH,2026-01-05T04:15:47.332226+00:00,2025-12-28T20:13:09Z,Maccasio ft Fadlan LANDLORD (Official Visualizer video),Maccasio ft Fadlan LANDLORD (Official Visualizer video),Maccasio Music,UCX3BNGTj8dJsiwKidelh72A,10,Music,,0,https://i.ytimg.com/vi/i4tXAEg4CNg/hqdefault.jpg,en,en,False,139,PT2M19S,hd,False,False,False,False,15426,1582,131
KaVyJ-T0LxY,GH,2026-01-05T04:15:47.332233+00:00,2025-12-26T15:00:40Z,"FAST X: Part 2 (2026) - First Trailer | Vin Diesel, Christiano Rolando","FAST X: Part 2 (2026) - First Trailer | Vin Diesel, Christiano Rolando",TA Trailers,UC2SO1R77M34CAJtWKGDTQ6w,1,Film & Animation,"fast x part 2 trailer, fast and furious 2026, vin diesel fast x, fast and furious sequel, vin diesel, christiano rolando, fast and furious 11 trailer, fast and furious 11 2026, fast and furious official trailer, fast and furious upcoming movie, fast and furious new sequel, vin diesel new movie, fast x movie trailer, fast and furious action scenes, fast and furious cast, fast and furious release date, fast and furious fan reaction",17,https://i.ytimg.com/vi/KaVyJ-T0LxY/hqdefault.jpg,en,en,False,78,PT1M18S,hd,False,True,False,False,689615,8854,601
Crb5gudOABI,GH,2026-01-05T04:15:47.332241+00:00,2026-01-02T00:29:17Z,STEAL A BRAINROT GIVEAWAY LIVE | STEAL A BRAINROT FREE SECRETS + FREE BRAINROT GODS,STEAL A BRAINROT GIVEAWAY LIVE | STEAL A BRAINROT FREE SECRETS + FREE BRAINROT GODS,Joxy,UC3DlDcaefUYr-1skxaiLxVw,20,Gaming,"steal a brainrot giveaway, steal a brainrot giveaway live, steal a brainrot secret giveaway, steal a brainrot live giveaway, steal a brainrot brainrot god giveaway, steal a brainrot stream, steal a brainrot live, steal a brainrot 24/7 stream, steal a brainrot, steal a brainrot god, w steal a brainrot, steal a brainrot game, steal a brainrot gifting, steal a brainrot mod, steal a brainrot glitch, steal a brainrot 24/7, roblox steal a brainrot, steal a brainrot roblox",18,https://i.ytimg.com/vi/Crb5gudOABI/hqdefault.jpg,en,en,False,30,PT30S,hd,False,True,False,False,688815,6206,48
