video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
BtmfeZrHlo8,HK,2026-02-22T03:23:07.327281+00:00,2026-02-10T12:00:06Z,Teddy Fan x 床哥 - 娜娜 (Official Music Video),Teddy Fan x 床哥 - 娜娜 (Official Music Video),Teddyfan ,UCDGWCfAevN6ACbCApNn7x3Q,10,Music,,0,https://i.ytimg.com/vi/BtmfeZrHlo8/hqdefault.jpg,zh-Hant,zh-HK,False,268,PT4M28S,hd,False,True,False,False,351668,19382,773
_tV3EqaUqSM,HK,2026-02-22T03:23:07.327321+00:00,2026-02-19T14:00:00Z,《浴血黑幫：不朽傳奇》 | 正式預告 | Netflix,《浴血黑幫：不朽傳奇》 | 正式預告 | Netflix,Netflix Taiwan,UCeH360abfAGTyTpi3nmVwXw,24,Entertainment,"Netflix, Netflix 2026, Netflix新片, Peaky Blinders, The Immortal Man, 不朽傳奇, 劇情片, 史蒂芬奈特, 史蒂芬葛拉翰, 帕奇李, 席尼墨菲, 提姆羅斯, 浴血黑幫, 湯姆哈波, 湯米雪爾比, 緊湊, 蕾貝卡弗格森, 蘇菲朗德, 貝瑞科漢, 陰謀, 電影, 預告",22,https://i.ytimg.com/vi/_tV3EqaUqSM/hqdefault.jpg,zh-Hant,en-US,False,160,PT2M40S,hd,False,False,False,False,82274,1823,110
RIYF8_FG0KI,HK,2026-02-22T03:23:07.327334+00:00,2026-02-18T17:00:44Z,第五章#01 - 原型的地下實驗室!? HUGGY回歸!? 胃裡尖牙的紅色毛怪!!? 到處都是內外翻轉的怪物!!!? [Poppy Playtime](全字幕),第五章#01 - 原型的地下實驗室!? HUGGY回歸!? 胃裡尖牙的紅色毛怪!!? 到處都是內外翻轉的怪物!!!? [Poppy Playtime](全字幕),DK2.0,UCMBjiwogQmKjBfZfbagjetg,20,Gaming,"DK2.0, DK, DK 2.0, 實況主, 直播主, 實況, 直播, 遊戲, 精華, 分享, 體驗, 推薦, 講解, 分析, 玩家, 電動, pc, 音樂, 節奏, 恐怖, 故事, 解謎, 解說, 懸疑, 介紹, 電玩, DK 實況, DK 直播, DK 遊戲, DK 精華, DK 分享, DK 體驗, DK 推薦, DK 講解, DK 分析, DK 音樂, DK 節奏, DK 恐怖, DK 解說, DK 解謎, DK 懸疑, DK 介紹, DK 遊戲實況, DK 恐怖遊戲, 恐怖遊戲, poppy playtime 5, poppy playtime第五章, Poppy Playtime chapter 4, 波比的遊戲時間, Poppy Playtime 第四章, 廢棄玩具工廠, 廢棄玩具工廠 第三章, Poppy的玩樂時間, 恐怖玩具工廠, 恐怖玩偶 遊戲, 玩具, 玩具工廠, 玩樂時間, Puppy Playtime, PP 第四章, 波比的遊戲時間 第四章, yarnaby, poppy playtime第四章, 第四章, PP 第五章, 第五章, 恐怖玩具工廠 第五章",67,https://i.ytimg.com/vi/RIYF8_FG0KI/hqdefault.jpg,zh,zh,False,6419,PT1H46M59S,hd,True,True,False,False,419882,29142,1179
9qkpcLK422o,HK,2026-02-22T03:23:07.327345+00:00,2026-02-09T09:01:11Z,IVE 아이브 'BANG BANG' MV,IVE 아이브 'BANG BANG' MV,STARSHIP,UCYDmx2Sfpnaxg488yBpZIGg,10,Music,,0,https://i.ytimg.com/vi/9qkpcLK422o/hqdefault.jpg,ko,ko,False,185,PT3M5S,hd,True,False,False,False,16226789,437892,26027
IHWlvwu8t1w,HK,2026-02-22T03:23:07.327354+00:00,2026-02-17T14:00:19Z,The Mandalorian and Grogu | Official Trailer | In Theaters May 22,The Mandalorian and Grogu | Official Trailer | In Theaters May 22,Star Wars,UCZGYJFUizSax-yElQaFDp5Q,24,Entertainment,,0,https://i.ytimg.com/vi/IHWlvwu8t1w/hqdefault.jpg,en,en-US,False,132,PT2M12S,hd,True,True,False,False,6975196,128694,8750
UvqGOBEUZPs,HK,2026-02-22T03:23:07.327362+00:00,2026-02-21T12:04:01Z,[中文] GEN vs BFX | 2026 LCK CUP Playoffs,[中文] GEN vs BFX | 2026 LCK CUP Playoffs,LCK-Carry,UC5Fms2Bl_HM6DPYgyL5DOyg,20,Gaming,"LCK, LOL, esports, game, lck, lck中文",6,https://i.ytimg.com/vi/UvqGOBEUZPs/hqdefault.jpg,zh,zh-TW,False,15603,PT4H20M3S,hd,False,False,False,False,374484,1136,8
jQbCnQ_JQx0,HK,2026-02-22T03:23:07.327370+00:00,2026-02-10T16:00:55Z,單程票,單程票,派偉俊 - Topic,UCPOnjOm3amqNeYqMeDwfmZA,10,Music,"派偉俊, 單程票",2,https://i.ytimg.com/vi/jQbCnQ_JQx0/hqdefault.jpg,zh-Hant,zh,False,222,PT3M42S,hd,False,True,False,False,605755,6224,0
GfQtXnwvzC4,HK,2026-02-22T03:23:07.327378+00:00,2026-02-16T13:00:07Z,《蜘蛛俠》預告解析 | 蜘蛛俠是被人體改造的？一個沒責任的暗影蜘蛛俠！全新邪惡六人組登場！？| 蜘蛛俠 蜘蛛人 暗影蜘蛛俠 暗影蜘蛛人 SpiderNoir Spiderman (廣東話 中字),《蜘蛛俠》預告解析 | 蜘蛛俠是被人體改造的？一個沒責任的暗影蜘蛛俠！全新邪惡六人組登場！？| 蜘蛛俠 蜘蛛人 暗影蜘蛛俠 暗影蜘蛛人 SpiderNoir Spiderman (廣東話 中字),電影Ching報,UC3K6R_8DD0gkscD8inYSF0A,1,Film & Animation,"電影ching報 黑悟空, 電影ching報 洛基, 電影ching報 loki, 電影Ching, ching, 蜘蛛俠, 暗影蜘蛛俠, 蜘蛛人, 暗影蜘蛛人, spider noir, spider-man: brand new day, SPIDER-MAN, spider man, 電影ching報, 復仇者聯盟5, 復仇者聯盟5 末日, 復仇者聯盟5 末日掘起, avengers doomsday, 美國隊長, 預告, avengers doomsday trailer, captain america, 神奇4俠, 神奇4俠 英雄第一步, 驚奇4超人, fantastic four, 雷霆特攻隊, thunderbolts*, 雷霆, 復仇者聯盟6, rdj, 死侍與金鋼狼, 金剛狼, 狼人, x戰警, 漫威, 漫威影業, 漫威 第六階段, mcu, mcu phase 5, mcu phase 6, 漫威第六階段, 第六階段, marvel phase 5, new avengers, 新復仇者聯盟, 末日博士, x men, 變種特攻",49,https://i.ytimg.com/vi/GfQtXnwvzC4/hqdefault.jpg,zh-Hant,zh-HK,False,664,PT11M4S,hd,False,True,False,False,48715,1581,45
VWLl18skl7Y,HK,2026-02-22T03:23:07.327389+00:00,2026-02-21T16:00:06Z,100th Brawler Reveal - Brawl Talk,100th Brawler Reveal - Brawl Talk,Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,20,Gaming,"brawl stars, mobile game, mobile strategy game, mobile rpg, mobile battle royale, battle royale, supercell game, sirius, 100th, 100, prestige, trophy, brawl talk, marzio, dani, drew, rework, trophies, najia, buffies, loaded, showdown",22,https://i.ytimg.com/vi/VWLl18skl7Y/hqdefault.jpg,en,en,False,843,PT14M3S,hd,True,True,False,False,5672510,286503,30594
F7sGJVUrkjQ,HK,2026-02-22T03:23:07.327397+00:00,2026-02-20T09:00:21Z,Hearts2Hearts 하츠투하츠 'RUDE!' MV,Hearts2Hearts 하츠투하츠 'RUDE!' MV,SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,10,Music,"신인, SM, debut, 데뷔, Hearts2Hearts, 하츠투하츠, 걸그룹, new girl group, girl group, 카르멘, 지우, 유하, 스텔라, 주은, 에이나, 이안, 예온, MV, Music Video, 뮤직 비디오, 뮤비, FOCUS, 포커스, CARMEN, JIWOO, YUHA, STELLA, JUUN, A-NA, IAN, YE-ON, RUDE!, 루드",33,https://i.ytimg.com/vi/F7sGJVUrkjQ/hqdefault.jpg,ko,ko,False,216,PT3M36S,hd,True,True,False,False,10016655,365224,33960
