video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
20d3dMe7fLo,HN,2026-07-07T04:33:28.178922+00:00,2026-07-04T20:59:37Z,"Yandel, Bad Bunny - Explícale (Letra)","Yandel, Bad Bunny - Explícale (Letra)",Melodink,UCDlAmqpBca7Z3_WbHXK-ZyQ,22,People & Blogs,,0,https://i.ytimg.com/vi/20d3dMe7fLo/hqdefault.jpg,es,es,False,213,PT3M33S,sd,False,True,False,False,211231,316,2
ZkT8Hv_Srnw,HN,2026-07-07T04:33:28.178967+00:00,2026-07-05T01:38:05Z,"NUEVO avance Brand New Day CONFIRMÓ escenas Jean Grey, Yelena, imagenes Avengers Doomsday","NUEVO avance Brand New Day CONFIRMÓ escenas Jean Grey, Yelena, imagenes Avengers Doomsday",Pelicomic,UCsMzBY3X_RS6GhGBiHXW19A,24,Entertainment,,0,https://i.ytimg.com/vi/ZkT8Hv_Srnw/hqdefault.jpg,es-419,es-419,False,1150,PT19M10S,hd,False,True,False,False,265793,13120,490
oFcYiIDR7nU,HN,2026-07-07T04:33:28.178977+00:00,2026-07-06T18:27:17Z,Atrapado por CHICA TIBURÓN en Minecraft!,Atrapado por CHICA TIBURÓN en Minecraft!,Dagar,UCEs5MQjXJq27-X2vgdwtYDw,20,Gaming,"Minecraft, minecraft mod, dagar y nacho, nacho y dagar, amigos minecraft, dagar minecraft, minecraft dagar",7,https://i.ytimg.com/vi/oFcYiIDR7nU/hqdefault.jpg,es,es,False,1546,PT25M46S,hd,False,True,False,False,826856,12260,720
F2FkIrT7cu8,HN,2026-07-07T04:33:28.178986+00:00,2026-07-01T19:30:21Z,Plan B - Fanatica Sensual (Letra),Plan B - Fanatica Sensual (Letra),Crixara,UCIbksu6tZptEe-sc9jpa6ng,10,Music,"crixara, plan b, fanatica sensual, plan b fanatica sensual, fanatica sensual letra, fanatica sensual lyrics, letra fanatica sensual, lyrics fanatica sensual, chencho corleone, maldy, reggaeton clasico, love and sex album, perreo, reggaeton 2014, musica urbana, letra oficial, plan b letras, fanatica sensual audio, pina records, canciones de reggaeton viejo, mejores canciones de plan b",21,https://i.ytimg.com/vi/F2FkIrT7cu8/hqdefault.jpg,es,es,False,241,PT4M1S,hd,True,True,False,False,319177,535,11
alkc-yMXfPI,HN,2026-07-07T04:33:28.178995+00:00,2026-06-29T13:05:19Z,ANGRY BIRDS 3 Tráiler Español Latino (2026),ANGRY BIRDS 3 Tráiler Español Latino (2026),ONE Media Español,UCcVNDl7ZJMf9lC9a34CY4RA,1,Film & Animation,"Tráiler, Película, Español, Latino, 2026, Angry Birds 3, Angry Birds 3 Tráiler, Angry Birds, Animación",9,https://i.ytimg.com/vi/alkc-yMXfPI/hqdefault.jpg,es,es-419,False,137,PT2M17S,hd,False,True,False,False,930678,31907,3172
jSq-QD_xu_g,HN,2026-07-07T04:33:28.179003+00:00,2026-07-06T18:27:05Z,VACÍA el LAGO para SALVAR a Mandarina en Roblox,VACÍA el LAGO para SALVAR a Mandarina en Roblox,Lyna,UC-cnbLlplnXA4oc7rR21qzg,20,Gaming,,0,https://i.ytimg.com/vi/jSq-QD_xu_g/hqdefault.jpg,es-419,es-419,False,1380,PT23M,hd,False,True,False,False,345272,5565,386
__8MxVf8qvk,HN,2026-07-07T04:33:28.179011+00:00,2026-06-29T13:55:17Z,Yandel - Encantadora (Lyrics/Letra),Yandel - Encantadora (Lyrics/Letra),Moda Argentina,UCelH0Kq6RZF0_Smqsbqjd_w,22,People & Blogs,"Yandel Encantadora, Encantadora Yandel, Cerquita de mí tan sola baby, Vamos a pasarla como se debe, En cambio yo aquí pendiente de ti, Buscando una manera pa' que aquí se quede, Sin tocarla me acalora, La veo bailar no la dejo sola sola, Quiero hacerla mi señora, Ella es encantadora y cazadora, Na na naeh, Encantadora, encantadora yandel, handel encantadora, yandel, Yandel, encantadora, Porque nadie no' está viendo aquí, Estamos solitos aquí, Déjame sentir todo tu cuerpo, letra, Letra",22,https://i.ytimg.com/vi/__8MxVf8qvk/hqdefault.jpg,es,,False,241,PT4M1S,hd,False,True,False,False,325603,246,2
qI_JqLRJh74,HN,2026-07-07T04:33:28.179019+00:00,2026-06-29T13:00:40Z,Angry Birds 3 | Tráiler Oficial (DOBLADO) | Diciembre 2026,Angry Birds 3 | Tráiler Oficial (DOBLADO) | Diciembre 2026,PARAMOUNT PICTURES MÉXICO,UCwTKziMccZoy631_wbxk8wg,1,Film & Animation,#paramount #paramountmexico,1,https://i.ytimg.com/vi/qI_JqLRJh74/hqdefault.jpg,es,es-MX,False,117,PT1M57S,hd,False,True,False,False,1343192,21474,1955
PRwTrMlMlX4,HN,2026-07-07T04:33:28.179026+00:00,2026-07-06T18:38:52Z,"FALSITY y LOVITY, el Plan Perfecto Contra VERITY","FALSITY y LOVITY, el Plan Perfecto Contra VERITY",soyHerios,UCqXd1hXNGUFZxL6zyD7EZcg,20,Gaming,"soyHerios, Minecraft",2,https://i.ytimg.com/vi/PRwTrMlMlX4/hqdefault.jpg,es,es,False,1114,PT18M34S,hd,False,True,False,False,834511,18310,2196
n0zLST2LQyU,HN,2026-07-07T04:33:28.179034+00:00,2026-06-30T04:00:02Z,Wisin & Yandel - Pegao (Lyric Video),Wisin & Yandel - Pegao (Lyric Video),MacheteMusicVEVO,UCJWTD56isQlak9dIxERDGng,10,Music,"Wisin Yandel, Universal Music Latino, Reggaeton",3,https://i.ytimg.com/vi/n0zLST2LQyU/hqdefault.jpg,en,es,False,234,PT3M54S,hd,False,True,False,False,614652,990,1
