video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
2GJfWMYCWY0,ID,2026-02-28T02:43:50.376761+00:00,2026-02-27T05:00:07Z,BLACKPINK - ‘GO’ M/V,BLACKPINK - ‘GO’ M/V,BLACKPINK,UCOmHUn--16B90oW2L6FRR3A,10,Music,"YG Entertainment, YG, 와이지, K-pop, BLACKPINK, 블랙핑크, 블핑, 제니, 로제, 리사, 지수, LISA, JISOO, JENNIE, ROSÉ, BLINK, 블링크, JENNIE You & Me, JENNIE You and ME, You & Me, You and Me, 제니 You & Me, 제니 You and Me, 제니 유앤미, 유앤미, JENNIE 유앤미, 제니 코첼라, JENNIE COACHELLA",28,https://i.ytimg.com/vi/2GJfWMYCWY0/hqdefault.jpg,en,ko,False,202,PT3M22S,hd,True,True,False,False,20335272,2641774,223913
5SR-BIvXwkM,ID,2026-02-28T02:43:50.376804+00:00,2026-02-26T10:37:05Z,TRAILER FULL ISTIQOMAH CINTA EPISODE 18 HARI KAMIS 26 FEBRUARI | Khanza Bersama Orang Tua Kandungnya,TRAILER FULL ISTIQOMAH CINTA EPISODE 18 HARI KAMIS 26 FEBRUARI | Khanza Bersama Orang Tua Kandungnya,SHOEZY STORY ,UCIQ5Ls176FN1ovliPQMKNnA,24,Entertainment,"SCTV, Sinemart, sinetron SCTV, Istiqomah Cinta, Trailer Istiqomah Cinta, Ulasan Istiqomah Cinta",6,https://i.ytimg.com/vi/5SR-BIvXwkM/hqdefault.jpg,id,id,False,313,PT5M13S,hd,False,True,False,False,52063,219,4
wfgE-U8HuBQ,ID,2026-02-28T02:43:50.376816+00:00,2026-02-27T12:40:02Z,Resident Evil 9 Requiem.... GAMEPLAY #1,Resident Evil 9 Requiem.... GAMEPLAY #1,Windah Basudara,UCoIiiHof6BJ85PLuLkuxuhw,20,Gaming,windah basudara,1,https://i.ytimg.com/vi/wfgE-U8HuBQ/hqdefault.jpg,id,id,False,7062,PT1H57M42S,hd,False,True,False,False,1649618,98234,4345
kiMraydgnrQ,ID,2026-02-28T02:43:50.376826+00:00,2026-02-27T00:00:56Z,Lagu Santai Viral Tiktok 2026 — Lagu Pop Indonesia Terbaru 2026 | Pop Hits Indonesia 2026 #musik,Lagu Santai Viral Tiktok 2026 — Lagu Pop Indonesia Terbaru 2026 | Pop Hits Indonesia 2026 #musik,Ruang Santai,UCug0Zsun7xsdtVsLWkD4abg,22,People & Blogs,"lagu terbaru 2026, lagu viral 2026, lagu pop santai, lagu enak didengar, lagu galau indonesia, top hits indonesia 2026, top hits spotify indonesia 2026, pop santai, lagu buat belajar, lagu indonesia viral tiktok 2026, lagu indonesia terbaru 2026, kumpulan lagu terbaru 2026, lagu populer 2026, lagu pop indonesia 2026, pop indonesia santai, playlist lagu santai, full album indonesia 2026, playlist indonesia 2026, musik indonesia santai, musik untuk kerja, lagu buat kerja",21,https://i.ytimg.com/vi/kiMraydgnrQ/hqdefault.jpg,id,id,False,6968,PT1H56M8S,hd,False,True,False,False,81680,387,17
umxcF8A1Vq0,ID,2026-02-28T02:43:50.376835+00:00,2026-02-27T11:18:47Z,[REACT] แซ่บจนเกือบลืมหายใจเป็นยังไงมาลอง Official Trailer #GirlRulesSeries กันสิคะ 👁️🫦👁️,[REACT] แซ่บจนเกือบลืมหายใจเป็นยังไงมาลอง Official Trailer #GirlRulesSeries กันสิคะ 👁️🫦👁️,GMMTV OFFICIAL​​,UC8BzJM6_VbZTdiNLD4R1jxQ,24,Entertainment,"GMMTV, จีเอ็มเอ็ม ทีวี, GMM Grammy, Girl Rules, NamtanTipnaree, FilmRachanun, MilkPansa, LovePattranite, ViewBenyapa, Mim Rattanawadee, NamtanFilm, MilkLove, ViewMim, น้ำตาล ทิพนารี, ฟิล์ม รชานันท์, น้ำตาลฟิล์ม, มิ้ลค์ พรรษา, เลิฟ ภัทรานิษฐ์, มิ้ลค์เลิฟ, วิว เบญญาภา, มิ้ม รัตนวดี, วิวมิ้ม, ไซซี รัตท์ริชา, ยู่ยี่ อลิสา, มิ้น มิณฑิตา, Girl Rules กฎหลัก...ห้ามรักเธอ, GirlRulesSeries, กฎหลัก...ห้ามรักเธอ",28,https://i.ytimg.com/vi/umxcF8A1Vq0/hqdefault.jpg,th,en,False,492,PT8M12S,hd,True,True,False,False,74362,7870,258
rXeStjntlHQ,ID,2026-02-28T02:43:50.376844+00:00,2026-02-27T09:45:05Z,Saatnya Leon & Grade Beraksi - Resident Evil Requiem Indonesia Part 1,Saatnya Leon & Grade Beraksi - Resident Evil Requiem Indonesia Part 1,MiawAug,UC3J4Q1grz46bdJ7NJLd4DGw,20,Gaming,"MiawAug, Indonesia, Resident Evil Requiem, MiawAug Resident Evil Requiem, Resident Evil Requiem Indonesia, Resident Evil Requiem indo, game horror, game horor, horor game, horror game, Resident Evil Requeim MiawAug, Leon, Resident Evil Requeim Gameplay, Resident Evil Requiem Full Gameplay, Baru, new, Terbaru, Game Terbaik, Resident Evil Game, Resident Evil Requeim Game, Resident Evil 9, RE, RE Requiem, RE9, RE 9, Part 1, #1, Grace, leon s kennedy",29,https://i.ytimg.com/vi/rXeStjntlHQ/hqdefault.jpg,id,id,False,4085,PT1H8M5S,hd,True,True,False,False,656955,47289,5646
e2vg99yXeoY,ID,2026-02-28T02:43:50.376852+00:00,2026-02-27T08:15:07Z,ZAUJI ZAUJATI (suamiku istriku) - LAILA AYU ft IRWAN KRISDIYANTO - SIMPATIK MUSIC,ZAUJI ZAUJATI (suamiku istriku) - LAILA AYU ft IRWAN KRISDIYANTO - SIMPATIK MUSIC,SIMPATIK MUSIC OFFICIAL,UC29p1vGZf-wPN4NmZicdLew,10,Music,,0,https://i.ytimg.com/vi/e2vg99yXeoY/hqdefault.jpg,id,en-US,False,438,PT7M18S,hd,False,True,False,False,48088,2173,951
b24oG7qCwp4,ID,2026-02-28T02:43:50.376860+00:00,2026-02-25T18:01:17Z,Mortal Kombat II | Official Trailer II,Mortal Kombat II | Official Trailer II,Warner Bros.,UCjmJDM5pRKbUlVIzDYYWb6g,1,Film & Animation,"2026, Action, Adeline Rudolph, Adventure, Battle, Chin Han, Coming Soon, Damon Herriman, Fantasy, Film, Film Trailer, Film Warner, Game, Hiroyuki Sanada, Jessica McNamee, Joe Taslim, Josh Lawson, Karl Urban, Lewis Tan, Ludi Lin, MMA Fighter, Martial Arts, Mehcad Brooks, Mortal Kombat, Mortal Kombat II, Movie, Official Trailer, Simon McQuoid, Tadanobu Asano, Tati Gabrielle, Trailer, Video Game, WB, Warner, Warner Bros, Warner Brothers, Warner Media",37,https://i.ytimg.com/vi/b24oG7qCwp4/hqdefault.jpg,en,en-US,False,145,PT2M25S,hd,True,False,False,False,9533682,167504,9430
Jak9IGMeoXM,ID,2026-02-28T02:43:50.376869+00:00,2026-02-27T15:45:14Z,[ID] 2026 PMPL ID Spring League stage | Week 1 Day 1,[ID] 2026 PMPL ID Spring League stage | Week 1 Day 1,PUBG MOBILE Indonesia,UCkB_AwGXxPAKdahxGHpeC4Q,20,Gaming,"MLBB, FF, ROBLOX, PMPL, PMSL, PUBG MOBILE, FFWS, FREE FIRE, MPL, AOV",10,https://i.ytimg.com/vi/Jak9IGMeoXM/hqdefault.jpg,id,id,False,22085,PT6H8M5S,hd,False,True,False,False,656467,9728,57
yPWYdScBhew,ID,2026-02-28T02:43:50.376877+00:00,2026-02-27T10:00:06Z,NOTO - GILDCOUSTIC ( Official Music Video ),NOTO - GILDCOUSTIC ( Official Music Video ),GildCoustic Official,UCSohhzZ4IdVDTvQ9SyxAwRA,10,Music,"lagu gilga, gilga, gilga sahid, gilga lagu, lagu baru gilga, gilga dan happy, happy asmara, istri gilga sahid, lagu gilga teraru, lagu gilga terbaru, noto, noto gilga, gilga noto, lagu baru gilga noto, happy asmara noto",15,https://i.ytimg.com/vi/yPWYdScBhew/hqdefault.jpg,id,id,False,343,PT5M43S,hd,False,True,False,False,40635,9375,2375
