video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
W8MfxpJ-EfE,IN,2026-04-09T03:35:43.040800+00:00,2026-04-08T07:07:16Z,"Jab Talak (First Look) Shahid, Kriti, Rashmika | Pritam, Arijit Singh, Amitabh, Akasa | Cocktail 2","Jab Talak (First Look) Shahid, Kriti, Rashmika | Pritam, Arijit Singh, Amitabh, Akasa | Cocktail 2",Universal Music India,UCye6Oz0mg46S362LwARGVcA,10,Music,"Universal Music India, Cocktail 2, Cocktail 2 songs, cocktail 2 songs, cocktail 2 song jab talak, Jab Talak, Cocktail 2 Jab Talak song, jab talak cocktail 2 song, Shahid Kapoor, Kriti Sanon, Rashmika Mandanna, shahid kriti sanon movie, Arijit Singh Jab Talak, pritam songs, arijit singh new song, new song, new songs, love song, dance song, romantic song, arijit singh, arijit singh songs, shahid kapoor new movie, bollywood songs, hindi song, hindi songs, hindi love song",27,https://i.ytimg.com/vi/W8MfxpJ-EfE/hqdefault.jpg,hi,hi,False,110,PT1M50S,hd,False,True,False,False,4507113,103919,5385
XW1RkKiRnsg,IN,2026-04-09T03:35:43.040846+00:00,2026-04-06T08:32:51Z,"Bhooth Bangla -Official Trailer| Akshay Kumar, Tabu, Paresh, Wamiqa, Priyadarshan |In Cinemas 16 Apr","Bhooth Bangla -Official Trailer| Akshay Kumar, Tabu, Paresh, Wamiqa, Priyadarshan |In Cinemas 16 Apr",Balaji Motion Pictures,UCSHLoG-bXj1aVA2T5y8t84A,24,Entertainment,"bhooth bangla trailer, bhooth bangla official trailer, akshay kumar new movie, akshay kumar trailer 2026, bhooth bangla teaser, bhooth bangla full movie, bhooth bangla release date, horror comedy hindi movie, bollywood horror comedy, comedy horror movie 2026, akshay kumar horror movie, priyadarshan movies, paresh rawal comedy scenes, wamiqa gabbi movie, upcoming hindi movies 2026, bollywood latest trailer, new bollywood trailer, ekta kapoor new film, ektaa kapoor film",19,https://i.ytimg.com/vi/XW1RkKiRnsg/hqdefault.jpg,en,hi,False,184,PT3M4S,hd,True,True,False,False,27945432,343594,17698
oZFmmdIg1pM,IN,2026-04-09T03:35:43.040857+00:00,2026-04-08T11:57:48Z,Spying on Villager and We Found this..,Spying on Villager and We Found this..,Carry Depie,UClqifC6Nd7v-IfTqce4k62A,20,Gaming,,0,https://i.ytimg.com/vi/oZFmmdIg1pM/hqdefault.jpg,en,hi,False,1039,PT17M19S,hd,False,True,False,False,683853,13355,872
bt_qv_WZToY,IN,2026-04-09T03:35:43.040867+00:00,2026-04-08T01:00:19Z,"#Video - झुलुफ़िया झार के - #Aashish Yadav, #Srishti Bharti का आ गया ब्लास्ट - #Magahi Song 2026","#Video - झुलुफ़िया झार के - #Aashish Yadav, #Srishti Bharti का आ गया ब्लास्ट - #Magahi Song 2026",Aashish Yadav Entertainment,UCjaOWpDTaZKe63ApNJ8BLPg,10,Music,"Ashish Yadav, Srishti Bharti, झुलुफ़िया झार के, Jhulufiya Jhar Ke, aashish yadav maghi song, ashish yadav new song, ashish yadav ka new song, Srishti Bharti Ke Maghi Gana, ashish yadav ke gana, ashish yadav ka song, aashish yadav new song, aashish yadav ka new song, aashish yadav dj song, ashish yadav ka gana new, ashish yadav new gana, new maghi song 2026, choli ke saman ashish yadav, aashish yadav ka gana, ashish yadav ka naya gana, Aashish Yadav Entertainment",20,https://i.ytimg.com/vi/bt_qv_WZToY/hqdefault.jpg,en,hi,False,210,PT3M30S,hd,False,True,False,False,482727,25910,1661
vtI7rgq2JmY,IN,2026-04-09T03:35:43.040876+00:00,2026-04-07T20:45:02Z,RAAKA - Notion Trailer | Allu Arjun | Atlee Kumar | Deepika Padukone | | Sai Abhyankkar,RAAKA - Notion Trailer | Allu Arjun | Atlee Kumar | Deepika Padukone | | Sai Abhyankkar,Pan India Trailers,UCOIyoYtwmEtQ6J_vFGDmfzw,1,Film & Animation,"Notion Trailer, Pan Indian Movie Trailers, concept trailer, #AA22Trailer, #AA22xA6, #AA22, #AA22Update, #AA22xA6Update, Allu Arjun Upcoming movie, Allu arjun latest movie, atlee upcoming movie, allu arjun upcoming movie trailer, aa22 a6 trailer, aa22 trailer, aa22 teaser, aa22 teaser update, aa22xa6 trailer update, allu arjun, aa22 trailer hindi, aa22 teaser hindi, aa22 glimpse, aa22 title trailer, aa22 title teaser, Raaka trailer, Raaka teaser, aa22 raaka, AA22 title RAKA",27,https://i.ytimg.com/vi/vtI7rgq2JmY/hqdefault.jpg,en-IN,en,False,61,PT1M1S,hd,True,True,False,False,613372,14520,214
e15MgS3Vp4g,IN,2026-04-09T03:35:43.040885+00:00,2026-04-08T23:06:45Z,OLD ANCIENT SECRET MODE IS BACK | CONQUEROR RANK PUSH TO #1 | BGMI LIVE #iQOO #iQOO15R,OLD ANCIENT SECRET MODE IS BACK | CONQUEROR RANK PUSH TO #1 | BGMI LIVE #iQOO #iQOO15R,LoLzZz Gaming,UCI1vyXBgX3bruwvChLMNxjQ,20,Gaming,"lolzz gaming, lolzzz gaming, lolz gaming, lolzz, lolzzz, bgmi, conqueror, rank push",8,https://i.ytimg.com/vi/e15MgS3Vp4g/hqdefault.jpg,en-GB,hi,False,26037,PT7H13M57S,hd,False,False,False,False,435961,21785,19
diBO0gMuTXo,IN,2026-04-09T03:35:43.040894+00:00,2026-04-07T15:00:00Z,BTS (방탄소년단) 'Hooligan' Official MV,BTS (방탄소년단) 'Hooligan' Official MV,HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,10,Music,"HYBE, HYBE LABELS, 하이브, 하이브레이블즈",4,https://i.ytimg.com/vi/diBO0gMuTXo/hqdefault.jpg,ko,ko,False,244,PT4M4S,hd,True,True,False,False,11072277,2116037,126307
10RbWDAydCc,IN,2026-04-09T03:35:43.040902+00:00,2026-04-07T01:30:00Z,Goli Sirnka Kidney Kharap || Trailer || Natia Comedy,Goli Sirnka Kidney Kharap || Trailer || Natia Comedy,Utkal Cartoon Universe ,UCsq7z22wxgpA4obcSBmqOAw,1,Film & Animation,"natia comedy, natia, zombie, dhana rana, dhana naba, dhana hela zoombie, natia comedy dhana story, natia bhuta story, natia comedy trailer, new natia comedy episodes, goli sir, goli sirnka kidney failure, goli sir in hospital, natia goli sir",14,https://i.ytimg.com/vi/10RbWDAydCc/hqdefault.jpg,en,en,False,83,PT1M23S,hd,False,True,False,False,461743,6903,55
K_6D_4SxHZI,IN,2026-04-09T03:35:43.040910+00:00,2026-04-07T12:30:26Z,Finally Evil Nun se Hot Air Balloon Escape karliya,Finally Evil Nun se Hot Air Balloon Escape karliya,Live Insaan,UCFwKgzKe-EdTz83r6wzhmOw,20,Gaming,"Triggered Insaan, Live Insaan, funny, comedy, evil nun, gameplay, hot air balloon escape",7,https://i.ytimg.com/vi/K_6D_4SxHZI/hqdefault.jpg,hi,hi,False,2522,PT42M2S,hd,False,True,False,False,1467652,54815,3060
mKPz8Gx2Nr0,IN,2026-04-09T03:35:43.040918+00:00,2026-04-07T01:30:07Z,Khesari Lal New Song | Roti Garam | Namrita Malla | Shilpi Raj | New Bhojpuri Song | Bhojpuri Gana,Khesari Lal New Song | Roti Garam | Namrita Malla | Shilpi Raj | New Bhojpuri Song | Bhojpuri Gana,Saregama Hum Bhojpuri,UC0J8BQahplvTY6LjlnLf_NQ,10,Music,"Khesari Lal Yadav, Khesari Lal, Khesari Lal Yadav New Song, Khesari New Song, Khesari Lal Bhojpuri Song, Khesari Lal Roti Garam, Roti Garam, Roti Garam Song, Roti Garam Bhojpuri Song, Roti Garam Khesari Lal, Roti Garam Khesri, Namrita Malla, Namrata Malla, Namrita Mala, Shilpi Raj, Shilpi Raaj, Shilpi Raj Song, New Bhojpuri Song, Bhojpuri Song, Bhojpuri Gana, Latest Bhojpuri Song, Bhojpuri New Song 2026, Mungda, Mungda Bhojpuri, Mungda Song, Mungra, Mungda Remix",27,https://i.ytimg.com/vi/mKPz8Gx2Nr0/hqdefault.jpg,hi,bh,False,287,PT4M47S,hd,False,True,False,False,3962399,168279,28224
wMiCXl8ZybQ,IN,2026-04-09T03:35:43.040927+00:00,2026-04-04T13:52:56Z,Love Insurance Kompany - Trailer | Pradeep Ranganathan | Anirudh | Vignesh Shivan | Krithi Shetty,Love Insurance Kompany - Trailer | Pradeep Ranganathan | Anirudh | Vignesh Shivan | Krithi Shetty,Sony Music South,UCn4rEMqKtwBQ6-oEwbd4PcA,10,Music,"Sony Music South, Sony Music, Latest Song, Tamil song, Tamil Latest Song, Latest songs in Tamil4, Songs in Tamil, Latest Tamil Movies, Tamil Movie Songs, Latest Video Songs Tamil, latest Tamil Love Songs, Latest Tamil Hit Songs, Songs in Telugu4, Telugu Movie Songs, Video Songs Telugu, new Telugu Songs",16,https://i.ytimg.com/vi/wMiCXl8ZybQ/hqdefault.jpg,en-GB,ta,False,175,PT2M55S,hd,True,True,False,False,14922900,184249,5941
07IT97vrypw,IN,2026-04-09T03:35:43.040934+00:00,2026-04-08T15:46:16Z,🔴[Live Free Fire New Rank Season Rank Push Live !!,🔴[Live Free Fire New Rank Season Rank Push Live !!,VISHNU RAJPUT GAMING,UCh_ilHTu7pYJ11_XKlT_9sA,20,Gaming,,0,https://i.ytimg.com/vi/07IT97vrypw/hqdefault.jpg,en,hi,False,31052,PT8H37M32S,hd,False,True,False,False,1177767,16209,11
cvmxbC5-Raw,IN,2026-04-09T03:35:43.040942+00:00,2026-04-08T11:43:07Z,Pappali Pazhamey - Music Video | Meesaya Murukku 2 | Hiphop Tamizha | Chaithra J Achar,Pappali Pazhamey - Music Video | Meesaya Murukku 2 | Hiphop Tamizha | Chaithra J Achar,Saregama Tamil,UCzee67JnEcuvjErRyWP3GpQ,10,Music,"Pappali Pazhamey, Pappali Pazhamey song, Pappali, Pappali song, Meesaya Murukku 2, Meesaya Murukku 2 songs, Hiphop Tamizha, Hiphop Tamizha songs, Gana Vinod, Gana Dharani, Premgi style gana song, K R Dharan lyrics, Tamil gana song, Tamil kuthu song, Tamil mass song, Tamil new songs, Tamil latest songs, Tamil movie songs, Kollywood songs, Tamil trending songs, Saregama Tamil",21,https://i.ytimg.com/vi/cvmxbC5-Raw/hqdefault.jpg,en,ta,False,230,PT3M50S,hd,False,True,False,False,759365,24348,595
x5edjDnSK1M,IN,2026-04-09T03:35:43.040950+00:00,2026-04-07T12:07:36Z,#AA22xA6: First Look - Trailer | Allu Arjun | Atlee | Deepika Padukone | Sai Abhyankkar | FanMade Ai,#AA22xA6: First Look - Trailer | Allu Arjun | Atlee | Deepika Padukone | Sai Abhyankkar | FanMade Ai,"COSMIC TRAILERS · 2.9M views · 2 hours ago 






",UCe6FgrXr4tlD28moCMeKzuw,1,Film & Animation,"aa22xa6 trailer, aa22xa6 official teaser, aa22xa6 official trailer, aa22xa6 teaser, aa22xa6 movie trailer, aa22xa6 telugu trailer, aa22xa6 hindi trailer, allu arjun aa22xa6 trailer, aa22xa6 allu arjun trailer, deepika padukone aa22xa6 trailer, aa22xa6 movie official trailer, aa22xa6, aa22xa6 teaser trailer, allu arjun, atlee aa22xa6, Rashmika Mandanna, aa22 announcement, allu arjun movie trailer, allu arjun new trailer, a6 trailer, aa22xa6 title announcement, aa22xa6 title",22,https://i.ytimg.com/vi/x5edjDnSK1M/hqdefault.jpg,en,te,False,63,PT1M3S,hd,False,False,False,False,202648,5223,81
Ibh5laAyg70,IN,2026-04-09T03:35:43.040958+00:00,2026-04-07T11:03:00Z,Franklin Shinchan Found Secret Bunker Sewer Near Their House in GTA 5 in Telugu,Franklin Shinchan Found Secret Bunker Sewer Near Their House in GTA 5 in Telugu,GOPI FF,UCJSJ03CDGjH9t29FhExJnkA,20,Gaming,,0,https://i.ytimg.com/vi/Ibh5laAyg70/hqdefault.jpg,en,hi,False,1250,PT20M50S,hd,False,True,False,False,204699,5942,38
fsaPRxFjfSM,IN,2026-04-09T03:35:43.040965+00:00,2026-04-06T05:30:00Z,"Alka Yagnik - Humsafar Ke Liye (Music Video) Sunny Deol, Reema Sen | Alka Yagnik | Jaal: The Trap","Alka Yagnik - Humsafar Ke Liye (Music Video) Sunny Deol, Reema Sen | Alka Yagnik | Jaal: The Trap",UMusicIndiaVEVO,UCLvwu-RKtaoeVlKx0slxqeQ,10,Music,"Alka Yagnik, Soundtrack, Humsafar Ke Liye song, Jaal The Trap, Udit Narayan, Sunny Deol songs, Reema Sen songs, Anand Raj Anand music, Bollywood romantic songs, Emotional Bollywood songs, Bollywood love songs, Romantic Hindi songs, Classic Bollywood songs, Hindi romantic duet, Bollywood hidden gems, Sunny Deol Reema Sen, Bollywood melodies, Old Hindi songs, Romantic emotional songs, humsafar ke liye jaal movie song, jaal the trap songs",21,https://i.ytimg.com/vi/fsaPRxFjfSM/hqdefault.jpg,hi,hi,False,254,PT4M14S,hd,False,True,False,False,146059,680,3
9DjAHj30KfY,IN,2026-04-09T03:35:43.040973+00:00,2026-04-06T11:34:00Z,Bad Boy Karthik Trailer | Naga Shaurya | Vidhi Yadav | Samuthirakani | Harris Jayraj |  Ramesh,Bad Boy Karthik Trailer | Naga Shaurya | Vidhi Yadav | Samuthirakani | Harris Jayraj |  Ramesh,T-Series Telugu,UCnJjcn5FrgrOEp5_N45ZLEQ,10,Music,"Bad Boy Karthik trailer, Naga Shaurya trailer, Telugu movie trailer, Vidhi Yadav movie, Samuthirakani film, Harris Jayaraj music, Ramesh director film, Telugu action trailer, Bad Boy Karthik teaser, Telugu cinema trailers, Naga Shaurya new movie, Telugu upcoming movies, action Telugu movies, Telugu film trailer, Indian cinema trailers, Tollywood trailers, Bad Boy Karthik update, Telugu movie teaser, mass Telugu trailer, Telugu action films",20,https://i.ytimg.com/vi/9DjAHj30KfY/hqdefault.jpg,en,te,False,120,PT2M,hd,False,True,False,False,518886,17347,619
n_xM36ybvqQ,IN,2026-04-09T03:35:43.040981+00:00,2026-04-06T04:00:51Z,LEVEL 1 VS LEVEL 100 MINECRAFT WAVES,LEVEL 1 VS LEVEL 100 MINECRAFT WAVES,Ujjwal,UCl_vAxZpvbO-PFXdDu7EdHw,20,Gaming,"minecraft, minecraft in hindi, minecraft gameplay, minecraft house, minecraft videos, minecraft mods, ujjwal, techno gamerz",8,https://i.ytimg.com/vi/n_xM36ybvqQ/hqdefault.jpg,en,zxx,False,1767,PT29M27S,hd,False,True,False,False,2320343,88421,7688
L8WIwm2VHQo,IN,2026-04-09T03:35:43.040989+00:00,2026-04-06T01:30:30Z,Tujhse Pyaar Rahega  | Arijit Singh Style Romantic Love Song | Dilshad Khaan | New Hindi Song 2026,Tujhse Pyaar Rahega  | Arijit Singh Style Romantic Love Song | Dilshad Khaan | New Hindi Song 2026,Dilshad Khaan,UCw7efFqskmJ49-Kfh8IcAhQ,10,Music,"tujhse pyaar rahega, tujhse pyaar rahega song, tujhse pyaar rahega dilshad khaan, tujhse pyaar rahega romantic song, tujhse pyaar rahega new song, tujhse pyaar rahega hindi song, dilshad khaan song, dilshad khaan new song, arijit singh style romantic song, arijit singh style love song, heart touching love song, romantic hindi song, emotional love song, trending hindi song, new hindi song 2026, latest hindi song, viral hindi song, romantic music, hindi music song",19,https://i.ytimg.com/vi/L8WIwm2VHQo/hqdefault.jpg,en-IN,hi,False,480,PT8M,hd,False,False,False,False,204411,655,20
9T1oy0y8-zY,IN,2026-04-09T03:35:43.040997+00:00,2026-04-07T06:47:49Z,"Matka King - Official Trailer | Vijay Varma, Kritika Kamra, Gulshan Grover | Prime Video India","Matka King - Official Trailer | Vijay Varma, Kritika Kamra, Gulshan Grover | Prime Video India",Prime Video India,UC4zWG9LccdWGUlF77LZ8toA,24,Entertainment,"matka king, matka king trailer, matka king official trailer, matka king web series, matka king series, matka king review, matka king release date, vijay varma, kritika kamra, sai tamhankar, gulshan grover, matka king movie, web series, movie, hindi movie, hindi web series, prime video, prime video india, amazon prime, action, vijay varma movie, vijay verma, vijay varma web series, new series, new show, kritika kamra web series, matka, zindagi ek safar hai suhana, drama",29,https://i.ytimg.com/vi/9T1oy0y8-zY/hqdefault.jpg,en,en,False,146,PT2M26S,hd,True,True,False,False,4299647,7599,252
6YHbDpn7qyU,IN,2026-04-09T03:35:43.041005+00:00,2026-04-08T04:05:08Z,GTA 5 LIVE  #gta5 #gtav #gaming,GTA 5 LIVE  #gta5 #gtav #gaming,PAJI IS LIVE,UCDFCpzs71ziH52_FcL2eTNA,20,Gaming,,0,https://i.ytimg.com/vi/6YHbDpn7qyU/hqdefault.jpg,en,hi,False,9231,PT2H33M51S,hd,False,True,False,False,1075439,4522,0
