video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
j_S6CbZVuj4,IT,2026-07-18T03:42:24.799168+00:00,2026-07-15T10:00:03Z,"Ultimo - QUANDO DORME LA CITTÀ (Live Tor Vergata, Roma, 4 luglio 2026)","Ultimo - QUANDO DORME LA CITTÀ (Live Tor Vergata, Roma, 4 luglio 2026)",Ultimo Channel,UCpprts-5FuflykTdxedP1oQ,10,Music,"ultimo, ultimopeterpan, ultimo peterpan, niccolo moriconi, ultimorecords, ultimo records, honiro",7,https://i.ytimg.com/vi/j_S6CbZVuj4/hqdefault.jpg,it,it,False,245,PT4M5S,hd,False,True,False,False,192086,9898,514
ru6lNXOvTDU,IT,2026-07-18T03:42:24.799240+00:00,2026-07-16T16:06:44Z,"SPIDER-MAN: BRAND NEW DAY | Spot 30"" You Are Cool","SPIDER-MAN: BRAND NEW DAY | Spot 30"" You Are Cool",Sony Pictures Italia,UCpLWRKkNwJOOj_NXDobKWUQ,1,Film & Animation,,0,https://i.ytimg.com/vi/ru6lNXOvTDU/hqdefault.jpg,it,it,False,31,PT31S,hd,False,False,False,False,73566,1243,44
QfX7RCEIkzU,IT,2026-07-18T03:42:24.799251+00:00,2026-07-17T08:00:07Z,Nori's Biggest Mistake (Brawl Stars Animation),Nori's Biggest Mistake (Brawl Stars Animation),Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,20,Gaming,"brawl stars, mobile game, mobile strategy game, mobile rpg, mobile battle royale, battle royale, supercell game, ramen rabellion, nori, kenji, kaze, nanonoodles",12,https://i.ytimg.com/vi/QfX7RCEIkzU/hqdefault.jpg,en,en,False,58,PT58S,hd,True,True,False,False,2296182,64956,2349
uLkGwEzLO64,IT,2026-07-18T03:42:24.799261+00:00,2026-07-17T12:00:13Z,Artie 5ive - BOP BOP (Official Video),Artie 5ive - BOP BOP (Official Video),Artie 5ive,UC-xCxVgJcaeTk__KaFpPwwQ,10,Music,"artie 5ive, arti faiv, artie 5, artie, urban music, trenches records, rap, hip hop, rondodasosa, music, 00, artie 5ive 00, artie 5ive video, ddusi, artie 5ive ddusi, 5ive moments, la bella vita, artie 5ive vittoria, artie 5ive nuovo album, artie 5ive BOP BOP, vittoria artie, bop bop artie 5ive, artie bop bop official video, artie 5ive bop bop video ufficiale, bop, bop bop",26,https://i.ytimg.com/vi/uLkGwEzLO64/hqdefault.jpg,it,it,False,171,PT2M51S,hd,False,False,False,False,41629,2851,121
Uhzbfk6YCV0,IT,2026-07-18T03:42:24.799271+00:00,2026-07-17T17:30:24Z,ODISSEA Tutti i Trailer Ita Ufficiale (2026) Christopher Nolan,ODISSEA Tutti i Trailer Ita Ufficiale (2026) Christopher Nolan,Boxoffice ITALY | Trailers & Clips ,UCdMzOFEX3HSToty7Sc-py7w,1,Film & Animation,"trailer ita, trailer, ita, italiano, trailer italiano, trailer ufficiale, 2026, Odissea, Odissea Trailer Ita Ufficiale, Odissea Tutti i Trailer, Matt Damon, Robert Pattinson, Anne Hathaway, Zendaya, Tom Holland, Jon Bernthal, Charlize Theron, Christopher Nolan, Lupita Nyong'o, Nuovo, Compilazione",21,https://i.ytimg.com/vi/Uhzbfk6YCV0/hqdefault.jpg,it,it,False,579,PT9M39S,hd,False,True,False,False,6379,36,2
I2pbgA1WXXQ,IT,2026-07-18T03:42:24.799281+00:00,2026-07-17T10:08:50Z,VALUTO i VOSTRI ACCOUNT su MA con una PENITENZA COSTOSA su BRAWL STARS ITA!!,VALUTO i VOSTRI ACCOUNT su MA con una PENITENZA COSTOSA su BRAWL STARS ITA!!,LolloLacustre,UCzBmZcTRtMUhithMG095Pzw,20,Gaming,"maincraft, lollolacruste, lollocaUSTO, lollolacaustre, minecraft, minecraft ita, lollo minecraft, lollo lacustre, lollo tiktok, il king dei diamanti, survival lollo, lollo survival chill, surry minecraft, surry survival, brawl stars lollo, lollo brawl pass, lollo hardcore, survaivol lollo, farm lollo, minecraft survival ita, lollo record coppe, lollo guadagni, lollo studio, lolli, lollo favij, lollo dissing, lollo horror, lollo minecraft horror, lollo freestyle, lollo musica",30,https://i.ytimg.com/vi/I2pbgA1WXXQ/hqdefault.jpg,it,it,False,2066,PT34M26S,hd,False,True,False,False,107952,8135,343
SpkjaC-Pguw,IT,2026-07-18T03:42:24.799315+00:00,2026-07-16T22:00:30Z,"SFERA EBBASTA, DYSTINCT - AYAYAY (Testo/Lyrics)","SFERA EBBASTA, DYSTINCT - AYAYAY (Testo/Lyrics)",Musixa,UCiHpZF5v3cRdol8jPmoIEoQ,10,Music,"sfera ebbasta ayayay testo, sfera ebbasta ayayay lyrics, dystinct ayayay, dystinct ayayay testo, dystinct ayayay lyrics, ayayay, ayayay testo, testo ayayay, sfera ebbasta, testo, lyrics, dystinct, sfera ebbasta ayayay, ayayay sfera ebbasta, sfera ebbasta dystinct ayayay, lyrics sfera ebbasta dystinct ayayay, Alwaget yamchi bsour3a, Fi dmaghi machakil, A ra7a 3omla sa3ba, Ma fi waget, ma fi waget, Io non so perché parlano male di me, Nel quartiere coi miei, già sognavamo Dubai",24,https://i.ytimg.com/vi/SpkjaC-Pguw/hqdefault.jpg,en-US,en-US,False,147,PT2M27S,hd,False,True,False,False,19810,108,3
rJrqHyojaa4,IT,2026-07-18T03:42:24.799327+00:00,2026-07-16T18:45:21Z,Marvel’s Wolverine - Ain’t No Hero Trailer I PS5 Games,Marvel’s Wolverine - Ain’t No Hero Trailer I PS5 Games,PlayStation,UC-2Y8dQb0S6DtpxNgAKoJKA,20,Gaming,"PlayStation, PS5, video games, next gen, Sony, wolverine, marvelswolverine, marvel, aint no hero, x-men, xmen",11,https://i.ytimg.com/vi/rJrqHyojaa4/hqdefault.jpg,en,en-US,False,88,PT1M28S,hd,True,True,False,False,752294,50418,9628
sdfWhShs2s8,IT,2026-07-18T03:42:24.799337+00:00,2026-07-16T18:26:22Z,10 AMICI BLOCCATI SU UNA zattera su BROOKHAVEN ROBLOX!,10 AMICI BLOCCATI SU UNA zattera su BROOKHAVEN ROBLOX!,Roby,UCpe-TuiG3Ih0a9_puavnmZA,20,Gaming,"roby, roblox, Roblox, ROBLOX, robi, roblo, robloc, adopt, me, ita, video, nuovo, italy, polar, bear, roblox ita, the zoo, zoo squad, roby nuovo video, roby polar bear",20,https://i.ytimg.com/vi/sdfWhShs2s8/hqdefault.jpg,it,it,False,1582,PT26M22S,hd,False,True,False,False,173082,13607,1224
bJ7yyX4Qic4,IT,2026-07-18T03:42:24.799348+00:00,2026-07-16T18:43:16Z,ULTRA NATÉ - Movin’ To The Sun (Performance Clip),ULTRA NATÉ - Movin’ To The Sun (Performance Clip),Ultra Naté,UCg5663xi2xAszlCKyb17PYw,10,Music,"Ultra Naté, Hugel, Imael Angel, Movin' To The Sun",4,https://i.ytimg.com/vi/bJ7yyX4Qic4/hqdefault.jpg,en,en,False,146,PT2M26S,hd,False,False,False,False,159424,5060,157
