video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
JGw1UAYjFEY,JM,2026-04-06T03:46:49.217407+00:00,2026-03-26T22:00:06Z,Masicka - Boasty (Official Music Video),Masicka - Boasty (Official Music Video),Masicka,UCOSJVk71utzoCmRxzcfhM-A,10,Music,"Masicka, Dancehall, Jamaica, Jamaican, Dancehall King, Dancehall Nation, Dancehall Official, Teejay, Jah Vinci",9,https://i.ytimg.com/vi/JGw1UAYjFEY/hqdefault.jpg,en,en,False,198,PT3M18S,hd,False,False,False,False,1744963,51100,7341
x9d0C3HaSEM,JM,2026-04-06T03:46:49.217448+00:00,2026-04-01T14:30:28Z,New Action Horror Zombie Movie | AFTER THE OUTBREAK | Hollywood English Movie | Free English Movies,New Action Horror Zombie Movie | AFTER THE OUTBREAK | Hollywood English Movie | Free English Movies,Hollywood English Collection,UC02hHB8lYb5zyRjxqahtVjg,1,Film & Animation,"hollywood movies in english full sci fi horror hd, hollywood movie 2026, hollywood movie in english, Hollywood Movies In English 2026, new hollywood english movies 2026, new hollywood movies, hollywood movie english mai, movies 2026 full movies, hollywood movie in english 2026, hollywood action horror movies in english, Silent Zone 2026 full movie In english, hollywood movie english, horror movie in english, Zombie Horror Movies In English, Silent Zone, Silent Zone English Movie",16,https://i.ytimg.com/vi/x9d0C3HaSEM/hqdefault.jpg,hi,en,False,6517,PT1H48M37S,hd,False,True,False,False,1408719,9262,313
D9_vczxzw94,JM,2026-04-06T03:46:49.217460+00:00,2026-04-04T13:00:16Z,Breaking Every Bone As a Dog In GTA 5...,Breaking Every Bone As a Dog In GTA 5...,TechyCrew,UCTU3m4rCUS-7qXuHK-j9Uqw,20,Gaming,"Techy, TechyCrew, Among Us, Fortnite, Fortnite Creative, Roblox, Techy Roblox, Among Us Roles",8,https://i.ytimg.com/vi/D9_vczxzw94/hqdefault.jpg,en,en,False,828,PT13M48S,hd,False,True,False,False,369344,7793,653
GrnEjm9DR5U,JM,2026-04-06T03:46:49.217470+00:00,2026-04-02T22:00:15Z,Chronic Law - Step Out (Official Video),Chronic Law - Step Out (Official Video),ChronicLawVEVO,UCXSHOjS30YMaGRgwuuxBfLw,10,Music,"onerpm, dancehall, dancehall 2026, reggae, reggae 2026, dancehall trending, reggae trending, youtube trending, trending music 2026, 2026",10,https://i.ytimg.com/vi/GrnEjm9DR5U/hqdefault.jpg,en,en,False,137,PT2M17S,hd,False,True,False,False,321018,23262,729
s1-pfiVMKAs,JM,2026-04-06T03:46:49.217478+00:00,2026-03-31T16:00:12Z,Supergirl | Official Trailer,Supergirl | Official Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,1,Film & Animation,"2026, Coming Soon, Craig Gillespie, DC, DC Comics, DC Studios, DCU, David Krumholtz, Emily Beecham, Eve Ridley, James Gunn, Jason Momoa, Kara Zor-El, Krypto, Matthias Schoenaerts, Milly Alcock, Supergirl, WB, Warner Bros, Warner Bros Pictures, Warner Brothers, official trailer",22,https://i.ytimg.com/vi/s1-pfiVMKAs/hqdefault.jpg,en,en-US,False,177,PT2M57S,hd,True,False,False,False,15483426,270597,15866
ntgabzSkhlo,JM,2026-04-06T03:46:49.217486+00:00,2026-04-05T14:00:00Z,Using INVISIBILITY To Cheat In Rivals Hide & Seek!,Using INVISIBILITY To Cheat In Rivals Hide & Seek!,Techy Plays,UCNDzLI-hyihpAx3zKtwhGZw,20,Gaming,"roblox, brookhaven, funnyroblox, techyblox, techy, crazy fan girls, crazy fan girl, my crazy fan girls",8,https://i.ytimg.com/vi/ntgabzSkhlo/hqdefault.jpg,en,en,False,809,PT13M29S,hd,False,True,False,False,256857,4962,589
t63pLkf5WQ8,JM,2026-04-06T03:46:49.217494+00:00,2026-03-29T17:00:06Z,"Feloni19, Cash Code - How Often (Official Music Video)","Feloni19, Cash Code - How Often (Official Music Video)",FelonyOfficialVEVO,UCWWLIGrqINxQYJg79BHOI2g,10,Music,"Feloni19, Cash Code, Cash Code Records, Dancehall",4,https://i.ytimg.com/vi/t63pLkf5WQ8/hqdefault.jpg,en,en,False,172,PT2M52S,hd,False,True,False,False,416299,13467,249
aBlsrtxuwss,JM,2026-04-06T03:46:49.217502+00:00,2026-03-18T11:17:52Z,Spider-Man: Brand New Day - Official Trailer,Spider-Man: Brand New Day - Official Trailer,PlayStation,UC-2Y8dQb0S6DtpxNgAKoJKA,20,Gaming,"PlayStation, PS5, video games, next gen, Sony",5,https://i.ytimg.com/vi/aBlsrtxuwss/hqdefault.jpg,en,en,False,158,PT2M38S,hd,False,True,False,False,17896862,663006,27388
JZBxn2n9dsE,JM,2026-04-06T03:46:49.217510+00:00,2026-04-05T16:00:35Z,ROBLOX PARKOUR FOR BRAINROTS...,ROBLOX PARKOUR FOR BRAINROTS...,More Techy,UCzlUw75H5ILJ2l_ackxyI6A,20,Gaming,"roblox, funnyroblox, techyblox, techy, crazy fan girls, crazy fan girl, my crazy fan girls, girlfriend, roblox girlfriend",9,https://i.ytimg.com/vi/JZBxn2n9dsE/hqdefault.jpg,en,en,False,719,PT11M59S,hd,False,True,False,False,179112,4037,387
6VwLLfk0w0s,JM,2026-04-06T03:46:49.217518+00:00,2026-03-25T20:46:30Z,"Jamal, Extol - Money Fragrance (Official Video)","Jamal, Extol - Money Fragrance (Official Video)",JamalOfficialVEVO,UCoouxJp5xAqlJkfDAdmdU2w,10,Music,"onerpm, dancehall, dancehall 2026, reggae, reggae 2026, dancehall trending, reggae trending, youtube trending, trending music 2026, 2026, Jamal, Dunce MoneyFragrance, ExtolMusic 39Gud, TruBelieva Believe, NevaShortStaff Dancehall, TrapDancehall Music, Jamal Dunce, MoneyFragrance, ExtolMusic, 39Gud, TruBelieva, Believe, NevaShortStaff, TrapDancehall, Music",25,https://i.ytimg.com/vi/6VwLLfk0w0s/hqdefault.jpg,en,en,False,197,PT3M17S,hd,False,True,False,False,715220,14372,529
