video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
Q7IFjVUUb_E,JP,2026-06-27T04:35:34.409711+00:00,2026-06-24T04:00:01Z,"Stray Kids ""RUN IT"" M/V","Stray Kids ""RUN IT"" M/V",JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,10,Music,"JYP Entertainment, JYP, Stray Kids, 스트레이 키즈, SKZ, 스키즈, 방찬, BANG CHAN, 리노, LEE KNOW, 창빈, CHANGBIN, 현진, 황현진, HYUNJIN, 한, 한지성, HAN, 필릭스, FELIX, 용복, 승민, 김승민, SEUNGMIN, 아이엔, I.N, stray kids comeback, 스트레이 키즈 컴백, 스키즈 컴백, skz comeback, skz, SKZ Teaser, 스키즈 티저, 스트레이 키즈 티저, skz teaser, Stray Kids teaser, stray kids mv teaser, skz mv teaser, Stray Kids RUN IT, RUN IT teaser, SKZ RUN IT, SKZ comeback teaser, 스키즈 런잇, SKZ This & That, This & That, 런잇, 디스앤댓, 스키즈 디스앤댓, stray kids this & that",49,https://i.ytimg.com/vi/Q7IFjVUUb_E/hqdefault.jpg,en,ko,False,229,PT3M49S,hd,True,True,False,False,17867726,1138513,109176
zVXKN5pxbcI,JP,2026-06-27T04:35:34.409740+00:00,2026-06-24T13:00:04Z,【THE ONE PIECE】ティザー予告,【THE ONE PIECE】ティザー予告,ONE PIECE公式YouTubeチャンネル,UCdAHaWcKdpbT5XkN2Er6BUQ,1,Film & Animation,,0,https://i.ytimg.com/vi/zVXKN5pxbcI/hqdefault.jpg,ja,ja,False,58,PT58S,hd,False,True,False,False,903538,30616,2308
C7V2ScEMyVU,JP,2026-06-27T04:35:34.409751+00:00,2026-06-25T07:00:07Z,モンストニュース[6/25]超究極「ペイン天道」降臨！新イベント「掟と抗争のカルコサ PART Ⅲ」など、モンストの最新情報をお届けします！【モンスト公式】,モンストニュース[6/25]超究極「ペイン天道」降臨！新イベント「掟と抗争のカルコサ PART Ⅲ」など、モンストの最新情報をお届けします！【モンスト公式】,モンスト（モンスターストライク）公式,UCd9BXPj-KcMTh0HiB-Vlb8A,20,Gaming,"モンスト, モンスターストライク, Monster Strike, モンストニュース, 獣神化, 怪物彈珠, 彈珠爆新聞, 最新情報, モンスト最新, モンストの日, 獣神化・改, TVアニメ『NARUTO-ナルト- 疾⾵伝』, NARUTO, 超究極, ペイン天道, 木ノ葉隠れの里 第七班, 転界の遺跡, 掟と抗争のカルコサ PART Ⅲ, 新イベント, トゥールスチャ, ルルイエ・テキスト, グロース, 椿, DREAMDAZE, モンドリ, あるびぃ",26,https://i.ytimg.com/vi/C7V2ScEMyVU/hqdefault.jpg,ja,ja,False,1715,PT28M35S,hd,False,True,False,False,408355,4715,226
1hSOOSaPZZc,JP,2026-06-27T04:35:34.409761+00:00,2026-06-24T12:00:06Z,モーニング娘。'26『Lonely...But not Alone』Promotion Edit,モーニング娘。'26『Lonely...But not Alone』Promotion Edit,モーニング娘。,UCoKXb95K5h3sME3c9OCBaeA,10,Music,"モー娘。, モームス, morningmusume, Hello!Project, ハロプロ, ハロー!プロジェクト, ハロープロジェクト, 小田さくら, 野中美希, 牧野真莉愛, Sakura Oda, Miki Nonaka, Maria Makino, アイドル, idol, J-POP, videoclip, japanese, music, 岡村ほまれ, 山﨑愛生, Homare Okamura, Mei Yamazaki, 櫻井梨央, 井上春華, 弓桁朱琴, Sakurai rio, Inoue Haruka, Yumigeta Ako",29,https://i.ytimg.com/vi/1hSOOSaPZZc/hqdefault.jpg,ja,ja,False,278,PT4M38S,hd,True,True,False,False,268408,14115,2335
Zl4igAf4Yhc,JP,2026-06-27T04:35:34.409770+00:00,2026-06-24T13:00:00Z,「THE ONE PIECE」ティーザー予告編 - Netflix,「THE ONE PIECE」ティーザー予告編 - Netflix,Netflix Japan,UCv2ejD5B1xOYtGB2cf80B8g,24,Entertainment,"ANIME, ONE PIECE, THE ONE PIECE, WIT STUDIO, アニメ, ザワンピース, ワンピース",7,https://i.ytimg.com/vi/Zl4igAf4Yhc/hqdefault.jpg,ja,en-US,False,70,PT1M10S,hd,True,True,False,False,1066215,27776,2724
UQlgf5cfMbA,JP,2026-06-27T04:35:34.409778+00:00,2026-06-24T08:00:26Z,ホラーが嫌いすぎる友人に「 今年最も怖いと言われた５本のビデオ 」を見せてみた 【 Don't Play This 】,ホラーが嫌いすぎる友人に「 今年最も怖いと言われた５本のビデオ 」を見せてみた 【 Don't Play This 】,キヨ。,UCMJiPpN_09F0aWpQrgbc_qg,20,Gaming,"実況プレイ動画, 実況プレイ, ゲーム実況, 最終兵器俺達, キヨ, ゲーム, 最俺, 実況, Don't Play This, P-P",10,https://i.ytimg.com/vi/UQlgf5cfMbA/hqdefault.jpg,ja,ja,False,5709,PT1H35M9S,hd,False,True,False,False,901829,25142,1406
Pz29ehcGsFk,JP,2026-06-27T04:35:34.409786+00:00,2026-06-23T15:00:03Z,Dance Forever,Dance Forever,SixTONES - Topic,UCKlEziFhgHJhkBkZg8Hp6tw,10,Music,"SixTONES, ストーンズ, Dance Forever, ダンスフォーエバー",4,https://i.ytimg.com/vi/Pz29ehcGsFk/hqdefault.jpg,en,ja,False,237,PT3M57S,hd,False,True,False,False,462006,28828,1574
EJhsl8zZhdc,JP,2026-06-27T04:35:34.409794+00:00,2026-06-24T08:00:24Z,映画『HiGH&LOW THE 新世界』超特報映像,映画『HiGH&LOW THE 新世界』超特報映像,HiGH&LOW,UCEhFcdMJhtz3OLwO4mVYXUA,24,Entertainment,,0,https://i.ytimg.com/vi/EJhsl8zZhdc/hqdefault.jpg,ja,ja,False,154,PT2M34S,hd,False,False,False,False,244556,5422,694
hikve2lv6EQ,JP,2026-06-27T04:35:34.409801+00:00,2026-06-25T04:00:37Z,【原神】エピソード サンドローネ「朝の日の温もり」,【原神】エピソード サンドローネ「朝の日の温もり」,原神-Genshin-公式,UCAVR6Q0YgYa8xwz8rdg9Mrg,20,Gaming,"原神, Genshin, Genshin Impact, miHoYo, HoYoverse, 日本, Japanese, オープンワールド, RPG, iOS, Android, PC, PS4, ゲーム, アクション, 新作ゲーム, アニメ, サンプルボイス",18,https://i.ytimg.com/vi/hikve2lv6EQ/hqdefault.jpg,ja,ja,False,207,PT3M27S,hd,True,False,False,False,407629,34230,1316
R-iuG8oCIpg,JP,2026-06-27T04:35:34.409809+00:00,2026-06-23T15:00:07Z,宇多田ヒカル　パッパパラダイス feat.甲本ヒロト Music Video,宇多田ヒカル　パッパパラダイス feat.甲本ヒロト Music Video,Hikaru Utada,UChcgcbX3zMBwd0wTJyy2JlA,10,Music,"宇多田ヒカル, ちびまる子ちゃん",2,https://i.ytimg.com/vi/R-iuG8oCIpg/hqdefault.jpg,ja,ja,False,248,PT4M8S,hd,True,True,False,False,1132274,46045,1767
