video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
4otIYfDQsDs,KE,2026-06-03T05:26:11.954908+00:00,2026-05-27T15:00:30Z,Mbosso - Ozalima (Official Music Video),Mbosso - Ozalima (Official Music Video),Mbosso,UCuqG1YHwV5wLltChmEvsQPw,10,Music,"mbosso, watakubali, shida, nimekuzoea, alele, nadekezwa, zilipendwa, kwangwaru, wasafi, harmonize, rayvanny, iyena, gundu, sikomi, nipepee, jibebe, konki, nyegezi, hodari, tetema, tamu, kainama, diamond platnumz, lava lava, zima feni, ashua, amaboko, yope remix, haijakaa sawa, tamba, magufuli, ccm",32,https://i.ytimg.com/vi/4otIYfDQsDs/hqdefault.jpg,en,en,False,186,PT3M6S,hd,False,True,False,False,1056691,25716,1522
0JlMjgqduVw,KE,2026-06-03T05:26:11.954956+00:00,2026-05-29T13:54:01Z,House of the Dragon Season 3 | Official Final Trailer | HBO Max,House of the Dragon Season 3 | Official Final Trailer | HBO Max,HBO Max,UCx-KWLTKlB83hDI6UKECtJQ,24,Entertainment,"hbo max, hbo, hbo originals, hbo original series, hbo trailer, new on hbo, max, hbo max originals, hbo max trailer, hbo max teaser, hbo max series, hbo max youtube, house of the dragon, HOTD, Rhaenrya Targaryen, Daemon Targaryen, Aegon Targaryen, Alicent Hightower, game of thrones, Aemond Targaryen, Helaena Targaryen, Alys Rivers, Corlys Velaryon, Emma D'Arcy, Matt Smith, Olivia Cooke, Ormund Hightower, James Norton, A Song of Ice and Fire, Criston Cole, Fabien Frankel",31,https://i.ytimg.com/vi/0JlMjgqduVw/hqdefault.jpg,en,en,False,160,PT2M40S,hd,True,True,False,False,17723862,82813,4184
A2uNTsZXPU4,KE,2026-06-03T05:26:11.954969+00:00,2026-05-30T20:28:19Z,🔴Psg vs Arsenal - UEFA Champions League 2026 FINAL Ucl | eFootball Pes 21 Gameplay,🔴Psg vs Arsenal - UEFA Champions League 2026 FINAL Ucl | eFootball Pes 21 Gameplay,Football TV,UCvWuQfTMrRny57Cl3qtEmmg,17,Sports,"pes 2021, pes 2021 gameplay, soccer, pro evolution soccer 2021, pc gameplay, football pes 2021, sport, football, gameplay video, gameplay, pc, gameplay sport, gameplay football, gameplay pes 2021, pes 2021 pc, game, футбол, спорт, игра, геймплей, efootball, uefa champions league 2026 pes 21, champions league pes 21, ucl, psg pes 21, paris pes 21, psg vs arsenal pes 21, arsenal pes 21, final champions league pes 21, ucl final pes 21",30,https://i.ytimg.com/vi/A2uNTsZXPU4/hqdefault.jpg,en,en,False,14537,PT4H2M17S,hd,False,True,False,False,1123667,3490,0
TJrFh_EkYkM,KE,2026-06-03T05:26:11.954981+00:00,2026-05-21T12:50:08Z,COLLOBLUE FT NDOVU KUU - DANCE SAMAWAAH ( Official Music Video),COLLOBLUE FT NDOVU KUU - DANCE SAMAWAAH ( Official Music Video),Colloblue ,UCt_wvuJMNMxkTdR6A8DcgUA,22,People & Blogs,,0,https://i.ytimg.com/vi/TJrFh_EkYkM/hqdefault.jpg,en,sw,False,193,PT3M13S,hd,False,True,False,False,1126258,17024,483
mObRUsA7dPY,KE,2026-06-03T05:26:11.954991+00:00,2026-06-01T14:00:01Z,I Will Find You | Official Trailer | Netflix,I Will Find You | Official Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Britt Lower, Chi McBride, Harlan Coben, I Will Find You, Logan Browning, Madeleine Stowe, Milo Ventimiglia, Mystery Show, Netflix, Netflix Mystery, Netflix Thriller, New Mystery Show, New Thriller Show, Sam Worthington, Thriller Show",15,https://i.ytimg.com/vi/mObRUsA7dPY/hqdefault.jpg,en,en-US,False,117,PT1M57S,hd,True,True,False,False,336495,4774,292
jXmVpSQcmlA,KE,2026-06-03T05:26:11.955000+00:00,2026-05-30T22:43:06Z,Arsenal vs. PSG | Champions League. | eFootball PES 21Video Game  Simulation,Arsenal vs. PSG | Champions League. | eFootball PES 21Video Game  Simulation,RMO,UCDw7iWgxsOgQGPBRFt5Mifw,20,Gaming,,0,https://i.ytimg.com/vi/jXmVpSQcmlA/hqdefault.jpg,en,en,False,23296,PT6H28M16S,hd,False,True,False,False,702430,2411,1
fcnDmrtj6Sk,KE,2026-06-03T05:26:11.955009+00:00,2026-05-23T16:14:03Z,"Shakira, Burna Boy - Dai Dai (Official Video)","Shakira, Burna Boy - Dai Dai (Official Video)",Shakira,UCYLNGLIzMhRTi6ZOLjAPSmw,26,Howto & Style,,0,https://i.ytimg.com/vi/fcnDmrtj6Sk/hqdefault.jpg,en,en,False,241,PT4M1S,hd,False,False,False,False,67237660,2170007,113826
ORxw68y3lyw,KE,2026-06-03T05:26:11.955018+00:00,2026-06-02T13:00:02Z,How To Rob A Bank | Official Trailer,How To Rob A Bank | Official Trailer,Amazon MGM Studios,UCf5CjDJvsFvtVIhkfmKAwAA,24,Entertainment,"MGM, MGM Studios, Metro-Goldwyn- Mayer, Metro Pictures Corporations, Goldwyn Pictures, Louis B. Mayer Pictures, MGM Pictures, United Artists, Metro MGM/UA, Amazon MGM, Amazon MGM Studios, Amazon, How To Rob A Bank (2026), How To Rob A Bank (2026) Official Trailer, How To Rob A Bank Official Trailer, How To Rob A Bank Trailer, Tati Gabrielle, Nicholas Hoult, Christian Slater, Pete Davidson, Zoë Kravitz, Anna Sawai, John C. Reilly, New Movies 2026",24,https://i.ytimg.com/vi/ORxw68y3lyw/hqdefault.jpg,en,en-US,False,171,PT2M51S,hd,True,True,False,False,2954820,14810,1028
w5pkKE7YXQU,KE,2026-06-03T05:26:11.955027+00:00,2026-05-30T21:12:37Z,🔴PSG vs ARSENAL - Final UEFA Champions League 2026 Match | Pes 21 Simulation Gameplay,🔴PSG vs ARSENAL - Final UEFA Champions League 2026 Match | Pes 21 Simulation Gameplay,Banchik,UCAyQhBjvrEEVhmnWCWHt56w,20,Gaming,"pes 2021, pes 2021 gameplay, soccer, pro evolution soccer 2021, pc gameplay, football pes 2021, sport, football, gameplay video, gameplay, pc, gameplay football, gameplay pes 2021, pes 2021 pc, game, футбол, спорт, игра, геймплей, efootball, pes 2025, soccer game, football game, video, live football, uefa champions league 2026, champions league, ucl, arsenal, final champions league, psg vs arsenal, psg, paris",33,https://i.ytimg.com/vi/w5pkKE7YXQU/hqdefault.jpg,en,ru,False,38662,PT10H44M22S,hd,False,True,False,False,238928,691,0
CQ3Zi55OtJM,KE,2026-06-03T05:26:11.955039+00:00,2026-05-28T21:01:49Z,Marioo feat D Voice - Watu (Visualizer),Marioo feat D Voice - Watu (Visualizer),MariooOfficial,UCgZGpR80Z-x5fnUsKuKM2kg,10,Music,"Tanzania, Kenya, Uganda, Marioo, BongoFlava, music, africa, mariooofficial, marioo255, thisismarioo, omaryallymwanga, marioomusic, marioonewmusic, marioosongs, marioohits",15,https://i.ytimg.com/vi/CQ3Zi55OtJM/hqdefault.jpg,en,sw,False,144,PT2M24S,hd,False,True,False,False,974981,20411,1285
BLBvbMtjyAQ,KE,2026-06-03T05:26:11.955048+00:00,2026-06-02T13:59:47Z,Silo — Season 3 Official Trailer | Apple TV,Silo — Season 3 Official Trailer | Apple TV,Apple TV,UC1Myj674wRVXB9I4c6Hm5zA,24,Entertainment,"silo, silo season 3, silo season 3 trailer, silo trailer, trailer silo, official trailer, silo official trailer, official trailer silo, wool, rebecca ferguson, chinaza uche, avi nash, common silo, common, steve zahn, hugh howey wool, book, novel, wool novel, wool adaptation, series, show, silo apple tv, apple tv silo, apple tv, apple, tv, apple tv+, apple tv app, apple original, original series, science fiction, sci fi, dystopia, drama, dystopian drama, thriller, silo teaser",38,https://i.ytimg.com/vi/BLBvbMtjyAQ/hqdefault.jpg,en,en,False,158,PT2M38S,hd,True,True,False,False,831000,13353,936
cWfRMPHnrkM,KE,2026-06-03T05:26:11.955058+00:00,2026-05-30T16:01:00Z,"Every Time I Crash, My Bike EVOLVES in GTA 5","Every Time I Crash, My Bike EVOLVES in GTA 5",SpeirsTheAmazingHD,UCAbdeLiTPdjk1X2TY_ZdLDw,20,Gaming,"speirstheamazinghd, speirs the amazing, gta 5 funny moments, gta 5, gta, in gta 5, gta 5 rp, grand theft auto 5, stealing cars gta 5, fastest car, gta 5 roleplay, roleplay, gta v roleplay, gta 5 roleplay funny, funny roleplay moments, grand theft auto roleplay, grand theft auto 5 roleplay, every time i crash, every time i crash gta 5, bike evolves, evolving bikes gta 5, police bike gta 5, upgrading bikes, fastest bike, ultimate bike gta 5",25,https://i.ytimg.com/vi/cWfRMPHnrkM/hqdefault.jpg,en,en,False,1705,PT28M25S,hd,False,True,False,False,429826,4223,157
vrY1THC_NQE,KE,2026-06-03T05:26:11.955067+00:00,2026-06-01T15:00:06Z,IShowSpeed - World Cup (Champions) [Official Music Video],IShowSpeed - World Cup (Champions) [Official Music Video],IShowSpeed,UCWsDFcIhY2DBi3GB5uykGXA,20,Gaming,"ishowspeed, world cup",2,https://i.ytimg.com/vi/vrY1THC_NQE/hqdefault.jpg,en,en,False,299,PT4M59S,hd,False,True,False,False,8381240,1039116,75344
jLbst85USN8,KE,2026-06-03T05:26:11.955076+00:00,2026-05-28T14:53:06Z,Call of Duty: Modern Warfare 4 | Reveal Trailer,Call of Duty: Modern Warfare 4 | Reveal Trailer,Call of Duty,UC9YydG57epLqxA9cTzZXSeQ,20,Gaming,"call of duty, cod, activision, call of duty: modern warfare 4, modern warfare 4, mw4",6,https://i.ytimg.com/vi/jLbst85USN8/hqdefault.jpg,en,en,False,170,PT2M50S,hd,False,True,False,False,30792629,208686,21458
hp2duQuuRfU,KE,2026-06-03T05:26:11.955084+00:00,2026-05-30T18:05:06Z,PSG vs ARSENAL - Penalty Shootout - Final UEFA Champions League 2026 | Simulation PES,PSG vs ARSENAL - Penalty Shootout - Final UEFA Champions League 2026 | Simulation PES,Football Live,UCxvz6hylB7hsKKK38FE5vXg,20,Gaming,,0,https://i.ytimg.com/vi/hp2duQuuRfU/hqdefault.jpg,en,en,False,704,PT11M44S,hd,False,True,False,False,226232,986,87
YskA97zqFhw,KE,2026-06-03T05:26:11.955093+00:00,2026-05-26T09:00:06Z,ALEX KASAU KATOMBI-KUMILA(OFFICIAL 4K VIDEO),ALEX KASAU KATOMBI-KUMILA(OFFICIAL 4K VIDEO),Alex Kasau Katombi,UCWFv8hpX1Xj03kJFsP9MmRA,10,Music,"alex, kasau, katombi, ngulumende, mwanosu, nguuni, lovers",7,https://i.ytimg.com/vi/YskA97zqFhw/hqdefault.jpg,sw,en-US,False,320,PT5M20S,hd,False,True,False,False,191551,7719,599
K4NVqEXFFoY,KE,2026-06-03T05:26:11.955101+00:00,2026-06-02T17:00:05Z,Honest Trailers | The Boys: The Final Season,Honest Trailers | The Boys: The Final Season,Screen Junkies,UCOpcACMWblDls9Z6GERVi1A,1,Film & Animation,,0,https://i.ytimg.com/vi/K4NVqEXFFoY/hqdefault.jpg,en,en,False,599,PT9M59S,hd,False,True,False,False,268580,11489,1025
8_LNV0fXMXE,KE,2026-06-03T05:26:11.955110+00:00,2026-05-30T03:00:44Z,ARSENAL vs PSG PENALTIES | UEFA Champions League 2025/26 | Full Match All Goals | PES,ARSENAL vs PSG PENALTIES | UEFA Champions League 2025/26 | Full Match All Goals | PES,GaMePLaY 312,UCkrtJ2KomkGOevBWknMUGBw,20,Gaming,,0,https://i.ytimg.com/vi/8_LNV0fXMXE/hqdefault.jpg,en,en,False,765,PT12M45S,hd,False,True,False,False,272800,1023,37
Zhu81mS_9PY,KE,2026-06-03T05:26:11.955118+00:00,2026-05-29T08:00:06Z,Nikita Kering' - Niwache (Official Music Video),Nikita Kering' - Niwache (Official Music Video),Nikita Kering',UCl1txXouaN3YU8zzNPJP_pA,24,Entertainment,,0,https://i.ytimg.com/vi/Zhu81mS_9PY/hqdefault.jpg,en,sw,False,189,PT3M9S,hd,False,True,False,False,162023,9053,633
rwa_R6MnLLY,KE,2026-06-03T05:26:11.955126+00:00,2026-05-31T06:58:04Z,The Most SATISFYING Roblox Game..,The Most SATISFYING Roblox Game..,Foltyn,UCRkuUgtDAL4XSU5jB40J_wA,20,Gaming,"foltyn, foltyn roblox, roblox, roblox foltyn, foltyn family, funny, no swearing, foltyn family roblox, roblox foltyn family, blade ball, roblox blade ball, foltyn blade ball, the most satisfying roblox game.., satisfying roblox games, foltyn and caylus, foltyn and Caylus playing roblox, foltyn and Caylus playing roblox together, most satisfying roblox game",18,https://i.ytimg.com/vi/rwa_R6MnLLY/hqdefault.jpg,en,en-US,False,988,PT16M28S,hd,False,True,False,False,2739172,61696,8610
