video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
nY8ns5z7lpI,KH,2026-06-09T04:46:26.233041+00:00,2026-06-01T05:45:06Z,រឿងយើង (TRUST ISSUES) - PICH SOLIKAH | OFFICIAL VIDEO,រឿងយើង (TRUST ISSUES) - PICH SOLIKAH | OFFICIAL VIDEO,Pich Solikah,UCsorarkmUh3XaqNNTdBbjyA,10,Music,"pich solikah, pich solikah រឿងយើង, solikah song, ពេជ្រ សូលីកា, រឿងយើង, សូលីកា",6,https://i.ytimg.com/vi/nY8ns5z7lpI/hqdefault.jpg,km,km,False,254,PT4M14S,hd,False,True,False,False,288937,3290,122
TBEB8UXIVQs,KH,2026-06-09T04:46:26.233083+00:00,2026-06-08T12:00:06Z,OFFICIAL TRAILER - ភាពយន្តខ្នាតធំរឿង « លាក់សពសង្សារ - Death Girlfriend»,OFFICIAL TRAILER - ភាពយន្តខ្នាតធំរឿង « លាក់សពសង្សារ - Death Girlfriend»,Sastra Film,UCgRs-wjr54W4IjhRRQ99Arw,1,Film & Animation,,0,https://i.ytimg.com/vi/TBEB8UXIVQs/hqdefault.jpg,km,en,False,137,PT2M17S,hd,False,False,False,False,2342,137,8
pBvs8QFH7eQ,KH,2026-06-09T04:46:26.233095+00:00,2026-06-08T03:28:08Z,ខ្ញុំបានជួប Player ដល់អាថ៌កំបាំងនិងសែនចម្លែកនៅក្នុង Minecraft!,ខ្ញុំបានជួប Player ដល់អាថ៌កំបាំងនិងសែនចម្លែកនៅក្នុង Minecraft!,Foxxzi,UC-FceGYcfidoehkp_Atks_w,20,Gaming,,0,https://i.ytimg.com/vi/pBvs8QFH7eQ/hqdefault.jpg,km,zxx,False,5258,PT1H27M38S,hd,False,True,False,False,111148,15762,762
jwFBQzQonpI,KH,2026-06-09T04:46:26.233134+00:00,2026-06-01T10:02:07Z,ភ័ក្ដ្រាស្រទន់,ភ័ក្ដ្រាស្រទន់,Vouchlim - Topic,UCIjfDlm5j4trro1eN2l7l0A,10,Music,"Vouchlim, ភ័ក្ដ្រាស្រទន់",2,https://i.ytimg.com/vi/jwFBQzQonpI/hqdefault.jpg,km,,False,313,PT5M13S,hd,False,True,False,False,58284,170,3
b6l-0TWEbak,KH,2026-06-09T04:46:26.233154+00:00,2026-06-06T10:13:22Z,Btth Trailer 204 | Btth New Preview | Btth Latest Trailer 204 | 斗破苍穹204 | Btth Terbaru 204Spoiler,Btth Trailer 204 | Btth New Preview | Btth Latest Trailer 204 | 斗破苍穹204 | Btth Terbaru 204Spoiler,Heaven yard Exp,UCbXbqpXFnnZzkqztqxR-SXg,1,Film & Animation,"btth, battle though the heavens new episode, btth episode 202, btth preview 204, btth pv 204, btth new trailer, btth Trailer 204, Btth Terbaru 204Spoiler, 斗破苍穹204, battle though the heavens, btth new Trailer, btth latest trailer, btth latest preview",13,https://i.ytimg.com/vi/b6l-0TWEbak/hqdefault.jpg,en,hi,False,35,PT35S,hd,False,True,False,False,26118,440,2
QzI2gPXK8lI,KH,2026-06-09T04:46:26.233173+00:00,2026-05-31T13:13:12Z,រឿងប៉ាម៉ាក់កាន់ជើងតែកូនពៅ😅ភាគ 1,រឿងប៉ាម៉ាក់កាន់ជើងតែកូនពៅ😅ភាគ 1,kon Srang,UCdoMZlejt2fwqTnKCg9JmjA,22,People & Blogs,,0,https://i.ytimg.com/vi/QzI2gPXK8lI/hqdefault.jpg,km,und,False,480,PT8M,hd,False,False,False,False,386493,685,0
BeTeEFIcdF0,KH,2026-06-09T04:46:26.233185+00:00,2026-06-01T07:26:36Z,ដឹងថាអាណិតតែនៅស្រលាញ់ (Live),ដឹងថាអាណិតតែនៅស្រលាញ់ (Live),ឆាយ វីរៈយុទ្ធ - Topic,UCBwEOe99vF_kszD5_F3gsQg,10,Music,"ឆាយ វីរៈយុទ្ធ, ដឹងថាអាណិតតែនៅស្រលាញ់ (Live)",2,https://i.ytimg.com/vi/BeTeEFIcdF0/hqdefault.jpg,km,,False,264,PT4M24S,hd,False,True,False,False,124430,1054,0
N_B-v5Kz0KI,KH,2026-06-09T04:46:26.233197+00:00,2026-06-06T08:01:23Z,ខ្ញុំគឺជា កំពូលអ្នកសុំទាន ពីក្ររហូតដល់មាន ក្នុង Roblox !,ខ្ញុំគឺជា កំពូលអ្នកសុំទាន ពីក្ររហូតដល់មាន ក្នុង Roblox !,Vk - វីខេ,UChGsT_RhIHHuU5bGf-xXTCA,20,Gaming,"roblox, vk, minecraft, mini war, mini war roblox",5,https://i.ytimg.com/vi/N_B-v5Kz0KI/hqdefault.jpg,km,und,False,987,PT16M27S,hd,False,True,False,False,82250,1458,52
HS-kYqVDoeU,KH,2026-06-09T04:46:26.233216+00:00,2026-05-28T08:29:07Z,រាត្រីស្ងាត់អូននឹកដល់បង,រាត្រីស្ងាត់អូននឹកដល់បង,SoloMuzix - Topic,UCX4YudO_MOedtxVkMfp4oMA,10,Music,"SoloMuzix, រាត្រីស្ងាត់អូននឹកដល់បង",2,https://i.ytimg.com/vi/HS-kYqVDoeU/hqdefault.jpg,km,,False,318,PT5M18S,hd,False,True,False,False,166665,317,21
PBmh6zOk8co,KH,2026-06-09T04:46:26.233224+00:00,2026-06-07T00:00:24Z,ខ្ញុំបានប្រទះឃេីញខ្មេាចឡានដែលមានភ្នែកនៅក្នុងព្រៃ! | I found a ghost car with eyes in the forest!,ខ្ញុំបានប្រទះឃេីញខ្មេាចឡានដែលមានភ្នែកនៅក្នុងព្រៃ! | I found a ghost car with eyes in the forest!,RimGamez FORZA,UCCjLZ1Uqv_eWUfYaIQi4fIA,20,Gaming,"rimgamez, forza horizon 4, gaming play, car parking, forza horizon 6, forza 6, forza horizon 6 gameplay, forza horizon 6 best cars, forza horizon 6 tuning, simulator games, forza horizon 6 drag racing, car racing, ghost car, found car, forest, find car, toyota tacoma, track race, monster trucks, toyota, tacoma drag race, rebuild car, rebuild toyota, rebuild old car, old car, fh6 gameplay, movie car, forza horizon 6 top speed, mcqueen car race, fh6 best cars",30,https://i.ytimg.com/vi/PBmh6zOk8co/hqdefault.jpg,en,en,False,849,PT14M9S,hd,False,True,False,False,72079,654,100
