video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
TqWNFVAEmwU,KR,2026-08-17T02:04:35.482312+00:00,2026-08-16T15:01:46Z,Silence,Silence,TOMORROW X TOGETHER - Topic,UCdeb5b3bAxn1OXXFFeuCaHg,10,Music,"TOMORROW X TOGETHER, トゥモローバイトゥギャザー, Setsuna Hanabi, Silence, サイレンス",5,https://i.ytimg.com/vi/TqWNFVAEmwU/hqdefault.jpg,en,ko,False,202,PT3M22S,hd,False,True,False,False,69922,8618,680
Bk6DeEedYGs,KR,2026-08-17T02:04:35.482351+00:00,2026-08-15T04:46:56Z,[어벤져스: 둠스데이] '둠의 심판' 예고편,[어벤져스: 둠스데이] '둠의 심판' 예고편,MarvelKorea,UCSB5FOwUVnAhGo_o99IhxYA,24,Entertainment,"마블, marvel, marvelkorea, 마블 영화, 마블 예고편, 예고편, trailer, 마블 ost, 마블 히어로, 마블 명장면, 마블 만화, 마블총정리, 아이언맨, 캡틴아메리카, 엔드게임, 닥터스트레인지, 앤트맨, 블랙위도우, 어벤져스, marvel studio",20,https://i.ytimg.com/vi/Bk6DeEedYGs/hqdefault.jpg,ko,ko,False,137,PT2M17S,hd,False,True,False,False,2114934,32535,6598
AEN-ojfSvbc,KR,2026-08-17T02:04:35.482363+00:00,2026-08-16T09:00:08Z,포대장 결정전 : 마지막 화【봉켓몬】,포대장 결정전 : 마지막 화【봉켓몬】,윤가놈,UC20DvGobETQDG_JG048JWAw,20,Gaming,"윤가놈, 윤진석",2,https://i.ytimg.com/vi/AEN-ojfSvbc/hqdefault.jpg,ko,ko,False,2693,PT44M53S,hd,False,True,False,False,223063,4913,630
E30TvxRbZJs,KR,2026-08-17T02:04:35.482373+00:00,2026-08-12T09:00:01Z,AxMxP (에이엠피) - 나를 만나야 할 10가지 이유 MV,AxMxP (에이엠피) - 나를 만나야 할 10가지 이유 MV,AxMxP,UC8caKDwgP2a51iuGEb4b3yA,10,Music,,0,https://i.ytimg.com/vi/E30TvxRbZJs/hqdefault.jpg,ko,ko,False,176,PT2M56S,hd,True,False,False,False,1581453,1960,240
8DEjQH80qWw,KR,2026-08-17T02:04:35.482382+00:00,2026-08-15T06:29:24Z,마블이 돌아왔습니다.. ≪어벤져스: 둠스데이≫ 공식 예고편 떡밥 분석 & 총정리,마블이 돌아왔습니다.. ≪어벤져스: 둠스데이≫ 공식 예고편 떡밥 분석 & 총정리,무비띵크_Movie Think,UCKBzr20577Xcn0LJoRVES_A,1,Film & Animation,"영화리뷰, 영화추천, 무비띵크, 마블, 마블영화, 마블유튜브, 마블유튜버, 마블띵크, 디즈니플러스, MCU, 떴냐, 루머띵크, 디즈니 마블, 어벤져스 둠스데이, 어벤져스5 둠스데이, 어벤져스5, 어벤져스 시크릿 워즈, 어벤져스 둠스데이 닥터둠, 어벤져스 둠스데이 스포, 둠스데이 캐스팅 라인업, 어벤져스 둠스데이 루머, 어벤져스 둠스데이 로다주, 어벤져스 둠스데이 티저, 어벤져스 둠스데이 예고편, 어벤져스 둠스데이 티저예고편, 어벤져스 둠스데이 메인예고편, 둠스데이 메인예고편, 닥터둠 둠스데이, 둠스데이 닥터둠, 어벤져스 둠스데이 반응, 어벤져스 둠스데이 후기, 어벤져스 둠스데이 플롯, 엑스맨 리부트, 엑스맨, 엑스맨 MCU, 어벤져스 둠스데이 시네마콘, 어벤져스 둠스데이 공식 예고편, 어벤져스 둠스데이 스토리, 어벤져스 둠스데이 유출, 어벤져스 둠스데이 전체 스토리, 어벤져스 둠스데이 공식예고편, 어벤져스 티저, 둠스데이 티저, 둠스데이 공식예고편",44,https://i.ytimg.com/vi/8DEjQH80qWw/hqdefault.jpg,ko,ko,False,680,PT11M20S,hd,False,True,False,False,656297,10481,2204
7f4-Mag0X88,KR,2026-08-17T02:04:35.482391+00:00,2026-08-16T12:39:12Z,저라뎃의 FC온라인 첫 팀은..?!,저라뎃의 FC온라인 첫 팀은..?!,저라뎃 JUSTLIKETHAT,UC1dG3vI9FfHnH3YgyeKUz_A,20,Gaming,"천상계, 챌린저, 정글러, 저라뎃, Justlikethat, 정글, 동선, 강의, 교육방송, 롤토체스",10,https://i.ytimg.com/vi/7f4-Mag0X88/hqdefault.jpg,ko,ko,False,1448,PT24M8S,hd,False,True,False,False,158094,1548,182
ZIBoYP1MIt8,KR,2026-08-17T02:04:35.482400+00:00,2026-08-13T09:02:45Z,Three days after,Three days after,HYNN - Topic,UC3qDRerpJAtgpxvAuEm2ITw,10,Music,"HYNN, HYNN (박혜원), DEMIIAN, JuHo, Lee DoHyeong, Jo donghee, Traces of Summer, 여름결, Three days after, 3일 후",10,https://i.ytimg.com/vi/ZIBoYP1MIt8/hqdefault.jpg,en,ko,False,206,PT3M26S,hd,False,True,False,False,204771,2235,53
79VTxw5KmLE,KR,2026-08-17T02:04:35.482409+00:00,2026-08-16T15:00:00Z,TAEMIN (태민) - 'PHASE 1 : Soft Violence' Trailer,TAEMIN (태민) - 'PHASE 1 : Soft Violence' Trailer,태민 (TAEMIN),UCa2YkG6KvkGXJd5UmvZbXGw,27,Education,,0,https://i.ytimg.com/vi/79VTxw5KmLE/hqdefault.jpg,en,ko,False,43,PT43S,hd,False,False,False,False,18127,4524,485
lvKfQN8qjlQ,KR,2026-08-17T02:04:35.482417+00:00,2026-08-16T03:00:15Z,95즈 전체 버스 태우는 김민교의 역대급 아지르,95즈 전체 버스 태우는 김민교의 역대급 아지르,튜브김민교,UCBA9XaL5wCdHnC5EmEzwrqw,20,Gaming,"김민교, 민교, 교튜브, 튜브 김민교",4,https://i.ytimg.com/vi/lvKfQN8qjlQ/hqdefault.jpg,ko,ko,False,2694,PT44M54S,hd,False,True,False,False,226319,1350,168
wlUvFCbMXms,KR,2026-08-17T02:04:35.482425+00:00,2026-08-13T09:00:30Z,STUCK!,STUCK!,pH-1 - Topic,UCC_zFTNVhf6A-z9OSn5St4g,10,Music,"pH-1, g0nny, g0nny (거니), STUCK!",4,https://i.ytimg.com/vi/wlUvFCbMXms/hqdefault.jpg,en,en,False,158,PT2M38S,hd,False,True,False,False,251601,3358,58
