video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
cTsbJmP98hA,LA,2026-03-29T03:44:57.875321+00:00,2026-03-20T23:00:06Z,ແຄ້ນເຂົ້າມື້ເຈົ້າແຕ່ງ | ນ້ອຍ ເພັດພູໄທ【 COVER VERSION】แคนข้าวมื้อเจ้าแต่ง  | น้อย เพชรภูไท,ແຄ້ນເຂົ້າມື້ເຈົ້າແຕ່ງ | ນ້ອຍ ເພັດພູໄທ【 COVER VERSION】แคนข้าวมื้อเจ้าแต่ง  | น้อย เพชรภูไท,ນ້ອຍ ເພັດພູໄທ,UCTupn181xGrOHDb-4BFHvDA,10,Music,,0,https://i.ytimg.com/vi/cTsbJmP98hA/hqdefault.jpg,lo,th,False,357,PT5M57S,hd,False,True,False,False,75649,692,85
bS_vRrzvxy0,LA,2026-03-29T03:44:57.875364+00:00,2026-03-20T13:01:13Z,HOMETOWN ROMANCE คุณแฟนบ้านนอก | Official Trailer [EN/CN SUB],HOMETOWN ROMANCE คุณแฟนบ้านนอก | Official Trailer [EN/CN SUB],CHANGE2561,UCISGtaTLXAEliMLp1VJZsSg,24,Entertainment,"ช่อง gmm ออนไลน์, เช้นจ์ 2561, change2561, gmm, change, พี่ฉอด, พี่ฉอด สายทิพย์, ฉอด change2561, ซีรีส์วาย, series y, pitbabe, ซีรีส์, ละคร, พิษเบ๊บ, LMSY, ลูกหมีซอนญ่า, HometownRomance, คุณแฟนบ้านนอก, GL, one31, oneD, ซีรีส์ใหม่, ไทบ้าน, หญิงรักหญิง, series yuri, ลูกหมี ปัญญาพัชร, ซอนญ่า ศรัณย์ภัทร์, Lmlookmhee, sonyasarann, บอย พิษณุ, กระแต ศุภักษร, ละครใหม่",32,https://i.ytimg.com/vi/bS_vRrzvxy0/hqdefault.jpg,th,th,False,248,PT4M8S,hd,True,True,False,False,516971,42414,2659
z_0ncQqIDwk,LA,2026-03-29T03:44:57.875377+00:00,2026-03-28T02:15:00Z,สุ่มกาชา อุจิวะ อิทาจิ | MLBB,สุ่มกาชา อุจิวะ อิทาจิ | MLBB,กาย หงิด,UC79u_tfhqjGIi1tgWsJEG7Q,20,Gaming,"กายหงิด, กิตงาย, ROV, AOV, EVOS.Guy, E-Sport, โอหงิด, อาร์งาย, โปรเพลเยอร์, นักกีฬา, อีสปอร์ต, นักกีฬาอีสปอร์ต, ตลก, ฮา, เกรียน, สนุก, หนังตลก, หัวเราะ",18,https://i.ytimg.com/vi/z_0ncQqIDwk/hqdefault.jpg,th,th,False,957,PT15M57S,hd,False,True,False,False,424913,15163,442
dbFjr8VLws4,LA,2026-03-29T03:44:57.875388+00:00,2026-03-03T10:02:44Z,เสแสร้ง,เสแสร้ง,เที่ยวไปฟังเพลงไป - Topic,UCvXI4_lSaOr4yqHlUOxGI1A,10,Music,"เที่ยวไปฟังเพลงไป, เพลงที่ดีที่สุด, เสแสร้ง",3,https://i.ytimg.com/vi/dbFjr8VLws4/hqdefault.jpg,th,th,False,317,PT5M17S,hd,False,True,False,False,372149,800,0
8NJsSdfBpjE,LA,2026-03-29T03:44:57.875397+00:00,2026-03-18T11:07:16Z,ตัวอย่างแรก Spider-Man: Brand New Day [Official - Thai Sub],ตัวอย่างแรก Spider-Man: Brand New Day [Official - Thai Sub],Sony Pictures Thailand,UC_-pRVyZ5leS0vFF6_gxSfw,24,Entertainment,หนัง,1,https://i.ytimg.com/vi/8NJsSdfBpjE/hqdefault.jpg,th,en,False,153,PT2M33S,hd,False,True,False,False,399544,8379,529
mLg3Ecdnu0o,LA,2026-03-29T03:44:57.875405+00:00,2026-03-27T12:06:40Z,ถ้าคุณยอมแพ้ ผมหวานเจี๊ยบ!🥵🔥| Roblox Dig DEEPER for Brainrots!,ถ้าคุณยอมแพ้ ผมหวานเจี๊ยบ!🥵🔥| Roblox Dig DEEPER for Brainrots!,iuccc Darkside,UCiob6zydUE_mnxOtoIACFtw,20,Gaming,"escape tsunami for brainrots, roblox, roblox escape tsunami for brainrots, roblox brainrot, tsunami, roblox tsunami, roblox tsunami brainrot, roblox gameplay, roblox playthrough, roblox video, roblox brainrots, fusing brainrots, spawn machine, strawberry elephant, admin abuse, secret admin abuse, roblox admin abuse, leaderboard, galactio fantasma, din din vaultero, mystery merchant, escape tsunami for brainrot, Roblox, roblox escape tsunami for brainrots ไทย, Top world",25,https://i.ytimg.com/vi/mLg3Ecdnu0o/hqdefault.jpg,th,th,False,1582,PT26M22S,hd,False,True,False,False,98028,2069,221
ia4Mr_wIcOw,LA,2026-03-29T03:44:57.875414+00:00,2026-03-18T05:54:39Z,ก่อนจะเป็นคนใจดำ -Jumbo1991 [OFFICIAL MV],ก่อนจะเป็นคนใจดำ -Jumbo1991 [OFFICIAL MV],Jumbo1991 ,UCnSU_mz8o_lT5ZGbY0cOgJw,22,People & Blogs,,0,https://i.ytimg.com/vi/ia4Mr_wIcOw/hqdefault.jpg,th,th,False,234,PT3M54S,hd,False,True,False,False,461973,2333,175
dC50OoRk1Dc,LA,2026-03-29T03:44:57.875423+00:00,2026-03-06T04:59:58Z,Official Trailer | ภพเธอ | Love Upon a Time Series,Official Trailer | ภพเธอ | Love Upon a Time Series,Mandee Channel,UC_HtEPrXQYKJ9Pihwg0u1Rw,24,Entertainment,"ภพเธอ, MandeeWork, domunditv, LoveUponATime Series",4,https://i.ytimg.com/vi/dC50OoRk1Dc/hqdefault.jpg,th,th,False,271,PT4M31S,hd,True,True,False,False,968152,53061,3984
dNGem1fY-W4,LA,2026-03-29T03:44:57.875432+00:00,2026-03-21T05:00:03Z,Fight with you! A Bond Reunited | MLBB × NARUTO | Mobile Legends: Bang Bang,Fight with you! A Bond Reunited | MLBB × NARUTO | Mobile Legends: Bang Bang,Mobile Legends: Bang Bang,UCqmld-BIYME2i_ooRTo1EOg,20,Gaming,,0,https://i.ytimg.com/vi/dNGem1fY-W4/hqdefault.jpg,en,und,False,39,PT39S,hd,False,False,False,False,6759079,114982,1769
qIvnYE_1ci8,LA,2026-03-29T03:44:57.875440+00:00,2026-03-05T12:38:25Z,คนล้มอย่าซ้ำ -ยังไหว Music [Official Lyric Video],คนล้มอย่าซ้ำ -ยังไหว Music [Official Lyric Video],ยังไหว Music,UCSXPKIWWfwmAeWqDD_QpEKQ,22,People & Blogs,,0,https://i.ytimg.com/vi/qIvnYE_1ci8/hqdefault.jpg,th,th,False,264,PT4M24S,hd,False,False,False,False,310214,4207,206
