video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
z5UP2P8jbO4,LB,2026-07-22T03:57:28.444172+00:00,2026-07-21T04:00:01Z,Wael Kfoury - Mafi Ghayra (Official Lyric Video 2026) | وائل كفوري - ما في غيرا,Wael Kfoury - Mafi Ghayra (Official Lyric Video 2026) | وائل كفوري - ما في غيرا,Wael Kfoury | وائل كفوري,UC1F4CV2YjvxKgNOOFqd_dfQ,10,Music,"Wael Kfoury, Mafi Ghayra, مافي غيرا, وائل كفوري, وائل كفوري مافي غيرا, كل فكرا اني ناسيها, ورجعت تتذكّرني فيها, هيي هيي ما في غيرا, يلي بحبا كتر خيرا, wa2el kfoury, wael kfouri, wa2il kfoury, أغاني عربية, جديد وائل كفوري, Arabic music, jdeed wael kfoury, ولاد الحرام, wlad El haram, Wael kfoury حفل جدة, حفل جدة, Wael Kfoury Jeddah, البنت القوية, غرام المستحيل, كلنا مننجر, حكم القلب, Wael 2026, اغاني ٢٠٢٦, صيف ٢٠٢٦, اغاني وائل كفوري",29,https://i.ytimg.com/vi/z5UP2P8jbO4/hqdefault.jpg,ar,ar,False,177,PT2M57S,hd,False,True,False,False,274267,7776,630
irVNGjRFZGk,LB,2026-07-22T03:57:28.444218+00:00,2026-07-20T13:00:20Z,Avengers: Doomsday | Official Trailer | In Theaters December 18,Avengers: Doomsday | Official Trailer | In Theaters December 18,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/irVNGjRFZGk/hqdefault.jpg,en,en,False,146,PT2M26S,hd,True,True,False,False,40920274,2243859,176550
TO7YD2niVkI,LB,2026-07-22T03:57:28.444231+00:00,2026-07-21T11:55:10Z,فلم قراند : زعرور المتجمد يقفز في اسخن مياه في العالم ( كركور حزين ) 🔥😂,فلم قراند : زعرور المتجمد يقفز في اسخن مياه في العالم ( كركور حزين ) 🔥😂,Ahmad GTA Family - عائلة احمد قراند ,UCQkLgXGjPbIrrNtT8ZtHOmg,22,People & Blogs,"مصطفى GAME OVER, Mr GG, XTREEM - اكستريم, اوكا - OKA, AboFlah, Mkamel GG, رانيا كيمنك Rania Gaming, BOZEX, هاردلك | hardlk, افلام, ماين كرافت, فلم ماين كرافت, غني وفقير, فايتر Fighter, ابو فله, فايتر, افلام ماين كرافت, الغني و الفقير, كوكب, ماين, MineCraft Movie, Suhaib - صهيب, جلمود - GLMooD, تايمو Tymo, هاردلك HARDLK, Ahmad M4 - احمد ام فور, بطل, Ahmad Hero - احمد البطل, احمد هيرو, سمبوسة - Sambosa, جعطوط - JATOOT, خزان, طيران, P4GAM3R, قراند, عقارات, اسهم, استثمار, عملات, دولار, شركات",41,https://i.ytimg.com/vi/TO7YD2niVkI/hqdefault.jpg,ar,ar,False,1101,PT18M21S,hd,False,True,False,False,227592,2491,134
ImHDzBJr4q0,LB,2026-07-22T03:57:28.444242+00:00,2026-07-21T15:00:39Z,Mohanad Zaiter - Raki (Official Music Video) | مهند زعيتر - راقي,Mohanad Zaiter - Raki (Official Music Video) | مهند زعيتر - راقي,Mohanad Zaiter | مهند زعيتر ,UCMhYSW6x5S-a83KSJ4onD7w,10,Music,"Mohanad Zaiter, Raki, راقي, مهند زعيتر, دنيا و بينا اندارت, ضحّينا وافينا, مو حلوه ينكر أصله, طير و نكر فضل الجنح, و آني الحبيب الأوّلي, خسران واحد من هلي, خيط جناحه بِ دينا, Zaiter, Mohanad Al Zaiter, Mohanad El Zaiter, Mohanad Zeiter, Mohanad Zayter, مهند, زعيتر, أغاني مهند زعيتر, جديد مهند زعيتر, Lebanese Music, Dabke, Dabke Songs, Arabic Dabke, دبكة, مواويل, طرب, اغاني عربية, موسيقى عربية, اغاني لبنانية, فيديو كليب, اغاني جديدة, mohannad zaiter 2026, mohanad 2026, Chabaka",35,https://i.ytimg.com/vi/ImHDzBJr4q0/hqdefault.jpg,ar,ar,False,123,PT2M3S,hd,False,True,False,False,20287,934,67
md5rZb2nEaM,LB,2026-07-22T03:57:28.444252+00:00,2026-07-15T13:00:08Z,KATSEYE: WILD HEARTS Official Trailer,KATSEYE: WILD HEARTS Official Trailer,KATSEYE,UCA61H4fWOMHikLcUFKyQUog,10,Music,,0,https://i.ytimg.com/vi/md5rZb2nEaM/hqdefault.jpg,en,en,False,56,PT56S,hd,False,False,False,False,2629853,157505,19158
GB3dktIPJZo,LB,2026-07-22T03:57:28.444261+00:00,2026-07-21T15:36:08Z,فلم ماين كرافت : زواج زعرور السري تحت الارض ( احمد مصدوم ) 🔥😱,فلم ماين كرافت : زواج زعرور السري تحت الارض ( احمد مصدوم ) 🔥😱,Ahmad Hero Family - عائلة احمد البطل ,UCMl78PgENDj2Uf53HTOTx8w,22,People & Blogs,"مصطفى GAME OVER, Mr GG, كرافتر - Crafter, XTREEM - اكستريم, Ameer Slow - أمير سلاو, اوكا - OKA, AboFlah, Mkamel GG, رانيا كيمنك Rania Gaming, افلام, ماين كرافت, Fo9ma, فلم ماين كرافت, غني وفقير, فايتر Fighter, ابو فله, Hazar - هازار, فايتر, افلام ماين كرافت, الغني و الفقير, كوكب, M4X5, ماين, MineCraft Movie, ALKRKY, Suhaib - صهيب, جلمود - GLMooD, تايمو Tymo, هاردلك HARDLK, Ahmad M4 - احمد ام فور, بطل, Ahmad Hero - احمد البطل, احمد هيرو, خلودة, Rano's Home رانو هوم, M4X5Gamer, خالد",37,https://i.ytimg.com/vi/GB3dktIPJZo/hqdefault.jpg,ar,en,False,972,PT16M12S,hd,False,False,False,False,126539,2517,273
0BCYbO69rPY,LB,2026-07-22T03:57:28.444270+00:00,2026-07-12T21:43:25Z,أدم زين الدين - اه ياحلو | Adam Zein Alden - Ah Ya Helou The Voice Kids  2026,أدم زين الدين - اه ياحلو | Adam Zein Alden - Ah Ya Helou The Voice Kids  2026,21MUSIC,UCRcQ9C-4Lg3RQQ8_FyVV3mQ,10,Music,"اه يا حلو, ذا فويس كيدز, 21music, اغاني ادام, أدم زين الدين اه ياحلو, Adam Zein Alden Ah Ya Helou, أدم زين الدين, Ah Ya Helou, Adam Zein Alden, adam zein alden, adam zein alden ah ya helou, ah ya helo, Ah Ya Helo, Adam zein aldeen, Adam Zein Aldeen, Adam zen alden, Adam Zen Alden, adam, adam ah ya helou, Ah ya 7elou, ah ya 7elou, ah ya 7elo, Ah Ya 7elou, Chabaka",24,https://i.ytimg.com/vi/0BCYbO69rPY/hqdefault.jpg,ar,ar,False,258,PT4M18S,hd,False,True,False,False,498234,3946,85
NdvqHc56lE0,LB,2026-07-22T03:57:28.444280+00:00,2026-07-08T17:59:03Z,Dune: Part Three | Official Trailer,Dune: Part Three | Official Trailer,Warner Bros.,UCjmJDM5pRKbUlVIzDYYWb6g,1,Film & Animation,"Action, Anya Taylor-Joy, Brian K Vaughan, Charlotte Rampling, Coming Soon, Denis Villeneuve, Dune, Dune Messiah, Dune: Part Three, Florence Pugh, Ida Brooke, Isaach De Bankolé, Jason Momoa, Javier Bardem, Messiah, Nakoa-Wolf Momoa, Rebecca Ferguson, Robert Pattinson, Sci Fi, Timothée Chalamet, Trilogy, Warner Bros, Zendaya",23,https://i.ytimg.com/vi/NdvqHc56lE0/hqdefault.jpg,en,en-US,False,171,PT2M51S,hd,True,False,False,False,23868067,435816,19823
fA-aC2O5TgI,LB,2026-07-22T03:57:28.444289+00:00,2026-07-21T17:30:09Z,فلم ماين كرافت : منزل زعرور و هالك الفقراء الاقوياء ضد منزل كركور و ايرون مان الاغنياء الضعفاء 🔥😂,فلم ماين كرافت : منزل زعرور و هالك الفقراء الاقوياء ضد منزل كركور و ايرون مان الاغنياء الضعفاء 🔥😂,Ahmad M4 - احمد ام فور ,UCT68nhrPsNQ7pczSMFtKG1w,22,People & Blogs,"مصطفى GAME OVER, Mr GG, XTREEM - اكستريم, Ameer Slow - أمير سلاو, اوكا - OKA, AboFlah, Mkamel GG, رانيا كيمنك Rania Gaming, M4X5 Gamer, افلام, ماين كرافت, Fo9ma, فلم ماين كرافت الغني و الفقير, ابو فله, Hazar - هازار, افلام ماين كرافت, الغني و الفقير, كوكب, M4X5, ماين, MineCraft Movie, Movie, Suhaib - صهيب, جلمود - GLMooD, تايمو Tymo, هاردلك HARDLK, احمد, SHoNgxBoNg, Ahmad Hero - احمد البطل, PMN Extra, البطل, Nari YT - ناري, عائلة, elLa3eeb لعيب جدا, فايتر Fighter, احمد هيرو, سيد, بط",38,https://i.ytimg.com/vi/fA-aC2O5TgI/hqdefault.jpg,ar,en,False,1297,PT21M37S,hd,False,True,False,False,63711,804,23
pagPi31zeEo,LB,2026-07-22T03:57:28.444298+00:00,2026-07-21T15:15:32Z,Al Shami X Paris - Al Shami On Tour / الشامي في باريس - جولة عالمية,Al Shami X Paris - Al Shami On Tour / الشامي في باريس - جولة عالمية,Al Shami - الشامي,UCO-OdMztI8WPVoz_Dq9n48Q,10,Music,"al chami, el shami, el chami, الشامي, شامي, al shami music, al shami 2025, أغاني عربية, 2025 أغاني عربية, أغاني راب عربية, أغاني راب عربية 2025, إنتاج بلال دركي, shami, chami, new music, al shami, al chamy, el chamy, al shamy, el shamy",20,https://i.ytimg.com/vi/pagPi31zeEo/hqdefault.jpg,ar,ar,False,112,PT1M52S,hd,False,True,False,False,166124,24916,5500
62bIsvRcPv0,LB,2026-07-22T03:57:28.444306+00:00,2026-06-17T18:58:31Z,SPIDER-MAN: BRAND NEW DAY – New Trailer (4K),SPIDER-MAN: BRAND NEW DAY – New Trailer (4K),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,24,Entertainment,,0,https://i.ytimg.com/vi/62bIsvRcPv0/hqdefault.jpg,en,en,False,162,PT2M42S,hd,True,True,False,False,32188575,671679,25727
ib4fFqVXI1Y,LB,2026-07-22T03:57:28.444314+00:00,2026-07-21T15:18:13Z,فتشت كل المسافرين في روبلوكس و كشفت أسرارهم !!,فتشت كل المسافرين في روبلوكس و كشفت أسرارهم !!,ماهر المغامر - Maher Roblox,UC5tmp5TQQpI1WicemM2t_IA,20,Gaming,,0,https://i.ytimg.com/vi/ib4fFqVXI1Y/hqdefault.jpg,ar,ar,False,1576,PT26M16S,hd,False,True,False,False,107061,3733,577
bivdd4Bo1aA,LB,2026-07-22T03:57:28.444321+00:00,2026-07-15T12:59:54Z,ريمكس الموسم 🔥 ناصيف زيتون - هدية | Nassif Zeytoun - Hdiyye (Levantronic Remix),ريمكس الموسم 🔥 ناصيف زيتون - هدية | Nassif Zeytoun - Hdiyye (Levantronic Remix),Levantronic,UCkUtqkXqwqMMuAn3O8GGGlw,10,Music,"ناصيف زيتون, هدية, ريمكس, ليفانترونيك, ناصيف زيتون هدية, ريمكس هدية ناصيف زيتون, Nassif Zeytoun, Hdiyye, Levantronic, Levantronic Remix, Nassif Zeytoun Hdiyye Remix, Electro Oriental, Shamstep, شامستيب, ريمكسات 2026, اغاني جديدة 2026, موسيقى إلكترونية شرقية, توزيع جديد, Nassif Zeytoun 2026, هديه ناصيف",20,https://i.ytimg.com/vi/bivdd4Bo1aA/hqdefault.jpg,ar,ar,False,211,PT3M31S,hd,False,True,False,False,64289,241,3
aOcIEj51XIk,LB,2026-07-22T03:57:28.444330+00:00,2026-07-21T16:00:55Z,اقوى لعبة رعب وهروب مع مازن وملهم ! ( escape the backrooms ),اقوى لعبة رعب وهروب مع مازن وملهم ! ( escape the backrooms ),حمود سيف / hmood seif,UCeObdlsbqzWRjw9jo-tAx7g,20,Gaming,,0,https://i.ytimg.com/vi/aOcIEj51XIk/hqdefault.jpg,ar,ar,False,2061,PT34M21S,hd,False,True,False,False,229382,17755,1566
hBmX1nGFlcw,LB,2026-07-22T03:57:28.444337+00:00,2026-07-14T17:52:50Z,Wala Ala Balo,Wala Ala Balo,TwoMood - Topic,UC_r-qP8nra5sS3p_11QSpCw,10,Music,"TwoMood, Wala Ala Balo",2,https://i.ytimg.com/vi/hBmX1nGFlcw/hqdefault.jpg,fil,,False,177,PT2M57S,hd,False,True,False,False,272817,2337,1
