video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
wrFnkJtOwIA,LT,2026-09-17T05:09:01.068364+00:00,2026-09-09T06:30:39Z,GJan - Gaila,GJan - Gaila,GJan,UCffk0-fAK4iU2-I7xQA3Ksg,10,Music,"karaliai, melage, lietuviska, greta jancyte, daina, muzika, pop, tattoo, wild, tablete, gjan tablete, gjan, nauja daina, lyric video, zodziai, melagė, paskui tave, gjan paskui tave, ruduo, palikai, pasiduodu sau, filmas, leidziu sau viska, leidziu viska, balius gyvent, balius, gjan balius gyvent, vaziuoju, vaziuoju kur sirdis, raudonų vyšniu sodai, atidaviau tau viska, atidaviau, mylejau, mylejau kazkada, kaip man atmylet tave, atmylet, mesiu, naktinej autostradoj, liudniausia vasara, vasara, gaila",41,https://i.ytimg.com/vi/wrFnkJtOwIA/hqdefault.jpg,lt,lt,False,146,PT2M26S,hd,False,True,False,False,117193,2742,116
1HCrV7mFWr8,LT,2026-09-17T05:09:01.068411+00:00,2026-09-15T15:00:35Z,WILDERNESS BOUND | Official Trailer,WILDERNESS BOUND | Official Trailer,Minecraft,UC1sELGmy5jp5fQUugmuYlXQ,20,Gaming,Minecraft,1,https://i.ytimg.com/vi/1HCrV7mFWr8/hqdefault.jpg,en,en,False,58,PT58S,hd,False,False,False,False,2382524,62227,2966
mL9yXolKJ70,LT,2026-09-17T05:09:01.068422+00:00,2026-09-12T11:00:11Z,HARDCORE IŠLIKIMAS - NAMAI 2.0! [#133],HARDCORE IŠLIKIMAS - NAMAI 2.0! [#133],Edvisss,UCgG6-eQtPhAdr3GxYEN0HJw,20,Gaming,"Edvisss, Edvis, zaidzia, mine, craft, minecraft, islikimas, minecraft islikimas, minecraft hardcore, hardcore, minecraft hardcore islikimas, tiksliai, mirsiu, tiksliai mirsiu, smagiai, linksmai, lietuviskai, LT, LTU, face, cam, facecam, FC, 133, namai, 2.0, namai 2.0",27,https://i.ytimg.com/vi/mL9yXolKJ70/hqdefault.jpg,lt,lt,False,1481,PT24M41S,hd,False,True,False,False,59922,1578,234
qxw1sITNics,LT,2026-09-17T05:09:01.068432+00:00,2026-09-15T05:03:25Z,"Linas Adomaitis ir Giedrė - Sukūrėm, išdūrėm (Official Video)","Linas Adomaitis ir Giedrė - Sukūrėm, išdūrėm (Official Video)",Linas Adomaitis,UCNXIFiNsFueeZ2p_pHMyikQ,10,Music,"Linas Adomaitis, Giedrė, Giedrė Kilčiauskienė, Sukūrėm išdūrėm, Sukurem isdurem, Šarūnas Mikulskis, Linas ir Giedrė, Lithuanian music, muzika, giedre ir linas adomaitis, adomaitis ir giedre, daina, dainos, lietuviskos, populiarios dainos, populiari muzika, grazios dainos, naujausia muzika, naujausios dainos, hitas, hitai, lietuviski muzikos hitai, pop dainos, lietuviski pop hitai, grazi lietuviska muzika, populiariausia muzika, lietuviska sokiu muzika, isdurem gyvenima",28,https://i.ytimg.com/vi/qxw1sITNics/hqdefault.jpg,lt,lt,False,204,PT3M24S,hd,False,True,False,False,25312,892,26
uQuKE0KDgiM,LT,2026-09-17T05:09:01.068442+00:00,2026-09-12T18:57:59Z,World of Warcraft: Forever | Gameplay Trailer,World of Warcraft: Forever | Gameplay Trailer,World of Warcraft,UCbLj9QP9FAaHs_647QckGtg,20,Gaming,"World of Warcraft, WoW, Warcraft, Blizzard, Blizzard Entertainment, gaming, video games, rpg, mmo, esports, wow classic",11,https://i.ytimg.com/vi/uQuKE0KDgiM/hqdefault.jpg,en,en,False,180,PT3M,hd,False,True,False,False,3637384,28947,5187
kJu5VMN3yow,LT,2026-09-17T05:09:01.068450+00:00,2026-09-12T16:00:25Z,I Survived 100 Days on One Block,I Survived 100 Days on One Block,MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,20,Gaming,,0,https://i.ytimg.com/vi/kJu5VMN3yow/hqdefault.jpg,en,en,False,1835,PT30M35S,hd,True,True,False,False,39086637,460633,12184
s5IIWKZr_2w,LT,2026-09-17T05:09:01.068459+00:00,2026-09-04T14:00:06Z,Edward Maya - Stereo Love (Sadrican 2026 Remix) | Progressive House Rework,Edward Maya - Stereo Love (Sadrican 2026 Remix) | Progressive House Rework,Sadrican,UCa0QnHfjh5rVLqG9I-1tkrg,10,Music,"2026 remix, club music, dance remix, dancemusic, deep house, deep house remix, edm, edward maya, electronic music, melodic house, new music, progressive house, progressive house remix, progressive trance, remix, sadrican, sadrican remix, stereo love, stereo love remix, trance",20,https://i.ytimg.com/vi/s5IIWKZr_2w/hqdefault.jpg,en,en,False,242,PT4M2S,hd,False,True,False,False,3612165,29288,260
nhdh962_ee0,LT,2026-09-17T05:09:01.068468+00:00,2026-09-10T15:00:21Z,Avatar: Seven Havens | Official Trailer | Paramount+,Avatar: Seven Havens | Official Trailer | Paramount+,Avatar Legends,UCN_u5w69V9wUZYG8WeJWuNg,1,Film & Animation,"Avatar, Avatar: The Last Airbender, ATLA, Legend of Korra, Aang, Katara, Toph, Sokka, Zuko, Suki, Waterbending, Earthbending, Firebending, Airbending, Korra, Bolin, Asami, Ozai, Azula, Mai, Ty Lee, Amon, Kuvira, Zaheer, Iroh, Uncle Iroh, Bending, Anime, The Last Airbender, Aang vs Ozai, Agni Kai, Avatar Netflix, Avatar Studios, Fight, Fight Scene, Video Games, Gaming, Avatar Full Episodes, Netflix, Avatar Netflix Trailer, Avatar on Netflix, Zuko vs Azula, Final Battle, Braving The Elements, live action",45,https://i.ytimg.com/vi/nhdh962_ee0/hqdefault.jpg,en-US,en,False,145,PT2M25S,hd,False,True,False,False,4943771,109718,9875
yUMboc8rxqc,LT,2026-09-17T05:09:01.068477+00:00,2026-09-12T11:34:03Z,ATIDARIAU CS DĖŽIŲ UŽ 2000€ 🤯,ATIDARIAU CS DĖŽIŲ UŽ 2000€ 🤯,AISTELO,UCf7SoyqYMdPe_vqXkd8I1lQ,20,Gaming,"CS, CS2, Counter Strike, CS Cases, CS Case Opening, CS Gold Trade Up, CS Red, CS Gold, CS Trade Up, CS AISTELO, AISTELO CS, CSTEMA, CSTEMA.LT, CS Lietuva, Lietuva, FYP, AISTELO",17,https://i.ytimg.com/vi/yUMboc8rxqc/hqdefault.jpg,lt,lt,False,2037,PT33M57S,hd,False,True,False,False,29421,945,337
Z3FdLD_8yeE,LT,2026-09-17T05:09:01.068486+00:00,2026-09-04T07:00:06Z,Paulina Paukštaitytė - Sėkmės,Paulina Paukštaitytė - Sėkmės,Paulina Paukštaitytė,UCjW56RCHLxpogi5c3wIzKIA,22,People & Blogs,"Paulina Paukštaitytė, Paulina Paukstaityte, Sėkmės, Sekmes, Paulina Sėkmės, lietuviška muzika, lietuviškos dainos, lietuviška daina, lietuvių muzika, Lietuvos muzika, lietuviškas pop, lietuviška pop muzika, lietuvių pop muzika, nauja lietuviška muzika, nauja lietuviška daina, naujos lietuviškos dainos, pop muzika, pop dainos, Lithuanian music, Lithuanian pop, Lithuanian songs, music video, muzikinis klipas, muzikos klipas, daina, muzika",26,https://i.ytimg.com/vi/Z3FdLD_8yeE/hqdefault.jpg,lt,,False,181,PT3M1S,hd,False,True,False,False,108685,1565,92
X1aFkAkFASk,LT,2026-09-17T05:09:01.068495+00:00,2026-08-15T04:06:21Z,Avengers: Doomsday | Special Look | In Theaters December 18,Avengers: Doomsday | Special Look | In Theaters December 18,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/X1aFkAkFASk/hqdefault.jpg,en,en,False,130,PT2M10S,hd,True,True,False,False,42128841,1367552,61076
