video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
7F1ET2XHQfk,LU,2026-05-11T04:44:45.486334+00:00,2026-04-09T15:59:07Z,"KATSEYE (캣츠아이) ""PINKY UP"" Official MV","KATSEYE (캣츠아이) ""PINKY UP"" Official MV",HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,10,Music,"HYBE, HYBE LABELS, 하이브, 하이브레이블즈",4,https://i.ytimg.com/vi/7F1ET2XHQfk/hqdefault.jpg,ko,ko,False,182,PT3M2S,hd,True,False,False,False,36793112,959394,147208
f_bKjZeJBBI,LU,2026-05-11T04:44:45.486372+00:00,2026-05-05T04:10:02Z,The Odyssey | Official New Trailer,The Odyssey | Official New Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/f_bKjZeJBBI/hqdefault.jpg,en-US,en-US,False,152,PT2M32S,hd,True,True,False,False,18777614,300234,19067
Caxv8tLATnc,LU,2026-05-11T04:44:45.486384+00:00,2026-05-09T16:00:15Z,"Escape 50 Pros, Win $50,000","Escape 50 Pros, Win $50,000",MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,20,Gaming,,0,https://i.ytimg.com/vi/Caxv8tLATnc/hqdefault.jpg,en,en,False,1137,PT18M57S,hd,True,True,False,False,10573766,299777,13718
tjdAvErwwEE,LU,2026-05-11T04:44:45.486394+00:00,2026-04-15T16:00:39Z,Lisandro Cuxi x Loony Johnson - SIKI SIKI (Remix),Lisandro Cuxi x Loony Johnson - SIKI SIKI (Remix),Lisandro Cuxi,UCWFtq-yPoyeuFP3eaDcQHUQ,10,Music,,0,https://i.ytimg.com/vi/tjdAvErwwEE/hqdefault.jpg,pt-PT,fr,False,188,PT3M8S,hd,False,False,False,False,549364,9731,433
AjFk1cY265I,LU,2026-05-11T04:44:45.486402+00:00,2026-04-10T16:29:45Z,Digital Circus Ep 9 Finale [TRAILER],Digital Circus Ep 9 Finale [TRAILER],GLITCH,UCn_FAXem2-e3HQvmK-mOH4g,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",19,https://i.ytimg.com/vi/AjFk1cY265I/hqdefault.jpg,en,en,False,70,PT1M10S,hd,True,True,False,False,28799071,1631457,114803
0cMoWybxkH8,LU,2026-05-11T04:44:45.486412+00:00,2026-05-06T15:00:06Z,"SELF REPORT NACH 0,01 SEKUNDEN","SELF REPORT NACH 0,01 SEKUNDEN",LUCREW,UCnGzJIUgwZmvixL5WzxIwbg,24,Entertainment,"luca, laserluca, lucrew, concrafter, reaction, reaktion, reagiert, live",8,https://i.ytimg.com/vi/0cMoWybxkH8/hqdefault.jpg,de,de,False,742,PT12M22S,hd,False,True,False,False,395497,19708,608
XXIX2WnfbpE,LU,2026-05-11T04:44:45.486421+00:00,2026-04-27T19:00:23Z,"Lady Gaga, Doechii - RUNWAY (Official Music Video)","Lady Gaga, Doechii - RUNWAY (Official Music Video)",LadyGagaVEVO,UC07Kxew-cMIaykMOkzqHtBQ,10,Music,"Lady Gaga, Doechii, Lil Monsters, LLC Top Dawg Entertainment, LLC under exclusive license to Interscope Records and Capitol Records, Pop",6,https://i.ytimg.com/vi/XXIX2WnfbpE/hqdefault.jpg,en,en,False,179,PT2M59S,hd,True,True,False,False,13027160,569001,26381
GQiRqmHDq_U,LU,2026-05-11T04:44:45.486429+00:00,2026-05-03T21:39:14Z,"BLAST Rivals Fort Worth 2026, GRAND FINAL - NAVI vs Vitality","BLAST Rivals Fort Worth 2026, GRAND FINAL - NAVI vs Vitality",BLAST Premier,UC9k--dE_UE0Faxzgb_DDkYQ,20,Gaming,"world, final, 2024, season, finale, navi, natus vincere, astralis, faze, clan, mouz, team, liquid, vitality, spirit, g2, esports, live, asia, singapore, arena, event, champions, best, livestream, cs2 gameplay, cs2, cs 2, csgo, blast pro series, gaming, competitive gaming, blast premier, blast, cs2 pros, cs2 players, esports pros, esports players, cs2 content, BLAST 2024, BLASTPremier, cs2 2024, counter strike, cs2 live, BLAST Bounty, Bounty, counter strike 2, BLAST Rivals, BLAST Open, blast major",50,https://i.ytimg.com/vi/GQiRqmHDq_U/hqdefault.jpg,en,en,False,17653,PT4H54M13S,hd,False,True,False,False,1671176,20600,260
KWoTyfPsqbE,LU,2026-05-11T04:44:45.486438+00:00,2026-04-06T15:00:06Z,Sabrina Carpenter - House Tour (Official Video),Sabrina Carpenter - House Tour (Official Video),SabrinaCarpenterVEVO,UC4mYKePIas5YgGfYZ2J2OxQ,10,Music,"Sabrina Carpenter, Island Records, Pop",3,https://i.ytimg.com/vi/KWoTyfPsqbE/hqdefault.jpg,en,en,False,215,PT3M35S,hd,True,True,False,False,23852720,826737,24512
ZjO0dep5VjU,LU,2026-05-11T04:44:45.486446+00:00,2026-05-09T13:01:07Z,Searching For My Friend Who Went Missing,Searching For My Friend Who Went Missing,Wemmbu,UCkzzNLnuM-VsATWC53ehwOQ,20,Gaming,"wemmbu, wembu, wenbu, wemmbu unstable smp, wemmbu the sequel, eggchan, wemmbu eggchan, wemmbu hunted, wemmbu invisible player, unstable smp, unstable universe, parrotx2, minecraft, unstable smp in order, minecraft smp, unstable smp in order wemmbu, unstable smp latest video, unstable smp new video, wemmbu assassin, wemmbu invis player, unstable blue invis player, eggchan missing, flamefrags",23,https://i.ytimg.com/vi/ZjO0dep5VjU/hqdefault.jpg,en,en,False,3489,PT58M9S,hd,False,True,False,False,3189113,191299,32929
yNa8jP4zoJo,LU,2026-05-11T04:44:45.486454+00:00,2026-04-13T14:00:06Z,Laufey - Madwoman (Official Music Video),Laufey - Madwoman (Official Music Video),Laufey,UChpKl3waLmccNeYH9LGYjUQ,10,Music,"laufey, jazz, indie, singer, songwriter, madwoman, mad, woman, new music, matter of time, matter, of, time, final, hour, Hudson Williams, Alysa Liu, Megan Skiendiel, Lola Tung, hudson, williams, alysa, liu, megan, skiendiel, lola, tung, women, new laufey",29,https://i.ytimg.com/vi/yNa8jP4zoJo/hqdefault.jpg,en,en,False,285,PT4M45S,hd,False,True,False,False,14584854,791317,20616
kixpgxlFwz4,LU,2026-05-11T04:44:45.486463+00:00,2026-05-01T15:01:22Z,QUI A TUÉ LES RTS?,QUI A TUÉ LES RTS?,Bazar du Grenier,UCCMxHHciWRBBouzk-PGzmtQ,20,Gaming,"bazar, joueur du grenier, rts, dune 2, warcraft, starcraft",6,https://i.ytimg.com/vi/kixpgxlFwz4/hqdefault.jpg,fr,fr,False,1564,PT26M4S,hd,False,True,False,False,1124841,57692,4368
2bHMD_fUVpo,LU,2026-05-11T04:44:45.486471+00:00,2026-04-04T11:00:06Z,Calema - Chuva De Amor,Calema - Chuva De Amor,CalemaVEVO,UC4Sx0tMqY7Z6VZKL8Z76tog,10,Music,"calema, amar pela metade, calema amar pela metade, amar pela metade ao vivo, aimer moitié, calema chuva de amor, chuva de amor calema, calema dilsinho leva tudo, calema voyage, calema respirar, sara correia respirar, calema maria joana, calema perfume, calema alice, musica portuguesa, afro pop, pop pt, musica afro pop, musica ao vivo, kizomba, calema nossa dança, calema nosso amor, calema te amo, calema tayc dis le moi, calema best of, nuno ribeiro",26,https://i.ytimg.com/vi/2bHMD_fUVpo/hqdefault.jpg,pt-PT,pt-PT,False,231,PT3M51S,hd,False,True,False,False,1694254,23774,859
JfozPo2L7xQ,LU,2026-05-11T04:44:45.486479+00:00,2026-04-28T08:01:45Z,My Hero Academia and Brawl Stars!,My Hero Academia and Brawl Stars!,Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,20,Gaming,"brawl stars, mobile game, mobile strategy game, mobile rpg, mobile battle royale, battle royale, supercell game",7,https://i.ytimg.com/vi/JfozPo2L7xQ/hqdefault.jpg,en,en,False,151,PT2M31S,hd,True,True,False,False,10403676,334416,15873
wHPX1XWexLg,LU,2026-05-11T04:44:45.486486+00:00,2026-04-27T15:04:01Z,J'ai RELANCÉ Brawl Stars après 1 an..,J'ai RELANCÉ Brawl Stars après 1 an..,Unchained_Off,UCiFyJ_EBmF2XJuR9buWE_3A,20,Gaming,"unchained, unchained_off, unchained fortnite, fortnite, jeu vidéo, gameplay, drole, gratuit, unchained gaming, fortnite battle royale, vbucks, mise à jour, maj, fortnite maj, fortnite chapitre, unchained map, roblox, unchained roblox, robux, secret, roblox brainrot, steal a brainrot, voler brainrot, Brainrot, brainrot secret, unchained skin, og, admin, steal a brainrot classement, brawl stars, unchained brawl stars, brawl stars fr, bs, brawlstars",34,https://i.ytimg.com/vi/wHPX1XWexLg/hqdefault.jpg,fr,fr-FR,False,1289,PT21M29S,hd,False,True,False,False,1181532,69024,7899
