video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
qoyWfmOwnzk,MD,2026-05-14T04:29:18.909868+00:00,2026-05-07T21:00:11Z,"By Индия, Xcho, МОТ - Шадэ","By Индия, Xcho, МОТ - Шадэ",By Индия,UC0gKrme3OQmuVrvD-YCVE5w,10,Music,"она танцует под шадэ, шадэ, by индия, ву индия, бай индия, мот, xcho, она танцует под шаде, она танцует под шаде танцы прямо на мне, танцы прямо на мне, танцует под шаде, by india, под шаде, танцы прямо во тьме, by индия она танцует под шадэ, танцует прямо на мне, под шадэ, ona tancuet pod shade, ву индия она танцует, танцует под шадэ, ву индия она танцует под шаде, танцы на мне, ву индия она танцует под шадэ, она танцует под шаде by индия, by индия она танцует под шаде, шаде",26,https://i.ytimg.com/vi/qoyWfmOwnzk/hqdefault.jpg,ru,ru,False,169,PT2M49S,hd,False,True,False,False,2303826,32848,440
lNdPiH4JmJ4,MD,2026-05-14T04:29:18.909911+00:00,2026-05-05T06:41:03Z,"Одиссея  — Русский трейлер #2 (Дубляж, 4К, 2026)","Одиссея  — Русский трейлер #2 (Дубляж, 4К, 2026)",Kinoman,UC6A-Z0jDKemh9-CwGbj5yog,1,Film & Animation,"одиссея, одиссея трейлер, одиссея русский трейлер, одиссея 2026, the odyssey trailer, одиссея трейлер 2026, одиссея нолан, одиссея трейлер на русском, одиссея 2026 трейлер, трейлер фильма одиссея, трейлеры, трейлеры 2026, русский трейлер, трейлер на русском, новые трейлеры, киноман, kinoman, trailers 2026, movie trailers",19,https://i.ytimg.com/vi/lNdPiH4JmJ4/hqdefault.jpg,ru,ru,False,156,PT2M36S,hd,False,False,False,False,411348,7665,1413
pch2rFT-vYQ,MD,2026-05-14T04:29:18.909923+00:00,2026-05-12T10:21:56Z,🤫Я ТАЙНО ВОРВАЛСЯ К ЕРОКСУ И ПРОКАЧАЛ ЕГО АККАУНТ В БРАВЛ СТАРС! (меня выгнали),🤫Я ТАЙНО ВОРВАЛСЯ К ЕРОКСУ И ПРОКАЧАЛ ЕГО АККАУНТ В БРАВЛ СТАРС! (меня выгнали),BEZSMERTNY BS ,UCcOYr_9bA5_uPJ-6uFOrxZw,20,Gaming,"бравл старс, brawl stars, бравл, brawl, Я ТАЙНО ВОРВАЛСЯ К ЕРОКСУ И ПРОКАЧАЛ ЕГО АККАУНТ, ТАЙНО ПРОСЛЕДИЛ ЗА ЕРОКСОМ, Я ТАЙНО ПРИЕХАЛ К ЕРОКСУ И ЗАБУСТИЛ ЕГО В БРАВЛ СТАРС, ПРОКАЧАЛ ЕРОКСА В БРАВЛ СТАРС, ЕРОКС, erox, EROX, бессмертный, bezsmertny, БЕССМЕРТНЫЙ ПРОТИВ ЕРОКСА, холдик, holdik, ЕРОКС ПРИЛЕТЕЛ В ТУРЦИЮ, ПРОКАЧАЛ АККАУНТ ЮТУБЕРА В БРАВЛ СТАРС, Я ТАЙНО ПРОНИК К ЕРОКСУ, ВЫБИЛ НОВЫХ БРАВЛЕРОВ ЕРОКСУ, холдик бравл старс, ЕРОКС ВЫГНАЛ МЕНЯ, ЕРОКС И МАША, МАША И ЕРОКС, EROX И MASHA",25,https://i.ytimg.com/vi/pch2rFT-vYQ/hqdefault.jpg,ru,ru,False,2580,PT43M,hd,False,True,False,False,547346,32011,1819
bomNfYjDdgc,MD,2026-05-14T04:29:18.909934+00:00,2026-05-09T07:00:06Z,F.Charm feat. Theo Rose - Doamne ferește (Videoclip Oficial),F.Charm feat. Theo Rose - Doamne ferește (Videoclip Oficial),F.CHARM,UCygWjgCrJuTK4SZnkFGJTGQ,10,Music,"f.charm, fcharm, oaia neagra, muzica noua, f.charm nou, f.charm album, oaia neagra din multime, hainele mele, f.charm multumesc, multumesc, f.charm lume, bine fac rele primesc, f.charm - la inaltime, la inaltime, apa de ploaie, apa de izvor, pop rock, folclor, cumparat sa fiu vandut, f.charm romania, f.charm baba vanga, f.charm toaca, bate toaca, taca taca, Doamne fereste, f.charm theo rose, theo rose doamne fereste, f.charm 2026, f.charm andra, profetii pentru cei vii",30,https://i.ytimg.com/vi/bomNfYjDdgc/hqdefault.jpg,ro,ro,False,188,PT3M8S,hd,False,True,False,False,813550,23228,970
AjFk1cY265I,MD,2026-05-14T04:29:18.909943+00:00,2026-04-10T16:29:45Z,Digital Circus Ep 9 Finale [TRAILER],Digital Circus Ep 9 Finale [TRAILER],GLITCH,UCn_FAXem2-e3HQvmK-mOH4g,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",19,https://i.ytimg.com/vi/AjFk1cY265I/hqdefault.jpg,en,en,False,70,PT1M10S,hd,True,True,False,False,29250883,1639104,115171
JIQup0Nl9zI,MD,2026-05-14T04:29:18.909951+00:00,2026-05-11T11:44:51Z,ЗРЯ Я ПРИШЕЛ В ЭТОТ ЗООПАРК! 😱 ПОБЕГ ИЗ ТЮРЬМЫ В РОБЛОКС!,ЗРЯ Я ПРИШЕЛ В ЭТОТ ЗООПАРК! 😱 ПОБЕГ ИЗ ТЮРЬМЫ В РОБЛОКС!,ВЛАДУС ИГРАЕТ,UCUzkpCMREk2AGgZwT55JizA,20,Gaming,"роблокс, roblox, роблокс мини игры, челлендж роблокс, владус роблокс, леня роблокс, владус и леня",7,https://i.ytimg.com/vi/JIQup0Nl9zI/hqdefault.jpg,ru,ru,False,763,PT12M43S,hd,True,True,False,False,695027,14719,774
EcBvFwU6n9M,MD,2026-05-14T04:29:18.909960+00:00,2026-05-10T15:02:31Z,Magnat & Feoctist - Hai La Joc [Official Music Video],Magnat & Feoctist - Hai La Joc [Official Music Video],Magnat & Feoctist,UCTVMGWuj_yCi_kJ5U7XveYg,10,Music,,0,https://i.ytimg.com/vi/EcBvFwU6n9M/hqdefault.jpg,ro,en-US,False,226,PT3M46S,hd,False,True,False,False,133669,4421,109
yk3TSwP_j3o,MD,2026-05-14T04:29:18.909969+00:00,2026-05-10T11:03:50Z,ЗРЯ МЫ ОСТАЛИСЬ В ИГРОВОЙ КОМНАТЕ НОЧЬЮ!😱 МАЙНКРАФТ,ЗРЯ МЫ ОСТАЛИСЬ В ИГРОВОЙ КОМНАТЕ НОЧЬЮ!😱 МАЙНКРАФТ,ВЛАДУС,UCPG6OP7eL7kLuyFpQMdqYSA,20,Gaming,"Владус, Vladus, майнкрафт, minecraft, майнкрафт история, майнкрафт сюжет, необычный майнкрафт, майнкрафт приключения, майнкрафт испытание, владус майнкрафт, леня майнкрафт, владус и леня, владус и лёня",13,https://i.ytimg.com/vi/yk3TSwP_j3o/hqdefault.jpg,ru,ru,False,1110,PT18M30S,hd,True,True,False,False,714589,25380,1364
gzSgYrTexLo,MD,2026-05-14T04:29:18.909977+00:00,2026-05-07T22:35:22Z,"By Индия, Xcho, МОТ - Шадэ (Official)","By Индия, Xcho, МОТ - Шадэ (Official)",Glass Cage,UCH6-5Aow-AORGY6GO-PPkgA,10,Music,,0,https://i.ytimg.com/vi/gzSgYrTexLo/hqdefault.jpg,ru,ru,False,168,PT2M48S,hd,False,False,False,False,473345,6350,119
XYmPY-jkwOo,MD,2026-05-14T04:29:18.909984+00:00,2026-05-13T09:17:36Z,УРА😱 Я ПОЛУЧИЛ ТОП 1 STRAWBERRY ELEPHANT «CYBER» СО ВСЕМИ МУТАЦИЯМИ В РОБЛОКС!,УРА😱 Я ПОЛУЧИЛ ТОП 1 STRAWBERRY ELEPHANT «CYBER» СО ВСЕМИ МУТАЦИЯМИ В РОБЛОКС!,EroxBlox,UCMDSzea8f4CC53mZC3ViZug,20,Gaming,,0,https://i.ytimg.com/vi/XYmPY-jkwOo/hqdefault.jpg,ru,ru,False,993,PT16M33S,hd,False,True,False,False,260462,7907,1600
a8vzqrwXBzg,MD,2026-05-14T04:29:18.909992+00:00,2026-04-30T17:00:06Z,AKORD - Inima Mea (Official Video),AKORD - Inima Mea (Official Video),AKORD,UCCjlHqWDjjOCCU5tsQ481ew,10,Music,"Akord, Inima Mea, Akord oficial, muzica pop 2026, hituri Moldova 2026, Akord Inima Mea video, Igor Sirbu, Eduard Malareu, muzica de dragoste 2026, hitul anului 2026, trupa Akord, pop romanesc 2026, muzica noua 2026, Akord live, Republica Moldova muzica, inima mea oficial video",16,https://i.ytimg.com/vi/a8vzqrwXBzg/hqdefault.jpg,ro,ro,False,250,PT4M10S,hd,False,True,False,False,379307,2650,143
Llwui4JLoPo,MD,2026-05-14T04:29:18.910001+00:00,2026-05-13T12:59:22Z,ANANAS KILLER este URMARIT in GTA 5!,ANANAS KILLER este URMARIT in GTA 5!,Amasico Playz,UC2olD7RQ3E8H_tQjXSDId2g,20,Gaming,,0,https://i.ytimg.com/vi/Llwui4JLoPo/hqdefault.jpg,ro,ro,False,1590,PT26M30S,hd,False,True,False,False,47679,2026,105
m2Nh_RR6q8g,MD,2026-05-14T04:29:18.910008+00:00,2026-05-08T16:01:32Z,🔥💖ТАК ЛЮБЯТ ОДИН РАЗ В ЖИЗНИ… «Среди диких роз»🔥💖 Премьера 2026 Mary Sharm—Поп-хит 2026,🔥💖ТАК ЛЮБЯТ ОДИН РАЗ В ЖИЗНИ… «Среди диких роз»🔥💖 Премьера 2026 Mary Sharm—Поп-хит 2026,Mary Sharm,UCorHySODO8WMWtgcHWlJe3Q,22,People & Blogs,,0,https://i.ytimg.com/vi/m2Nh_RR6q8g/hqdefault.jpg,ru,ru,False,458,PT7M38S,hd,False,True,False,False,107620,593,79
