video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
0P_q4g4v1TI,ME,2026-09-06T05:03:50.891444+00:00,2026-08-23T12:00:02Z,SLOBA RADANOVIC - POZVACU TE (OFFICIAL VIDEO 2026),SLOBA RADANOVIC - POZVACU TE (OFFICIAL VIDEO 2026),Sloba Radanovic,UCtHQlg6FypR2SjqPjkkXoog,10,Music,"sloba radanovic pozvacu te, sloba radanovic, sloba radanović, pozvacu te, sloba novo, pozvacu te 2026, nova pesma, sloba pozvacu te, sloba jelena, sloba pozvacu te 2026 video, official video, sloba 2026 pozvacu te, pozvacu te official, radanovic sloba, radanovic sloba 2026, radanovic sloba pozvacu te, pozvacu te radanovic, nove pesme, novi spotovi, new video, new release, sloba pesma, sloba video, tea tairovic, aleksandra prijovic album, sloba album, sloba nova pesma",27,https://i.ytimg.com/vi/0P_q4g4v1TI/hqdefault.jpg,sr,sr,False,191,PT3M11S,hd,False,True,False,False,3117057,13729,1274
X1aFkAkFASk,ME,2026-09-06T05:03:50.891499+00:00,2026-08-15T04:06:21Z,Avengers: Doomsday | Special Look | In Theaters December 18,Avengers: Doomsday | Special Look | In Theaters December 18,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/X1aFkAkFASk/hqdefault.jpg,en,en,False,130,PT2M10S,hd,True,True,False,False,38931167,1353725,60454
GrOCveTi0zI,ME,2026-09-06T05:03:50.891509+00:00,2026-09-02T18:07:12Z,BEŽIMO SA PUSTOG OSTRVA,BEŽIMO SA PUSTOG OSTRVA,Novke,UCURlpFWEyij724FND2MEs0w,23,Comedy,"novke, novisha, novisa, novcic, aleksandar novcic, 24 sata, ymurke, skrivaci, smiga, smigicka, djape, novketova devojka, novketov brat, novke i smigicka, novke i smiga, smuga, nofke, nobke, caki, defko, novke majice, smiga majice, novke ostrvo, pusto ostrvo, novke i smiga beze sa ostrava, novke i smiga beze sa pustog ostrva, novke i smiga pusto ostrvo",27,https://i.ytimg.com/vi/GrOCveTi0zI/hqdefault.jpg,sr,sr,False,1634,PT27M14S,hd,False,True,False,False,487239,7202,349
X1kioemSKZ8,ME,2026-09-06T05:03:50.891516+00:00,2026-09-04T11:00:03Z,2soma - Tiki,2soma - Tiki,Bassivity Digital,UCtAE452wbBYJZASZ-3jCNBA,10,Music,,0,https://i.ytimg.com/vi/X1kioemSKZ8/hqdefault.jpg,sr,sr,False,150,PT2M30S,hd,False,True,False,False,143672,4676,214
Xc1HJgUeED8,ME,2026-09-06T05:03:50.891523+00:00,2026-09-05T13:38:57Z,OSLOBODIO SAM SINA MAJMUNA IZ KAVEZA.. VR,OSLOBODIO SAM SINA MAJMUNA IZ KAVEZA.. VR,Cigvan Gaming,UCD8geOrSnzs_DrHIhgsufoA,20,Gaming,,0,https://i.ytimg.com/vi/Xc1HJgUeED8/hqdefault.jpg,hr,hr,False,1141,PT19M1S,hd,False,True,False,False,54276,1652,21
Avx8txWTxrc,ME,2026-09-06T05:03:50.891529+00:00,2026-09-01T11:00:02Z,Ana Nikolić - Lavice | Official Lyrics Video 2026,Ana Nikolić - Lavice | Official Lyrics Video 2026,Ana Nikolic,UCXdoy3W1J-yItjWWHBJ9Hqg,10,Music,"ana nikolic, milion dolara, djavo, plakacete za mnom oboje, romale romali, napismeno, pilule, lose ti je bilo, miso moj, dzukelo, zla barbika, zadnji voz, mafia caffe, januar, atina, voluez vous coucher avec moi, vatra, ana nikolic lavice, lavice, ana nikolic nove pesme, nove pesme, nova muzika, novi hitovi, hitovi 2026, ana nikolic 2026, ana nikolic novo, ana nikolic nove pesme 2026, Ana lavice, lavice ana nikolic, terasa s pogledom na zid, popularno, trending, trending muzika",33,https://i.ytimg.com/vi/Avx8txWTxrc/hqdefault.jpg,sr,sr,False,172,PT2M52S,hd,False,True,False,False,343777,4009,261
MM0IURdKcIE,ME,2026-09-06T05:03:50.891536+00:00,2026-09-04T18:00:26Z,UŠUNJAO SAM SE U ROBLOX ZA DECU!,UŠUNJAO SAM SE U ROBLOX ZA DECU!,Dex Rock,UC9-OsEfAts7_SaTRQOBRgjw,20,Gaming,DexRock,1,https://i.ytimg.com/vi/MM0IURdKcIE/hqdefault.jpg,sr,sr,False,903,PT15M3S,hd,False,True,False,False,171111,3273,299
KNpYD2_qbBg,ME,2026-09-06T05:03:50.891541+00:00,2026-08-24T12:00:20Z,LOBO X BEJBI MOTOROLA - SMUTI,LOBO X BEJBI MOTOROLA - SMUTI,Get Low Music,UCiZNnn7FzyB7hlY3A9tAgdw,10,Music,"vojke, djans, pirana, burj khalifa, bahata, mc stojan, teodora dzehverovic, djexon, rasta, balkaton, idjvideos, idjtunes, vuk mob, mili, jala brat, buba corelli, senidah, loca, kamikaza",19,https://i.ytimg.com/vi/KNpYD2_qbBg/hqdefault.jpg,sr,sr,False,143,PT2M23S,hd,False,True,False,False,439058,6913,292
Z_TdVWeKtx4,ME,2026-09-06T05:03:50.891547+00:00,2026-09-04T17:00:12Z,UČIM SESTRU DA IGRA ROBLOX,UČIM SESTRU DA IGRA ROBLOX,Masa Plays,UCR1dJbzlmpmPMXInHRnqQzA,23,Comedy,"ucim da igram roblox, igram roblox sa sestrom, roblox 24 sata izazov, ucim sestru iz amerike, sestra iz amerike, roblox izazov",6,https://i.ytimg.com/vi/Z_TdVWeKtx4/hqdefault.jpg,sr,sr,False,784,PT13M4S,hd,False,True,False,False,101374,1910,81
S9yDCQYKCDU,ME,2026-09-06T05:03:50.891552+00:00,2026-08-13T10:02:28Z,Adi Šoše & Saša Matić - Daljine (Official video),Adi Šoše & Saša Matić - Daljine (Official video),Adi Šoše / AL Music,UCSGBtI9ORCjRSLgcxy9JYGg,24,Entertainment,,0,https://i.ytimg.com/vi/S9yDCQYKCDU/hqdefault.jpg,hr,sr,False,214,PT3M34S,hd,False,True,False,False,1933094,14523,574
