video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
xYHGE93zeQY,MK,2026-08-07T03:29:05.226731+00:00,2026-07-28T16:00:06Z,DHURATA DORA ft GJESTI - GASOLINA (Official Video),DHURATA DORA ft GJESTI - GASOLINA (Official Video),Dhurata Dora,UCtzhq8TIfFB9vRAHVqLL9PA,10,Music,"DHURATA DORA, Dhurata Dora, GJESTI, Dhurata Dora Gasolina, GJESTI Gasolina, Gasolina, Gasolina Official Video, DHURATA DORA ft GJESTI, Official Video, Official Music Video, Albanian Music, Albanian Pop, Balkan Music, Balkan Pop, Balkan Hits, Pop Music, Dance Music, Latin Pop, Summer Hit, Club Music, New Music, Viral Music, Trending Music, Albanian Artist, Kosovo Music, International Pop, Pop Playlist, Dance Pop, Music Video, Hit Song, Universal Music, New Release",32,https://i.ytimg.com/vi/xYHGE93zeQY/hqdefault.jpg,en,sq,False,165,PT2M45S,hd,False,False,False,False,4423666,42968,1849
XgEw00-k4b0,MK,2026-08-07T03:29:05.226770+00:00,2026-08-06T13:01:07Z,ROCKSTAR IZBACIO TRAILER ZA TRAILER ZA GTA 6 !!!,ROCKSTAR IZBACIO TRAILER ZA TRAILER ZA GTA 6 !!!,Mudja,UCZbp-wYt5PiIkGmoEZ6ChmQ,20,Gaming,"Mudja, MudjaPlus",2,https://i.ytimg.com/vi/XgEw00-k4b0/hqdefault.jpg,sr,sr,False,210,PT3M30S,hd,False,True,False,False,50825,2965,163
1qbKPWrMmMQ,MK,2026-08-07T03:29:05.226781+00:00,2026-08-06T18:40:50Z,"DEDA ili DETE? SVE ŠTO IZABEREM, DESI SE!","DEDA ili DETE? SVE ŠTO IZABEREM, DESI SE!",Dex Rock,UC9-OsEfAts7_SaTRQOBRgjw,24,Entertainment,DexRock,1,https://i.ytimg.com/vi/1qbKPWrMmMQ/hqdefault.jpg,hr,sr,False,833,PT13M53S,hd,False,True,False,False,66449,4909,1105
oDGyxBVpn8w,MK,2026-08-07T03:29:05.226790+00:00,2026-07-17T16:19:35Z,Dino Merlin - Zbog tebe (Official Video),Dino Merlin - Zbog tebe (Official Video),Dino Merlin,UCjWr62wxK6tO2HDL6HI96BQ,10,Music,"dino, merlin, official, channel, video, live, spot",7,https://i.ytimg.com/vi/oDGyxBVpn8w/hqdefault.jpg,hr,bs,False,260,PT4M20S,hd,True,True,False,False,2357244,28241,1810
irVNGjRFZGk,MK,2026-08-07T03:29:05.226799+00:00,2026-07-20T13:00:20Z,Avengers: Doomsday | Official Trailer | In Theaters December 18,Avengers: Doomsday | Official Trailer | In Theaters December 18,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/irVNGjRFZGk/hqdefault.jpg,en,en,False,146,PT2M26S,hd,True,True,False,False,58528600,2519185,189454
HTsttdR9hGE,MK,2026-08-07T03:29:05.226806+00:00,2026-08-02T11:28:21Z,GJEJE KU OSHT QEKY VENDI NE KOSOVE,GJEJE KU OSHT QEKY VENDI NE KOSOVE,Taulant Abazaj,UCN-HCXEpUHA21v1mc4tdoTQ,20,Gaming,,0,https://i.ytimg.com/vi/HTsttdR9hGE/hqdefault.jpg,sq,zxx,False,1656,PT27M36S,hd,False,True,False,False,95050,2715,606
Vzpx2UsXcZ0,MK,2026-08-07T03:29:05.226814+00:00,2026-07-27T10:00:04Z,VOYAGE - ZBOG TEBE (TOUR VIDEO),VOYAGE - ZBOG TEBE (TOUR VIDEO),IDJVideos.TV,UCcF7lkZqxzI2asePTbksVdA,10,Music,"idjvideos, pesme, pjesme",3,https://i.ytimg.com/vi/Vzpx2UsXcZ0/hqdefault.jpg,sr,sr,False,185,PT3M5S,hd,False,True,False,False,588503,12522,510
MOclJJ7IpSY,MK,2026-08-07T03:29:05.226821+00:00,2026-07-23T15:57:07Z,EA SPORTS FC 27 | Official Reveal Trailer,EA SPORTS FC 27 | Official Reveal Trailer,EA SPORTS FC,UCoyaxd5LQSuP4ChkxK0pnZQ,20,Gaming,"fifa, fifa pack opening, fifaeas, EA SPORTS FC, FC 27, EA FC, EA FC release date, FC 27 release date, FC 27 trailer, FC 27 reveal, FC 27 gameplay, football ultimate team, FC 27 ultimate team, FC 27 cover, FC 27 features, FC 27 ratings, FC 27 PS5, FC 27 Xbox, FC 27 PC, FC 27 Nintendo Switch, FC 27 news, FC 27 official, FC 27 PlayStyles, FC 27 pre-order, football game, new football game, EA SPORTS football, FUT, The Grounds, FC 27 The Grounds, FC 27 open world",31,https://i.ytimg.com/vi/MOclJJ7IpSY/hqdefault.jpg,en,en,False,156,PT2M36S,hd,True,True,False,False,5880229,186586,13604
qq76pQsI1iw,MK,2026-08-07T03:29:05.226829+00:00,2026-08-06T12:00:25Z,Grand Theft Auto VI: An Extended Look Coming August 27,Grand Theft Auto VI: An Extended Look Coming August 27,Rockstar Games,UC6VcWc1rAoWdBCM0JxrRQ3A,20,Gaming,"Grand Theft Auto VI, Grand Theft Auto 6, GTAVI, GTA 6, An Extended Look, Rockstar Games, Netflix, PlayStation 5, PS5, XBOX Series X|S, XBOX, Jason, Lucia, Trailer 3, GTA 6 Trailer 3",15,https://i.ytimg.com/vi/qq76pQsI1iw/hqdefault.jpg,en,en,False,26,PT26S,hd,False,True,False,False,2609365,246198,22046
3WcwI_X9dF8,MK,2026-08-07T03:29:05.226837+00:00,2026-07-20T16:00:32Z,YLL LIMANI x RINA - PA TY (Official Music Video),YLL LIMANI x RINA - PA TY (Official Music Video),Yll Limani,UCwxa1gR8DEkcOVKXbN5cDkg,10,Music,"Yll Limani, Ylli, Ylli Limani, ylli limani, ylli, yll, prishtina, kosova, albania, kaje",10,https://i.ytimg.com/vi/3WcwI_X9dF8/hqdefault.jpg,sq,sq,False,159,PT2M39S,hd,False,True,False,False,2694952,10945,203
