video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
0db5IV8ODz8,MY,2026-05-17T04:40:09.354624+00:00,2026-05-08T12:00:06Z,"Iman Troye, Naim Daniel - Terasing (Official Music Video)","Iman Troye, Naim Daniel - Terasing (Official Music Video)",Iman Troye,UCwK4pTu_Qmlfz3AZNiztVVg,22,People & Blogs,,0,https://i.ytimg.com/vi/0db5IV8ODz8/hqdefault.jpg,ms,ms,False,226,PT3M46S,hd,False,False,False,False,672944,10991,404
JpVl_-1YgIo,MY,2026-05-17T04:40:09.354691+00:00,2026-05-10T14:35:18Z,Karuppu (Tamil) - Trailer | Suriya | RJ Balaji | Trisha |  @SaiAbhyankkar | Dream Warrior | May 14,Karuppu (Tamil) - Trailer | Suriya | RJ Balaji | Trisha |  @SaiAbhyankkar | Dream Warrior | May 14,Think Music India,UCLbdVvreihwZRL6kwuEUYsA,10,Music,"karuppu, suriya, trisha, rj balaji, sai abhyankkar, karuppu trailer, karupu, surya karupu trailer, karuppu tamil trailer, karuppu tamil, suriya karuppu trailer, karuppu tamil movie trailer, karuppu movie trailer tamil, karuppu movie, suriya karupu trailer, karuppu latest trailer, surya 45 trailer, veerapa, karupu tamil trailer, karupu trailer tamil, karupu movie, karuppu suriya movie, karupu surya movie trailer, tamil movies 2026, karuppu kooda va, raathu rassan",26,https://i.ytimg.com/vi/JpVl_-1YgIo/hqdefault.jpg,en,ta,False,166,PT2M46S,hd,True,True,False,False,24008566,413073,16177
j4KHRlAYEog,MY,2026-05-17T04:40:09.354706+00:00,2026-05-16T15:11:06Z,LIVE | [BM] MPL MY Season 17 Minggu 7 Hari 2,LIVE | [BM] MPL MY Season 17 Minggu 7 Hari 2,MPL Malaysia,UCoRKiOsQ7Rfo8UuU44nl7Iw,20,Gaming,,0,https://i.ytimg.com/vi/j4KHRlAYEog/hqdefault.jpg,ms,ms,False,29625,PT8H13M45S,hd,False,False,False,False,961985,5666,51
iTJSbJtS8MU,MY,2026-05-17T04:40:09.354716+00:00,2026-05-11T09:00:56Z,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' MV,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' MV,SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,10,Music,"aespa, 에스파, INTRO, KARINA, GISELLE, WINTER, NINGNING, 카리나, 지젤, 윈터, 닝닝, 리치 맨, MV, 뮤직비디오, 뮤비, WDA, Whole Different Animal, 홀 디프런트 애니멀, 레모네이드, LEMONADE, 정규 2집, LEMONADE - The 2nd Album",22,https://i.ytimg.com/vi/iTJSbJtS8MU/hqdefault.jpg,en,ko,False,189,PT3M9S,hd,True,True,False,False,13291725,466837,30930
2kntxizQIFI,MY,2026-05-17T04:40:09.354727+00:00,2026-05-15T12:29:01Z,DC - Official Trailer | Lokesh Kanagaraj | Sun Pictures | Anirudh | Arun Matheswaran | Wamiqa Gabbi,DC - Official Trailer | Lokesh Kanagaraj | Sun Pictures | Anirudh | Arun Matheswaran | Wamiqa Gabbi,Sun TV,UCBnxEdpoZwstJqC1yZpOjRA,24,Entertainment,"DC official trailer, DC trailer, DC movie trailer, DC tamil movie trailer, Lokesh kanagaraj, DC title teaser, DC movie teaser, Lokesh Kanagaraj new movie, Arun Matheswaran DC teaser, Anirudh music DC, Sun Pictures DC, DC Tamil movie, DC official teaser, DC Lokesh Kanagaraj teaser, Sun Pictures new movie, DC motion poster, DC Anirudh music, dc glimpse, dc movie updates, dc tamil trailer, dc new teaser, DC official glimpse, sun pictures movie trailer, sun pictures movie",24,https://i.ytimg.com/vi/2kntxizQIFI/hqdefault.jpg,en,ta,False,194,PT3M14S,hd,True,True,False,False,5018510,213372,6727
7ZaOgcw03Xw,MY,2026-05-17T04:40:09.354736+00:00,2026-05-16T17:04:59Z,🔴LIVE - NOBAR MPL MY S17 #mplmy #mplmys17,🔴LIVE - NOBAR MPL MY S17 #mplmy #mplmys17,Feekz ,UCQM6iYUQVKg2vrdw--DOaGQ,20,Gaming,,0,https://i.ytimg.com/vi/7ZaOgcw03Xw/hqdefault.jpg,en,en-US,False,36173,PT10H2M53S,hd,False,False,False,False,363842,3386,2
t1TuBntVQdg,MY,2026-05-17T04:40:09.354744+00:00,2026-05-08T13:28:29Z,Katy Perry – The One That Got Away (Lyrics),Katy Perry – The One That Got Away (Lyrics),Latin City,UCMhlipBOCB760EFv2MzGDJg,10,Music,"katy perry, katy perry the one that got away, katy perry the one that got away lyrics, lyrics, the one that got away, the one that got away katy perry, the one that got away katy perry lyrics, the one that got away lyrics, katy perry lyrics, the one that got away - katy perry, in another life i would be your girl, in another life i would be your girl lyrics, katy perry in another life, katy perry in another life i would be your girl, latin city",15,https://i.ytimg.com/vi/t1TuBntVQdg/hqdefault.jpg,en,en,False,228,PT3M48S,hd,False,False,False,False,3547807,5965,100
dy_urGMFwH4,MY,2026-05-17T04:40:09.354752+00:00,2026-05-15T07:03:03Z,Welcome To The Jungle - Official Teaser | In Cinemas | 26th June 2026,Welcome To The Jungle - Official Teaser | In Cinemas | 26th June 2026,Star Studios,UCGqvJPRcv7aVFun-eTsatcA,24,Entertainment,"welcome to the jungle, welcome to the jungle teaser, welcome to the jungle trailer, akshay kumar welcome to the jungle, welcome to the jungle song, akshay kumar new movie, welcome to the jungle 2026, akshay kumar, akshay kumar comedy movies, new movie 2026, bollywood new movie, bollywood movies, jacqueline fernandez songs, disha patani songs, welcome to the jungle movie, welcome 3 trailer, welcome 3",17,https://i.ytimg.com/vi/dy_urGMFwH4/hqdefault.jpg,en,en,False,90,PT1M30S,hd,False,True,False,False,9988898,104872,13373
pSkuFDZHv44,MY,2026-05-17T04:40:09.354760+00:00,2026-05-16T16:21:33Z,🔴 LIVE | MPL ID S17 | Regular Season Hari 2 Minggu 8 | Bahasa Indonesia,🔴 LIVE | MPL ID S17 | Regular Season Hari 2 Minggu 8 | Bahasa Indonesia,MPL Indonesia,UC1dGHGJTXU_dkiR8tW3qQgg,20,Gaming,"mobile legends: bang bang, MPL Indonesia, MPL, MLBB, Mobile Legends",5,https://i.ytimg.com/vi/pSkuFDZHv44/hqdefault.jpg,id,id,False,32906,PT9H8M26S,hd,False,False,False,False,6026967,34300,334
x3eqqoZPV_E,MY,2026-05-17T04:40:09.354768+00:00,2026-05-04T09:21:33Z,BABYMONSTER - '춤 (CHOOM)' M/V,BABYMONSTER - '춤 (CHOOM)' M/V,BABYMONSTER,UCqwUnggBBct-AY2lAdI88jQ,10,Music,"BABYMONSTER, 베이비몬스터, 베몬, BABYMON, BAEMON, 하람, 아현, 루카, 치키타, 파리타, 로라, 아사, HARAM, AHYEON, RUKA, CHIQUITA, PHARITA, RORA, ASA",19,https://i.ytimg.com/vi/x3eqqoZPV_E/hqdefault.jpg,ko,ko,False,205,PT3M25S,hd,True,True,False,False,72186102,1157705,82813
