video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
NYL7_G-whHw,NG,2026-06-07T05:07:08.127914+00:00,2026-06-02T10:05:26Z,FRE$H,FRE$H,Victony - Topic,UCh-VZa381UUDND3OtMKLudg,10,Music,"Victony, Anthony Ebuka Victor, Igbinoba Osazee Festus, FRE$H",4,https://i.ytimg.com/vi/NYL7_G-whHw/hqdefault.jpg,en,es,False,138,PT2M18S,hd,False,True,False,False,228485,5879,267
OzGeQBp_-Og,NG,2026-06-07T05:07:08.127952+00:00,2026-05-31T19:00:07Z,ABOBI EPISODE 15 (Official Trailer) Jagaban Sqaud Season 2,ABOBI EPISODE 15 (Official Trailer) Jagaban Sqaud Season 2,holy ghost concept,UCScRsOJGmTWzbqCtzcFDqNw,1,Film & Animation,"movie, nigeria, producer, director, top, latest, news, markangelcomedy, nollymovie.firstnolly, sex, full movie, emmanulla funny, jokes, music, latest movie, top nollywood movie, Selina Tested, Lightweight Entertainment, Jagaban, Aboy, Chiboy, #Odogwu, Tallest, Selina, #tested, Action, #Trending, #Gun Film, #HGC, Episode 16, Hit, DaddyGlitters, Views, YouTube, caretaker series, Mark Angel, Ay comdian, Broda Shaggi, Port Harcourt, Lagos, Abuja, Fans, behind the scene, Lightweight Tv, Holy Ground, Davido, Wizkid",47,https://i.ytimg.com/vi/OzGeQBp_-Og/hqdefault.jpg,en,en,False,203,PT3M23S,hd,False,True,False,False,83600,3372,603
9wpyvdIV0Y0,NG,2026-06-07T05:07:08.127965+00:00,2026-06-03T11:00:06Z,eFootball™ CONNECT (Global) / The Football Festival Campaign,eFootball™ CONNECT (Global) / The Football Festival Campaign,eFootball,UCQdSC4folRoUuPC3iiRkfFQ,20,Gaming,,0,https://i.ytimg.com/vi/9wpyvdIV0Y0/hqdefault.jpg,en,en,False,803,PT13M23S,hd,True,False,False,False,700006,48400,3818
z22zRnTlgMg,NG,2026-06-07T05:07:08.127974+00:00,2026-05-26T14:00:31Z,Asake - Gratitude (Official Video),Asake - Gratitude (Official Video),ASAKE,UCU9R50wyBPKpdbcIScAyZig,10,Music,,0,https://i.ytimg.com/vi/z22zRnTlgMg/hqdefault.jpg,en,en,False,189,PT3M9S,hd,False,False,False,False,2729778,41152,2306
9VPe6bTbaY4,NG,2026-06-07T05:07:08.127982+00:00,2026-05-31T14:00:35Z,"ALABOSI (The Hypocrite) - Official Trailer 2026 | Toyin Abraham, Michael Ejoor, Arike of Lagos","ALABOSI (The Hypocrite) - Official Trailer 2026 | Toyin Abraham, Michael Ejoor, Arike of Lagos",Toyin Abraham TV,UCoSnFVOBlcdgjSUETGd65kA,24,Entertainment,"Alabosi, The Hypocrite, Alabosi trailer, Alabosi Toyin Abraham, Toyin Abraham movie, Toyin Abraham TV, Nollywood movie 2026, Nigerian movies 2026, coming soon Nollywood, Alabosi episode 1, Toyin Abraham new movie, Nollywood drama series, African movies, June 2nd 2026 movie, Toyin Abraham YouTube channel",15,https://i.ytimg.com/vi/9VPe6bTbaY4/hqdefault.jpg,en,en,False,111,PT1M51S,hd,False,True,False,False,150960,2563,174
kdUFUiXhMDU,NG,2026-06-07T05:07:08.127991+00:00,2026-06-05T05:41:49Z,PORTUGAL PACK | C.RONALDO 105 WILL POWER 🔥 GAMEPLAY REVIEW 🔥 eFootball 26 mobile,PORTUGAL PACK | C.RONALDO 105 WILL POWER 🔥 GAMEPLAY REVIEW 🔥 eFootball 26 mobile,9AL Games,UCvzTJH6G9bH5nCQ1Hfb8nGg,20,Gaming,"new pack efootball 26, 101 rated ronaldo efootball 26, rudiger national team pack efootball 26, national team pack review efootball 26, 100 rated rudiger national pack efootball 26, ronaldo efootball 2026, efootball 2026 ronaldo, ronaldo efootball, efootball ronaldo, new legend assemble pack efootball 26, ronaldo efootball 2025, national pack efootball, 105 ronaldo efootball, ronaldo epic efootball, big time ronaldo efootball 2026, portugal pack efootball 2026",16,https://i.ytimg.com/vi/kdUFUiXhMDU/hqdefault.jpg,en,en,False,1020,PT17M,hd,False,True,False,False,241273,17161,1065
AKo4p2qv6g4,NG,2026-06-07T05:07:08.127998+00:00,2026-05-21T19:01:41Z,Chanel (feat. Asake),Chanel (feat. Asake),Blaqbonez - Topic,UCFXYNi16itKb_3u6u79_Gpw,10,Music,"Blaqbonez, Asake, Chanel (feat. Asake)",3,https://i.ytimg.com/vi/AKo4p2qv6g4/hqdefault.jpg,en,,False,151,PT2M31S,hd,False,True,False,False,1038178,16880,503
HLMX2w3cwuE,NG,2026-06-07T05:07:08.128006+00:00,2026-06-02T22:15:01Z,God of War Laufey - Gameplay Reveal Trailer | PS5 Games,God of War Laufey - Gameplay Reveal Trailer | PS5 Games,PlayStation,UC-2Y8dQb0S6DtpxNgAKoJKA,20,Gaming,"PlayStation, PS5, video games, next gen, Sony, state of play, god of war, God of War Laufey, Official Gameplay Reveal",9,https://i.ytimg.com/vi/HLMX2w3cwuE/hqdefault.jpg,en,en-US,False,1425,PT23M45S,hd,True,True,False,False,6369126,390404,28336
9TNItwG6vUM,NG,2026-06-07T05:07:08.128014+00:00,2026-06-05T03:29:05Z,DON'T BUY BEFORE WATCHING THIS ⚠️ RONALDO vs KANE 🔥 MARTÍNEZ vs TUCHEL 🥼 WHICH PACK IS BETTER? 🤯,DON'T BUY BEFORE WATCHING THIS ⚠️ RONALDO vs KANE 🔥 MARTÍNEZ vs TUCHEL 🥼 WHICH PACK IS BETTER? 🤯,Mednasah,UCGtV2qzfDCaOlZqLwVNsErA,20,Gaming,"efootball, efootball 2026, efootball review, efootball pack review, efootball portugal pack, efootball england pack, efootball cristiano ronaldo, efootball harry kane, efootball roberto martinez, efootball thomas tuchel, efootball quick counter, efootball possession game, efootball meta, efootball formation, efootball manager review, efootball premium pack, efootball portugal premium pack, efootball england premium pack, efootball ronaldo review, efootball kane review, mednasah",21,https://i.ytimg.com/vi/9TNItwG6vUM/hqdefault.jpg,en,en,False,2054,PT34M14S,hd,False,True,False,False,115091,5716,510
GtwDdt6zQHM,NG,2026-06-07T05:07:08.128022+00:00,2026-05-28T10:04:19Z,Elumelu,Elumelu,Young Jonn - Topic,UCEkPI0iVCjgcRHl3jjTRLXA,10,Music,"Young Jonn, Elumelu",2,https://i.ytimg.com/vi/GtwDdt6zQHM/hqdefault.jpg,en,es,False,134,PT2M14S,hd,False,True,False,False,237932,4515,134
DSkVTuLoibI,NG,2026-06-07T05:07:08.128029+00:00,2026-06-03T19:13:06Z,ABATTOIR SEASON 6 OFFICIAL TRAILER 1 || MOUNT ZION FILMS ,ABATTOIR SEASON 6 OFFICIAL TRAILER 1 || MOUNT ZION FILMS ,God's Own TV,UC3YWhyiJzFQqxkU26R3zFEA,22,People & Blogs,"Abattoir Season 6, Abattoir Season 6 Release Date, Damilola Mike-Bamiloye, Abattoir Season 6 Episode 1 Release Date, Abattoir Season 6 Trailer, Nigeria gospel movie, Gospel films, Gospel movies in Nigeria, Abattoir Season 6 Episode 1 full movie",9,https://i.ytimg.com/vi/DSkVTuLoibI/hqdefault.jpg,en,en-GB,False,142,PT2M22S,hd,False,True,False,False,39290,1609,114
5F5MKI_jXJw,NG,2026-06-07T05:07:08.128037+00:00,2026-06-06T16:00:01Z,I Survived 100 Days In Realistic Minecraft,I Survived 100 Days In Realistic Minecraft,MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,20,Gaming,,0,https://i.ytimg.com/vi/5F5MKI_jXJw/hqdefault.jpg,en,en,False,1609,PT26M49S,hd,True,True,False,False,9037731,301575,12981
PU_OyTG2irA,NG,2026-06-07T05:07:08.128045+00:00,2026-06-04T23:02:52Z,OPERA MINI,OPERA MINI,Poco lee - Topic,UCXM4Hm5gZgyKHaIlh6TNtwQ,10,Music,"Poco Lee, Seyi Vibez, OPERA MINI",3,https://i.ytimg.com/vi/PU_OyTG2irA/hqdefault.jpg,it,es,False,152,PT2M32S,hd,False,True,False,False,67231,1939,142
4omyHNFF_4o,NG,2026-06-07T05:07:08.128052+00:00,2026-06-03T19:00:06Z,MAJNOON OFFICIAL TRAILER 2026,MAJNOON OFFICIAL TRAILER 2026,Amal motion pictures,UCTCDIH8AckDC-9mqp3eZtbg,24,Entertainment,,0,https://i.ytimg.com/vi/4omyHNFF_4o/hqdefault.jpg,en,en,False,254,PT4M14S,hd,False,True,False,False,53816,2521,113
-pm8XHoMpx0,NG,2026-06-07T05:07:08.128059+00:00,2026-06-05T17:00:26Z,I Tested the World Cup Mode…in FC 26,I Tested the World Cup Mode…in FC 26,S2G,UChR1Yn7YpVrnP-SbsWtjuBA,20,Gaming,,0,https://i.ytimg.com/vi/-pm8XHoMpx0/hqdefault.jpg,en-GB,en,False,810,PT13M30S,hd,False,True,False,False,354633,13173,672
ruN_BqxHdtg,NG,2026-06-07T05:07:08.128076+00:00,2026-06-05T15:00:06Z,Mr P - I Can't Look Away (Official Video),Mr P - I Can't Look Away (Official Video),Mr. P ,UC9FSKODyeY4TiSgnmg9bFTQ,10,Music,"Mr P, Mr .P, Stonebwoy, STONEBWOY, Odo Remix, ODO Remix, Mr P Odo Remix, Afrobeats, Afropop, New Video, I Can't Look Away, New Mr P, MR P, New Music, Official Video, I Can't Look Away Official Video",16,https://i.ytimg.com/vi/ruN_BqxHdtg/hqdefault.jpg,en,en,False,188,PT3M8S,hd,False,True,False,False,172864,15986,3182
jMOow9j8oEw,NG,2026-06-07T05:07:08.128093+00:00,2026-06-01T18:34:47Z,The Passenger | Official Trailer (HD) | Vertical,The Passenger | Official Trailer (HD) | Vertical,Vertical,UCpR3kmSyTYszJHWEcmpcnFQ,1,Film & Animation,"Vertical Entertainment, new movie trailer",2,https://i.ytimg.com/vi/jMOow9j8oEw/hqdefault.jpg,en,en,False,88,PT1M28S,hd,False,True,False,False,63679,416,29
WvzHVGkX8dE,NG,2026-06-07T05:07:08.128110+00:00,2026-06-04T10:36:08Z,"How to Get 1,000 Free Coins in eFootball 2026 | Friend Invite Campaign Explained (Fast Method)","How to Get 1,000 Free Coins in eFootball 2026 | Friend Invite Campaign Explained (Fast Method)",Bixoy Tech & Gaming,UCiktLzA8I4NmqPmijIv1wUA,20,Gaming,"friend campaign efootball 1000 coins how to get, how to get free coins in efootball 2026, how to get 1000 coins in efootball 2026, how to get free coin invite campaign efootball, how to get 1000 coins in efootball using friend match, how to get free coins in efootball, how to invite friends in efootball 2026, how to get free 1000 coin in efootball, how to get free 1000 efootball coin, how to enter invite code in efootball 2026, how to invite friends in efootball",11,https://i.ytimg.com/vi/WvzHVGkX8dE/hqdefault.jpg,en,en,False,163,PT2M43S,hd,False,True,False,False,201007,4824,908
vrY1THC_NQE,NG,2026-06-07T05:07:08.128128+00:00,2026-06-01T15:00:06Z,IShowSpeed - World Cup (Champions) [Official Music Video],IShowSpeed - World Cup (Champions) [Official Music Video],IShowSpeed,UCWsDFcIhY2DBi3GB5uykGXA,20,Gaming,"ishowspeed, world cup",2,https://i.ytimg.com/vi/vrY1THC_NQE/hqdefault.jpg,en,en,False,299,PT4M59S,hd,False,False,False,False,28453501,2368746,142568
0JlMjgqduVw,NG,2026-06-07T05:07:08.128138+00:00,2026-05-29T13:54:01Z,House of the Dragon Season 3 | Official Final Trailer | HBO Max,House of the Dragon Season 3 | Official Final Trailer | HBO Max,HBO Max,UCx-KWLTKlB83hDI6UKECtJQ,24,Entertainment,"hbo max, hbo, hbo originals, hbo original series, hbo trailer, new on hbo, max, hbo max originals, hbo max trailer, hbo max teaser, hbo max series, hbo max youtube, house of the dragon, HOTD, Rhaenrya Targaryen, Daemon Targaryen, Aegon Targaryen, Alicent Hightower, game of thrones, Aemond Targaryen, Helaena Targaryen, Alys Rivers, Corlys Velaryon, Emma D'Arcy, Matt Smith, Olivia Cooke, Ormund Hightower, James Norton, A Song of Ice and Fire, Criston Cole, Fabien Frankel",31,https://i.ytimg.com/vi/0JlMjgqduVw/hqdefault.jpg,en,en,False,160,PT2M40S,hd,True,True,False,False,18173647,89018,4491
9HaP3YDck24,NG,2026-06-07T05:07:08.128147+00:00,2026-06-06T04:54:44Z,ROBLOX BE AN ADMIN!,ROBLOX BE AN ADMIN!,Foltyn,UCRkuUgtDAL4XSU5jB40J_wA,20,Gaming,"foltyn, foltyn roblox, roblox, roblox foltyn, foltyn family, funny, no swearing, foltyn family roblox, roblox foltyn family, blade ball, roblox blade ball, foltyn blade ball, foltyn and caylus, roblox admin foltyn, roblox admin abuse foltyn, foltyn and caylus playing roblox, foltyn and caylus playing together, roblox be an admin, roblox admin, foltyn and caylus playing roblox together",20,https://i.ytimg.com/vi/9HaP3YDck24/hqdefault.jpg,en,en-US,False,1078,PT17M58S,hd,False,True,False,False,1040494,13798,2292
0nOCNfqPLwo,NG,2026-06-07T05:07:08.128166+00:00,2026-05-23T11:00:06Z,"MO Moore ft Elijah Daniel, Magpsalms, Oladosu Twins, Magdalene Whowha, Iyanu Ileyemi, Ernieola Oluso","MO Moore ft Elijah Daniel, Magpsalms, Oladosu Twins, Magdalene Whowha, Iyanu Ileyemi, Ernieola Oluso",Adeyinka Alaseyori,UChmpYz_wW1CbD8aaIRYCtvw,24,Entertainment,"Adeyinka Alaseyori, Arojinle, AyeOpeYo, ire iran, Alaseyori, Momoore thanksgiviing",6,https://i.ytimg.com/vi/0nOCNfqPLwo/hqdefault.jpg,en,en-GB,False,1415,PT23M35S,hd,False,False,False,False,775088,33260,5805
GowS_aMOCBw,NG,2026-06-07T05:07:08.128182+00:00,2026-06-02T19:12:54Z,"LOVE, LIES & BROKEN MINDS | OFFICIAL TRAILER | Now Showing | 2026 Latest Nigerian Full Movie","LOVE, LIES & BROKEN MINDS | OFFICIAL TRAILER | Now Showing | 2026 Latest Nigerian Full Movie",Chinedu Benjamin TV,UCPbe5URc7tuQw3pfnBTAtNA,24,Entertainment,"african movies, nollywood movies 2026, african cinema, full movies english, marriage problems, love and betrayal, family drama movie, emotional drama, marriage crisis movie, netflix style african movies, latest drama movies, emotional movies full, relationship drama, best drama films, chinedu benjamin tv movies, nigerian full movies, betrayal and revenge, United States, Canada, United Kingdom, England, Australia, USA, Scotland, Wales, US, Ireland, Germany, Netflix, HBO, Prime Video",31,https://i.ytimg.com/vi/GowS_aMOCBw/hqdefault.jpg,en-US,en-US,False,99,PT1M39S,hd,False,True,False,False,29855,515,23
9t7Qe3RBAQw,NG,2026-06-07T05:07:08.128195+00:00,2026-06-03T18:12:56Z,Can We Win Our First Trophy?,Can We Win Our First Trophy?,MoreS2G,UCw9rjdrpHa7mzNrWVJoaPgw,20,Gaming,,0,https://i.ytimg.com/vi/9t7Qe3RBAQw/hqdefault.jpg,en,en-GB,False,1367,PT22M47S,hd,False,True,False,False,372736,19718,1778
